d3mIndex,Film,Roger_Ebert,Jeffrey_Lyons,Michael_Medved,Rex_Reed,Gene_Shalit,Joel_Siegel,Gene_Siskel,binaryClass
0,101_DALMATIONS,,Pro,Mixed,Pro,,Pro,,N
1,12_MONKEYS,Pro,Con,Con,Con,,Pro,Mixed,P
2,2_DAYS_IN_THE_VALLEY,,Pro,Con,Con,,,,N
3,A_FAMILY_THING,Pro,Mixed,Mixed,Pro,Pro,,Pro,N
4,A_GOOFY_MOVIE,Pro,,,,,,Pro,P
5,A_MIDWINTERS_TALE,Pro,Pro,,,,,Pro,N
6,A_MONTH_BY_THE_LAKE,Pro,Pro,,Pro,,,,N
7,A_REASON_TO_BELIEVE,,,,Pro,,,,P
8,A_THIN_LINE_BETWEEN_LOVE&HATE,Mixed,Con,,Con,,,,P
9,A_TIME_TO_KILL,,Pro,Mixed,Mixed,,,Mixed,N
10,A_VERY_BRADY_SEQUEL,Mixed,,Con,,,,Pro,N
11,ABSOLUTE_POWER,Pro,Pro,Con,Con,Mixed,Pro,Mixed,N
12,ACE_VENTURA:WHEN_NATURE_CALLS,Con,,,,,Con,Con,P
13,ALASKA,Pro,Pro,Mixed,Pro,,Con,Con,P
14,ALBINO_ALLIGATOR,Mixed,Con,Pro,,,,,N
15,AMERICAN_BUFFALO,Mixed,,,,,Pro,,N
16,ANGEL_BABY,,Mixed,,Pro,,,,P
17,ANGELS_&_INSECTS,Pro,Mixed,Pro,Pro,,,,N
18,ANGUS,Pro,,,,,,Mixed,N
19,ANNE_FRANK_REMEMBERED,,Pro,,,,,,N
20,ASSASSINS,Con,Con,Pro,,,Mixed,Con,P
21,AUGUST,,Mixed,,,,,,N
22,BAD_BOYS,Con,,,,,,Con,N
23,BALTO,Pro,Pro,Pro,,,Mixed,Con,P
24,BARB_WIRE,,Con,,,,,,P
25,BASQUIAT,,Pro,,Con,,Pro,,N
26,BEAUTIFUL_GIRLS,Pro,Mixed,Pro,Con,,,,N
27,BEAUTIFUL_THING,,Mixed,,Pro,,,,N
28,BEAVIS&BUTTHEAD_DO_AMERICA,,,,,,Con,,N
29,BED_OF_ROSES,Mixed,Con,Con,Pro,,,,P
30,BEFORE_AND_AFTER,Mixed,Mixed,,Con,Con,Con,Con,P
31,BIG_NIGHT,,,Pro,Pro,,Pro,,N
32,BLACK_SHEEP,,Con,,,,Con,,P
33,BLOOD_AND_WINE,,Pro,Con,Con,,Pro,,N
34,BLUE_IN_THE_FACE,Mixed,Mixed,,Con,,Pro,,P
35,BOGUS,Pro,Mixed,,Con,,Con,Mixed,P
36,BOOTY_CALL,,Con,,,,,,P
37,BOTTLE_ROCKET,,,,,Pro,,,N
38,BOUND,,Con,,,,,,N
39,BOYS,,Con,,Con,,,,P
40,BOYS_LIFE_2,,,,,,,,N
41,BREAKING_THE_WAVES,,,,Pro,,Pro,,P
42,BREATHING_ROOM,,Mixed,,Con,,,,P
43,BROKEN_ARROW,Mixed,Mixed,Mixed,Mixed,Mixed,,Mixed,N
44,BULLETPROOF,,Con,,Con,,Pro,,P
45,BURNT_BY_THE_SUN,Con,,,Pro,,,Mixed,N
46,BUTTERFLY_KISS,Pro,,,,,,,N
47,CANADIAN_BACON,,,Con,Con,,,,P
48,CARRIED_AWAY,,,Con,,,,,N
49,CARRINGTON,,Con,,Pro,Pro,Con,,N
50,CASINO,Pro,Mixed,Con,Con,Pro,Pro,,N
51,CAUGHT,,Pro,,Pro,,,,N
52,CELESTIAL_CLOCKWORK,,Pro,,,,,,N
53,CELTIC_PRIDE,Mixed,,Con,,,,Mixed,P
54,CHAIN_REACTION,Mixed,Con,Con,,,,Mixed,P
55,CITIZEN_RUTH,,Pro,Con,,,,,N
56,CITY_HALL,Mixed,Mixed,Con,Mixed,Pro,,Mixed,N
57,CITY_OF_INDUSTRY,Con,Con,,,,Con,Mixed,N
58,CITY_OF_LOST_CHILDREN,Pro,Pro,,,,,,N
59,CLOCKERS,Pro,,Pro,Con,,Pro,Pro,N
60,COLD_COMFORT_FARM,Pro,Pro,,Pro,Pro,Pro,Pro,N
61,COPYCAT,Pro,Pro,,Pro,,Pro,Con,P
62,COURAGE_UNDER_FIRE,,Pro,Mixed,Pro,Pro,Pro,,N
63,CRASH,,Con,,Con,,Con,Mixed,N
64,CRY_THE_BELOVED_COUNTRY,,,Pro,Pro,,,,N
65,CUTTHROAT_ISLAND,Pro,Con,Mixed,Con,,Con,Con,P
66,DANGEROUS_GROUND,,Con,,Con,,,,P
67,DANTES_PEAK,Mixed,Pro,Pro,,Con,Con,Mixed,P
68,DAYLIGHT,Mixed,,Mixed,,,Mixed,Mixed,P
69,DEAD_MAN,Con,,,,,,,P
70,DEAD_MAN_WALKING,Pro,Pro,,Pro,,Pro,Pro,P
71,DEAD_PRESIDENTS,Mixed,Mixed,,Con,,Con,Con,N
72,DEAR_GOD,Con,,Con,Mixed,,,Con,P
73,DEVIL_IN_A_BLUE_DRESS,Pro,,Pro,Pro,,Pro,Pro,P
74,DIABOLIQUE,Mixed,Con,,,,Con,Pro,P
75,DON_JUAN_DEMARCO,Con,Pro,,,Mixed,Pro,Pro,N
76,DONNIE_BRASCO,Pro,Pro,,Pro,Pro,Pro,Pro,N
77,DOWN_PERISCOPE,Pro,,,,,,Con,P
78,DRACULA:DEAD_AND_LOVING_IT,Con,Mixed,Con,,,Pro,Con,P
79,DRAGONHEART,Pro,Pro,Mixed,Mixed,Pro,Con,,P
80,DRUNKS,,,Con,,,,,P
81,DUNSTON_CHECKS_IN,,Pro,Pro,Con,,,,N
82,ED,,Con,Con,,,,,P
83,EDDIE,Con,,,,,,Pro,P
84,EDS_NEXT_MOVE,,Mixed,,,,,,N
85,EMMA,Pro,Pro,Pro,,,Pro,Pro,N
86,ERASER,Pro,Con,,Con,Pro,Pro,Pro,N
87,ESCAPE_FROM_L.A.,Pro,Pro,Con,,,Con,Mixed,N
88,EVERYONE_SAYS_I_LOVE_YOU,Pro,,Pro,Con,,Pro,Mixed,N
89,EVITA,,Pro,Mixed,Pro,Con,Pro,,N
90,EXECUTIVE_DECISION,Pro,,Mixed,,,Mixed,Pro,N
91,EXTREME_MEASURES,,Pro,,Mixed,,Con,,P
92,EYE_FOR_AN_EYE,Con,Pro,Mixed,Mixed,,,,P
93,FAIR_GAME,Con,,,,,,Con,P
94,FAITHFUL,Mixed,Mixed,,Con,,,,P
95,FARGO,Pro,Pro,,Pro,Pro,Pro,,N
96,FATHER_OF_THE_BRIDE_PART_2,Mixed,Mixed,Mixed,,,,Pro,N
97,FEAR,,Con,,Mixed,,Con,,P
98,FEAST_OF_JULY,Con,Pro,Pro,,,,,P
99,FEELING_MINNESOTA,Pro,,Con,Con,,,,P
100,FIERCE_CREATURES,Mixed,Pro,Pro,Mixed,,Con,Pro,N
101,FLED,Mixed,Con,,,,Mixed,Con,P
102,FLIPPER,,Pro,Pro,Con,,,,N
103,FLIPPING,,,,,,,,P
104,FLIRTING_WITH_DISASTER,Pro,Pro,,,,,Pro,N
105,FLY_AWAY_HOME,Pro,Pro,Mixed,Pro,,Pro,Pro,N
106,FOLLOW_ME_HOME,,Pro,,,,,,P
107,FOOLS_RUSH_IN,,Pro,Pro,Pro,,,,P
108,FOXFIRE,,Con,,,,,,P
109,FRANKIE_STARLIGHT,Pro,Pro,,Pro,,,,P
110,FRENCH_TWIST,Con,Mixed,,,,,Con,N
111,FROM_DUSK_TIL_DAWN,Pro,,,Con,,,,N
112,FROM_THE_JOURNALS_OF_JEAN_S,,,,Pro,,,,N
113,GENTLEMEN_DONT_EAT_BLONDS,,Con,Con,Pro,,,,N
114,GEORGIA,,,,Pro,,,,N
115,GET_ON_THE_BUS,,Pro,,,,,Pro,N
116,GET_SHORTY,Pro,Pro,Pro,Pro,,Pro,Pro,N
117,GETTING_AWAY_WITH_MURDER,Mixed,,,,,,Mixed,P
118,GHOST_IN_THE_SHELL,Pro,,,,,,Pro,P
119,GHOSTS_OF_MISSISSIPPI,,Pro,Pro,Mixed,,Pro,,P
120,GIRL_6,,,,,,Pro,,P
121,GIRLS_TOWN,Pro,,,,,,Pro,P
122,GOLD_DIGGERS,Mixed,Mixed,Con,Con,,,Con,P
123,GOLDENEYE,,Pro,,Con,,Con,,N
124,GRACE_OF_MY_HEART,Mixed,Pro,,,,Mixed,,N
125,GRAYS_ANATOMY,,Pro,,Con,,,,N
126,GRUMPIER_OLD_MEN,Con,Pro,,Pro,,Pro,Mixed,P
127,HACKERS,Pro,,,,,,,P
128,HAMLET,Pro,Pro,,,,,Pro,N
129,HAPPY_GILMORE,Con,Con,,,,,Mixed,P
130,HARD_EIGHT,Pro,Pro,Mixed,,,,Pro,N
131,HARRIET_THE_SPY,,Con,Mixed,,,Pro,Mixed,N
132,HATE,Pro,,,,,,,P
133,HEAT,Pro,,,Mixed,Mixed,Pro,Pro,N
134,HEAVENS_PRISONERS,,Pro,,Mixed,,,,P
135,HEAVY,,Con,,,,,,N
136,HIGH_SCHOOL_HIGH,,Con,,Con,,Mixed,,P
137,HOMAGE,,Pro,,Pro,,,,P
138,HOME_FOR_THE_HOLIDAYS,Pro,Con,Pro,Pro,,Con,Pro,N
139,HOMEWARD_BOUND_2,Mixed,Pro,Mixed,,,,Mixed,P
140,HORSEMAN_ON_THE_ROOF,Pro,Mixed,Pro,Con,,,Pro,N
141,HOTEL_DE_LOVE,Mixed,Pro,,,,,Mixed,N
142,HOUSE_ARREST,,Con,Mixed,Con,,Con,Con,P
143,HOW_TO_MAKE_AN_AMERICAN_QUILT,Con,Pro,Con,Pro,,Mixed,Mixed,P
144,HUNCHBACK_OF_NOTRE_DAME,Pro,Pro,Con,,Pro,Pro,Pro,N
145,I_SHOT_ANDY_WARHOL,,Pro,,,,,,N
146,IF_LUCY_FELL,Con,Con,Con,Con,,,Con,P
147,IM_NOT_RAPPAPORT,Mixed,Pro,Mixed,,Pro,,Con,P
148,IN_LOVE_AND_WAR,Mixed,Mixed,Pro,Mixed,,Con,Mixed,P
149,INDEPENDENCE_DAY,,Mixed,Mixed,Pro,Mixed,Pro,Mixed,N
150,INFINITY,,Pro,Con,,,,,N
151,IT_TAKES_TWO,,Pro,Pro,,,Con,,P
152,ITS_MY_PARTY,Pro,Con,,,,,Pro,P
153,JACK,Con,Con,Con,Con,Con,Pro,Con,P
154,JACK_&_SARAH,,Pro,Mixed,,,,,P
155,JADE,Con,,Con,Mixed,,Con,,P
156,JAMES_&_THE_GIANT_PEACH,Pro,Pro,,Pro,Pro,Pro,Pro,N
157,JANE_EYRE,Pro,Pro,,Pro,,Mixed,Pro,N
158,JERRY_MAGUIRE,Pro,Pro,,Pro,Mixed,Pro,Pro,N
159,JINGLE_ALL_THE_WAY,,,,,,Pro,,P
160,JOURNEY_OF_AUGUST_KING,,,,Con,,,,N
161,JUDE,Pro,Pro,,Pro,,,Pro,N
162,JUMANJI,Con,Pro,Pro,,Mixed,Con,Con,P
163,JUNGLE_2_JUNGLE,Con,Pro,Con,,,Con,Con,P
164,JURY_DUTY,Con,,,,,,,P
165,KAMA_SUTRA:_A_TALE_OF_LOVE,Con,,Mixed,,,,Mixed,N
166,KANSAS_CITY,Pro,Mixed,,Con,,Con,Mixed,N
167,KAZAAM,,,,,,,Con,P
168,KICKING_AND_SCREAMING,Pro,Pro,,,,,,N
169,KIDS_IN_THE_HALL:BRAIN_CANDY,Con,Con,,,,,Pro,N
170,KINGPIN,Pro,,,Con,,,Pro,P
171,KISS_OF_DEATH,Con,Pro,,Mixed,,,Pro,N
172,LA_CEREMONIE,Pro,,Pro,,,,,N
173,LAND_AND_FREEDOM,,,,,,,Mixed,P
174,LARGER_THAN_LIFE,Con,Pro,,Con,,Con,Pro,P
175,LAST_DANCE,,Pro,Con,Mixed,Pro,,,P
176,LAST_MAN_STANDING,Con,,,,,Con,Mixed,P
177,LEAVING_LAS_VEGAS,Pro,Con,Con,Pro,Mixed,Pro,Pro,N
178,LES_MISERABLES,Pro,,Mixed,,,,,N
179,LIAR_LIAR,,Pro,Pro,,,Pro,Pro,N
180,LITTLE_INDIAN_BIG_CITY,Con,Con,,,,,Con,P
181,LOADED,,Con,Con,,,,,P
182,LONE_STAR,,Pro,,Con,,Pro,,N
183,LOOKING_FOR_RICHARD,,Pro,,Con,,,,N
184,LOSING_CHASE,,,Pro,,,,,N
185,LOST_HIGHWAY,Mixed,Con,,Con,,,,N
186,LOVE_JONES,Pro,Pro,,,Pro,Mixed,Pro,N
187,MA_SAISON_PREFEREE,,Pro,,,,,,N
188,MAD_DOG_TIME,,Con,,,,,,N
189,MAGIC_HUNTER,,Con,Mixed,,,,,P
190,MALLRATS,Con,,Con,,,,Con,P
191,MANDELA:_SON_OF_AFRICA...,,Pro,,,,,Pro,N
192,MANNY_&_LO,,Con,,,,,,N
193,MARGARETS_MUSEUM,,Pro,,,,,,P
194,MARS_ATTACKS!,Mixed,Mixed,Con,Con,,Pro,Pro,N
195,MARVINS_ROOM,Pro,,Pro,Pro,,Pro,,N
196,MARY_REILLY,Pro,Con,Con,Con,,Con,Pro,P
197,MATILDA,Pro,Con,,,,Pro,,P
198,MAYBE...MAYBE_NOT,Pro,,,Mixed,,,,N
199,METRO,Pro,Con,Con,,,,Pro,P
200,MICHAEL,,Con,Mixed,Con,,,,N
201,MICHAEL_COLLINS,,Pro,,Mixed,,Pro,,N
202,MIGHTY_APHRODITE,Pro,Pro,Mixed,,,Pro,Mixed,N
203,MISSION_IMPOSSIBLE,,,Con,Con,,,Pro,N
204,MOLL_FLANDERS,Pro,Pro,Con,Pro,Mixed,Mixed,Mixed,N
205,MONEY_TRAIN,Con,,,,,Pro,,N
206,MOONLIGHT_&_VALENTINO,,,Mixed,Pro,,Pro,,P
207,MOTHER,Pro,Pro,,Pro,,,,N
208,MOTHER_NIGHT,,Pro,Mixed,Pro,,,,N
209,MR._HOLLANDS_OPUS,Pro,,Pro,Pro,,Pro,Pro,P
210,MR._WRONG,,Con,,,,,,P
211,MRS._WINTERBOURNE,Mixed,Pro,Con,,Con,,Mixed,P
212,MULHOLLAND_FALLS,Pro,Pro,Mixed,Pro,Con,Con,Mixed,P
213,MULTIPLICITY,,Pro,Con,,,Mixed,Mixed,N
214,MUPPET_TREASURE_ISLAND,Mixed,Pro,Pro,,,,Mixed,P
215,MUTE_WITNESS,Pro,,Pro,Pro,,,Con,N
216,MY_FELLOW_AMERICANS,,Pro,Mixed,,,Pro,,N
217,MYSTERY_SCIENCE_THEATER_3000,Pro,Pro,,,,,Pro,N
218,NEW_JERSEY_DRIVE,Pro,,,,,,,N
