d3mIndex,year_zone,year,strip,pdk,damage_rankRJT,damage_rankALL,dry_or_irr,zone,binaryClass
0,6f,86,3.0,1.0,1,0,D,F,P
1,6f,86,3.0,2.0,0,0,D,F,N
2,6f,86,3.0,3.0,1,1,D,F,N
3,6f,86,3.0,4.0,1,0,D,F,N
4,6f,86,3.0,5.0,0,0,D,F,P
5,6f,86,4.0,1.0,0,1,D,F,P
6,6f,86,4.0,2.0,2,2,D,F,N
7,6f,86,4.0,3.0,1,0,D,F,P
8,6m,86,6.0,1.0,2,0,D,M,N
9,6m,86,6.0,2.0,3,3,D,M,N
10,6m,86,6.0,3.0,1,1,D,M,P
11,6c,86,10.0,1.0,1,1,D,C,N
12,6c,86,10.0,2.0,3,4,O,C,N
13,6c,86,10.0,3.0,3,3,D,C,N
14,6c,86,10.0,4.0,3,2,D,C,N
15,6c,86,10.0,5.0,3,3,D,C,N
16,7f,87,1.0,2.0,2,1,D,F,N
17,7f,87,1.0,3.0,3,3,D,F,N
18,7f,87,2.0,1.0,2,1,D,F,N
19,7f,87,3.0,1.0,0,1,D,F,P
20,7f,87,3.0,2.0,1,0,D,F,P
21,7f,87,3.0,3.0,0,0,D,F,P
22,7f,87,3.0,4.0,2,1,D,F,P
23,7f,87,3.0,5.0,0,1,D,F,P
24,7m,87,5.0,1.0,2,3,B,M,P
25,7m,87,5.0,2.0,1,2,D,M,N
26,7m,87,5.0,3.0,0,0,D,M,P
27,7m,87,5.0,4.0,1,1,D,M,P
28,7m,87,6.0,2.0,2,1,D,M,P
29,7m,87,6.0,4.0,3,1,D,M,N
30,7c,87,10.0,1.0,3,2,D,C,N
31,7c,87,10.0,2.0,3,2,D,C,N
32,7c,87,10.0,3.0,2,2,D,C,N
33,7c,87,10.0,4.0,1,1,O,C,N
34,7c,87,10.0,5.0,2,3,D,C,N
35,8f,88,1.0,0.0,5,3,D,F,N
36,8f,88,1.0,1.0,0,0,D,F,P
37,8f,88,1.0,2.0,3,1,D,F,N
38,8f,88,1.0,4.0,2,1,D,F,N
39,8f,88,3.0,1.0,1,1,D,F,P
40,8f,88,3.0,2.0,2,2,D,F,N
41,8f,88,3.0,3.0,1,0,D,F,P
42,8m,88,6.0,3.0,1,1,D,M,P
43,8m,88,6.0,4.0,0,0,D,M,P
44,8m,88,7.0,1.0,0,1,B,M,P
45,8m,88,7.0,2.0,0,0,B,M,N
46,8m,88,7.0,3.0,1,2,B,M,P
