d3mIndex,in1,in2,in3,in4,out1
0,6.0,5.0,6.0,6.0,6.0
1,5.0,4.0,5.0,5.0,5.0
2,5.0,3.0,4.0,5.0,4.0
3,6.0,5.0,6.0,7.0,6.0
4,4.0,3.0,3.0,5.0,3.0
5,9.0,6.0,6.0,6.0,6.0
6,5.0,5.0,5.0,5.0,4.0
7,5.0,3.0,2.0,2.0,2.0
8,5.0,5.0,5.0,5.0,5.0
9,5.0,4.0,6.0,6.0,6.0
10,6.0,5.0,7.0,6.0,6.0
11,8.0,5.0,6.0,6.0,6.0
12,4.0,3.0,4.0,4.0,3.0
13,6.0,6.0,5.0,5.0,5.0
14,4.0,4.0,5.0,7.0,5.0
15,6.0,3.0,5.0,5.0,4.0
16,6.0,6.0,4.0,5.0,5.0
17,6.0,5.0,5.0,6.0,6.0
18,4.0,4.0,4.0,5.0,4.0
19,6.0,6.0,6.0,7.0,7.0
20,8.0,7.0,7.0,5.0,6.0
21,2.0,1.0,2.0,4.0,2.0
22,4.0,5.0,6.0,5.0,5.0
23,7.0,6.0,5.0,6.0,6.0
24,6.0,5.0,6.0,7.0,7.0
25,9.0,8.0,6.0,6.0,7.0
26,1.0,2.0,3.0,5.0,2.0
27,6.0,6.0,6.0,6.0,5.0
28,5.0,5.0,6.0,7.0,6.0
29,7.0,6.0,6.0,6.0,6.0
30,6.0,5.0,6.0,7.0,6.0
31,4.0,3.0,5.0,6.0,4.0
32,3.0,3.0,5.0,4.0,3.0
33,5.0,4.0,4.0,5.0,5.0
34,7.0,8.0,6.0,5.0,6.0
35,4.0,4.0,4.0,6.0,4.0
36,5.0,5.0,5.0,5.0,5.0
37,6.0,7.0,6.0,6.0,6.0
38,4.0,3.0,5.0,5.0,4.0
39,5.0,4.0,4.0,5.0,4.0
40,5.0,5.0,5.0,6.0,5.0
41,4.0,4.0,4.0,5.0,4.0
42,5.0,6.0,5.0,5.0,5.0
43,6.0,6.0,6.0,7.0,7.0
44,7.0,6.0,7.0,6.0,7.0
45,2.0,1.0,4.0,5.0,2.0
46,6.0,4.0,5.0,6.0,5.0
47,2.0,2.0,2.0,5.0,3.0
48,4.0,4.0,5.0,5.0,4.0
49,5.0,5.0,6.0,6.0,5.0
50,6.0,5.0,5.0,5.0,4.0
51,5.0,7.0,6.0,5.0,5.0
52,8.0,7.0,7.0,6.0,7.0
53,6.0,6.0,6.0,6.0,6.0
54,6.0,6.0,7.0,6.0,6.0
55,7.0,6.0,5.0,5.0,5.0
56,4.0,4.0,5.0,6.0,5.0
57,8.0,9.0,5.0,6.0,7.0
58,4.0,6.0,6.0,6.0,6.0
59,6.0,5.0,7.0,5.0,6.0
60,4.0,3.0,4.0,6.0,3.0
61,6.0,6.0,6.0,6.0,6.0
62,6.0,4.0,6.0,6.0,4.0
63,7.0,6.0,6.0,7.0,6.0
64,6.0,5.0,4.0,5.0,5.0
65,7.0,8.0,6.0,7.0,8.0
66,7.0,7.0,6.0,6.0,6.0
67,7.0,7.0,6.0,5.0,6.0
68,6.0,6.0,6.0,5.0,6.0
69,7.0,5.0,7.0,6.0,6.0
70,6.0,7.0,6.0,5.0,5.0
71,5.0,4.0,4.0,6.0,4.0
72,6.0,6.0,5.0,7.0,6.0
73,6.0,7.0,6.0,6.0,6.0
74,6.0,5.0,5.0,5.0,5.0
75,3.0,4.0,5.0,6.0,4.0
76,6.0,6.0,5.0,6.0,6.0
77,5.0,4.0,6.0,5.0,5.0
78,4.0,3.0,6.0,5.0,4.0
79,5.0,5.0,6.0,5.0,5.0
80,7.0,6.0,6.0,7.0,7.0
