d3mIndex,In1,In2,In3,In4,In5,In6,In7,In8,In9,In10,Out1
0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
1,1.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,5.0
2,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0
3,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0
4,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0
5,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0
6,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0
7,1.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0
8,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0
9,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0
10,3.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,3.0,3.0
11,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0
12,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0
13,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,4.0
14,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0
15,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0
16,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0
17,2.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0
18,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0
19,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0
20,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0
21,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,5.0
22,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0
23,3.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0
24,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0
25,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,5.0
26,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0
27,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0
28,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0
29,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0
30,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0
31,2.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0
32,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0
33,1.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0
34,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0
35,1.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0
36,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0
37,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,5.0
38,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0
39,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0
40,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,5.0
41,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0
42,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0
43,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0
44,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0
45,2.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,4.0
46,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0
47,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,5.0
48,2.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0
49,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0
50,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0
51,3.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0
52,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0
53,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,5.0
54,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,5.0
55,1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0
56,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0
57,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0
58,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0
59,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0
60,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0
61,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0
62,3.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0
63,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0
64,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,4.0
65,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0
66,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0
67,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0
68,3.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0
69,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
70,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0
71,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0
72,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0
73,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0
74,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0
75,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0
76,2.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0
77,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0
78,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0
