d3mIndex,in1,in2,in3,in4,out1
0,13.0,6.0,12.0,2.0,4.0
1,2.0,7.0,9.0,2.0,2.0
2,12.0,8.0,7.0,6.0,7.0
3,7.0,10.0,8.0,13.0,6.0
4,13.0,6.0,5.0,0.0,4.0
5,10.0,13.0,5.0,0.0,7.0
6,12.0,9.0,10.0,6.0,5.0
7,1.0,3.0,10.0,7.0,3.0
8,8.0,5.0,10.0,2.0,3.0
9,7.0,3.0,7.0,0.0,2.0
10,14.0,11.0,13.0,14.0,9.0
11,13.0,6.0,12.0,2.0,6.0
12,14.0,11.0,13.0,14.0,8.0
13,7.0,3.0,7.0,0.0,2.0
14,2.0,9.0,7.0,5.0,5.0
15,9.0,3.0,10.0,5.0,4.0
16,12.0,4.0,5.0,13.0,5.0
17,9.0,3.0,10.0,5.0,3.0
18,3.0,2.0,0.0,14.0,2.0
19,12.0,6.0,4.0,10.0,3.0
20,9.0,2.0,7.0,10.0,6.0
21,5.0,13.0,0.0,11.0,6.0
22,12.0,10.0,12.0,7.0,8.0
23,10.0,3.0,6.0,14.0,2.0
24,12.0,6.0,4.0,10.0,4.0
25,8.0,12.0,6.0,1.0,7.0
26,10.0,2.0,13.0,4.0,4.0
27,9.0,2.0,7.0,10.0,6.0
28,0.0,5.0,7.0,2.0,1.0
29,12.0,4.0,9.0,14.0,4.0
30,11.0,13.0,10.0,1.0,8.0
31,8.0,12.0,6.0,1.0,5.0
32,12.0,10.0,12.0,7.0,8.0
33,2.0,14.0,2.0,9.0,9.0
34,2.0,1.0,5.0,1.0,4.0
35,13.0,6.0,5.0,0.0,3.0
36,2.0,14.0,2.0,9.0,3.0
37,10.0,7.0,1.0,6.0,4.0
38,12.0,9.0,10.0,6.0,7.0
39,13.0,6.0,12.0,2.0,4.0
40,8.0,12.0,6.0,1.0,6.0
41,12.0,4.0,5.0,13.0,2.0
42,14.0,2.0,4.0,1.0,3.0
43,8.0,6.0,4.0,5.0,1.0
44,13.0,6.0,12.0,2.0,3.0
45,1.0,2.0,12.0,4.0,1.0
46,10.0,2.0,13.0,4.0,5.0
47,14.0,0.0,6.0,0.0,3.0
48,2.0,7.0,9.0,2.0,2.0
49,13.0,6.0,5.0,0.0,3.0
50,3.0,3.0,5.0,9.0,3.0
51,5.0,7.0,3.0,12.0,1.0
52,13.0,6.0,12.0,2.0,5.0
53,12.0,6.0,4.0,10.0,3.0
54,2.0,7.0,9.0,2.0,3.0
55,1.0,2.0,12.0,6.0,2.0
56,2.0,1.0,5.0,1.0,3.0
57,12.0,8.0,7.0,6.0,6.0
58,7.0,12.0,6.0,4.0,6.0
59,2.0,14.0,2.0,9.0,5.0
60,7.0,10.0,8.0,13.0,6.0
61,13.0,9.0,2.0,8.0,6.0
62,1.0,2.0,12.0,6.0,7.0
63,2.0,1.0,5.0,1.0,1.0
64,14.0,0.0,6.0,0.0,2.0
65,0.0,5.0,7.0,2.0,3.0
66,5.0,7.0,3.0,12.0,4.0
67,14.0,11.0,13.0,14.0,9.0
68,13.0,6.0,5.0,0.0,6.0
69,12.0,6.0,4.0,10.0,5.0
70,5.0,13.0,0.0,11.0,6.0
71,0.0,5.0,7.0,2.0,2.0
72,14.0,11.0,13.0,14.0,9.0
73,10.0,3.0,6.0,14.0,4.0
74,8.0,12.0,6.0,1.0,5.0
75,10.0,7.0,1.0,6.0,6.0
76,1.0,2.0,12.0,4.0,2.0
77,13.0,9.0,2.0,8.0,6.0
78,12.0,6.0,4.0,10.0,6.0
79,9.0,3.0,10.0,5.0,4.0
80,9.0,2.0,7.0,10.0,5.0
81,8.0,12.0,6.0,1.0,6.0
82,10.0,3.0,6.0,14.0,2.0
83,2.0,14.0,2.0,9.0,2.0
84,0.0,5.0,7.0,2.0,6.0
85,7.0,10.0,8.0,13.0,4.0
86,13.0,9.0,2.0,8.0,7.0
87,10.0,2.0,13.0,4.0,3.0
88,9.0,8.0,5.0,2.0,4.0
89,3.0,2.0,0.0,14.0,2.0
90,3.0,2.0,0.0,14.0,1.0
91,2.0,7.0,9.0,2.0,3.0
92,12.0,8.0,7.0,6.0,7.0
93,13.0,9.0,2.0,8.0,6.0
