d3mIndex,id,start,end,event,size,state
0,1.0,0.0,913439.0,0.0,14.0,0
1,1.0,913439.0,1292405.0,1.0,14.0,0
2,1.0,1292405.0,1540749.0,0.0,14.0,1
3,2.0,0.0,50170.0,0.0,14.0,0
4,3.0,0.0,913439.0,0.0,18.0,0
5,3.0,913439.0,1292405.0,1.0,18.0,0
6,3.0,1292405.0,1540749.0,0.0,18.0,1
7,4.0,0.0,50170.0,0.0,18.0,0
8,5.0,0.0,374586.0,0.0,13.0,0
9,6.0,0.0,374586.0,0.0,74.0,0
10,7.0,0.0,374586.0,0.0,53.0,0
11,8.0,0.0,343394.0,0.0,45.0,0
12,10.0,0.0,122056.0,1.0,60.0,0
13,10.0,122056.0,163760.0,0.0,46.0,1
14,11.0,0.0,6230.0,1.0,60.0,0
15,11.0,6230.0,570075.0,1.0,60.0,1
16,11.0,570075.0,570142.0,1.0,54.0,1
17,11.0,570142.0,696434.0,1.0,56.0,1
18,11.0,696434.0,1338414.0,0.0,51.0,1
19,11.0,1338414.0,1717380.0,1.0,37.0,1
20,11.0,1717380.0,1802721.0,0.0,37.0,1
21,9.0,0.0,1925158.0,0.0,113.0,0
22,12.0,0.0,337409.0,1.0,12.0,0
23,12.0,337409.0,585753.0,0.0,12.0,1
24,13.0,0.0,337409.0,1.0,995.0,0
25,13.0,337409.0,585753.0,0.0,995.0,1
26,14.0,0.0,73979.0,0.0,86.0,0
27,15.0,0.0,1496988.0,0.0,12.0,0
28,15.0,1496988.0,1920116.0,0.0,59.0,0
29,16.0,0.0,73979.0,0.0,86.0,0
30,17.0,0.0,819800.0,0.0,12.0,0
31,18.0,0.0,374586.0,0.0,86.0,0
32,19.0,0.0,333561.0,0.0,141.0,0
33,20.0,0.0,163760.0,0.0,74.0,0
34,21.0,0.0,47094.0,1.0,208.0,0
35,21.0,47094.0,118999.0,0.0,12.0,1
36,21.0,118999.0,334285.0,1.0,12.0,1
37,21.0,334285.0,773350.0,0.0,12.0,1
38,22.0,0.0,321117.0,0.0,25.0,0
39,22.0,321117.0,333561.0,1.0,177.0,0
40,22.0,333561.0,334285.0,1.0,139.0,1
41,22.0,334285.0,337695.0,1.0,139.0,1
42,22.0,337695.0,1035122.0,1.0,137.0,1
43,22.0,1035122.0,1338413.0,0.0,96.0,1
44,22.0,1338413.0,1690336.0,1.0,96.0,1
45,22.0,1690336.0,1717378.0,1.0,74.0,1
46,22.0,1717378.0,1802719.0,0.0,74.0,1
47,24.0,0.0,6192.0,0.0,83.0,0
48,25.0,0.0,163760.0,0.0,48.0,0
49,26.0,0.0,6230.0,1.0,45.0,0
50,26.0,6230.0,333560.0,1.0,45.0,1
51,26.0,333560.0,570074.0,1.0,40.0,1
52,26.0,570074.0,570141.0,1.0,51.0,1
53,26.0,570141.0,773309.0,1.0,48.0,1
54,26.0,773309.0,1015427.0,1.0,48.0,1
55,26.0,1015427.0,1338412.0,0.0,39.0,1
56,26.0,1338412.0,1717378.0,1.0,39.0,1
57,26.0,1717378.0,1802719.0,0.0,39.0,1
58,23.0,0.0,321117.0,0.0,47.0,0
59,23.0,321117.0,333561.0,1.0,47.0,0
60,23.0,333561.0,1338415.0,0.0,47.0,1
61,23.0,1338415.0,1690127.0,0.0,47.0,1
62,28.0,0.0,1338416.0,0.0,37.0,0
63,28.0,1338416.0,1717382.0,1.0,33.0,0
64,28.0,1717382.0,1965726.0,0.0,33.0,1
65,27.0,0.0,851476.0,0.0,14.0,0
66,34.0,0.0,57494.0,1.0,9.0,0
67,34.0,57494.0,142199.0,1.0,14.0,1
68,34.0,142199.0,223478.0,0.0,21.0,1
69,29.0,0.0,351463.0,0.0,22.0,0
70,30.0,0.0,363504.0,0.0,15.0,0
71,31.0,0.0,8727.0,0.0,8.0,0
72,32.0,0.0,365804.0,0.0,8.0,0
73,33.0,0.0,282433.0,0.0,9.0,0
74,35.0,0.0,46126.0,1.0,24.0,0
75,35.0,46126.0,223479.0,0.0,24.0,1
76,36.0,0.0,375989.0,0.0,28.0,0
77,36.0,375989.0,377384.0,0.0,43.0,0
78,36.0,377384.0,380198.0,0.0,28.0,0
79,36.0,380198.0,392055.0,1.0,43.0,0
80,36.0,392055.0,844177.0,0.0,46.0,1
81,36.0,844177.0,1826881.0,0.0,46.0,1
82,36.0,1826881.0,1840022.0,0.0,46.0,1
83,37.0,0.0,118887.0,0.0,7.0,0
84,38.0,0.0,476318.0,0.0,29.0,0
85,39.0,0.0,1413388.0,0.0,60.0,0
86,40.0,0.0,6192.0,0.0,67.0,0
87,42.0,0.0,163197.0,0.0,15.0,0
88,41.0,0.0,1338416.0,0.0,21.0,0
89,41.0,1338416.0,1717382.0,1.0,21.0,0
90,41.0,1717382.0,1802528.0,0.0,21.0,1
91,43.0,0.0,327.0,0.0,15.0,0
92,44.0,0.0,327.0,0.0,15.0,0
93,45.0,0.0,19235.0,0.0,160.0,0
94,46.0,0.0,2931.0,1.0,51.0,0
95,46.0,2931.0,3186.0,1.0,54.0,1
96,46.0,3186.0,32222.0,1.0,55.0,1
97,46.0,32222.0,35088.0,1.0,59.0,1
98,46.0,35088.0,36867.0,1.0,60.0,1
99,46.0,36867.0,85445.0,0.0,62.0,1
100,46.0,85445.0,105660.0,0.0,62.0,1
101,46.0,105660.0,114576.0,0.0,62.0,1
102,47.0,0.0,2931.0,1.0,51.0,0
103,47.0,2931.0,3186.0,1.0,54.0,1
104,47.0,3186.0,32222.0,1.0,55.0,1
105,47.0,32222.0,35088.0,1.0,59.0,1
106,47.0,35088.0,36867.0,1.0,60.0,1
107,47.0,36867.0,85445.0,0.0,62.0,1
108,47.0,85445.0,105660.0,0.0,62.0,1
109,47.0,105660.0,113333.0,1.0,62.0,1
110,47.0,113333.0,276573.0,0.0,62.0,1
111,48.0,0.0,2931.0,1.0,51.0,0
112,48.0,2931.0,3186.0,1.0,54.0,1
113,48.0,3186.0,32222.0,1.0,55.0,1
114,48.0,32222.0,35088.0,1.0,59.0,1
115,48.0,35088.0,36867.0,1.0,60.0,1
116,48.0,36867.0,85445.0,0.0,62.0,1
117,48.0,85445.0,105660.0,0.0,62.0,1
118,48.0,105660.0,114576.0,0.0,62.0,1
119,49.0,0.0,2931.0,1.0,51.0,0
120,49.0,2931.0,3186.0,1.0,54.0,1
121,49.0,3186.0,32222.0,1.0,55.0,1
122,49.0,32222.0,35088.0,1.0,59.0,1
123,49.0,35088.0,36867.0,1.0,60.0,1
124,49.0,36867.0,85445.0,0.0,62.0,1
125,49.0,85445.0,105660.0,0.0,62.0,1
126,49.0,105660.0,113333.0,1.0,62.0,1
127,49.0,113333.0,276573.0,0.0,62.0,1
128,50.0,0.0,122056.0,1.0,36.0,0
129,50.0,122056.0,163760.0,0.0,45.0,1
