d3mIndex,type,repeat,fold
0,TRAIN,0,0
1,TEST,0,0
2,TEST,0,0
3,TEST,0,0
4,TRAIN,0,0
5,TEST,0,0
6,TRAIN,0,0
7,TRAIN,0,0
8,TEST,0,0
9,TEST,0,0
10,TEST,0,0
11,TRAIN,0,0
12,TEST,0,0
13,TRAIN,0,0
14,TEST,0,0
15,TEST,0,0
16,TRAIN,0,0
17,TRAIN,0,0
18,TRAIN,0,0
19,TRAIN,0,0
20,TEST,0,0
21,TEST,0,0
22,TEST,0,0
23,TRAIN,0,0
24,TEST,0,0
25,TEST,0,0
26,TEST,0,0
27,TEST,0,0
28,TRAIN,0,0
29,TEST,0,0
30,TEST,0,0
31,TEST,0,0
32,TRAIN,0,0
33,TRAIN,0,0
34,TEST,0,0
35,TEST,0,0
36,TEST,0,0
37,TEST,0,0
38,TRAIN,0,0
39,TEST,0,0
40,TEST,0,0
41,TRAIN,0,0
42,TEST,0,0
43,TEST,0,0
44,TEST,0,0
45,TRAIN,0,0
46,TRAIN,0,0
47,TRAIN,0,0
48,TEST,0,0
49,TRAIN,0,0
50,TRAIN,0,0
51,TEST,0,0
52,TRAIN,0,0
53,TEST,0,0
54,TRAIN,0,0
55,TEST,0,0
56,TEST,0,0
57,TEST,0,0
58,TRAIN,0,0
59,TRAIN,0,0
60,TRAIN,0,0
61,TEST,0,0
62,TRAIN,0,0
63,TEST,0,0
64,TRAIN,0,0
65,TRAIN,0,0
66,TRAIN,0,0
67,TEST,0,0
68,TEST,0,0
69,TRAIN,0,0
70,TEST,0,0
71,TEST,0,0
72,TEST,0,0
73,TEST,0,0
74,TEST,0,0
75,TRAIN,0,0
76,TEST,0,0
77,TEST,0,0
78,TEST,0,0
79,TRAIN,0,0
80,TRAIN,0,0
81,TRAIN,0,0
82,TEST,0,0
83,TEST,0,0
84,TEST,0,0
85,TEST,0,0
86,TEST,0,0
87,TEST,0,0
88,TEST,0,0
89,TRAIN,0,0
90,TEST,0,0
91,TRAIN,0,0
92,TRAIN,0,0
93,TEST,0,0
94,TRAIN,0,0
95,TRAIN,0,0
96,TRAIN,0,0
97,TEST,0,0
98,TEST,0,0
99,TRAIN,0,0
100,TRAIN,0,0
101,TEST,0,0
102,TRAIN,0,0
103,TRAIN,0,0
104,TEST,0,0
105,TEST,0,0
106,TRAIN,0,0
107,TEST,0,0
108,TEST,0,0
109,TEST,0,0
110,TRAIN,0,0
111,TEST,0,0
112,TRAIN,0,0
113,TRAIN,0,0
114,TRAIN,0,0
115,TRAIN,0,0
116,TEST,0,0
117,TEST,0,0
118,TRAIN,0,0
119,TEST,0,0
120,TEST,0,0
121,TEST,0,0
122,TEST,0,0
123,TRAIN,0,0
124,TEST,0,0
125,TRAIN,0,0
126,TEST,0,0
127,TRAIN,0,0
128,TEST,0,0
129,TEST,0,0
130,TEST,0,0
131,TEST,0,0
132,TEST,0,0
133,TRAIN,0,0
134,TEST,0,0
135,TRAIN,0,0
136,TEST,0,0
137,TEST,0,0
138,TEST,0,0
139,TEST,0,0
140,TEST,0,0
141,TEST,0,0
142,TEST,0,0
143,TEST,0,0
144,TEST,0,0
145,TRAIN,0,0
146,TRAIN,0,0
147,TEST,0,0
148,TEST,0,0
149,TRAIN,0,0
150,TEST,0,0
151,TEST,0,0
152,TEST,0,0
153,TEST,0,0
154,TEST,0,0
155,TEST,0,0
156,TEST,0,0
157,TEST,0,0
158,TRAIN,0,0
159,TEST,0,0
160,TEST,0,0
