d3mIndex,ID,length,even_odd,first_char_vowel,second_char_vowel,vowels,consonants,vowel_consonant_ratio,spaces,dots,words,class
0,1.0,15.0,0,1,1,7.0,7.0,1.0,1.0,0.0,2.0,+
1,2.0,20.0,1,1,0,6.0,11.0,0.55,2.0,1.0,3.0,-
2,3.0,12.0,1,1,0,4.0,7.0,0.57,1.0,0.0,2.0,-
3,4.0,11.0,0,1,0,6.0,4.0,1.5,1.0,0.0,2.0,-
4,5.0,15.0,0,1,0,5.0,7.0,0.71,2.0,1.0,3.0,-
5,6.0,12.0,1,1,0,2.0,7.0,0.29,2.0,1.0,3.0,-
6,7.0,13.0,0,1,0,5.0,7.0,0.71,1.0,0.0,2.0,-
7,8.0,13.0,0,1,0,4.0,8.0,0.5,1.0,0.0,2.0,-
8,9.0,18.0,1,1,0,8.0,9.0,0.89,1.0,0.0,2.0,-
9,10.0,16.0,1,1,0,8.0,7.0,1.14,1.0,0.0,2.0,-
10,11.0,16.0,1,1,0,6.0,9.0,0.67,1.0,0.0,2.0,-
11,12.0,11.0,0,1,0,4.0,6.0,0.67,1.0,0.0,2.0,-
12,13.0,16.0,1,1,0,8.0,7.0,1.14,1.0,0.0,2.0,-
13,14.0,12.0,1,1,1,6.0,5.0,1.2,1.0,0.0,2.0,+
14,15.0,10.0,1,1,0,3.0,6.0,0.5,1.0,0.0,2.0,-
15,16.0,20.0,1,0,1,8.0,11.0,0.73,1.0,0.0,2.0,+
16,17.0,20.0,1,0,1,7.0,10.0,0.7,2.0,1.0,3.0,+
17,18.0,19.0,0,0,1,5.0,13.0,0.38,1.0,0.0,2.0,+
18,19.0,16.0,1,0,0,5.0,10.0,0.5,1.0,0.0,2.0,-
19,20.0,10.0,1,0,1,2.0,7.0,0.29,1.0,0.0,2.0,+
20,21.0,9.0,0,0,1,3.0,5.0,0.6,1.0,0.0,2.0,+
21,22.0,9.0,0,0,1,3.0,5.0,0.6,1.0,0.0,2.0,+
22,23.0,20.0,1,0,0,5.0,12.0,0.42,2.0,1.0,3.0,-
23,24.0,17.0,0,0,0,5.0,9.0,0.56,2.0,1.0,3.0,-
24,25.0,12.0,1,0,0,4.0,7.0,0.57,1.0,0.0,2.0,-
25,26.0,18.0,1,0,0,6.0,9.0,0.67,2.0,1.0,3.0,-
26,27.0,13.0,0,0,1,2.0,8.0,0.25,2.0,1.0,3.0,+
27,28.0,16.0,1,0,1,5.0,8.0,0.62,2.0,1.0,3.0,+
28,29.0,15.0,0,0,0,3.0,9.0,0.33,2.0,1.0,3.0,-
29,30.0,12.0,1,0,0,2.0,7.0,0.29,2.0,1.0,3.0,-
30,31.0,14.0,1,0,0,5.0,8.0,0.62,1.0,0.0,2.0,-
31,32.0,12.0,1,0,0,3.0,8.0,0.38,1.0,0.0,2.0,-
32,33.0,14.0,1,0,0,3.0,10.0,0.3,1.0,0.0,2.0,-
33,34.0,12.0,1,0,0,3.0,8.0,0.38,1.0,0.0,2.0,-
34,35.0,13.0,0,0,0,6.0,6.0,1.0,1.0,0.0,2.0,-
35,36.0,19.0,0,0,0,6.0,11.0,0.55,2.0,0.0,3.0,-
36,37.0,13.0,0,0,0,5.0,7.0,0.71,1.0,0.0,2.0,-
37,38.0,19.0,0,0,0,8.0,10.0,0.8,1.0,0.0,2.0,-
38,39.0,14.0,1,0,0,4.0,9.0,0.44,1.0,0.0,2.0,-
39,40.0,20.0,1,0,0,6.0,13.0,0.46,1.0,0.0,2.0,-
40,41.0,17.0,0,0,0,7.0,9.0,0.78,1.0,0.0,2.0,-
41,42.0,15.0,0,0,1,4.0,10.0,0.4,1.0,0.0,2.0,+
42,43.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
43,44.0,8.0,1,0,1,2.0,5.0,0.4,1.0,0.0,2.0,+
44,45.0,12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,+
45,46.0,8.0,1,0,1,3.0,4.0,0.75,1.0,0.0,2.0,+
46,47.0,15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,+
47,48.0,17.0,0,0,1,6.0,10.0,0.6,1.0,0.0,2.0,+
48,49.0,16.0,1,0,1,5.0,8.0,0.62,2.0,1.0,3.0,+
49,50.0,13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,+
50,51.0,15.0,0,0,1,4.0,8.0,0.5,2.0,1.0,3.0,+
51,52.0,10.0,1,0,1,3.0,6.0,0.5,1.0,0.0,2.0,+
52,53.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
53,54.0,13.0,0,0,1,4.0,8.0,0.5,1.0,0.0,2.0,+
54,55.0,14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,+
55,56.0,14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,+
56,57.0,17.0,0,0,1,6.0,10.0,0.6,1.0,0.0,2.0,+
57,58.0,13.0,0,0,1,5.0,7.0,0.71,1.0,0.0,2.0,+
58,59.0,16.0,1,0,1,5.0,10.0,0.5,1.0,0.0,2.0,+
59,60.0,12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,+
60,61.0,12.0,1,0,1,4.0,5.0,0.8,2.0,1.0,3.0,+
61,62.0,14.0,1,0,1,4.0,7.0,0.57,2.0,1.0,3.0,+
62,63.0,16.0,1,0,1,4.0,9.0,0.44,2.0,1.0,3.0,+
63,64.0,12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,+
64,65.0,12.0,1,0,1,4.0,7.0,0.57,1.0,0.0,2.0,+
65,66.0,12.0,1,0,0,4.0,7.0,0.57,1.0,0.0,2.0,-
66,67.0,14.0,1,0,1,5.0,8.0,0.62,1.0,0.0,2.0,+
67,68.0,18.0,1,1,1,4.0,9.0,0.44,3.0,2.0,4.0,+
68,69.0,11.0,0,1,0,4.0,6.0,0.67,1.0,0.0,2.0,-
69,70.0,12.0,1,1,0,4.0,7.0,0.57,1.0,0.0,2.0,-
70,71.0,11.0,0,1,0,4.0,6.0,0.67,1.0,0.0,2.0,-
71,72.0,13.0,0,1,0,5.0,7.0,0.71,1.0,0.0,2.0,-
72,73.0,13.0,0,1,0,5.0,7.0,0.71,1.0,0.0,2.0,-
73,74.0,9.0,0,1,0,4.0,4.0,1.0,1.0,0.0,2.0,-
74,75.0,16.0,1,1,0,6.0,9.0,0.67,1.0,0.0,2.0,-
75,76.0,16.0,1,0,1,7.0,8.0,0.88,1.0,0.0,2.0,+
76,77.0,12.0,1,0,1,5.0,6.0,0.83,1.0,0.0,2.0,+
77,78.0,17.0,0,0,1,4.0,10.0,0.4,2.0,1.0,3.0,+
78,79.0,13.0,0,0,0,3.0,9.0,0.33,1.0,0.0,2.0,-
79,80.0,14.0,1,0,1,3.0,8.0,0.38,2.0,1.0,3.0,+
80,81.0,10.0,1,0,1,3.0,6.0,0.5,1.0,0.0,2.0,+
81,82.0,15.0,0,0,1,5.0,9.0,0.56,1.0,0.0,2.0,+
82,83.0,17.0,0,0,1,6.0,8.0,0.75,2.0,1.0,3.0,+
83,84.0,11.0,0,0,1,4.0,6.0,0.67,1.0,0.0,2.0,+
84,85.0,14.0,1,0,1,4.0,7.0,0.57,2.0,1.0,3.0,+
85,86.0,16.0,1,0,1,4.0,9.0,0.44,2.0,1.0,3.0,+
86,87.0,17.0,0,0,0,5.0,11.0,0.45,1.0,0.0,2.0,-
87,88.0,19.0,0,0,0,8.0,10.0,0.8,1.0,0.0,2.0,-
88,89.0,10.0,1,0,1,3.0,6.0,0.5,1.0,0.0,2.0,+
89,90.0,21.0,0,0,1,10.0,10.0,1.0,1.0,0.0,2.0,+
90,91.0,14.0,1,0,1,4.0,9.0,0.44,1.0,0.0,2.0,+
91,92.0,10.0,1,0,1,2.0,7.0,0.29,1.0,0.0,2.0,+
92,93.0,14.0,1,0,1,6.0,7.0,0.86,1.0,0.0,2.0,+
93,94.0,14.0,1,0,1,6.0,7.0,0.86,1.0,0.0,2.0,+
