d3mIndex,V1,V2,V3,V4,V5,V6,V7,Class
0,0.0,0.0,0.0,0.0,20.0,20.0,46.1,1
1,1.0,19.0,0.0,19.0,8.0,8.0,46.1,1
2,2.0,0.0,20.0,19.0,8.0,22.47,46.1,1
3,3.0,0.0,20.0,8.0,42.0,23.41,46.1,1
4,4.0,19.0,8.0,8.0,42.0,35.74,46.1,1
5,0.0,0.0,0.0,0.0,12.0,12.0,37.66,1
6,1.0,7.0,0.0,7.0,7.0,7.0,37.66,1
7,2.0,0.0,12.0,7.0,7.0,8.6,37.66,1
8,3.0,0.0,12.0,1.0,35.0,23.02,37.66,1
9,4.0,7.0,7.0,5.0,30.0,23.09,37.66,1
10,5.0,1.0,35.0,2.0,37.0,2.24,37.66,1
11,6.0,2.0,37.0,5.0,30.0,7.62,37.66,1
12,0.0,0.0,0.0,0.0,20.0,20.0,43.05,1
13,1.0,19.0,0.0,20.0,11.0,11.05,43.05,1
14,2.0,0.0,20.0,20.0,11.0,21.93,43.05,1
15,3.0,0.0,20.0,0.0,37.0,17.0,43.05,1
16,4.0,20.0,11.0,22.0,22.0,11.18,43.05,1
17,5.0,0.0,37.0,22.0,22.0,26.63,43.05,1
18,0.0,0.0,0.0,0.0,7.0,7.0,25.0,1
19,1.0,6.0,0.0,6.0,7.0,7.0,25.0,1
20,2.0,0.0,7.0,6.0,7.0,6.0,25.0,1
21,3.0,0.0,7.0,1.0,24.0,17.03,25.0,1
22,4.0,6.0,7.0,7.0,24.0,17.03,25.0,1
23,5.0,1.0,24.0,2.0,24.0,1.0,25.0,1
24,6.0,2.0,24.0,7.0,24.0,5.0,25.0,1
25,0.0,0.0,0.0,0.0,7.0,7.0,40.0,1
26,1.0,21.0,0.0,22.0,11.0,11.05,40.0,1
27,2.0,0.0,7.0,22.0,11.0,22.36,40.0,1
28,3.0,0.0,7.0,2.0,15.0,8.25,40.0,1
29,4.0,22.0,11.0,24.0,32.0,21.1,40.0,1
30,5.0,2.0,15.0,24.0,32.0,27.8,40.0,1
31,0.0,0.0,0.0,0.0,6.0,6.0,26.0,1
32,1.0,10.0,0.0,10.0,7.0,7.0,26.0,1
33,2.0,0.0,6.0,10.0,7.0,10.05,26.0,1
34,3.0,0.0,6.0,1.0,13.0,7.07,26.0,1
35,4.0,10.0,7.0,9.0,24.0,17.03,26.0,1
36,5.0,1.0,13.0,5.0,22.0,9.85,26.0,1
37,6.0,5.0,22.0,9.0,24.0,4.47,26.0,1
38,0.0,0.0,0.0,0.0,22.0,22.0,41.59,1
39,1.0,18.0,0.0,19.0,11.0,11.05,41.59,1
40,2.0,0.0,22.0,19.0,11.0,21.95,41.59,1
41,3.0,0.0,22.0,1.0,37.0,15.03,41.59,1
42,4.0,19.0,11.0,17.0,30.0,19.1,41.59,1
43,5.0,1.0,37.0,17.0,30.0,17.46,41.59,1
