d3mIndex,V1,V2,Class
0,1.14,-0.114,1
1,-1.52,-1.15,2
2,-1.05,0.72,1
3,-0.916,0.397,2
4,-1.09,0.437,2
5,-0.584,0.0937,2
6,1.83,0.452,1
7,-1.25,-0.286,2
8,1.7,1.21,2
9,-0.482,-0.485,2
10,1.79,-0.459,1
11,-0.122,-0.808,1
12,0.0809,1.93,2
13,-0.541,-0.332,2
14,-1.02,0.619,1
15,-0.768,-1.04,1
16,-1.69,-0.0461,2
17,1.26,1.21,2
18,0.724,0.989,1
19,0.444,1.99,1
20,-1.01,-1.36,1
21,-0.863,0.496,2
22,1.16,-0.458,2
23,-0.595,-0.651,2
24,-0.77,0.364,2
25,-0.871,-0.825,2
26,0.996,-1.7,2
27,1.28,0.691,1
28,0.925,0.895,1
29,-0.687,-1.29,1
30,1.74,0.964,2
31,1.18,-0.335,2
32,2.52,1.43,2
33,1.71,-0.044,1
34,0.271,-0.591,2
35,1.12,0.626,1
36,1.3,0.196,1
37,-1.59,-0.68,2
38,0.408,0.0673,2
39,1.13,1.48,1
40,0.763,0.921,1
41,-1.41,1.11,1
42,-0.75,-0.881,1
43,1.16,0.978,1
44,1.13,0.405,1
45,-0.522,-1.34,1
46,-1.41,0.894,1
47,0.00902,-0.434,2
48,-2.14,-1.43,2
49,-1.31,1.25,1
50,0.041,-1.13,1
51,0.0483,0.866,1
52,-2.11,0.193,1
53,0.522,1.46,1
54,0.0284,1.62,1
55,0.396,-0.606,2
56,0.536,0.921,1
57,0.315,-0.182,2
58,-0.123,-1.07,1
59,0.526,1.48,1
60,0.00665,0.0118,2
61,-0.352,-0.49,2
62,-0.0701,-1.23,1
63,-0.149,-1.2,1
64,0.785,0.0481,2
65,-1.62,0.593,1
66,-0.0314,-1.01,1
67,-0.285,-1.1,1
68,1.33,1.51,2
69,1.09,-1.37,2
70,-0.223,-1.28,1
71,-0.0341,-1.07,1
72,1.22,1.13,1
73,-1.67,-1.26,2
74,1.97,-0.772,1
