d3mIndex,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Class
0,Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,?,chiffon,ruffles,animal,2
1,Casual,Low,0.0,L,Summer,o-neck,Petal,natural,microfiber,?,ruffles,animal,1
2,vintage,High,0.0,L,Automn,o-neck,full,natural,polyster,?,?,print,1
3,Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,2
4,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,1
5,bohemian,Low,0.0,M,Summer,v-neck,sleevless,empire,?,?,?,print,1
6,Casual,Average,0.0,XL,Summer,o-neck,full,?,cotton,?,?,solid,1
7,Novelty,Average,0.0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,?,1
8,Flare,Average,0.0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,2
9,bohemian,Low,0.0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,?,?,2
10,party,Average,5.0,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,1
11,Flare,Average,0.0,free,Spring,v-neck,short,?,nylon,?,?,animal,1
12,sexy,Low,4.7,M,Winter,o-neck,threequarter,?,?,chiffon,lace,print,2
13,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,?,animal,2
14,Casual,Low,5.0,M,Summer,boat-neck,short,?,cotton,?,sashes,solid,1
15,Casual,Low,0.0,free,Winter,boat-neck,full,?,other,other,lace,?,1
16,cute,Average,4.7,L,spring,o-neck,short,?,cotton,?,sashes,solid,2
17,bohemian,Medium,5.0,free,Automn,o-neck,full,natural,?,?,hollowout,patchwork,2
18,Brief,Average,0.0,M,Winter,peterpan-collor,threequarter,natural,cotton,?,?,patchwork,1
19,Sexy,Average,5.0,M,Automn,o-neck,sleevless,empire,milksilk,?,?,?,2
20,Sexy,Average,4.5,L,Automn,o-neck,full,?,cotton,?,beading,solid,1
21,Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,?,chiffon,?,solid,1
22,Brief,Low,4.0,XL,Summer,v-neck,short,natural,cotton,?,pockets,solid,1
23,Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,?,sequined,solid,2
24,Sexy,Average,0.0,free,Automn,v-neck,sleevless,natural,polyster,?,lace,patchwork,1
25,Sexy,Average,0.0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,?,print,1
26,Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,?,?,?,solid,2
27,Casual,Low,0.0,L,Summer,o-neck,sleevless,natural,cotton,jersey,?,print,1
28,cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,1
29,cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,2
30,Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,1
31,Casual,Low,0.0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,2
32,Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,1
33,Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,?,?,bow,solid,2
34,party,High,4.7,M,Spring,o-neck,threequarter,?,?,?,?,print,1
35,Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,?,?,patchwork,2
36,vintage,Average,4.6,free,Winter,o-neck,full,natural,?,chiffon,?,print,2
37,Brief,Average,0.0,M,Automn,o-neck,short,natural,cotton,?,?,print,1
38,party,Average,4.6,M,Winter,o-neck,sleevless,natural,cotton,?,lace,solid,2
39,Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,?,button,solid,2
40,Brief,Average,5.0,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,2
41,Brief,Low,4.4,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,1
42,Casual,Average,4.8,M,Winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork,1
43,Casual,Low,4.8,free,Spring,o-neck,sleevless,natural,cotton,?,?,print,1
44,vintage,Average,4.8,M,Winter,o-neck,sleevless,natural,cotton,?,?,patchwork,2
45,Sexy,Average,0.0,M,Winter,o-neck,short,natural,?,?,lace,solid,1
46,Sexy,Average,4.8,L,Spring,v-neck,threequarter,empire,polyster,?,lace,geometric,1
47,Casual,Average,0.0,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot,2
48,Casual,Low,4.7,M,Summer,o-neck,sleevless,empire,milksilk,?,?,solid,1
49,Casual,Medium,0.0,L,Winter,boat-neck,full,empire,?,?,?,solid,2
50,Sexy,Low,5.0,free,Summer,v-neck,sleevless,empire,?,chiffon,?,animal,2
51,Casual,Low,4.3,free,Summer,o-neck,sleevless,?,milksilk,?,?,animal,1
52,Casual,Average,0.0,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,2
53,Casual,Average,4.6,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,2
54,sexy,Average,4.5,M,Spring,o-neck,threequarter,natural,polyster,?,lace,geometric,1
55,Novelty,Average,0.0,S,Winter,turndowncollor,full,natural,cotton,?,?,patchwork,1
56,Casual,Average,4.9,S,Winter,turndowncollor,full,natural,cotton,?,?,solid,2
57,sexy,Low,4.6,L,Automn,o-neck,sleevless,natural,?,?,lace,solid,2
58,bohemian,Low,4.5,M,Summer,v-neck,sleevless,natural,polyster,?,?,print,2
59,work,Average,0.0,M,Automn,slash-neck,sleevless,natural,polyster,?,bow,patchwork,1
60,cute,High,0.0,M,Spring,v-neck,full,natural,rayon,?,?,solid,2
61,Casual,Average,0.0,free,Spring,o-neck,short,natural,cotton,?,hollowout,plaid,1
62,Casual,Average,5.0,M,Summer,o-neck,short,empire,polyster,chiffon,?,animal,1
63,Casual,Average,4.7,M,spring,o-neck,sleevless,natural,?,chiffon,sashes,solid,1
64,Sexy,Low,4.0,S,Automn,o-neck,sleevless,empire,cotton,?,?,solid,2
65,Casual,Average,5.0,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,solid,1
66,Casual,Low,0.0,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,1
67,Casual,Medium,4.5,S,Winter,o-neck,full,natural,polyster,?,?,patchwork,2
68,work,Average,4.8,L,Summer,v-neck,short,natural,polyster,?,hollowout,solid,1
69,Casual,Medium,0.0,M,Automn,v-neck,short,empire,polyster,?,?,solid,1
70,bohemian,Average,5.0,free,Summer,v-neck,sleevless,natural,cotton,batik,?,print,2
71,sexy,Low,0.0,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid,2
72,Sexy,Average,4.2,M,Winter,v-neck,sleevless,natural,cotton,flannael,?,solid,1
73,Casual,Low,4.8,free,Spring,o-neck,full,natural,cotton,worsted,lace,solid,1
74,Casual,Low,4.4,S,Automn,o-neck,sleevless,natural,polyster,?,?,solid,1
75,Casual,Low,4.7,L,Spring,o-neck,short,?,chiffonfabric,chiffon,bow,dot,1
76,Casual,Average,5.0,XL,Winter,boat-neck,full,?,cotton,?,?,geometric,2
77,Casual,Low,0.0,free,Spring,v-neck,sleevless,?,cotton,?,?,print,1
78,Casual,Average,0.0,free,Spring,o-neck,sleevless,natural,?,chiffon,?,solid,1
79,bohemian,very-high,4.7,free,Winter,v-neck,sleevless,?,polyster,?,?,?,2
80,Casual,Low,5.0,M,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal,1
81,party,Average,4.7,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,1
82,Sexy,Low,5.0,free,Spring,o-neck,full,natural,cotton,worsted,?,striped,1
83,vintage,Low,4.6,M,Summer,o-neck,short,natural,?,chiffon,?,print,1
84,Casual,Average,0.0,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,1
85,Casual,low,4.9,L,Summer,boat-neck,short,?,?,chiffon,?,patchwork,2
86,Casual,Low,0.0,S,Automn,o-neck,full,natural,?,?,beading,solid,2
87,Sexy,Average,4.0,S,Automn,v-neck,sleevless,?,rayon,chiffon,?,patchwork,2
88,Sexy,Low,5.0,M,Automn,o-neck,full,natural,?,chiffon,lace,print,2
89,Brief,Average,4.6,M,Winter,peterpan-collor,threequarter,?,cotton,?,?,solid,1
90,Casual,Average,0.0,L,Spring,boat-neck,sleevless,natural,cotton,?,applique,patchwork,2
91,Casual,Average,4.8,L,Winter,o-neck,short,natural,cotton,?,pockets,solid,2
92,OL,Medium,0.0,M,Winter,mandarin-collor,halfsleeve,natural,cotton,?,sashes,solid,1
93,Sexy,Low,4.8,M,Spring,o-neck,halfsleeve,natural,silk,?,?,solid,1
94,Casual,Medium,0.0,S,Spring,v-neck,full,?,?,?,?,animal,2
95,Casual,Medium,0.0,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid,2
96,Casual,Average,0.0,M,Spring,o-neck,sleevless,natural,silk,?,?,print,1
97,Casual,Average,0.0,free,Winter,v-neck,full,natural,?,chiffon,ruffles,print,1
98,vintage,Low,4.8,S,Summer,o-neck,short,natural,?,chiffon,ruffles,print,1
99,Sexy,Low,4.8,L,Summer,v-neck,full,natural,cotton,jersey,applique,print,2
100,fashion,Average,4.0,free,Summer,open,full,?,cotton,?,sequined,solid,1
101,Casual,Average,4.7,L,Summer,v-neck,short,natural,?,?,?,print,2
102,Casual,Low,0.0,free,Winter,o-neck,halfsleeve,natural,polyster,worsted,?,patchwork,2
103,bohemian,Low,4.8,free,Summer,o-neck,short,?,?,?,?,animal,2
104,work,Medium,4.6,L,Winter,sqare-collor,short,empire,cotton,?,Tiered,solid,1
105,vintage,Average,4.7,L,Summer,o-neck,short,natural,cotton,?,button,solid,1
106,cute,Low,4.7,M,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot,2
107,Casual,Low,4.6,free,Automn,o-neck,full,natural,cotton,?,?,solid,2
108,Casual,Medium,0.0,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid,2
109,Casual,Average,4.7,L,Automn,o-neck,halfsleeve,?,?,?,lace,?,1
110,Sexy,Average,0.0,L,Automn,v-neck,sleevless,empire,?,chiffon,?,patchwork,1
111,Casual,Low,4.7,free,Winter,o-neck,sleevless,natural,cotton,jersey,?,solid,2
112,Casual,Average,0.0,M,Automn,o-neck,short,empire,polyster,?,applique,print,1
113,cute,Average,4.8,L,Automn,slash-neck,sleevless,natural,?,chiffon,hollowout,solid,1
114,party,Average,5.0,M,Spring,o-neck,halfsleeve,natural,?,?,?,?,2
115,cute,Average,4.3,L,Winter,o-neck,sleevless,natural,?,chiffon,?,solid,1
116,Casual,Average,4.5,L,Spring,o-neck,short,natural,cotton,chiffon,?,patchwork,1
117,Casual,Low,4.7,L,Automn,o-neck,full,?,cotton,chiffon,lace,print,1
118,Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,solid,1
119,sexy,Average,3.6,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid,2
120,work,Average,4.8,L,Winter,v-neck,short,natural,mix,broadcloth,lace,solid,1
121,vintage,Average,0.0,free,Summer,o-neck,sleevless,?,?,?,?,?,1
122,Sexy,Low,4.6,free,Spring,o-neck,full,natural,?,?,lace,leopard,2
123,Sexy,Low,0.0,free,Winter,v-neck,sleevless,empire,cotton,chiffon,?,solid,2
124,work,Average,4.6,L,Spring,o-neck,short,empire,cotton,jersey,?,patchwork,1
125,Casual,Average,4.4,M,Summer,o-neck,short,empire,?,?,lace,patchwork,1
126,cute,Low,4.9,M,Automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,1
127,Sexy,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,1
128,party,Average,4.4,free,Automn,v-neck,threequarter,natural,?,?,?,solid,1
129,Casual,Average,0.0,free,Spring,o-neck,short,?,cotton,?,lace,?,2
130,Casual,Low,0.0,M,Summer,v-neck,full,natural,acrylic,?,lace,solid,1
131,Sexy,Average,4.6,M,Winter,o-neck,full,natural,polyster,?,?,patchwork,2
132,work,Average,4.6,M,Spring,v-neck,full,?,?,chiffon,?,?,1
133,cute,Average,4.7,L,Winter,o-neck,sleevless,natural,chiffonfabric,?,lace,solid,1
134,bohemian,Average,4.7,L,Automn,o-neck,sleevless,natural,?,chiffon,?,solid,1
135,cute,High,0.0,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork,1
136,Casual,Average,0.0,XL,Winter,o-neck,short,empire,polyster,?,button,solid,1
137,Novelty,Average,4.9,L,Automn,o-neck,short,natural,polyster,chiffon,?,print,2
138,Casual,Low,4.7,M,Automn,o-neck,full,?,cotton,?,?,solid,1
139,cute,Average,4.3,free,Summer,boat-neck,sleevless,?,?,?,?,?,2
140,Sexy,Low,0.0,free,Automn,slash-neck,short,empire,?,?,hollowout,solid,1
141,cute,Low,4.7,XL,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print,1
142,Sexy,low,4.5,L,Spring,o-neck,sleevless,?,?,?,lace,solid,1
143,Casual,Average,4.7,M,Automn,o-neck,sleevless,?,cotton,?,?,animal,2
144,Casual,Average,0.0,L,Spring,boat-neck,sleevless,natural,cotton,?,lace,solid,2
145,cute,low,4.7,free,Summer,o-neck,sleevless,?,?,chiffon,?,print,2
146,Casual,low,4.4,free,Summer,turndowncollor,sleevless,natural,cotton,?,?,solid,1
147,Casual,Average,4.8,L,winter,v-neck,short,empire,polyster,?,ruffles,solid,1
148,vintage,Average,4.3,free,winter,o-neck,short,?,chiffonfabric,chiffon,?,print,1
149,cute,low,4.5,L,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,2
150,Casual,Average,4.4,M,Summer,turndowncollor,sleevless,natural,chiffonfabric,chiffon,?,solid,1
151,vintage,Medium,0.0,S,Winter,turndowncollor,halfsleeve,natural,cotton,broadcloth,?,plaid,1
152,Sexy,low,4.7,free,Summer,turndowncollor,sleevless,natural,cotton,?,?,solid,2
153,vintage,High,0.0,L,Summer,o-neck,short,natural,cotton,?,?,print,1
154,Casual,low,0.0,free,Spring,v-neck,threequarter,?,silk,?,lace,?,2
155,Sexy,Average,0.0,S,Automn,slash-neck,short,natural,?,?,lace,solid,1
156,Casual,Low,0.0,free,Spring,o-neck,short,natural,?,?,hollowout,solid,1
157,cute,Medium,5.0,free,Winter,o-neck,sleevless,natural,silk,?,lace,solid,2
158,Casual,Low,4.7,free,Summer,o-neck,sleevless,?,?,?,?,print,1
159,Sexy,Low,4.8,free,Spring,v-neck,sleevless,?,?,?,sequined,solid,2
160,Casual,Average,4.5,L,Winter,o-neck,short,natural,cotton,?,bow,patchwork,1
161,vintage,Average,0.0,S,Spring,o-neck,full,natural,mix,chiffon,embroidary,print,1
162,Casual,Average,3.7,free,Automn,boat-neck,full,?,?,?,?,solid,2
163,vintage,Average,4.8,L,Winter,o-neck,sleevless,natural,cotton,?,?,patchwork,1
164,cute,Average,0.0,XL,Spring,boat-neck,full,?,cotton,worsted,applique,dot,2
165,Casual,Average,0.0,L,Winter,open,short,natural,mix,poplin,applique,solid,2
166,sexy,Medium,5.0,M,Winter,o-neck,sleevless,empire,polyster,?,bow,solid,1
167,Brief,Average,4.9,free,Summer,slash-neck,sleevless,natural,?,?,?,solid,1
168,Casual,High,4.9,S,Spring,o-neck,threequarter,natural,?,?,?,dot,2
169,Brief,Average,4.6,free,Winter,o-neck,full,natural,mix,?,sashes,solid,1
170,Casual,Low,4.5,free,Winter,o-neck,full,natural,mix,worsted,applique,solid,1
171,Casual,Low,4.8,XL,Summer,o-neck,short,empire,mix,chiffon,sashes,geometric,1
172,Sexy,Medium,4.6,L,Summer,o-neck,short,natural,spandex,jersey,lace,solid,1
173,Casual,Average,4.5,M,Winter,v-neck,sleevless,natural,?,chiffon,button,striped,1
174,work,Average,0.0,S,Automn,o-neck,sleevless,natural,linen,?,?,patchwork,1
175,Casual,Low,0.0,L,Winter,o-neck,sleevless,empire,polyster,?,?,leopard,1
176,cute,low,5.0,L,Winter,o-neck,threequarter,natural,silk,chiffon,sashes,print,1
177,Brief,Average,4.3,M,Spring,o-neck,full,natural,mix,worsted,sequined,patchwork,2
178,Sexy,low,4.4,free,Automn,o-neck,full,empire,cotton,?,?,leopard,1
179,cute,low,0.0,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print,1
180,Casual,Average,4.5,free,Summer,o-neck,short,natural,cotton,?,?,solid,2
181,Sexy,low,4.7,M,Winter,slash-neck,sleevless,?,nylon,?,sashes,solid,2
