d3mIndex,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,Class
0,0.025391,0.012695,0.003906,0.004883,0.039062,0.0,0.017578,0.035156,0.023438,0.013672,0.000977,0.036133,0.0,0.0,0.0,0.0,0.024414,0.0,0.02832,0.021484,0.0,0.003906,0.007812,0.001953,0.0,0.001953,0.044922,0.0,0.027344,0.0,0.03125,0.0,0.0,0.069336,0.0,0.0,0.000977,0.027344,0.023438,0.012695,0.006836,0.0,0.011719,0.16211,0.005859,0.022461,0.025391,0.013672,0.0,0.041016,0.0,0.0,0.0,0.012695,0.10352,0.0,0.001953,0.000977,0.022461,0.0,0.0,0.001953,0.0,0.027344,1
1,0.004883,0.018555,0.00293,0.0,0.069336,0.0,0.013672,0.043945,0.026367,0.0,0.0,0.39551,0.0,0.0,0.0,0.0,0.032227,0.0,0.010742,0.027344,0.0,0.0,0.032227,0.000977,0.0,0.0,0.000977,0.0,0.02832,0.000977,0.027344,0.0,0.0,0.018555,0.003906,0.0,0.0,0.020508,0.0,0.000977,0.0,0.0,0.000977,0.003906,0.03125,0.014648,0.012695,0.037109,0.0,0.011719,0.0,0.0,0.0,0.011719,0.070312,0.0,0.017578,0.0,0.004883,0.0,0.0,0.0,0.0,0.00293,1
2,0.018555,0.013672,0.00293,0.00293,0.051758,0.0,0.019531,0.035156,0.022461,0.000977,0.0,0.20898,0.0,0.0,0.0,0.0,0.042969,0.0,0.017578,0.021484,0.0,0.0,0.035156,0.003906,0.0,0.0,0.014648,0.0,0.023438,0.0,0.025391,0.0,0.0,0.0625,0.00293,0.0,0.0,0.027344,0.004883,0.007812,0.0,0.0,0.012695,0.020508,0.033203,0.016602,0.025391,0.021484,0.0,0.007812,0.0,0.0,0.0,0.022461,0.15625,0.0,0.008789,0.0,0.001953,0.0,0.0,0.0,0.0,0.005859,1
3,0.035156,0.023438,0.000977,0.0,0.061523,0.0,0.021484,0.061523,0.010742,0.001953,0.0,0.22266,0.0,0.0,0.0,0.0,0.022461,0.0,0.008789,0.018555,0.0,0.0,0.036133,0.0,0.0,0.0,0.000977,0.0,0.035156,0.0,0.040039,0.0,0.0,0.078125,0.00293,0.0,0.0,0.039062,0.001953,0.004883,0.0,0.0,0.000977,0.004883,0.019531,0.025391,0.021484,0.019531,0.0,0.012695,0.0,0.0,0.0,0.009766,0.10547,0.0,0.026367,0.0,0.00293,0.0,0.0,0.0,0.0,0.022461,1
4,0.038086,0.014648,0.003906,0.000977,0.046875,0.0,0.022461,0.053711,0.019531,0.004883,0.000977,0.076172,0.0,0.0,0.0,0.0,0.019531,0.0,0.006836,0.035156,0.0,0.007812,0.033203,0.0,0.0,0.0,0.015625,0.0,0.032227,0.0,0.049805,0.0,0.0,0.073242,0.0,0.0,0.0,0.019531,0.016602,0.006836,0.0,0.0,0.012695,0.058594,0.018555,0.029297,0.020508,0.013672,0.0,0.035156,0.0,0.0,0.0,0.020508,0.15039,0.0,0.00293,0.0,0.023438,0.0,0.0,0.0,0.0,0.015625,1
5,0.045898,0.017578,0.0,0.003906,0.044922,0.0,0.017578,0.036133,0.006836,0.00293,0.0,0.058594,0.0,0.000977,0.0,0.0,0.021484,0.0,0.011719,0.024414,0.0,0.0,0.036133,0.003906,0.00293,0.0,0.042969,0.0,0.018555,0.0,0.064453,0.0,0.0,0.10059,0.000977,0.0,0.0,0.025391,0.011719,0.008789,0.00293,0.0,0.023438,0.082031,0.021484,0.03125,0.032227,0.016602,0.0,0.004883,0.0,0.0,0.0,0.018555,0.11035,0.0,0.006836,0.0,0.008789,0.0,0.0,0.000977,0.0,0.030273,1
6,0.011719,0.012695,0.001953,0.000977,0.064453,0.0,0.014648,0.052734,0.016602,0.001953,0.0,0.2168,0.0,0.005859,0.0,0.0,0.008789,0.0,0.005859,0.024414,0.0,0.011719,0.023438,0.0,0.000977,0.0,0.00293,0.000977,0.045898,0.0,0.040039,0.0,0.0,0.030273,0.001953,0.0,0.0,0.023438,0.006836,0.022461,0.0,0.0,0.009766,0.006836,0.009766,0.024414,0.029297,0.037109,0.000977,0.064453,0.0,0.0,0.0,0.019531,0.094727,0.0,0.015625,0.0,0.016602,0.0,0.0,0.0,0.0,0.020508,1
7,0.03418,0.018555,0.004883,0.0,0.055664,0.0,0.022461,0.032227,0.001953,0.005859,0.0,0.076172,0.0,0.0,0.0,0.0,0.021484,0.0,0.018555,0.009766,0.0,0.0,0.063477,0.0,0.0,0.000977,0.009766,0.003906,0.003906,0.000977,0.009766,0.0,0.0,0.15918,0.0,0.0,0.0,0.048828,0.004883,0.023438,0.00293,0.0,0.003906,0.038086,0.038086,0.048828,0.014648,0.005859,0.0,0.0,0.0,0.0,0.0,0.018555,0.17578,0.0,0.008789,0.0,0.000977,0.0,0.0,0.0,0.0,0.012695,1
8,0.044922,0.012695,0.0,0.000977,0.070312,0.0,0.008789,0.038086,0.00293,0.0,0.0,0.070312,0.0,0.0,0.0,0.0,0.033203,0.0,0.001953,0.014648,0.0,0.0,0.026367,0.0,0.000977,0.0,0.0,0.0,0.00293,0.0,0.00293,0.0,0.0,0.14453,0.0,0.0,0.0,0.071289,0.004883,0.013672,0.0,0.0,0.006836,0.041016,0.053711,0.054688,0.008789,0.015625,0.0,0.003906,0.0,0.0,0.0,0.0,0.16504,0.0,0.057617,0.0,0.001953,0.0,0.0,0.0,0.0,0.024414,1
9,0.095703,0.001953,0.00293,0.014648,0.023438,0.0,0.03418,0.015625,0.018555,0.050781,0.000977,0.045898,0.0,0.007812,0.0,0.0,0.001953,0.0,0.025391,0.010742,0.0,0.015625,0.006836,0.0,0.007812,0.003906,0.051758,0.0,0.048828,0.000977,0.037109,0.0,0.001953,0.038086,0.001953,0.0,0.0,0.019531,0.076172,0.025391,0.010742,0.0,0.018555,0.040039,0.003906,0.001953,0.040039,0.00293,0.000977,0.03418,0.0,0.0,0.00293,0.02832,0.061523,0.0,0.003906,0.0,0.027344,0.0,0.0,0.00293,0.0,0.033203,1
