d3mIndex,type,repeat,fold
0,TRAIN,0,0
1,TEST,0,0
2,TRAIN,0,0
3,TRAIN,0,0
4,TRAIN,0,0
5,TRAIN,0,0
6,TRAIN,0,0
7,TRAIN,0,0
8,TEST,0,0
9,TRAIN,0,0
10,TRAIN,0,0
11,TRAIN,0,0
12,TRAIN,0,0
13,TEST,0,0
14,TEST,0,0
15,TRAIN,0,0
16,TRAIN,0,0
17,TRAIN,0,0
18,TRAIN,0,0
19,TRAIN,0,0
20,TEST,0,0
21,TEST,0,0
22,TRAIN,0,0
23,TRAIN,0,0
24,TRAIN,0,0
25,TRAIN,0,0
26,TEST,0,0
27,TRAIN,0,0
28,TRAIN,0,0
29,TRAIN,0,0
30,TRAIN,0,0
31,TRAIN,0,0
32,TRAIN,0,0
33,TRAIN,0,0
34,TEST,0,0
35,TRAIN,0,0
36,TRAIN,0,0
37,TEST,0,0
38,TRAIN,0,0
39,TRAIN,0,0
40,TEST,0,0
41,TRAIN,0,0
42,TRAIN,0,0
43,TRAIN,0,0
44,TRAIN,0,0
45,TRAIN,0,0
46,TRAIN,0,0
47,TRAIN,0,0
48,TRAIN,0,0
49,TRAIN,0,0
50,TRAIN,0,0
51,TRAIN,0,0
52,TRAIN,0,0
53,TEST,0,0
54,TRAIN,0,0
55,TRAIN,0,0
56,TRAIN,0,0
57,TRAIN,0,0
58,TRAIN,0,0
59,TRAIN,0,0
60,TRAIN,0,0
61,TRAIN,0,0
62,TRAIN,0,0
63,TRAIN,0,0
64,TEST,0,0
65,TRAIN,0,0
66,TRAIN,0,0
67,TRAIN,0,0
68,TRAIN,0,0
69,TRAIN,0,0
70,TRAIN,0,0
71,TRAIN,0,0
72,TRAIN,0,0
73,TRAIN,0,0
74,TRAIN,0,0
75,TRAIN,0,0
76,TRAIN,0,0
77,TRAIN,0,0
78,TRAIN,0,0
79,TRAIN,0,0
80,TRAIN,0,0
81,TRAIN,0,0
82,TRAIN,0,0
83,TRAIN,0,0
84,TRAIN,0,0
85,TRAIN,0,0
86,TRAIN,0,0
87,TEST,0,0
88,TRAIN,0,0
89,TRAIN,0,0
90,TRAIN,0,0
91,TEST,0,0
92,TRAIN,0,0
93,TRAIN,0,0
94,TRAIN,0,0
95,TEST,0,0
96,TRAIN,0,0
97,TRAIN,0,0
98,TEST,0,0
99,TRAIN,0,0
100,TRAIN,0,0
