d3mIndex,V1,V2,V3,Class
0,0.865936,0.143763,21,1
1,0.129804,0.08893,21,1
2,0.061801,0.552047,21,1
3,0.099116,0.848172,21,1
4,0.205704,0.624722,21,1
5,0.164029,0.038168,21,1
6,0.619834,0.079611,21,1
7,0.011324,0.718472,21,1
8,0.344461,0.271178,21,1
9,0.679169,0.191223,21,1
10,0.191592,0.381792,21,1
11,0.940152,0.981297,21,1
12,0.543696,0.210495,21,1
13,0.074785,0.407648,21,1
14,0.667057,0.441408,21,1
15,0.860208,0.671408,21,1
16,0.177475,0.93111,21,1
17,0.107628,0.309156,21,1
18,0.695464,0.992786,21,1
19,0.622046,0.063885,21,1
20,0.658742,0.874708,21,1
21,0.029141,0.711535,21,1
22,0.721738,0.631548,21,1
23,0.516696,0.147568,21,1
24,0.164996,0.369274,21,1
25,0.171748,0.085911,21,1
26,0.261766,0.407849,21,1
27,0.259692,0.051687,21,1
28,0.604756,0.250681,21,1
29,0.487839,0.959527,21,1
30,0.982901,0.375734,21,1
31,0.023492,0.460829,21,1
32,0.51621,0.770477,21,1
33,0.795362,0.4162,21,1
34,0.406115,0.821262,21,1
35,0.397217,0.303417,21,1
36,0.839467,0.637518,21,1
37,0.733925,0.106592,21,1
38,0.296192,0.142064,21,1
39,0.402594,0.248824,21,1
40,0.753804,0.291111,21,1
41,0.685313,0.428476,21,1
42,0.056389,0.600984,21,1
43,0.945022,0.798318,21,1
44,0.021327,0.753316,21,1
45,0.162331,0.787131,21,1
46,0.693945,0.426459,21,1
47,0.328666,0.004957,21,1
48,0.528445,0.658067,21,1
49,0.419871,0.096041,21,1
50,0.172873,0.982296,21,1
51,0.714479,0.107621,21,1
52,0.966566,0.304773,21,1
53,0.292117,0.928043,21,1
54,0.22041,0.979503,21,1
55,0.650067,0.614319,21,1
56,0.84342,0.834044,21,1
57,0.509794,0.977075,21,1
58,0.903564,0.952833,21,1
59,0.05029,0.619925,21,1
60,0.266416,0.873207,21,1
61,0.001359,0.740702,21,1
62,0.542135,0.474685,21,1
63,0.257529,0.39352,21,1
64,0.189437,0.249269,21,1
65,0.932052,0.583553,21,1
66,0.774634,0.829036,21,1
67,0.060493,0.520469,21,1
68,0.064483,0.616976,21,1
69,0.484703,0.591836,21,1
70,0.843503,0.118048,21,1
71,0.800502,0.134413,21,1
72,0.089569,0.099628,21,1
73,0.636206,0.879087,21,1
74,0.416039,0.024005,21,1
75,0.944133,0.024318,21,1
76,0.494277,0.290311,21,1
77,0.433568,0.253312,21,1
78,0.507427,0.699247,21,1
79,0.751144,0.651739,21,1
80,0.554373,0.211192,21,1
81,0.523438,0.405663,21,1
82,0.322299,0.506752,21,1
83,0.916583,0.363459,21,1
84,0.2769,0.078548,21,1
85,0.939013,0.030831,21,1
86,0.081204,0.58401,21,1
87,0.315976,0.334664,21,1
88,0.947145,0.971162,21,1
89,0.398248,0.539284,21,1
90,0.148425,0.452873,21,1
91,0.232525,0.027793,21,1
92,0.978888,0.749773,21,1
93,0.617252,0.271526,21,1
94,0.027517,0.148005,21,1
95,0.695188,0.202238,21,1
96,0.759347,0.825208,21,1
97,0.392796,0.374524,21,1
98,0.041001,0.586616,21,1
99,0.806586,0.76004,21,1
100,0.430211,0.622869,21,1
101,0.457829,0.750464,21,1
102,0.7606,0.152116,21,1
103,0.189605,0.962741,21,1
104,0.796183,0.841225,21,1
105,0.363909,0.737987,21,1
106,0.504431,0.71436,21,1
107,0.93163,0.804548,21,1
108,0.802428,0.851968,21,1
109,0.894454,0.436064,21,1
110,0.46756,0.559127,21,1
111,0.655304,0.576958,21,1
112,0.272333,0.839488,21,1
113,0.762734,0.83067,21,1
114,0.30233,0.9495,21,1
115,0.594708,0.910014,21,1
116,0.846998,0.527317,21,1
117,0.598484,0.134408,21,1
118,0.214851,0.291801,21,1
119,0.805895,0.825337,21,1
120,0.317842,0.589217,21,1
121,0.477064,0.999236,21,1
122,0.894085,0.128733,21,1
123,0.890658,0.586098,21,1
124,0.793752,0.092539,21,1
125,0.495071,0.512468,21,1
126,0.839906,0.432383,21,1
127,0.862451,0.379073,21,1
128,0.394167,0.571544,21,1
129,0.146298,0.136187,21,1
130,0.90656,0.919759,21,1
131,0.033371,0.113958,21,1
132,0.409511,0.578309,21,1
133,0.50196,0.000238,21,1
134,0.127923,0.363493,21,1
135,0.051098,0.875084,21,1
136,0.120378,0.808896,21,1
137,0.44908,0.208952,21,1
138,0.140964,0.120384,21,1
139,0.464708,0.810685,21,1
140,0.716872,0.152434,21,1
141,0.49095,0.071765,21,1
142,0.773816,0.350434,21,1
143,0.44826,0.494902,21,1
144,0.009518,0.260768,21,1
145,0.863575,0.417873,21,1
146,0.614875,0.649024,21,1
147,0.561069,0.047639,21,1
148,0.87314,0.486336,21,1
149,0.971998,0.405097,21,1
150,0.629311,0.064904,21,1
151,0.67356,0.547466,21,1
152,0.615118,0.285921,21,1
153,0.400416,0.483102,21,1
154,0.139418,0.726627,21,1
155,0.437627,0.522699,21,1
156,0.709427,0.437947,21,1
157,0.999996,0.42113,21,1
158,0.735201,0.550116,21,1
159,0.93038,0.555824,21,1
160,0.587868,0.670968,21,1
161,0.808296,0.560404,21,1
162,0.931599,0.749989,21,1
163,0.350213,0.286419,21,1
164,0.429895,0.551004,21,1
165,0.804191,0.70136,21,1
166,0.638765,0.127321,21,1
167,0.894073,0.347736,21,1
168,0.142443,0.725385,21,1
169,0.752224,0.285862,21,1
170,0.761798,0.356485,21,1
171,0.194858,0.022085,21,1
172,0.971166,0.870757,21,1
173,0.640269,0.784551,21,1
174,0.496335,0.743738,21,1
175,0.947834,0.650193,21,1
176,0.434489,0.94291,21,1
177,0.464434,0.449496,21,1
178,0.136416,0.1802,21,1
179,0.604991,0.079681,21,1
180,0.521882,0.576075,21,1
181,0.365091,0.842295,21,1
182,0.461021,0.261892,21,1
183,0.266228,0.687828,21,1
184,0.34776,0.729361,21,1
185,0.367951,0.797781,21,1
186,0.015681,0.799474,21,1
187,0.146293,0.763762,21,1
188,0.702421,0.927967,21,1
189,0.234088,0.733493,21,1
190,0.855593,0.19036,21,1
191,0.246369,0.285249,21,1
192,0.191416,0.696854,21,1
193,0.172811,0.465073,21,1
194,0.566605,0.375844,21,1
195,0.109212,0.375232,21,1
196,0.904776,0.034503,21,1
197,0.421308,0.93773,21,1
198,0.630522,0.355916,21,1
199,0.786764,0.973268,21,1
200,0.807477,0.024434,21,1
201,0.944942,0.533945,21,1
202,0.451101,0.4844,21,1
203,0.399124,0.507032,21,1
204,0.292582,0.932142,21,1
205,0.762128,0.867563,21,1
206,0.607171,0.017091,21,1
207,0.913805,0.599038,21,1
208,0.588428,0.385099,21,1
209,0.647694,0.224426,21,1
210,0.149259,0.63554,21,1
211,0.024162,0.093727,21,1
212,0.961303,0.483473,21,1
213,0.218612,0.059715,21,1
214,0.006149,0.919133,21,1
215,0.255922,0.940095,21,1
216,0.904986,0.939246,21,1
217,0.656037,0.212144,21,1
218,0.817769,0.988141,21,1
219,0.680694,0.715002,21,1
220,0.758578,0.59135,21,1
221,0.567531,0.745171,21,1
222,0.760815,0.790375,21,1
223,0.865391,0.822317,21,1
224,0.444021,0.894513,21,1
225,0.7434,0.575381,21,1
226,0.183514,0.754125,21,1
227,0.936455,0.653073,21,1
228,0.264715,0.229445,21,1
229,0.811036,0.298188,21,1
230,0.115945,0.780012,21,1
231,0.011547,0.33728,21,1
232,0.579153,0.990478,21,1
233,0.916387,0.399082,21,1
234,0.470895,0.839461,21,1
235,0.372779,0.906446,21,1
236,0.155883,0.742853,21,1
237,0.392263,0.243186,21,1
238,0.639976,0.066638,21,1
239,0.751842,0.032041,21,1
240,0.170684,0.286089,21,1
241,0.587699,0.56816,21,1
242,0.149011,0.238288,21,1
243,0.03546,0.302697,21,1
244,0.627287,0.042941,21,1
245,0.904333,0.624876,21,1
246,0.169889,0.092659,21,1
247,0.459391,0.816784,21,1
248,0.08125,0.905454,21,1
249,0.004388,0.462442,21,1
250,0.2644,0.305051,21,1
251,0.106959,0.781147,21,1
252,0.263267,0.348733,21,1
253,0.988678,0.324814,21,1
254,0.363291,0.657769,21,1
255,0.814388,0.230016,21,1
256,0.97744,0.322103,21,1
257,0.358373,0.747668,21,1
258,0.928479,0.348796,21,1
259,0.799348,0.086748,21,1
260,0.65342,0.702846,21,1
261,0.201922,0.70319,21,1
262,0.802342,0.349363,21,1
263,0.579101,0.041071,21,1
264,0.181319,0.347639,21,1
265,0.298536,0.39042,21,1
266,0.497988,0.970563,21,1
267,0.994679,0.96446,21,1
268,0.908313,0.026878,21,1
269,0.079644,0.518835,21,1
270,0.934411,0.049165,21,1
271,0.407475,0.836327,21,1
272,0.925825,0.777027,21,1
273,0.639732,0.182809,21,1
274,0.870433,0.412787,21,1
275,0.384667,0.403665,21,1
276,0.02621,0.456151,21,1
277,0.237959,0.674606,21,1
278,0.541353,0.534582,21,1
279,0.439887,0.046815,21,1
280,0.957832,0.537797,21,1
281,0.981966,0.833574,21,1
282,0.252186,0.537596,21,1
283,0.645519,0.573991,21,1
284,0.857458,0.428368,21,1
285,0.635278,0.779185,21,1
286,0.931429,0.958953,21,1
287,0.183061,0.917252,21,1
288,0.988859,0.843153,21,1
289,0.739715,0.125581,21,1
290,0.899231,0.93402,21,1
291,0.147931,0.952538,21,1
292,0.166531,0.026172,21,1
293,0.494205,0.025285,21,1
294,0.35389,0.710715,21,1
295,0.175139,0.916467,21,1
296,0.493445,0.848981,21,1
297,0.081416,0.639731,21,1
298,0.33058,0.654106,21,1
299,0.702232,0.142513,21,1
300,0.291726,0.07361,21,1
301,0.383605,0.884263,21,1
302,0.136211,0.151468,21,1
303,0.935903,0.089243,21,1
304,0.355172,0.314771,21,1
305,0.279101,0.545274,21,1
306,0.514335,0.077938,21,1
307,0.83869,0.883268,21,1
308,0.902519,0.48651,21,1
309,0.960817,0.117128,21,1
310,0.043991,0.732949,21,1
311,0.702159,0.849553,21,1
312,0.860351,0.768443,21,1
313,0.968199,0.956527,21,1
314,0.526413,0.407565,21,1
315,0.122974,0.751751,21,1
316,0.354576,0.376753,21,1
317,0.874032,0.601976,21,1
318,0.363494,0.992914,21,1
319,0.448276,0.715216,21,1
320,0.539358,0.675076,21,1
321,0.817485,0.356005,21,1
322,0.18192,0.289834,21,1
323,0.006764,0.055353,21,1
324,0.142421,0.410464,21,1
325,0.324824,0.477808,21,1
326,0.206866,0.929923,21,1
327,0.691882,0.483952,21,1
328,0.355631,0.10955,21,1
329,0.109187,0.583946,21,1
330,0.139188,0.068128,21,1
331,0.713532,0.416174,21,1
332,0.949757,0.920099,21,1
333,0.790831,0.104775,21,1
334,0.539987,0.257033,21,1
335,0.584709,0.350841,21,1
336,0.742322,0.433085,21,1
337,0.729254,0.894258,21,1
338,0.976468,0.163014,21,1
339,0.659464,0.546681,21,1
340,0.797449,0.270446,21,1
341,0.408605,0.340814,21,1
342,0.432999,0.034397,21,1
343,0.788606,0.467193,21,1
344,0.986604,0.473697,21,1
345,0.067777,0.576858,21,1
346,0.741271,0.081795,21,1
347,0.909549,0.716784,21,1
348,0.789156,0.978524,21,1
349,0.516607,0.634697,21,1
350,0.033473,0.180767,21,1
351,0.636701,0.440827,21,1
352,0.461636,0.71055,21,1
353,0.329565,0.646425,21,1
354,0.472377,0.556965,21,1
355,0.168819,0.412313,21,1
356,0.954629,0.087397,21,1
357,0.858364,0.435487,21,1
358,0.762248,0.36391,21,1
359,0.079718,0.277742,21,1
360,0.206182,0.962223,21,1
361,0.754879,0.097558,21,1
362,0.194489,0.313577,21,1
363,0.808749,0.684903,21,1
364,0.690653,0.293885,21,1
365,0.945782,0.418398,21,1
366,0.231912,0.76992,21,1
367,0.917456,0.265215,21,1
368,0.351889,0.078875,21,1
369,0.250321,0.22634,21,1
370,0.885556,0.965513,21,1
371,0.428807,0.69328,21,1
372,0.299656,0.330194,21,1
373,0.08261,0.027061,21,1
374,0.38795,0.251447,21,1
375,0.815419,0.296288,21,1
376,0.898218,0.138324,21,1
377,0.929882,0.518306,21,1
378,0.916735,0.540659,21,1
379,0.453167,0.935963,21,1
380,0.125969,0.099438,21,1
381,0.548069,0.832199,21,1
382,0.372541,0.354825,21,1
383,0.606605,0.135669,21,1
384,0.335036,0.646026,21,1
385,0.066146,0.602823,21,1
386,0.46503,0.134992,21,1
387,0.262576,0.675364,21,1
388,0.789743,0.065074,21,1
389,0.440629,0.206704,21,1
390,0.611018,0.726105,21,1
391,0.378451,0.127038,21,1
392,0.612859,0.238965,21,1
393,0.951641,0.773868,21,1
394,0.398568,0.195565,21,1
395,0.361374,0.053297,21,1
396,0.018522,0.394249,21,1
397,0.681946,0.817123,21,1
398,0.620976,0.396005,21,1
399,0.844935,0.841758,21,1
400,0.960755,0.393447,21,1
401,0.170363,0.577219,21,1
402,0.134542,0.932407,21,1
403,0.079675,0.397894,21,1
404,0.576473,0.35504,21,1
405,0.68096,0.431551,21,1
406,0.044045,0.443751,21,1
407,0.503828,0.168998,21,1
408,0.051899,0.636799,21,1
409,0.779443,0.96405,21,1
410,0.969812,0.359321,21,1
411,0.310702,0.221925,21,1
412,0.791274,0.467613,21,1
413,0.158138,0.543929,21,1
414,0.400313,0.53984,21,1
415,0.079113,0.347251,21,1
416,0.016792,0.762976,21,1
417,0.900973,0.510932,21,1
418,0.384153,0.463596,21,1
419,0.783277,0.412529,21,1
420,0.178651,0.909279,21,1
421,0.62988,0.314748,21,1
422,0.065407,0.867694,21,1
423,0.748554,0.437271,21,1
424,0.804128,0.552075,21,1
425,0.223993,0.206241,21,1
426,0.816166,0.004618,21,1
427,0.369472,0.112344,21,1
428,0.664585,0.673462,21,1
429,0.053086,0.328159,21,1
430,0.970231,0.924232,21,1
431,0.656417,0.736405,21,1
432,0.38932,0.493753,21,1
433,0.916627,0.30297,21,1
434,0.411844,0.441395,21,1
435,0.927408,0.792052,21,1
436,0.905156,0.982573,21,1
437,0.129869,0.665491,21,1
438,0.523361,0.699342,21,1
439,0.211357,0.63434,21,1
440,0.330685,0.014556,21,1
