d3mIndex,V1,V2,V3,V4,V5,Class
0,0.0,0.0,0.0,0.0,0.0,4
1,0.08,0.08,0.1,0.24,0.9,1
2,0.06,0.06,0.05,0.25,0.33,2
3,0.1,0.1,0.15,0.65,0.3,3
4,0.08,0.08,0.08,0.98,0.24,2
5,0.09,0.15,0.4,0.1,0.66,3
6,0.1,0.1,0.43,0.29,0.56,3
7,0.15,0.02,0.34,0.4,0.01,4
8,0.2,0.14,0.35,0.72,0.25,2
9,0.0,0.0,0.5,0.2,0.85,1
10,0.18,0.18,0.55,0.3,0.81,1
11,0.06,0.06,0.51,0.41,0.3,2
12,0.1,0.1,0.52,0.78,0.34,3
13,0.1,0.1,0.7,0.15,0.9,1
14,0.2,0.2,0.7,0.3,0.6,3
15,0.12,0.12,0.75,0.35,0.8,1
16,0.05,0.07,0.7,0.01,0.05,4
17,0.1,0.25,0.1,0.08,0.33,2
18,0.15,0.32,0.05,0.27,0.29,2
19,0.2,0.29,0.25,0.49,0.56,3
20,0.12,0.28,0.2,0.78,0.2,2
21,0.18,0.3,0.37,0.12,0.66,3
22,0.1,0.27,0.31,0.29,0.65,3
23,0.18,0.31,0.32,0.42,0.28,2
24,0.06,0.29,0.35,0.76,0.25,2
25,0.09,0.3,0.68,0.18,0.85,1
26,0.04,0.28,0.55,0.25,0.1,4
27,0.09,0.255,0.6,0.45,0.25,2
28,0.08,0.325,0.62,0.94,0.56,1
29,0.15,0.275,0.8,0.21,0.81,1
30,0.12,0.245,0.75,0.31,0.59,3
31,0.15,0.295,0.75,0.65,0.24,2
32,0.1,0.256,0.7,0.76,0.16,2
33,0.18,0.32,0.04,0.19,0.82,1
34,0.2,0.45,0.28,0.31,0.78,1
35,0.06,0.35,0.12,0.43,0.29,2
36,0.1,0.42,0.22,0.72,0.26,2
37,0.18,0.4,0.32,0.08,0.33,2
38,0.09,0.33,0.31,0.26,0.0,4
39,0.19,0.38,0.38,0.49,0.45,3
40,0.02,0.33,0.36,0.76,0.1,2
41,0.2,0.49,0.6,0.2,0.78,1
42,0.14,0.49,0.55,0.29,0.6,3
43,0.18,0.33,0.61,0.64,0.25,3
44,0.115,0.35,0.65,0.27,0.04,4
45,0.17,0.36,0.8,0.14,0.66,3
46,0.1,0.39,0.75,0.31,0.62,3
47,0.13,0.39,0.85,0.38,0.77,1
48,0.18,0.34,0.71,0.71,0.9,1
49,0.09,0.51,0.02,0.18,0.67,3
50,0.06,0.5,0.09,0.28,0.25,2
51,0.23,0.7,0.19,0.51,0.45,3
52,0.09,0.55,0.12,0.78,0.05,2
53,0.24,0.75,0.32,0.18,0.86,1
54,0.18,0.72,0.37,0.29,0.55,3
55,0.1,0.6,0.33,0.42,0.26,2
56,0.2,0.52,0.36,0.84,0.25,3
57,0.09,0.6,0.66,0.19,0.59,3
58,0.18,0.51,0.58,0.33,0.82,1
59,0.08,0.58,0.6,0.64,0.1,2
60,0.09,0.61,0.53,0.75,0.01,2
61,0.06,0.77,0.72,0.19,0.56,3
62,0.15,0.79,0.78,0.3,0.51,3
63,0.2,0.68,0.73,0.48,0.28,2
64,0.24,0.58,0.76,0.8,0.28,3
65,0.25,0.1,0.03,0.09,0.15,4
66,0.32,0.2,0.06,0.26,0.24,4
67,0.29,0.06,0.19,0.55,0.51,3
68,0.28,0.1,0.12,0.28,0.32,2
69,0.3,0.08,0.4,0.02,0.67,3
70,0.27,0.12,0.37,0.29,0.58,3
71,0.31,0.1,0.41,0.42,0.75,1
72,0.29,0.15,0.33,0.66,0.08,4
73,0.3,0.2,0.52,0.3,0.53,3
74,0.28,0.16,0.69,0.33,0.78,1
75,0.255,0.18,0.5,0.4,0.1,4
76,0.265,0.06,0.57,0.75,0.1,2
77,0.275,0.1,0.72,0.1,0.3,2
78,0.245,0.1,0.71,0.26,0.2,4
79,0.295,0.2,0.86,0.44,0.28,2
80,0.32,0.12,0.79,0.76,0.24,2
81,0.295,0.25,0.26,0.12,0.67,3
82,0.315,0.32,0.29,0.29,0.62,3
83,0.25,0.29,0.15,0.48,0.26,2
84,0.27,0.1,0.1,0.7,0.25,2
85,0.248,0.3,0.31,0.2,0.03,4
86,0.325,0.25,0.38,0.31,0.79,1
87,0.27,0.31,0.32,0.41,0.28,2
88,0.29,0.29,0.4,0.78,0.18,2
89,0.29,0.3,0.52,0.09,0.67,3
90,0.258,0.28,0.64,0.29,0.56,3
91,0.32,0.255,0.55,0.78,0.34,3
92,0.251,0.265,0.57,0.6,0.09,4
93,0.288,0.31,0.79,0.23,0.24,2
94,0.323,0.32,0.89,0.32,0.8,1
95,0.255,0.305,0.86,0.62,0.15,2
96,0.295,0.25,0.73,0.77,0.19,2
97,0.258,0.25,0.295,0.33,0.77,1
98,0.29,0.25,0.29,0.29,0.57,3
99,0.243,0.27,0.08,0.42,0.29,2
100,0.27,0.28,0.18,0.48,0.26,2
101,0.299,0.32,0.31,0.33,0.87,1
102,0.3,0.27,0.31,0.31,0.54,3
103,0.245,0.26,0.38,0.49,0.27,2
104,0.295,0.29,0.31,0.76,0.1,2
105,0.29,0.3,0.56,0.25,0.67,3
106,0.26,0.28,0.6,0.29,0.59,3
107,0.305,0.255,0.63,0.4,0.54,3
108,0.32,0.27,0.52,0.81,0.3,3
109,0.299,0.295,0.8,0.37,0.84,1
110,0.276,0.255,0.81,0.27,0.33,2
111,0.258,0.31,0.88,0.4,0.3,2
112,0.32,0.28,0.72,0.89,0.58,1
113,0.329,0.55,0.02,0.4,0.79,1
114,0.295,0.59,0.29,0.31,0.55,3
115,0.285,0.64,0.18,0.61,0.45,3
116,0.265,0.6,0.28,0.66,0.07,4
117,0.315,0.69,0.28,0.8,0.7,1
118,0.28,0.78,0.44,0.17,0.66,3
119,0.325,0.61,0.46,0.32,0.81,1
120,0.28,0.65,0.4,0.65,0.13,2
121,0.255,0.75,0.35,0.72,0.25,2
122,0.305,0.55,0.5,0.11,0.333,2
123,0.3,0.85,0.54,0.25,0.83,3
124,0.325,0.9,0.52,0.49,0.76,1
125,0.312,0.8,0.67,0.92,0.5,1
126,0.299,0.7,0.95,0.22,0.66,1
127,0.265,0.76,0.8,0.28,0.28,2
128,0.255,0.72,0.72,0.63,0.14,2
129,0.295,0.6,0.72,0.88,0.28,3
130,0.39,0.05,0.02,0.06,0.34,2
131,0.4,0.18,0.26,0.26,0.67,3
132,0.45,0.04,0.18,0.55,0.07,4
133,0.48,0.12,0.28,0.7,0.71,1
134,0.4,0.12,0.41,0.1,0.65,3
135,0.41,0.18,0.33,0.31,0.5,3
136,0.38,0.1,0.4,0.48,0.26,2
137,0.37,0.06,0.32,0.78,0.1,2
138,0.41,0.09,0.58,0.18,0.58,3
139,0.38,0.01,0.53,0.27,0.3,2
140,0.33,0.04,0.5,0.55,0.1,4
141,0.42,0.15,0.66,0.78,0.4,3
142,0.44,0.08,0.8,0.22,0.56,3
143,0.39,0.15,0.81,0.22,0.29,2
144,0.42,0.21,0.87,0.56,0.48,3
145,0.46,0.2,0.76,0.95,0.65,1
146,0.365,0.243,0.19,0.24,0.35,2
147,0.33,0.27,0.2,0.33,0.1,4
148,0.345,0.299,0.1,0.64,0.13,2
149,0.48,0.3,0.15,0.65,0.77,1
150,0.49,0.245,0.38,0.14,0.86,1
151,0.334,0.295,0.33,0.32,0.3,2
152,0.36,0.29,0.37,0.48,0.13,4
153,0.39,0.26,0.39,0.77,0.14,2
154,0.43,0.305,0.51,0.09,0.64,3
155,0.44,0.32,0.55,0.33,0.52,3
156,0.45,0.299,0.63,0.36,0.51,3
157,0.495,0.276,0.58,0.77,0.83,1
158,0.465,0.258,0.73,0.18,0.59,3
159,0.475,0.32,0.79,0.31,0.54,3
160,0.348,0.329,0.83,0.61,0.18,2
161,0.385,0.26,0.76,0.84,0.3,3
162,0.445,0.39,0.02,0.24,0.88,1
163,0.43,0.45,0.27,0.27,0.89,1
164,0.33,0.34,0.1,0.49,0.12,4
165,0.4,0.33,0.12,0.3,0.9,1
166,0.34,0.4,0.38,0.2,0.61,3
167,0.38,0.36,0.46,0.49,0.78,1
168,0.35,0.38,0.32,0.6,0.16,2
169,0.41,0.49,0.34,0.21,0.92,1
170,0.42,0.36,0.63,0.04,0.25,2
171,0.43,0.38,0.62,0.33,0.49,3
172,0.44,0.33,0.59,0.53,0.85,1
173,0.4,0.42,0.58,0.75,0.16,2
174,0.46,0.44,0.89,0.12,0.66,3
175,0.38,0.39,0.79,0.33,0.3,2
176,0.39,0.42,0.83,0.65,0.19,2
177,0.49,0.34,0.88,0.75,0.71,1
178,0.46,0.64,0.22,0.22,0.6,3
179,0.44,0.55,0.11,0.26,0.83,1
180,0.365,0.68,0.1,0.63,0.18,2
181,0.45,0.65,0.19,0.99,0.55,1
182,0.46,0.78,0.38,0.24,0.89,1
183,0.37,0.55,0.41,0.29,0.3,2
184,0.38,0.59,0.31,0.62,0.2,2
185,0.49,0.64,0.34,0.78,0.21,2
186,0.495,0.82,0.67,0.01,0.93,1
187,0.44,0.69,0.61,0.29,0.57,3
188,0.365,0.57,0.59,0.55,0.25,2
189,0.49,0.9,0.52,0.9,0.47,1
190,0.445,0.7,0.82,0.16,0.64,3
191,0.42,0.7,0.72,0.3,0.8,1
192,0.37,0.6,0.77,0.4,0.5,3
193,0.4,0.61,0.71,0.88,0.67,1
194,0.6,0.14,0.22,0.11,0.66,3
195,0.55,0.1,0.27,0.25,0.29,2
196,0.68,0.19,0.19,0.48,0.1,4
197,0.73,0.2,0.07,0.72,0.26,2
198,0.78,0.15,0.38,0.18,0.63,3
199,0.55,0.1,0.34,0.3,0.1,4
200,0.59,0.18,0.31,0.55,0.09,4
201,0.64,0.09,0.33,0.65,0.5,3
202,0.6,0.19,0.55,0.08,0.1,4
203,0.69,0.02,0.62,0.3,0.29,2
204,0.78,0.21,0.68,0.65,0.75,1
205,0.62,0.14,0.52,0.81,0.15,2
206,0.7,0.18,0.88,0.09,0.66,3
207,0.75,0.015,0.78,0.31,0.53,3
208,0.55,0.17,0.71,0.48,0.11,4
209,0.85,0.05,0.91,0.8,0.68,1
210,0.78,0.27,0.13,0.14,0.62,3
211,0.8,0.29,0.06,0.31,0.51,3
212,0.9,0.26,0.19,0.58,0.79,1
213,0.76,0.258,0.07,0.83,0.34,3
214,0.72,0.32,0.48,0.2,0.6,3
215,0.6,0.251,0.39,0.29,0.3,2
216,0.52,0.288,0.32,0.5,0.3,2
217,0.6,0.31,0.31,0.87,0.58,1
218,0.51,0.255,0.55,0.17,0.64,3
219,0.58,0.295,0.62,0.28,0.3,2
220,0.61,0.258,0.56,0.62,0.24,2
221,0.77,0.267,0.59,0.78,0.28,3
222,0.79,0.28,0.88,0.2,0.66,3
223,0.68,0.27,0.78,0.31,0.57,3
224,0.58,0.299,0.73,0.63,0.21,2
225,0.77,0.29,0.74,0.82,0.68,1
226,0.71,0.475,0.13,0.23,0.59,3
227,0.58,0.348,0.06,0.29,0.31,2
228,0.88,0.335,0.19,0.55,0.78,1
229,0.99,0.49,0.07,0.7,0.69,1
230,0.73,0.43,0.32,0.12,0.65,3
231,0.61,0.33,0.36,0.28,0.28,2
232,0.51,0.4,0.4,0.59,0.23,2
233,0.83,0.44,0.49,0.91,0.66,1
234,0.66,0.38,0.55,0.15,0.62,3
235,0.58,0.35,0.51,0.27,0.3,2
236,0.523,0.41,0.55,0.6,0.22,2
237,0.66,0.36,0.56,0.4,0.83,1
238,0.62,0.37,0.81,0.13,0.64,3
239,0.52,0.44,0.82,0.3,0.52,3
240,0.5,0.4,0.73,0.62,0.2,2
241,0.71,0.46,0.95,0.78,0.86,1
242,0.64,0.55,0.15,0.18,0.63,3
243,0.52,0.85,0.06,0.27,0.25,2
244,0.62,0.62,0.24,0.65,0.25,3
245,0.91,0.58,0.26,0.89,0.88,1
246,0.62,0.67,0.39,0.1,0.66,3
247,0.58,0.58,0.31,0.29,0.29,2
248,0.89,0.68,0.49,0.65,0.9,1
249,0.72,0.6,0.45,0.79,0.45,3
250,0.68,0.63,0.65,0.09,0.66,3
251,0.56,0.6,0.6,0.31,0.5,3
252,0.54,0.51,0.55,0.64,0.19,2
253,0.61,0.78,0.69,0.92,0.58,1
254,0.78,0.61,0.71,0.19,0.6,3
255,0.54,0.82,0.71,0.29,0.77,1
256,0.5,0.75,0.81,0.61,0.26,3
257,0.66,0.9,0.76,0.87,0.74,1
258,0.0,0.1,0.5,0.26,0.05,5
259,0.05,0.05,0.55,0.6,0.14,2
260,0.08,0.18,0.63,0.6,0.85,1
261,0.2,0.2,0.68,0.67,0.85,1
262,0.22,0.22,0.9,0.3,0.9,1
263,0.14,0.14,0.7,0.5,0.3,2
264,0.16,0.16,0.8,0.5,0.5,3
265,0.12,0.12,0.75,0.68,0.15,2
266,0.2,0.2,0.88,0.77,0.8,1
267,0.16,0.25,0.01,0.1,0.07,5
268,0.11,0.29,0.2,0.05,0.66,3
269,0.18,0.26,0.05,0.4,0.04,5
270,0.21,0.32,0.25,0.5,0.8,1
271,0.13,0.28,0.18,0.75,0.32,3
272,0.23,0.29,0.45,0.18,0.88,1
273,0.1,0.27,0.35,0.45,0.05,5
274,0.22,0.31,0.42,0.88,0.8,1
275,0.0,0.25,0.5,0.09,0.07,5
276,0.05,0.29,0.58,0.14,0.32,2
277,0.1,0.3,0.58,0.28,0.55,3
278,0.2,0.32,0.65,0.31,0.89,1
279,0.19,0.28,0.57,0.58,0.17,2
280,0.11,0.26,0.56,0.68,0.27,2
281,0.12,0.28,0.7,0.16,0.32,2
282,0.18,0.29,0.78,0.15,0.61,3
283,0.2,0.25,0.7,0.25,0.03,5
284,0.16,0.28,0.72,0.27,0.32,2
285,0.11,0.3,0.79,0.8,0.32,3
286,0.18,0.31,0.81,0.7,0.4,3
287,0.1,0.33,0.02,0.0,0.25,5
288,0.18,0.37,0.11,0.28,0.3,2
289,0.13,0.4,0.17,0.25,0.38,2
290,0.11,0.42,0.38,0.82,0.31,3
291,0.22,0.48,0.47,0.78,0.81,1
292,0.14,0.38,0.59,0.11,0.32,2
293,0.15,0.42,0.6,0.15,0.62,3
294,0.09,0.38,0.54,0.69,0.21,2
295,0.2,0.49,0.68,0.76,0.78,1
296,0.12,0.62,0.21,0.3,0.59,3
297,0.14,0.65,0.19,0.26,0.66,3
298,0.16,0.51,0.09,0.38,0.1,5
299,0.12,0.56,0.13,0.48,0.32,2
300,0.2,0.85,0.24,0.79,0.85,1
301,0.16,0.52,0.3,0.09,0.11,5
302,0.21,0.78,0.42,0.32,0.84,1
303,0.08,0.56,0.33,0.4,0.1,5
304,0.14,0.61,0.39,0.56,0.56,3
305,0.18,0.7,0.41,0.67,0.33,3
306,0.22,0.8,0.44,0.78,0.88,1
307,0.1,0.6,0.51,0.1,0.01,5
308,0.15,0.67,0.56,0.07,0.66,3
309,0.0,0.62,0.52,0.26,0.07,5
310,0.11,0.88,0.67,0.66,0.89,1
311,0.08,0.56,0.7,0.14,0.1,5
312,0.21,0.9,0.9,0.22,0.92,1
313,0.08,0.58,0.71,0.27,0.09,5
314,0.13,0.62,0.77,0.28,0.31,2
315,0.21,0.88,0.87,0.56,0.95,1
316,0.22,0.86,0.83,0.89,0.65,1
317,0.2,0.78,0.91,0.82,0.85,1
318,0.25,0.0,0.1,0.12,0.37,2
319,0.29,0.1,0.17,0.74,0.52,3
320,0.3,0.18,0.23,0.9,0.84,1
321,0.32,0.02,0.34,0.13,0.31,2
322,0.28,0.12,0.38,0.17,0.6,3
323,0.26,0.09,0.33,0.28,0.32,2
324,0.28,0.16,0.41,0.51,0.56,3
325,0.26,0.12,0.34,0.68,0.29,2
326,0.31,0.2,0.46,0.78,0.83,1
327,0.25,0.05,0.53,0.1,0.12,5
328,0.32,0.15,0.66,0.24,0.82,1
329,0.28,0.08,0.52,0.25,0.08,5
330,0.33,0.2,0.64,0.59,0.94,1
331,0.31,0.15,0.58,0.76,0.52,3
332,0.28,0.06,0.7,0.27,0.32,2
333,0.3,0.16,0.89,0.32,0.95,1
334,0.27,0.03,0.76,0.59,0.23,2
335,0.32,0.2,0.84,0.81,0.8,1
336,0.31,0.32,0.29,0.31,0.96,1
337,0.28,0.29,0.19,0.37,0.58,3
338,0.32,0.31,0.26,0.83,0.77,1
339,0.25,0.28,0.3,0.001,0.25,5
340,0.26,0.26,0.31,0.26,0.13,5
341,0.27,0.29,0.34,0.28,0.32,2
342,0.28,0.28,0.38,0.29,0.62,3
343,0.26,0.26,0.35,0.62,0.24,2
344,0.3,0.32,0.43,0.87,0.83,1
345,0.25,0.26,0.51,0.04,0.13,5
346,0.28,0.27,0.56,0.14,0.31,2
347,0.31,0.32,0.69,0.3,0.98,1
348,0.28,0.29,0.57,0.6,0.27,2
349,0.27,0.28,0.59,0.69,0.26,3
350,0.25,0.28,0.77,0.11,0.31,2
351,0.25,0.54,0.31,0.25,0.08,5
352,0.29,0.66,0.35,0.28,0.31,2
353,0.29,0.74,0.39,0.41,0.54,3
354,0.31,0.82,0.47,0.4,0.99,1
355,0.28,0.55,0.38,0.9,0.22,2
356,0.33,0.04,0.02,0.12,0.11,5
357,0.37,0.09,0.1,0.13,0.32,2
358,0.4,0.15,0.16,0.3,0.58,3
359,0.37,0.07,0.1,0.41,0.3,2
360,0.41,0.11,0.21,0.44,0.57,3
361,0.42,0.13,0.15,0.94,0.3,3
362,0.41,0.04,0.33,0.26,0.12,5
363,0.38,0.09,0.37,0.28,0.32,2
364,0.42,0.29,0.14,0.03,0.68,3
365,0.4,0.3,0.18,0.29,0.59,3
366,0.38,0.33,0.1,0.07,0.4,2
367,0.47,0.47,0.25,0.96,0.61,1
368,0.41,0.37,0.79,0.12,0.32,2
369,0.42,0.39,0.78,0.32,0.2,2
370,0.36,0.52,0.07,0.1,0.15,5
371,0.4,0.59,0.77,0.99,0.24,3
372,0.43,0.65,0.76,0.94,0.29,3
373,0.6,0.08,0.13,0.14,0.32,2
374,0.8,0.24,0.23,0.29,0.98,1
375,0.65,0.09,0.16,0.49,0.31,2
376,0.68,0.16,0.2,0.59,0.6,3
377,0.75,0.22,0.24,0.96,0.62,1
378,0.87,0.23,0.25,0.85,0.8,1
379,0.52,0.08,0.33,0.07,0.09,5
380,0.62,0.12,0.36,0.36,0.32,2
381,0.68,0.15,0.58,0.35,0.6,3
382,0.54,0.25,0.07,0.09,0.11,5
383,0.9,0.31,0.24,0.3,0.97,1
384,0.56,0.27,0.11,0.59,0.22,2
385,0.85,0.32,0.22,0.87,0.79,1
386,0.52,0.28,0.32,0.1,0.1,5
387,0.78,0.47,0.24,0.3,0.93,1
388,0.56,0.35,0.1,0.62,0.23,2
389,0.61,0.38,0.09,0.38,0.3,2
390,0.78,0.47,0.29,0.98,0.59,1
391,0.58,0.4,0.32,0.22,0.24,2
392,0.68,0.43,0.6,0.47,0.55,3
393,0.57,0.37,0.75,0.27,0.32,2
394,0.62,0.56,0.11,0.24,0.22,2
395,0.64,0.58,0.14,0.32,0.21,2
396,0.64,0.59,0.12,0.58,0.24,2
397,0.68,0.61,0.34,0.31,0.23,2
398,0.9,0.78,0.62,0.32,0.89,1
399,0.85,0.82,0.66,0.83,0.83,1
400,0.56,0.6,0.77,0.13,0.32,2
401,0.66,0.68,0.81,0.57,0.57,3
402,0.68,0.64,0.79,0.97,0.24,3
