d3mIndex,V1,V2,Class
0,1.687,0.445,4
1,1.687,0.449,4
2,1.687,0.449,4
3,1.687,0.449,4
4,1.687,0.449,4
5,1.686,0.446,4
6,1.684,0.451,4
7,1.68,0.453,4
8,0.753,0.457,2
9,0.744,0.462,2
10,0.735,0.467,2
11,0.729,0.469,2
12,0.723,0.477,2
13,0.757,0.48,2
14,0.76,0.483,2
15,0.757,0.482,2
16,0.761,0.482,2
17,0.762,0.482,2
18,0.765,0.482,2
19,0.812,0.481,2
20,0.814,0.48,2
21,0.811,0.479,2
22,0.908,0.478,4
23,1.27,0.477,4
24,1.639,0.476,4
25,1.638,0.475,4
26,1.637,0.474,4
27,1.636,0.475,4
28,1.635,0.475,4
29,1.635,0.475,4
30,1.635,0.475,4
31,1.635,0.475,4
32,1.633,0.475,4
33,1.629,0.474,4
34,1.624,0.473,4
35,1.618,0.473,4
36,1.611,0.473,4
37,1.609,0.472,4
38,1.603,0.471,4
39,0.576,0.471,2
40,1.581,0.471,4
41,1.572,0.471,4
42,1.562,0.47,4
43,1.553,0.47,4
44,1.179,0.47,4
45,1.167,0.47,4
46,1.159,0.471,4
47,1.151,0.471,4
48,1.143,0.471,4
49,1.136,0.471,4
50,1.128,0.472,4
51,1.477,0.472,4
52,1.129,0.473,4
53,1.457,0.473,4
54,1.448,0.474,4
55,1.438,0.475,4
56,1.428,0.486,4
57,1.418,0.485,4
58,1.409,0.486,4
59,1.399,0.485,4
60,1.39,0.486,4
61,1.38,0.487,4
62,1.37,0.489,4
63,1.361,0.491,4
64,1.354,0.494,4
65,1.344,0.496,1
66,1.33,0.498,1
67,1.32,0.499,1
68,1.31,0.501,1
69,1.298,0.504,1
70,1.285,0.507,1
71,1.271,0.511,1
72,1.256,0.515,1
73,1.239,0.52,1
74,1.223,0.525,1
75,1.206,0.53,1
76,1.188,0.535,1
77,1.17,0.541,1
78,1.152,0.548,1
79,1.133,0.554,1
80,1.114,0.56,1
81,1.094,0.567,1
82,1.075,0.573,1
83,1.056,0.58,1
84,1.037,0.586,1
85,1.019,0.593,1
86,1.001,0.599,1
87,0.983,0.606,1
88,0.966,0.612,1
89,0.948,0.619,1
90,0.931,0.625,1
91,0.914,0.632,1
92,0.898,0.638,2
93,0.881,0.645,2
94,0.864,0.652,2
95,0.847,0.658,2
96,0.83,0.66,2
97,0.815,0.662,2
98,0.801,0.667,2
99,0.792,0.67,2
100,0.792,0.665,2
