d3mIndex,V1,V2,V3,V4,Class
0,1.687,0.445,2.332,0.429,4
1,1.687,0.449,2.332,0.429,4
2,1.687,0.449,2.334,0.429,4
3,1.687,0.449,2.334,0.429,4
4,1.687,0.449,2.334,0.429,4
5,1.686,0.446,2.334,0.43,4
6,1.684,0.451,2.33,0.432,4
7,1.68,0.453,2.327,0.436,4
8,0.753,0.457,2.323,0.442,2
9,0.744,0.462,2.321,0.449,2
10,0.735,0.467,2.315,0.457,2
11,0.729,0.469,2.31,0.465,2
12,0.723,0.477,2.303,0.472,2
13,0.757,0.48,2.304,0.476,2
14,0.76,0.483,2.306,0.476,2
15,0.757,0.482,2.307,0.474,2
16,0.761,0.482,1.7,0.473,2
17,0.762,0.482,1.697,0.473,2
18,0.765,0.482,1.697,0.473,2
19,0.812,0.481,1.702,0.473,2
20,0.814,0.48,1.7,0.473,2
21,0.811,0.479,1.698,0.473,2
22,0.908,0.478,1.7,0.473,4
23,1.27,0.477,1.705,0.473,4
24,1.639,0.476,1.707,0.47,4
25,1.638,0.475,1.712,0.465,4
26,1.637,0.474,1.715,0.465,4
27,1.636,0.475,1.707,0.47,4
28,1.635,0.475,1.706,0.468,4
29,1.635,0.475,1.706,0.468,4
30,1.635,0.475,1.709,0.468,4
31,1.635,0.475,1.709,0.468,4
32,1.633,0.475,1.707,0.469,4
33,1.629,0.474,1.708,0.471,4
34,1.624,0.473,1.704,0.474,4
35,1.618,0.473,1.695,0.478,4
36,1.611,0.473,2.596,0.483,4
37,1.609,0.472,2.589,0.488,4
38,1.603,0.471,1.682,0.494,4
39,0.576,0.471,1.67,0.5,2
40,1.581,0.471,1.662,0.506,4
41,1.572,0.471,1.654,0.513,4
42,1.562,0.47,1.646,0.523,4
43,1.553,0.47,1.637,0.53,4
44,1.179,0.47,1.631,0.534,4
45,1.167,0.47,2.541,0.545,4
46,1.159,0.471,2.535,0.552,4
47,1.151,0.471,2.529,0.582,4
48,1.143,0.471,2.526,0.582,4
49,1.136,0.471,2.523,0.578,4
50,1.128,0.472,2.518,0.588,4
51,1.477,0.472,2.508,0.585,4
52,1.129,0.473,2.502,0.589,4
53,1.457,0.473,2.502,0.597,4
54,1.448,0.474,2.901,0.605,4
55,1.438,0.475,2.895,0.613,4
56,1.428,0.486,2.89,0.617,4
57,1.418,0.485,2.885,0.629,4
58,1.409,0.486,2.879,0.575,4
59,1.399,0.485,2.876,0.578,4
60,1.39,0.486,2.871,0.65,4
61,1.38,0.487,2.862,0.658,4
62,1.37,0.489,2.857,0.666,4
63,1.361,0.491,2.852,0.674,4
64,1.354,0.494,2.849,0.683,4
65,1.344,0.496,2.843,0.692,1
66,1.33,0.498,2.836,0.701,1
67,1.32,0.499,2.83,0.71,1
68,1.31,0.501,2.824,0.719,1
69,1.298,0.504,2.816,0.73,1
70,1.285,0.507,2.81,0.742,1
71,1.271,0.511,2.8,0.756,1
72,1.256,0.515,2.789,0.771,1
73,1.239,0.52,2.777,0.787,1
74,1.223,0.525,2.766,0.807,1
75,1.206,0.53,2.753,0.611,1
76,1.188,0.535,2.741,0.621,1
77,1.17,0.541,2.727,0.859,1
78,1.152,0.548,2.713,0.878,1
79,1.133,0.554,2.699,0.897,1
80,1.114,0.56,2.685,0.917,1
81,1.094,0.567,2.671,0.937,1
82,1.075,0.573,2.656,0.956,1
83,1.056,0.58,2.643,0.975,1
84,1.037,0.586,2.629,0.994,1
85,1.019,0.593,2.612,1.013,1
86,1.001,0.599,2.599,1.031,1
87,0.983,0.606,2.586,1.052,1
88,0.966,0.612,2.573,1.071,1
89,0.948,0.619,2.561,1.088,1
90,0.931,0.625,2.548,1.106,1
91,0.914,0.632,2.536,1.123,1
92,0.898,0.638,2.524,1.137,2
93,0.881,0.645,2.511,1.155,2
94,0.864,0.652,2.499,1.172,2
95,0.847,0.658,2.487,1.193,2
96,0.83,0.66,2.475,1.211,2
97,0.815,0.662,2.464,1.226,2
98,0.801,0.667,2.454,1.241,2
99,0.792,0.67,2.45,1.249,2
100,0.792,0.665,2.452,1.248,2
101,0.795,0.666,2.469,1.241,2
102,0.796,0.665,2.491,1.239,2
103,0.796,0.665,2.495,1.239,2
104,0.796,0.665,2.484,1.24,2
105,0.799,0.664,2.478,1.239,2
106,0.799,0.664,2.463,1.239,2
107,0.798,0.664,2.467,1.239,2
108,0.799,0.664,2.464,1.239,2
109,0.798,0.663,2.469,1.242,2
110,0.797,0.666,2.741,0.719,2
111,0.792,0.671,1.354,0.717,2
112,0.791,0.684,1.353,0.714,2
113,0.79,0.674,1.353,0.733,2
114,0.789,0.66,2.749,0.732,2
115,0.788,0.66,2.747,0.805,2
116,0.787,0.659,2.749,0.696,2
117,0.786,0.661,2.748,0.689,2
118,0.785,0.665,1.353,0.766,2
119,0.788,0.717,1.346,0.74,2
120,0.787,0.833,1.346,0.677,2
121,0.79,0.779,1.345,0.67,2
122,0.814,0.668,1.342,0.667,2
123,0.807,0.809,1.342,0.661,2
124,0.786,0.805,1.34,0.659,2
125,0.785,0.804,1.347,0.647,2
126,0.787,0.854,1.303,0.647,2
127,0.791,0.8,1.353,0.646,2
128,0.794,0.786,1.347,0.639,2
129,0.814,0.78,1.345,0.636,2
130,0.88,0.776,1.346,0.632,2
131,1.593,0.774,1.347,0.627,1
132,1.593,0.77,1.349,0.626,1
133,1.593,0.765,1.351,0.625,1
134,1.593,0.765,1.353,0.624,1
135,1.592,0.763,1.355,0.625,1
136,1.591,0.763,1.355,0.627,1
137,1.59,0.763,1.351,0.628,1
138,1.588,0.763,1.352,0.63,1
139,1.586,0.758,1.357,0.634,1
140,1.576,0.759,1.356,0.641,1
141,1.566,0.753,1.362,0.65,1
142,1.555,0.751,1.367,0.662,1
143,0.932,0.745,1.373,0.675,1
144,1.525,0.739,1.379,0.689,1
145,1.508,0.733,1.385,0.705,1
146,1.494,0.727,1.391,0.722,1
