d3mIndex,V1,V2,V3,Class
0,291.0,802.0,0.575356,2
1,234.0,656.0,0.588769,2
2,332.0,698.0,0.451603,2
3,352.0,772.0,0.567596,2
4,41.0,809.0,0.754151,2
5,373.0,892.0,0.532364,2
6,447.0,950.0,0.728869,2
7,364.0,974.0,0.709051,2
8,360.0,955.0,0.488839,3
9,369.0,915.0,0.564451,2
10,230.0,811.0,0.610693,4
11,83.0,623.0,0.649713,5
12,118.0,654.0,0.603097,5
13,167.0,617.0,0.548863,4
14,350.0,725.0,0.708345,3
15,128.0,814.0,0.703275,5
16,465.0,795.0,0.659438,5
17,310.0,918.0,0.358435,4
18,483.0,710.0,0.582167,3
19,546.0,974.0,0.698287,3
20,536.0,813.0,0.553168,3
21,945.0,842.0,0.670926,3
22,969.0,857.0,0.691358,4
23,805.0,574.0,0.68932,3
24,679.0,630.0,0.438211,4
25,399.0,799.0,0.552132,4
26,424.0,800.0,0.557236,4
27,359.0,679.0,0.55508,4
28,255.0,721.0,0.494065,4
29,480.0,872.0,0.543987,4
30,278.0,16.0,0.364165,1
31,386.0,16.0,0.354607,1
32,411.0,20.0,0.421645,1
33,490.0,34.0,0.46413,1
34,518.0,18.0,0.350272,1
35,571.0,21.0,0.434078,1
36,600.0,19.0,0.392891,1
37,236.0,24.0,0.353788,1
38,679.0,25.0,0.366338,1
39,28.0,28.0,0.367555,1
40,65.0,29.0,0.373544,1
41,850.0,29.0,0.400424,1
42,922.0,31.0,0.377356,1
43,76.0,38.0,0.355741,1
44,321.0,46.0,0.414738,1
45,51.0,48.0,0.481029,1
46,422.0,46.0,0.391391,1
47,181.0,46.0,0.351995,1
48,280.0,54.0,0.396019,1
49,598.0,55.0,0.454381,1
50,956.0,53.0,0.359401,1
51,371.0,56.0,0.392774,1
52,385.0,59.0,0.444237,1
53,970.0,58.0,0.360596,1
54,656.0,62.0,0.351802,1
55,991.0,63.0,0.37766,1
56,349.0,66.0,0.381626,1
57,222.0,68.0,0.410593,1
58,436.0,66.0,0.354035,1
59,529.0,69.0,0.411394,1
60,442.0,76.0,0.401082,1
61,275.0,78.0,0.419826,1
62,868.0,80.0,0.417142,1
63,714.0,79.0,0.359181,1
64,401.0,91.0,0.476023,1
65,545.0,89.0,0.481404,1
66,94.0,86.0,0.442358,1
67,368.0,88.0,0.453674,1
68,672.0,86.0,0.374963,1
69,459.0,90.0,0.381103,1
70,825.0,88.0,0.372037,1
71,429.0,97.0,0.478076,1
72,729.0,95.0,0.377494,1
73,769.0,97.0,0.384945,1
74,698.0,129.0,0.489194,1
75,740.0,109.0,0.398342,1
76,20.0,112.0,0.42063,1
77,163.0,112.0,0.367751,1
78,618.0,110.0,0.357261,1
79,432.0,128.0,0.545914,1
80,531.0,112.0,0.377387,1
81,760.0,119.0,0.355253,1
82,641.0,122.0,0.413516,1
83,213.0,128.0,0.408003,1
84,476.0,122.0,0.360569,1
85,84.0,130.0,0.417641,1
86,179.0,128.0,0.38408,1
87,979.0,132.0,0.683198,1
88,762.0,131.0,0.377932,1
89,851.0,130.0,0.40856,1
90,634.0,131.0,0.358265,1
91,302.0,138.0,0.364846,1
92,521.0,146.0,0.493271,1
93,407.0,147.0,0.418145,1
94,828.0,150.0,0.370332,1
95,169.0,158.0,0.438179,1
96,203.0,161.0,0.510163,1
97,453.0,159.0,0.471501,1
98,45.0,164.0,0.467657,1
99,109.0,165.0,0.460258,1
100,414.0,160.0,0.401825,1
101,795.0,163.0,0.437143,1
102,673.0,164.0,0.393024,1
103,734.0,171.0,0.432139,1
104,864.0,166.0,0.355407,1
105,422.0,179.0,0.490548,1
106,307.0,175.0,0.377531,1
107,504.0,175.0,0.3672,1
108,488.0,202.0,0.431069,1
109,223.0,186.0,0.542412,1
110,259.0,182.0,0.373892,1
111,606.0,187.0,0.418323,1
112,820.0,182.0,0.362974,1
113,551.0,188.0,0.432223,1
114,515.0,191.0,0.386841,1
115,30.0,192.0,0.352198,1
116,273.0,195.0,0.404871,1
117,814.0,205.0,0.457791,1
118,907.0,194.0,0.385086,1
119,308.0,197.0,0.361934,1
120,67.0,204.0,0.427795,1
121,552.0,202.0,0.363477,1
122,888.0,209.0,0.419384,1
123,636.0,241.0,0.436497,1
124,256.0,218.0,0.48052,1
125,931.0,210.0,0.395803,1
126,192.0,210.0,0.355819,1
127,328.0,217.0,0.464293,1
128,766.0,213.0,0.357427,1
129,414.0,230.0,0.554505,1
130,366.0,237.0,0.458909,1
131,665.0,228.0,0.431263,1
132,970.0,237.0,0.457317,1
133,298.0,229.0,0.420516,1
134,206.0,232.0,0.424402,1
135,838.0,233.0,0.353884,1
136,739.0,234.0,0.368579,1
137,62.0,237.0,0.355522,1
138,242.0,239.0,0.387506,1
139,162.0,241.0,0.363686,1
140,887.0,247.0,0.376025,1
141,491.0,250.0,0.389414,1
142,176.0,259.0,0.437973,1
143,926.0,255.0,0.387451,1
144,421.0,257.0,0.385881,1
145,60.0,258.0,0.358385,1
146,277.0,261.0,0.363968,1
147,336.0,263.0,0.435046,1
148,868.0,261.0,0.361039,1
149,131.0,263.0,0.370122,1
150,440.0,273.0,0.466384,1
151,602.0,263.0,0.361625,1
152,509.0,282.0,0.451153,1
153,956.0,289.0,0.447652,1
154,243.0,272.0,0.414124,1
155,399.0,279.0,0.470472,1
156,908.0,274.0,0.387566,1
157,283.0,272.0,0.362763,1
158,55.0,281.0,0.400383,1
159,299.0,287.0,0.400128,1
160,864.0,286.0,0.358746,1
161,37.0,292.0,0.411929,1
162,140.0,295.0,0.422148,1
163,564.0,302.0,0.424021,1
164,364.0,298.0,0.394671,1
165,75.0,297.0,0.384893,1
166,885.0,308.0,0.423256,1
167,320.0,314.0,0.454578,1
168,464.0,318.0,0.472402,1
169,142.0,311.0,0.367918,1
170,690.0,310.0,0.36272,1
171,766.0,314.0,0.407104,1
172,392.0,327.0,0.468601,1
173,85.0,325.0,0.399733,1
174,578.0,324.0,0.354468,1
175,428.0,331.0,0.385815,1
176,998.0,335.0,0.39762,1
177,116.0,333.0,0.414235,1
178,710.0,339.0,0.412532,1
179,588.0,341.0,0.414797,1
180,774.0,330.0,0.351563,1
181,280.0,343.0,0.450061,1
182,404.0,350.0,0.484282,1
183,748.0,340.0,0.353081,1
184,354.0,346.0,0.365096,1
185,318.0,354.0,0.395033,1
186,530.0,353.0,0.389825,1
187,791.0,352.0,0.385388,1
188,196.0,356.0,0.372349,1
189,904.0,361.0,0.415372,1
190,215.0,372.0,0.412585,1
191,603.0,369.0,0.406113,1
192,177.0,369.0,0.381732,1
193,360.0,372.0,0.401085,1
194,30.0,373.0,0.364586,1
195,338.0,375.0,0.374722,1
196,397.0,398.0,0.608319,1
197,817.0,382.0,0.37288,1
198,921.0,387.0,0.415158,1
199,615.0,389.0,0.414386,1
200,864.0,388.0,0.355104,1
201,742.0,390.0,0.356025,1
202,76.0,392.0,0.353456,1
203,550.0,397.0,0.405201,1
204,872.0,409.0,0.381515,1
205,456.0,415.0,0.42882,1
206,276.0,413.0,0.424534,1
207,41.0,430.0,0.480091,1
208,204.0,418.0,0.476518,1
209,557.0,417.0,0.424962,1
210,648.0,435.0,0.465499,1
211,765.0,424.0,0.446679,1
212,392.0,420.0,0.352079,1
213,612.0,422.0,0.353297,1
214,292.0,424.0,0.364403,1
215,858.0,438.0,0.388594,1
216,885.0,433.0,0.376115,1
217,236.0,435.0,0.37273,1
218,488.0,439.0,0.376514,1
219,251.0,448.0,0.425794,1
220,364.0,442.0,0.350794,1
221,597.0,456.0,0.452686,1
222,341.0,449.0,0.400999,1
223,426.0,456.0,0.375907,1
224,718.0,453.0,0.361758,1
225,79.0,462.0,0.537306,1
226,633.0,462.0,0.409815,1
227,712.0,458.0,0.358227,1
228,500.0,464.0,0.357809,1
229,441.0,466.0,0.376347,1
230,756.0,472.0,0.472666,1
231,716.0,469.0,0.41471,1
232,277.0,480.0,0.539647,1
233,409.0,483.0,0.574885,1
