d3mIndex,V1,V2,V3,Class
0,428.0,221.0,0.399978,3
1,166.0,397.0,0.47824,3
2,586.0,735.0,0.687521,3
3,886.0,969.0,0.723724,3
4,815.0,594.0,0.377236,4
5,957.0,412.0,0.521464,4
6,499.0,564.0,0.440457,4
7,415.0,806.0,0.553779,5
8,693.0,885.0,0.537651,5
9,569.0,17.0,0.404456,1
10,281.0,24.0,0.422111,1
11,69.0,27.0,0.415345,1
12,196.0,27.0,0.362876,1
13,745.0,26.0,0.388854,1
14,370.0,30.0,0.44098,1
15,491.0,39.0,0.407421,1
16,916.0,34.0,0.366468,1
17,378.0,44.0,0.397619,1
18,935.0,44.0,0.369059,1
19,797.0,52.0,0.461505,1
20,992.0,48.0,0.360465,1
21,37.0,54.0,0.370141,1
22,479.0,62.0,0.442425,1
23,43.0,63.0,0.350883,1
24,377.0,82.0,0.382764,1
25,538.0,85.0,0.372656,1
26,27.0,92.0,0.400061,1
27,394.0,97.0,0.41437,1
28,212.0,100.0,0.362277,1
29,327.0,102.0,0.359752,1
30,88.0,106.0,0.356344,1
31,282.0,107.0,0.390841,1
32,858.0,106.0,0.392865,1
33,883.0,122.0,0.361427,1
34,952.0,129.0,0.37673,1
35,828.0,133.0,0.363524,1
36,917.0,138.0,0.370042,1
37,970.0,140.0,0.365023,1
38,18.0,158.0,0.390758,1
39,917.0,165.0,0.374575,1
40,530.0,168.0,0.351314,1
41,23.0,175.0,0.566511,1
42,666.0,172.0,0.352532,1
43,213.0,182.0,0.378777,1
44,255.0,192.0,0.367956,1
45,443.0,198.0,0.371026,1
46,772.0,202.0,0.357427,1
47,998.0,205.0,0.382984,1
48,657.0,208.0,0.357247,1
49,19.0,220.0,0.358932,1
50,672.0,220.0,0.352603,1
51,575.0,223.0,0.362222,1
52,426.0,238.0,0.35781,1
53,396.0,247.0,0.385167,1
54,408.0,250.0,0.353652,1
55,307.0,258.0,0.398531,1
56,453.0,260.0,0.394148,1
57,45.0,271.0,0.35489,1
58,244.0,279.0,0.414566,1
59,59.0,285.0,0.378718,1
60,396.0,290.0,0.356205,1
61,188.0,298.0,0.351686,1
62,76.0,303.0,0.385565,1
63,568.0,307.0,0.402343,1
64,843.0,312.0,0.38033,1
65,84.0,314.0,0.388221,1
66,374.0,324.0,0.500464,1
67,100.0,325.0,0.370201,1
68,838.0,328.0,0.362461,1
69,170.0,356.0,0.356077,1
70,62.0,360.0,0.395348,1
71,183.0,366.0,0.416841,1
72,671.0,361.0,0.365271,1
73,288.0,374.0,0.375515,1
74,588.0,372.0,0.3587,1
75,624.0,376.0,0.357443,1
76,709.0,378.0,0.378848,1
77,885.0,382.0,0.409788,1
78,221.0,390.0,0.40597,1
79,218.0,400.0,0.359161,1
80,403.0,402.0,0.425194,1
81,51.0,404.0,0.380397,1
82,585.0,405.0,0.392594,1
83,106.0,408.0,0.359607,1
84,907.0,428.0,0.376944,1
85,130.0,440.0,0.353317,1
86,956.0,462.0,0.356415,1
87,206.0,477.0,0.375938,1
88,841.0,481.0,0.372808,1
89,78.0,490.0,0.456691,1
90,845.0,491.0,0.366752,1
91,758.0,492.0,0.357463,1
92,234.0,496.0,0.35118,1
93,141.0,499.0,0.374451,1
94,182.0,500.0,0.381904,1
95,363.0,505.0,0.414236,1
96,857.0,511.0,0.381204,1
97,883.0,520.0,0.365274,1
98,892.0,524.0,0.353248,1
99,910.0,527.0,0.451935,1
100,954.0,531.0,0.442639,1
101,390.0,536.0,0.42822,1
102,358.0,543.0,0.385766,1
103,144.0,566.0,0.390126,1
104,259.0,562.0,0.361591,1
105,264.0,575.0,0.388182,1
106,882.0,575.0,0.371901,1
107,156.0,577.0,0.352639,1
108,888.0,578.0,0.366994,1
109,944.0,578.0,0.368636,1
110,591.0,591.0,0.379141,1
111,163.0,599.0,0.358991,1
112,363.0,654.0,0.374893,1
113,308.0,657.0,0.418361,1
114,436.0,665.0,0.382147,1
115,869.0,672.0,0.362487,1
116,930.0,696.0,0.353453,1
117,781.0,706.0,0.388674,1
118,99.0,717.0,0.386074,1
119,99.0,745.0,0.354494,1
120,400.0,746.0,0.351667,1
121,400.0,762.0,0.353458,1
122,642.0,764.0,0.360389,1
123,25.0,775.0,0.421456,1
124,664.0,779.0,0.394076,1
125,646.0,785.0,0.39278,1
126,494.0,791.0,0.374522,1
127,85.0,792.0,0.377376,1
128,518.0,793.0,0.440322,1
129,909.0,801.0,0.451041,1
130,584.0,816.0,0.392896,1
131,28.0,828.0,0.431126,1
132,593.0,839.0,0.400804,1
133,807.0,842.0,0.378457,1
134,46.0,846.0,0.354806,1
135,832.0,846.0,0.378804,1
136,775.0,850.0,0.369239,1
137,56.0,857.0,0.414344,1
138,87.0,859.0,0.441941,1
139,559.0,858.0,0.382546,1
140,972.0,858.0,0.352783,1
141,704.0,862.0,0.381912,1
142,882.0,866.0,0.364174,1
143,620.0,869.0,0.466255,1
144,1004.0,869.0,0.400706,1
145,266.0,884.0,0.367567,1
146,86.0,894.0,0.404486,1
147,583.0,892.0,0.408005,1
148,832.0,890.0,0.363431,1
149,645.0,900.0,0.360324,1
150,604.0,910.0,0.399203,1
151,825.0,916.0,0.362437,1
152,914.0,916.0,0.36624,1
153,164.0,926.0,0.359121,1
154,284.0,942.0,0.352771,1
155,558.0,952.0,0.492763,1
156,462.0,952.0,0.404339,1
157,123.0,987.0,0.370611,1
158,906.0,988.0,0.353727,1
159,328.0,991.0,0.367922,1
160,799.0,992.0,0.387264,1
161,56.0,999.0,0.42858,1
162,25.0,1000.0,0.407169,1
163,747.0,1004.0,0.358694,1
164,380.0,1006.0,0.358887,1
165,107.0,24.0,0.522145,5
166,749.0,556.0,0.451863,4
167,744.0,612.0,0.543249,3
168,838.0,999.0,0.526395,3
169,753.0,836.0,0.555307,4
170,646.0,775.0,0.54275,4
171,814.0,896.0,0.467464,4
172,420.0,16.0,0.376406,1
173,502.0,17.0,0.422374,1
174,878.0,18.0,0.35735,1
175,676.0,24.0,0.350742,1
176,740.0,27.0,0.391201,1
177,758.0,30.0,0.353547,1
178,998.0,36.0,0.426466,1
179,352.0,41.0,0.41499,1
180,381.0,43.0,0.385396,1
181,488.0,44.0,0.491702,1
182,580.0,48.0,0.397425,1
183,799.0,54.0,0.491298,1
184,494.0,56.0,0.415023,1
185,364.0,66.0,0.351809,1
186,585.0,69.0,0.358693,1
187,410.0,71.0,0.395023,1
188,852.0,78.0,0.358167,1
189,684.0,91.0,0.468061,1
190,134.0,95.0,0.37565,1
191,504.0,104.0,0.456884,1
192,579.0,107.0,0.391387,1
193,727.0,111.0,0.408601,1
194,908.0,109.0,0.367662,1
195,704.0,116.0,0.481086,1
196,858.0,120.0,0.513873,1
197,654.0,129.0,0.411173,1
198,892.0,129.0,0.4275,1
199,86.0,136.0,0.41642,1
200,557.0,145.0,0.44462,1
201,624.0,140.0,0.366524,1
202,915.0,146.0,0.422638,1
203,402.0,144.0,0.384807,1
204,729.0,161.0,0.49449,1
205,93.0,150.0,0.394668,1
206,332.0,152.0,0.389861,1
207,791.0,154.0,0.42526,1
208,415.0,163.0,0.371299,1
209,449.0,166.0,0.373143,1
210,24.0,167.0,0.365969,1
211,841.0,167.0,0.36763,1
212,387.0,170.0,0.400597,1
213,275.0,172.0,0.380172,1
214,64.0,177.0,0.385678,1
215,964.0,177.0,0.354183,1
216,262.0,185.0,0.367721,1
