d3mIndex,V1,V2,V3,Class
0,85.0,670.0,0.593028,4
1,862.0,710.0,0.448308,5
2,246.0,81.0,0.542172,1
3,752.0,23.0,0.486208,1
4,183.0,36.0,0.479569,1
5,819.0,30.0,0.392623,1
6,956.0,26.0,0.36543,1
7,358.0,38.0,0.398436,1
8,404.0,30.0,0.355458,1
9,134.0,45.0,0.352919,1
10,938.0,58.0,0.379547,1
11,835.0,61.0,0.375717,1
12,998.0,63.0,0.350374,1
13,735.0,73.0,0.374773,1
14,802.0,95.0,0.450348,1
15,951.0,80.0,0.418886,1
16,830.0,81.0,0.381493,1
17,131.0,89.0,0.388446,1
18,171.0,94.0,0.4319,1
19,908.0,89.0,0.352312,1
20,511.0,100.0,0.503582,1
21,906.0,99.0,0.354058,1
22,128.0,104.0,0.390722,1
23,396.0,111.0,0.384344,1
24,351.0,118.0,0.473087,1
25,980.0,134.0,0.563522,1
26,512.0,142.0,0.374497,1
27,522.0,135.0,0.379313,1
28,715.0,146.0,0.432514,1
29,637.0,142.0,0.377328,1
30,665.0,147.0,0.36741,1
31,232.0,161.0,0.413089,1
32,893.0,157.0,0.427301,1
33,790.0,167.0,0.452351,1
34,750.0,165.0,0.384499,1
35,396.0,186.0,0.401352,1
36,532.0,192.0,0.568868,1
37,172.0,174.0,0.396238,1
38,888.0,177.0,0.409047,1
39,226.0,216.0,0.510258,1
40,948.0,180.0,0.362302,1
41,740.0,185.0,0.462653,1
42,284.0,196.0,0.401355,1
43,804.0,204.0,0.435041,1
44,174.0,210.0,0.40142,1
45,897.0,208.0,0.393122,1
46,950.0,219.0,0.423102,1
47,291.0,214.0,0.377171,1
48,662.0,214.0,0.36294,1
49,278.0,216.0,0.365119,1
50,736.0,232.0,0.506351,1
51,702.0,223.0,0.45001,1
52,752.0,322.0,0.527058,1
53,867.0,244.0,0.466927,1
54,522.0,228.0,0.357102,1
55,176.0,241.0,0.462146,1
56,524.0,238.0,0.393186,1
57,441.0,244.0,0.436505,1
58,701.0,242.0,0.358026,1
59,398.0,251.0,0.411581,1
60,323.0,249.0,0.445251,1
61,891.0,254.0,0.386682,1
62,941.0,264.0,0.479314,1
63,556.0,264.0,0.3661,1
64,242.0,284.0,0.480902,1
65,658.0,279.0,0.45707,1
66,424.0,286.0,0.404061,1
67,122.0,288.0,0.418179,1
68,325.0,292.0,0.428323,1
69,882.0,284.0,0.484662,1
70,164.0,285.0,0.354981,1
71,213.0,321.0,0.543149,1
72,163.0,300.0,0.426345,1
73,613.0,297.0,0.372821,1
74,983.0,297.0,0.392026,1
75,495.0,297.0,0.372934,1
76,704.0,303.0,0.384771,1
77,563.0,308.0,0.469988,1
78,673.0,376.0,0.583527,1
79,411.0,313.0,0.408697,1
80,114.0,312.0,0.364844,1
81,604.0,320.0,0.36339,1
82,436.0,325.0,0.352554,1
83,159.0,333.0,0.371245,1
84,418.0,330.0,0.351827,1
85,318.0,338.0,0.409498,1
86,848.0,353.0,0.392316,1
87,604.0,338.0,0.352587,1
88,940.0,397.0,0.585469,1
89,593.0,372.0,0.48213,1
90,188.0,463.0,0.588601,1
91,558.0,358.0,0.36024,1
92,158.0,419.0,0.507309,1
93,241.0,370.0,0.375617,1
94,982.0,375.0,0.385682,1
95,375.0,398.0,0.499604,1
96,454.0,385.0,0.429522,1
97,310.0,387.0,0.405367,1
98,94.0,386.0,0.388954,1
99,122.0,387.0,0.39311,1
100,513.0,397.0,0.409244,1
101,502.0,423.0,0.464456,1
102,90.0,433.0,0.502683,1
103,577.0,430.0,0.371436,1
104,809.0,494.0,0.541527,1
105,886.0,438.0,0.518973,1
106,781.0,442.0,0.407952,1
107,573.0,449.0,0.393771,1
108,113.0,453.0,0.398641,1
109,543.0,456.0,0.406911,1
110,589.0,454.0,0.370472,1
111,712.0,471.0,0.466462,1
112,430.0,456.0,0.353738,1
113,366.0,473.0,0.418583,1
114,651.0,479.0,0.366656,1
115,490.0,481.0,0.362893,1
116,678.0,482.0,0.370623,1
117,440.0,490.0,0.407874,1
118,644.0,510.0,0.526078,1
119,136.0,550.0,0.578784,1
120,775.0,510.0,0.458548,1
121,883.0,535.0,0.460581,1
122,854.0,516.0,0.498707,1
123,293.0,518.0,0.388222,1
124,611.0,517.0,0.372653,1
125,69.0,533.0,0.400278,1
126,689.0,533.0,0.390314,1
127,970.0,530.0,0.352929,1
128,537.0,536.0,0.392182,1
129,626.0,551.0,0.41923,1
130,544.0,550.0,0.356753,1
131,972.0,550.0,0.351223,1
132,169.0,557.0,0.398507,1
133,678.0,579.0,0.62908,1
134,74.0,577.0,0.422851,1
135,527.0,583.0,0.506026,1
136,762.0,572.0,0.38137,1
137,875.0,574.0,0.430797,1
138,786.0,583.0,0.438402,1
139,163.0,607.0,0.464208,1
140,569.0,585.0,0.36829,1
141,765.0,632.0,0.511669,1
142,557.0,610.0,0.486267,1
143,282.0,595.0,0.355956,1
144,838.0,612.0,0.46139,1
145,73.0,625.0,0.517216,1
146,500.0,610.0,0.39104,1
147,283.0,612.0,0.371839,1
148,130.0,634.0,0.482214,1
149,711.0,625.0,0.576614,1
150,283.0,620.0,0.357376,1
151,534.0,663.0,0.586982,1
152,825.0,641.0,0.383865,1
153,149.0,683.0,0.48115,1
154,674.0,652.0,0.359029,1
155,814.0,665.0,0.459967,1
156,208.0,671.0,0.403624,1
157,271.0,673.0,0.376008,1
158,972.0,676.0,0.397218,1
159,655.0,676.0,0.377762,1
160,17.0,681.0,0.407629,1
161,231.0,684.0,0.38712,1
162,273.0,690.0,0.378089,1
163,636.0,704.0,0.51212,1
164,718.0,694.0,0.529977,1
165,484.0,703.0,0.493473,1
166,605.0,693.0,0.409006,1
167,750.0,694.0,0.406702,1
168,519.0,697.0,0.371455,1
169,68.0,699.0,0.369454,1
170,794.0,715.0,0.526669,1
171,216.0,708.0,0.370976,1
172,123.0,725.0,0.39823,1
173,745.0,720.0,0.479405,1
174,510.0,724.0,0.406968,1
175,967.0,723.0,0.422909,1
176,629.0,736.0,0.450558,1
177,68.0,763.0,0.543912,1
178,188.0,765.0,0.486239,1
179,504.0,744.0,0.43432,1
180,940.0,751.0,0.411394,1
181,987.0,746.0,0.391474,1
182,550.0,750.0,0.35373,1
183,500.0,768.0,0.552092,1
184,552.0,762.0,0.427839,1
185,142.0,809.0,0.526516,1
186,146.0,771.0,0.369843,1
187,861.0,778.0,0.430792,1
188,264.0,781.0,0.378701,1
189,583.0,781.0,0.380314,1
