d3mIndex,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,Class
0,5.23,3483.0,0.13,2.0,v2,v1,7159.0,v3,1.0,v1,1.37,2.0,class1
1,5.74,3123.0,0.62,2.0,v1,v1,4642.0,v2,1.0,v1,1.98,2.0,class2
2,5.68,3096.0,0.52,1.0,v1,v1,4519.0,v3,2.0,v2,0.56,0.0,class2
3,2.95,3076.0,0.43,2.0,v1,v1,4574.0,v2,0.0,v1,1.86,1.0,class3
4,7.47,3126.0,0.14,2.0,v2,v2,3285.0,v2,1.0,v2,2.01,2.0,class2
5,5.98,3140.0,0.42,1.0,v2,v2,4684.0,v2,1.0,v3,1.17,0.0,class3
6,5.46,3136.0,0.46,1.0,v1,v1,3814.0,v2,1.0,v1,1.87,1.0,class1
7,1.54,3134.0,0.13,1.0,v1,v2,5502.0,v3,1.0,v3,1.99,1.0,class1
8,1.84,3551.0,0.59,1.0,v2,v1,4552.0,v3,2.0,v1,1.9,1.0,class3
9,8.29,3493.0,0.44,0.0,v2,v1,6196.0,v2,1.0,v1,1.95,2.0,class3
10,6.19,3488.0,0.44,0.0,v1,v1,7183.0,v1,0.0,v1,0.95,1.0,class2
11,5.51,3141.0,0.44,2.0,v1,v1,7187.0,v1,1.0,v1,0.59,0.0,class2
12,7.32,3135.0,0.14,1.0,v1,v1,7230.0,v1,2.0,v1,1.6,2.0,class1
13,1.83,3469.0,0.53,2.0,v1,v1,4318.0,v3,0.0,v1,2.01,1.0,class1
14,7.02,3117.0,0.51,1.0,v2,v1,4577.0,v3,0.0,v1,1.21,0.0,class1
15,2.13,3506.0,0.61,1.0,v1,v1,5560.0,v1,2.0,v1,0.57,1.0,class3
16,6.13,3076.0,0.27,1.0,v2,v2,4416.0,v3,2.0,v2,1.06,0.0,class2
17,1.58,3178.0,0.21,1.0,v1,v2,4586.0,v2,1.0,v3,0.59,1.0,class2
18,7.26,3511.0,0.32,0.0,v1,v1,5602.0,v2,0.0,v1,1.83,1.0,class3
19,6.22,3133.0,0.47,2.0,v2,v1,3738.0,v3,2.0,v1,1.65,1.0,class2
20,6.23,3467.0,0.47,0.0,v1,v1,6588.0,v1,2.0,v1,1.94,2.0,class1
21,1.49,3551.0,0.41,0.0,v2,v1,7325.0,v1,0.0,v1,1.08,1.0,class3
22,7.48,3288.0,0.51,0.0,v2,v1,3098.0,v3,1.0,v1,1.2,1.0,class3
23,5.67,3123.0,0.51,1.0,v2,v1,3759.0,v3,2.0,v3,1.08,1.0,class3
24,2.05,3145.0,0.49,1.0,v2,v1,5822.0,v1,1.0,v1,1.13,0.0,class2
25,6.54,3122.0,0.53,1.0,v1,v1,7228.0,v1,1.0,v1,1.53,1.0,class1
26,1.66,3076.0,0.24,0.0,v1,v1,7290.0,v1,1.0,v1,1.19,1.0,class3
27,6.81,3132.0,0.4,2.0,v2,v1,3937.0,v2,0.0,v1,0.73,1.0,class2
28,2.46,3121.0,0.46,2.0,v2,v2,4584.0,v1,0.0,v2,0.55,2.0,class3
29,1.64,3147.0,0.43,1.0,v1,v1,4551.0,v2,2.0,v1,1.45,1.0,class1
30,1.55,3582.0,0.31,1.0,v2,v1,4518.0,v3,0.0,v1,1.73,2.0,class3
31,6.42,3599.0,0.62,1.0,v1,v1,3586.0,v1,0.0,v1,1.06,0.0,class3
32,6.04,3117.0,0.19,2.0,v2,v1,4569.0,v2,1.0,v1,0.6,1.0,class1
33,6.3,3130.0,0.24,1.0,v1,v1,3417.0,v3,2.0,v1,0.88,0.0,class1
34,1.41,3198.0,0.49,0.0,v2,v1,7298.0,v1,1.0,v1,1.88,0.0,class1
35,6.49,3097.0,0.54,0.0,v1,v1,4165.0,v1,0.0,v1,0.6,1.0,class2
36,4.49,3115.0,0.13,2.0,v1,v1,7318.0,v1,1.0,v1,0.56,0.0,class2
37,1.48,3137.0,0.64,1.0,v1,v1,5267.0,v3,2.0,v1,2.0,1.0,class2
38,4.13,3146.0,0.5,2.0,v2,v1,5128.0,v1,2.0,v1,1.27,1.0,class2
39,6.97,3462.0,0.21,2.0,v2,v1,3813.0,v1,1.0,v1,1.77,1.0,class2
40,7.89,3180.0,0.29,0.0,v2,v1,4560.0,v3,1.0,v1,1.63,1.0,class1
41,1.87,3118.0,0.62,1.0,v1,v1,4568.0,v1,0.0,v1,1.56,1.0,class3
42,1.45,3317.0,0.44,0.0,v2,v1,5480.0,v3,2.0,v1,0.56,1.0,class3
43,8.0,3423.0,0.53,0.0,v2,v1,4570.0,v3,2.0,v1,0.84,1.0,class3
44,5.89,3488.0,0.51,0.0,v2,v1,3240.0,v3,1.0,v1,1.8,1.0,class2
45,4.49,3598.0,0.6,0.0,v1,v1,7307.0,v2,0.0,v1,1.88,1.0,class3
46,1.55,3488.0,0.49,2.0,v2,v1,4523.0,v3,0.0,v1,1.33,1.0,class2
47,5.48,3441.0,0.16,1.0,v2,v1,3043.0,v2,1.0,v1,1.77,1.0,class1
48,4.57,3478.0,0.13,2.0,v2,v1,4566.0,v2,2.0,v3,1.16,1.0,class3
49,6.52,3521.0,0.51,2.0,v2,v2,7295.0,v2,2.0,v3,0.69,0.0,class2
50,7.72,3227.0,0.17,0.0,v1,v1,7353.0,v2,0.0,v1,0.6,2.0,class2
51,1.5,3131.0,0.14,2.0,v2,v1,5875.0,v2,0.0,v1,1.24,2.0,class2
52,7.48,3425.0,0.14,0.0,v1,v2,4739.0,v1,1.0,v3,1.13,1.0,class1
53,7.56,3142.0,0.58,2.0,v2,v2,4504.0,v2,1.0,v3,1.69,1.0,class2
54,6.14,3529.0,0.13,0.0,v1,v1,6434.0,v2,2.0,v1,0.79,2.0,class3
55,6.27,3301.0,0.13,0.0,v1,v1,3132.0,v2,2.0,v1,1.24,2.0,class3
56,5.43,3604.0,0.13,1.0,v1,v1,4063.0,v1,1.0,v1,1.78,1.0,class3
57,2.01,3117.0,0.64,2.0,v2,v1,4535.0,v1,2.0,v1,1.16,1.0,class3
58,5.6,3115.0,0.14,2.0,v1,v1,7177.0,v1,0.0,v1,1.64,2.0,class2
59,1.97,3463.0,0.52,2.0,v2,v2,4531.0,v3,2.0,v3,0.59,0.0,class2
60,1.97,3211.0,0.45,0.0,v1,v1,4545.0,v1,1.0,v1,1.08,0.0,class3
61,1.58,3116.0,0.52,2.0,v1,v1,3570.0,v1,0.0,v1,0.58,1.0,class1
62,1.45,3131.0,0.51,2.0,v1,v1,4311.0,v3,2.0,v1,1.94,1.0,class1
63,1.41,3145.0,0.21,2.0,v1,v1,7306.0,v3,0.0,v1,1.44,1.0,class1
64,1.87,3134.0,0.44,2.0,v1,v1,7266.0,v2,0.0,v1,1.73,0.0,class3
65,5.45,3481.0,0.39,2.0,v1,v2,4513.0,v1,1.0,v3,1.87,1.0,class3
66,1.53,3144.0,0.52,1.0,v2,v2,7349.0,v2,1.0,v3,0.73,2.0,class3
67,5.6,3130.0,0.62,2.0,v1,v1,3053.0,v1,1.0,v1,0.58,1.0,class1
68,1.49,3134.0,0.44,2.0,v2,v1,4477.0,v2,1.0,v1,1.9,1.0,class3
69,1.57,3146.0,0.62,2.0,v1,v1,3040.0,v3,2.0,v1,0.99,0.0,class1
70,6.33,3140.0,0.52,2.0,v1,v1,5988.0,v1,2.0,v3,0.87,1.0,class2
71,6.24,3134.0,0.13,2.0,v2,v1,4443.0,v3,1.0,v1,0.57,2.0,class2
72,5.5,3120.0,0.14,2.0,v1,v1,6522.0,v2,0.0,v1,1.66,2.0,class1
73,5.29,3071.0,0.14,2.0,v1,v1,5950.0,v2,2.0,v1,1.77,0.0,class3
74,1.93,3134.0,0.13,2.0,v1,v1,3933.0,v2,2.0,v1,1.23,2.0,class1
75,2.01,3564.0,0.47,0.0,v2,v1,5756.0,v2,2.0,v1,1.66,1.0,class2
76,6.78,3302.0,0.56,0.0,v1,v1,4150.0,v1,0.0,v1,1.73,1.0,class2
77,5.49,3129.0,0.49,2.0,v1,v1,3106.0,v3,2.0,v1,1.74,2.0,class2
78,6.11,3141.0,0.65,2.0,v2,v1,4536.0,v2,0.0,v1,1.97,0.0,class2
79,7.34,3137.0,0.61,1.0,v1,v1,5146.0,v2,1.0,v1,1.23,2.0,class1
80,7.87,3526.0,0.19,0.0,v2,v1,4796.0,v2,1.0,v1,0.78,1.0,class3
81,6.92,3121.0,0.63,2.0,v1,v1,3059.0,v1,1.0,v1,0.99,0.0,class1
82,1.6,3409.0,0.14,0.0,v1,v1,6734.0,v3,0.0,v2,2.05,0.0,class2
83,1.63,3147.0,0.13,1.0,v1,v1,4499.0,v1,1.0,v1,1.63,2.0,class3
