d3mIndex,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Class
0,30.0,unemployed,married,primary,no,1787.0,no,no,cellular,19.0,oct,79.0,1.0,-1.0,0.0,unknown,1
1,33.0,services,married,secondary,no,4789.0,yes,yes,cellular,11.0,may,220.0,1.0,339.0,4.0,failure,1
2,35.0,management,single,tertiary,no,1350.0,yes,no,cellular,16.0,apr,185.0,1.0,330.0,1.0,failure,1
3,30.0,management,married,tertiary,no,1476.0,yes,yes,unknown,3.0,jun,199.0,4.0,-1.0,0.0,unknown,1
4,59.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5.0,may,226.0,1.0,-1.0,0.0,unknown,1
5,35.0,management,single,tertiary,no,747.0,no,no,cellular,23.0,feb,141.0,2.0,176.0,3.0,failure,1
6,36.0,self-employed,married,tertiary,no,307.0,yes,no,cellular,14.0,may,341.0,1.0,330.0,2.0,other,1
7,39.0,technician,married,secondary,no,147.0,yes,no,cellular,6.0,may,151.0,2.0,-1.0,0.0,unknown,1
8,41.0,entrepreneur,married,tertiary,no,221.0,yes,no,unknown,14.0,may,57.0,2.0,-1.0,0.0,unknown,1
9,43.0,services,married,primary,no,-88.0,yes,yes,cellular,17.0,apr,313.0,1.0,147.0,2.0,failure,1
10,39.0,services,married,secondary,no,9374.0,yes,no,unknown,20.0,may,273.0,1.0,-1.0,0.0,unknown,1
11,43.0,admin.,married,secondary,no,264.0,yes,no,cellular,17.0,apr,113.0,2.0,-1.0,0.0,unknown,1
12,36.0,technician,married,tertiary,no,1109.0,no,no,cellular,13.0,aug,328.0,2.0,-1.0,0.0,unknown,1
13,20.0,student,single,secondary,no,502.0,no,no,cellular,30.0,apr,261.0,1.0,-1.0,0.0,unknown,2
14,31.0,blue-collar,married,secondary,no,360.0,yes,yes,cellular,29.0,jan,89.0,1.0,241.0,1.0,failure,1
15,40.0,management,married,tertiary,no,194.0,no,yes,cellular,29.0,aug,189.0,2.0,-1.0,0.0,unknown,1
16,56.0,technician,married,secondary,no,4073.0,no,no,cellular,27.0,aug,239.0,5.0,-1.0,0.0,unknown,1
17,37.0,admin.,single,tertiary,no,2317.0,yes,no,cellular,20.0,apr,114.0,1.0,152.0,2.0,failure,1
18,25.0,blue-collar,single,primary,no,-221.0,yes,no,unknown,23.0,may,250.0,1.0,-1.0,0.0,unknown,1
19,31.0,services,married,secondary,no,132.0,no,no,cellular,7.0,jul,148.0,1.0,152.0,1.0,other,1
20,38.0,management,divorced,unknown,no,0.0,yes,no,cellular,18.0,nov,96.0,2.0,-1.0,0.0,unknown,1
21,42.0,management,divorced,tertiary,no,16.0,no,no,cellular,19.0,nov,140.0,3.0,-1.0,0.0,unknown,1
22,44.0,services,single,secondary,no,106.0,no,no,unknown,12.0,jun,109.0,2.0,-1.0,0.0,unknown,1
23,44.0,entrepreneur,married,secondary,no,93.0,no,no,cellular,7.0,jul,125.0,2.0,-1.0,0.0,unknown,1
24,26.0,housemaid,married,tertiary,no,543.0,no,no,cellular,30.0,jan,169.0,3.0,-1.0,0.0,unknown,1
25,41.0,management,married,tertiary,no,5883.0,no,no,cellular,20.0,nov,182.0,2.0,-1.0,0.0,unknown,1
26,55.0,blue-collar,married,primary,no,627.0,yes,no,unknown,5.0,may,247.0,1.0,-1.0,0.0,unknown,1
27,67.0,retired,married,unknown,no,696.0,no,no,telephone,17.0,aug,119.0,1.0,105.0,2.0,failure,1
28,56.0,self-employed,married,secondary,no,784.0,no,yes,cellular,30.0,jul,149.0,2.0,-1.0,0.0,unknown,1
29,53.0,admin.,married,secondary,no,105.0,no,yes,cellular,21.0,aug,74.0,2.0,-1.0,0.0,unknown,1
30,68.0,retired,divorced,secondary,no,4189.0,no,no,telephone,14.0,jul,897.0,2.0,-1.0,0.0,unknown,2
31,31.0,technician,married,secondary,no,171.0,no,no,cellular,27.0,aug,81.0,3.0,-1.0,0.0,unknown,1
32,59.0,management,married,secondary,no,42.0,no,no,cellular,21.0,nov,40.0,1.0,-1.0,0.0,unknown,1
33,32.0,management,single,tertiary,no,2536.0,yes,no,cellular,26.0,aug,958.0,6.0,-1.0,0.0,unknown,2
34,49.0,technician,married,tertiary,no,1235.0,no,no,cellular,13.0,aug,354.0,3.0,-1.0,0.0,unknown,2
35,42.0,admin.,divorced,secondary,no,1811.0,yes,no,unknown,14.0,may,150.0,1.0,-1.0,0.0,unknown,1
36,78.0,retired,divorced,primary,no,229.0,no,no,telephone,22.0,oct,97.0,1.0,-1.0,0.0,unknown,2
37,32.0,blue-collar,married,secondary,no,2089.0,yes,no,cellular,14.0,nov,132.0,1.0,-1.0,0.0,unknown,2
38,33.0,management,married,secondary,no,3935.0,yes,no,cellular,6.0,may,765.0,1.0,342.0,2.0,failure,2
39,23.0,services,single,tertiary,no,363.0,yes,no,unknown,30.0,may,16.0,18.0,-1.0,0.0,unknown,1
40,38.0,management,single,tertiary,no,11971.0,yes,no,unknown,17.0,nov,609.0,2.0,101.0,3.0,failure,1
41,36.0,management,single,tertiary,no,553.0,no,no,cellular,11.0,aug,106.0,2.0,-1.0,0.0,unknown,1
42,52.0,blue-collar,married,secondary,no,1117.0,yes,no,cellular,13.0,may,365.0,1.0,-1.0,0.0,unknown,1
43,32.0,technician,married,tertiary,no,396.0,yes,no,cellular,13.0,may,205.0,3.0,-1.0,0.0,unknown,1
44,32.0,technician,single,tertiary,no,2204.0,yes,no,cellular,21.0,nov,11.0,4.0,-1.0,0.0,unknown,1
45,34.0,management,single,tertiary,no,872.0,yes,no,unknown,7.0,may,105.0,2.0,-1.0,0.0,unknown,1
46,55.0,blue-collar,married,primary,no,145.0,no,no,telephone,2.0,feb,59.0,3.0,5.0,2.0,other,1
47,26.0,blue-collar,married,primary,no,0.0,yes,no,unknown,21.0,may,425.0,1.0,-1.0,0.0,unknown,1
48,32.0,entrepreneur,single,primary,yes,-849.0,yes,yes,cellular,4.0,feb,204.0,1.0,-1.0,0.0,unknown,1
49,61.0,admin.,married,unknown,no,4629.0,yes,no,cellular,27.0,jan,181.0,1.0,92.0,1.0,success,2
50,45.0,blue-collar,divorced,primary,no,844.0,no,no,unknown,5.0,jun,1018.0,3.0,-1.0,0.0,unknown,2
51,37.0,technician,single,secondary,no,228.0,yes,no,cellular,20.0,aug,1740.0,2.0,-1.0,0.0,unknown,1
52,38.0,technician,single,secondary,no,50.0,no,no,cellular,29.0,aug,98.0,2.0,-1.0,0.0,unknown,1
53,34.0,technician,married,tertiary,no,1539.0,yes,no,cellular,15.0,jun,441.0,1.0,56.0,1.0,other,2
54,53.0,blue-collar,married,secondary,no,2231.0,yes,no,cellular,14.0,jul,272.0,3.0,-1.0,0.0,unknown,1
55,48.0,admin.,married,secondary,no,3064.0,yes,no,telephone,15.0,jul,159.0,2.0,-1.0,0.0,unknown,1
56,57.0,management,married,secondary,no,82.0,no,yes,telephone,4.0,feb,140.0,1.0,-1.0,0.0,unknown,1
57,33.0,self-employed,single,tertiary,no,2155.0,no,no,cellular,17.0,nov,295.0,1.0,-1.0,0.0,unknown,1
58,36.0,retired,single,secondary,no,101.0,yes,yes,unknown,26.0,may,314.0,1.0,-1.0,0.0,unknown,1
59,54.0,technician,divorced,secondary,no,784.0,yes,yes,unknown,15.0,may,579.0,1.0,-1.0,0.0,unknown,1
60,41.0,blue-collar,married,primary,no,-516.0,no,yes,telephone,8.0,jul,554.0,3.0,-1.0,0.0,unknown,1
61,63.0,retired,married,secondary,no,415.0,yes,no,cellular,7.0,oct,323.0,1.0,-1.0,0.0,unknown,1
62,48.0,management,married,tertiary,no,5887.0,no,no,cellular,13.0,aug,227.0,2.0,-1.0,0.0,unknown,1
63,48.0,services,married,secondary,no,1355.0,no,no,cellular,4.0,jul,134.0,2.0,-1.0,0.0,unknown,1
64,56.0,admin.,married,secondary,no,16873.0,no,no,cellular,7.0,oct,223.0,1.0,-1.0,0.0,unknown,1
65,51.0,blue-collar,divorced,secondary,no,203.0,yes,no,cellular,8.0,may,134.0,1.0,170.0,5.0,failure,1
66,31.0,services,married,secondary,no,338.0,yes,no,cellular,28.0,jan,155.0,1.0,-1.0,0.0,unknown,1
67,29.0,technician,married,secondary,no,444.0,yes,no,cellular,21.0,jul,130.0,4.0,-1.0,0.0,unknown,1
68,41.0,management,married,secondary,no,0.0,no,yes,cellular,7.0,jul,630.0,3.0,-1.0,0.0,unknown,1
69,32.0,technician,single,tertiary,no,360.0,no,no,cellular,19.0,nov,164.0,2.0,-1.0,0.0,unknown,1
70,37.0,management,married,tertiary,no,0.0,no,no,cellular,16.0,jul,268.0,2.0,182.0,3.0,success,2
71,42.0,entrepreneur,divorced,tertiary,yes,2.0,yes,no,unknown,5.0,may,380.0,1.0,-1.0,0.0,unknown,1
72,31.0,management,single,tertiary,no,6248.0,yes,no,unknown,9.0,may,154.0,2.0,-1.0,0.0,unknown,1
73,41.0,services,married,tertiary,no,412.0,yes,no,unknown,3.0,jun,154.0,5.0,-1.0,0.0,unknown,1
74,56.0,retired,married,secondary,no,344.0,yes,no,unknown,15.0,may,221.0,1.0,-1.0,0.0,unknown,1
75,54.0,management,divorced,tertiary,no,3222.0,no,no,cellular,14.0,aug,67.0,2.0,-1.0,0.0,unknown,1
76,41.0,blue-collar,divorced,secondary,no,174.0,yes,no,cellular,14.0,may,367.0,2.0,297.0,1.0,other,1
77,40.0,technician,single,secondary,no,591.0,no,yes,cellular,14.0,aug,87.0,6.0,-1.0,0.0,unknown,1
78,50.0,blue-collar,divorced,primary,no,388.0,no,no,cellular,5.0,feb,701.0,1.0,-1.0,0.0,unknown,1
79,40.0,unemployed,married,secondary,no,219.0,yes,no,cellular,17.0,nov,204.0,2.0,196.0,1.0,failure,1
80,27.0,admin.,divorced,secondary,no,451.0,yes,no,cellular,16.0,jul,652.0,1.0,-1.0,0.0,unknown,2
81,60.0,retired,married,primary,no,5.0,no,no,cellular,26.0,aug,63.0,2.0,-1.0,0.0,unknown,1
82,28.0,admin.,single,secondary,no,177.0,yes,yes,cellular,6.0,may,150.0,1.0,-1.0,0.0,unknown,1
83,52.0,services,married,secondary,no,657.0,no,no,telephone,7.0,jul,398.0,2.0,460.0,2.0,failure,2
84,37.0,management,married,tertiary,no,1315.0,no,no,cellular,30.0,jun,224.0,1.0,-1.0,0.0,unknown,2
85,51.0,blue-collar,married,primary,no,1466.0,yes,no,unknown,7.0,may,406.0,2.0,-1.0,0.0,unknown,1
86,41.0,technician,single,secondary,no,879.0,no,yes,cellular,7.0,jul,60.0,4.0,-1.0,0.0,unknown,1
87,35.0,blue-collar,single,primary,no,293.0,yes,no,unknown,30.0,may,521.0,2.0,-1.0,0.0,unknown,1
88,38.0,admin.,married,secondary,no,424.0,yes,no,cellular,17.0,apr,279.0,1.0,-1.0,0.0,unknown,1
89,34.0,blue-collar,married,secondary,no,1831.0,yes,no,unknown,20.0,may,203.0,2.0,-1.0,0.0,unknown,1
90,39.0,blue-collar,married,primary,no,111.0,no,no,cellular,18.0,nov,201.0,2.0,-1.0,0.0,unknown,1
91,34.0,blue-collar,married,primary,no,455.0,yes,no,unknown,20.0,jun,372.0,3.0,-1.0,0.0,unknown,1
92,27.0,services,single,secondary,no,-195.0,yes,no,cellular,18.0,may,391.0,1.0,-1.0,0.0,unknown,2
93,32.0,management,single,tertiary,no,3616.0,no,no,cellular,14.0,aug,165.0,2.0,-1.0,0.0,unknown,1
94,57.0,blue-collar,married,secondary,no,14093.0,no,no,cellular,11.0,aug,231.0,5.0,-1.0,0.0,unknown,1
