d3mIndex,att_1,att_2,class
0,0.747253,0.894737,-1.0
1,0.692308,-0.824561,1.0
2,0.472527,-0.064327,-1.0
3,0.362637,0.789474,-1.0
4,0.769231,-0.321637,1.0
5,-0.692308,0.836257,-1.0
6,0.153846,0.274854,-1.0
7,0.10989,-0.929825,-1.0
8,-0.032967,-0.005848,-1.0
9,-0.747253,-0.602339,-1.0
10,-0.582418,0.847953,-1.0
11,-0.351648,-0.602339,-1.0
12,-0.21978,-0.263158,1.0
13,0.318681,0.54386,1.0
14,-0.725275,-0.438596,-1.0
15,-0.824176,-0.48538,-1.0
16,0.098901,-0.309942,1.0
17,0.912088,-0.730994,1.0
18,-0.10989,0.380117,-1.0
19,-0.373626,0.450292,-1.0
20,0.934066,0.555556,-1.0
21,0.417582,0.80117,-1.0
22,-0.186813,-0.005848,-1.0
23,-0.296703,0.497076,-1.0
24,0.153846,-0.099415,-1.0
25,0.450549,-0.076023,-1.0
26,-0.769231,-0.415205,-1.0
27,0.912088,0.181287,1.0
28,0.615385,-0.812865,1.0
29,-0.010989,-0.02924,-1.0
30,-0.142857,-0.578947,-1.0
31,-0.087912,-0.871345,-1.0
32,0.912088,0.076023,1.0
33,-0.032967,0.368421,-1.0
34,0.758242,0.859649,-1.0
35,0.736264,0.80117,-1.0
36,-0.571429,0.22807,-1.0
37,0.351648,0.169591,-1.0
38,0.846154,0.836257,-1.0
39,0.78022,-0.707602,1.0
40,0.197802,0.567251,1.0
41,-0.648352,0.695906,-1.0
42,0.912088,-0.333333,1.0
43,0.769231,-0.637427,1.0
44,0.186813,0.309942,-1.0
45,-0.901099,0.239766,-1.0
46,-0.406593,-0.099415,-1.0
47,0.78022,-0.918129,1.0
48,0.296703,0.497076,1.0
49,0.527473,-0.684211,1.0
50,0.626374,0.497076,1.0
51,-0.637363,0.087719,-1.0
52,0.21978,-0.812865,-1.0
53,-0.78022,-0.461988,-1.0
54,0.087912,-0.368421,1.0
55,0.395604,0.017544,-1.0
56,-0.956044,0.473684,-1.0
57,0.296703,0.216374,-1.0
58,0.10989,-0.707602,-1.0
59,-0.373626,0.590643,-1.0
60,0.065934,-0.730994,-1.0
61,-0.296703,-0.298246,1.0
62,-0.56044,0.660819,-1.0
63,-0.813187,0.356725,-1.0
64,0.142857,-0.836257,-1.0
65,-0.32967,0.578947,-1.0
66,-0.989011,0.181287,-1.0
67,0.758242,0.345029,1.0
68,-0.648352,-0.157895,-1.0
69,0.912088,0.040936,1.0
70,0.417582,0.602339,1.0
71,-0.296703,-0.567251,-1.0
72,0.384615,-0.157895,-1.0
73,0.362637,-0.649123,1.0
74,0.89011,-0.181287,1.0
75,-0.208791,-0.777778,-1.0
76,-0.395604,0.578947,-1.0
77,0.835165,0.660819,-1.0
78,0.901099,-0.74269,1.0
79,-0.637363,0.111111,-1.0
80,0.604396,-0.929825,1.0
81,-0.549451,0.719298,-1.0
82,0.494505,-0.707602,1.0
83,0.043956,-0.777778,-1.0
84,-0.010989,-0.672515,-1.0
85,0.021978,-0.076023,-1.0
86,0.758242,0.204678,1.0
87,0.384615,0.789474,-1.0
88,0.769231,-0.777778,1.0
89,0.384615,0.497076,1.0
90,-0.868132,0.438596,-1.0
91,0.879121,-0.578947,1.0
92,-0.186813,-0.730994,-1.0
93,-0.373626,0.146199,-1.0
94,-0.527473,0.80117,-1.0
95,-0.32967,-0.637427,-1.0
96,0.417582,-0.192982,-1.0
97,0.153846,0.005848,-1.0
98,0.318681,0.672515,1.0
99,0.549451,0.590643,1.0
100,0.241758,-0.824561,-1.0
101,-0.230769,0.380117,-1.0
102,-0.10989,-0.847953,-1.0
103,-0.659341,-0.040936,-1.0
104,0.868132,0.695906,-1.0
105,0.098901,-0.087719,-1.0
106,-0.714286,0.122807,-1.0
107,0.252747,0.356725,-1.0
108,0.835165,-0.368421,1.0
109,-0.846154,0.380117,-1.0
110,0.285714,-0.48538,1.0
111,0.758242,-0.321637,1.0
112,-0.406593,0.134503,-1.0
113,0.791209,-0.181287,1.0
114,-0.56044,-0.111111,-1.0
115,-0.318681,0.473684,-1.0
116,-0.648352,0.707602,-1.0
117,-0.516484,-0.812865,-1.0
118,0.065934,0.28655,-1.0
119,0.791209,0.918129,-1.0
120,0.934066,0.602339,-1.0
121,0.813187,-0.239766,1.0
122,-0.802198,-0.602339,-1.0
123,0.791209,0.871345,-1.0
124,0.505495,0.929825,-1.0
125,-0.472527,-0.74269,-1.0
126,-0.142857,-0.707602,-1.0
127,0.362637,-0.239766,-1.0
128,-0.582418,0.239766,-1.0
129,0.21978,-0.964912,-1.0
130,0.208791,-0.590643,1.0
131,0.824176,0.368421,1.0
132,-0.362637,0.403509,-1.0
133,0.054945,-0.497076,1.0
134,-0.637363,-0.625731,-1.0
135,0.351648,0.146199,-1.0
136,-0.021978,0.426901,-1.0
137,-0.230769,0.508772,-1.0
138,-0.758242,-0.438596,-1.0
139,-0.505495,-0.836257,-1.0
140,0.373626,-0.076023,-1.0
141,0.417582,0.064327,-1.0
142,-0.78022,-0.181287,-1.0
143,0.098901,-0.836257,-1.0
144,-0.714286,0.906433,-1.0
145,-0.945055,0.649123,-1.0
146,0.252747,0.567251,1.0
147,0.197802,0.637427,1.0
148,0.703297,0.812865,-1.0
149,-0.571429,-0.076023,-1.0
150,0.230769,0.602339,1.0
151,-0.208791,0.48538,-1.0
152,-0.098901,0.649123,1.0
153,0.846154,-0.906433,1.0
154,-0.879121,0.403509,-1.0
155,0.868132,0.614035,-1.0
156,-0.087912,-0.695906,-1.0
157,0.362637,0.637427,1.0
158,0.197802,-0.567251,1.0
159,-0.406593,0.532164,-1.0
160,-0.142857,0.660819,1.0
161,-0.142857,-0.122807,-1.0
162,-0.142857,-0.052632,-1.0
163,-0.538462,0.111111,-1.0
164,0.208791,0.380117,-1.0
165,0.67033,0.309942,1.0
166,0.428571,-0.660819,1.0
167,-0.615385,-0.134503,-1.0
168,-0.21978,-0.122807,-1.0
169,-0.736264,-0.087719,-1.0
170,-0.461538,-0.040936,-1.0
171,0.769231,0.789474,-1.0
172,0.065934,-0.94152,-1.0
173,-0.098901,0.754386,1.0
174,-0.802198,0.906433,-1.0
175,0.384615,0.94152,-1.0
176,0.384615,0.473684,1.0
177,0.10989,0.520468,1.0
178,0.318681,0.614035,1.0
179,-0.252747,0.321637,-1.0
180,-0.747253,-0.532164,-1.0
181,-0.21978,0.309942,-1.0
182,0.516484,-0.146199,-1.0
183,-0.274725,-0.766082,-1.0
184,0.857143,0.368421,1.0
185,0.791209,-0.707602,1.0
186,-0.604396,0.847953,-1.0
187,-0.681319,0.637427,-1.0
188,0.527473,0.964912,-1.0
189,-0.417582,-0.660819,-1.0
190,-0.538462,0.22807,-1.0
191,0.197802,0.649123,1.0
192,-0.582418,0.181287,-1.0
193,-0.703297,-0.74269,-1.0
194,0.032967,-0.134503,-1.0
195,-0.351648,-0.391813,1.0
196,0.263736,0.532164,1.0
197,0.758242,0.169591,1.0
198,0.505495,0.461988,1.0
199,-0.351648,-0.567251,-1.0
200,0.197802,-0.555556,1.0
201,-0.626374,-0.707602,-1.0
202,0.923077,-0.80117,1.0
203,-0.318681,-0.719298,-1.0
204,-0.692308,-0.754386,-1.0
205,-0.538462,-0.812865,-1.0
