d3mIndex,global_id,event_id,wire_id,energy_deposit,relative_time,label
0,761940,170,0,0.0,0.0,0
1,761941,170,1,0.0,0.0,0
2,761942,170,2,0.0,0.0,0
3,761943,170,3,0.0,0.0,0
4,761944,170,4,5.03886814637e-07,906.081985941,0
5,761945,170,5,1.87897378003e-06,341.030602013,0
6,761946,170,6,1.85687360588e-06,338.372669731,0
7,761947,170,7,0.0,0.0,0
8,761948,170,8,0.0,0.0,0
9,761949,170,9,0.0,0.0,0
10,761950,170,10,0.0,0.0,0
11,761951,170,11,0.0,0.0,0
12,761952,170,12,0.0,0.0,0
13,761953,170,13,0.0,0.0,0
14,761954,170,14,0.0,0.0,0
15,761955,170,15,0.0,0.0,0
16,761956,170,16,4.02453344352e-05,1108.34144433,0
17,761957,170,17,0.0,0.0,0
18,761958,170,18,0.0,0.0,0
19,761959,170,19,0.0,0.0,0
20,761960,170,20,0.0,0.0,0
21,761961,170,21,0.0,0.0,0
22,761962,170,22,0.0,0.0,0
23,761963,170,23,0.0,0.0,0
24,761964,170,24,0.0,0.0,0
25,761965,170,25,0.0,0.0,0
26,761966,170,26,0.0,0.0,0
27,761967,170,27,0.0,0.0,0
28,761968,170,28,0.0,0.0,0
29,761969,170,29,0.0,0.0,0
30,761970,170,30,0.0,0.0,0
31,761971,170,31,0.0,0.0,0
32,761972,170,32,0.0,0.0,0
33,761973,170,33,5.76438128728e-05,904.0775966,0
34,761974,170,34,1.27585252598e-05,2.56574565412,0
35,761975,170,35,0.0,0.0,0
36,761976,170,36,3.82074852236e-05,1096.31294141,0
37,761977,170,37,0.0,0.0,0
38,761978,170,38,0.0,0.0,0
39,761979,170,39,0.0,0.0,0
40,761980,170,40,0.0,0.0,0
41,761981,170,41,0.0,0.0,0
42,761982,170,42,0.0,0.0,0
43,761983,170,43,2.90719996295e-06,546.041667546,0
44,761984,170,44,1.46121817692e-05,400.225771085,0
45,761985,170,45,0.0,0.0,0
46,761986,170,46,0.0,0.0,0
47,761987,170,47,0.0,0.0,0
48,761988,170,48,0.0,0.0,0
49,761989,170,49,0.0,0.0,0
50,761990,170,50,0.0,0.0,0
51,761991,170,51,0.0,0.0,0
52,761992,170,52,0.0,0.0,0
53,761993,170,53,0.0,0.0,0
54,761994,170,54,0.0,0.0,0
55,761995,170,55,0.0,0.0,0
56,761996,170,56,0.0,0.0,0
57,761997,170,57,0.0,0.0,0
58,761998,170,58,0.0,0.0,0
59,761999,170,59,0.0,0.0,0
60,762000,170,60,0.0,0.0,0
61,762001,170,61,0.0,0.0,0
62,762002,170,62,0.0,0.0,0
63,762003,170,63,0.0,0.0,0
64,762004,170,64,0.0,0.0,0
65,762005,170,65,0.0,0.0,0
66,762006,170,66,0.0,0.0,0
67,762007,170,67,0.0,0.0,0
68,762008,170,68,0.0,0.0,0
69,762009,170,69,0.0,0.0,0
70,762010,170,70,0.0,0.0,0
71,762011,170,71,0.0,0.0,0
72,762012,170,72,0.0,0.0,0
73,762013,170,73,0.0,0.0,0
74,762014,170,74,0.0,0.0,0
75,762015,170,75,5.56795705181e-07,442.863542152,1
76,762016,170,76,3.17541985123e-06,1169.21149822,1
77,762017,170,77,8.47650168999e-07,651.37216762,1
78,762018,170,78,0.0,0.0,0
79,762019,170,79,0.0,0.0,0
80,762020,170,80,0.0,0.0,0
81,762021,170,81,0.0,0.0,0
82,762022,170,82,0.0,0.0,0
83,762023,170,83,0.0,0.0,0
84,762024,170,84,0.0,0.0,0
85,762025,170,85,0.0,0.0,0
86,762026,170,86,0.0,0.0,0
87,762027,170,87,0.0,0.0,0
88,762028,170,88,0.0,0.0,0
89,762029,170,89,0.0,0.0,0
90,762030,170,90,0.0,0.0,0
91,762031,170,91,0.0,0.0,0
92,762032,170,92,0.0,0.0,0
93,762033,170,93,0.0,0.0,0
94,762034,170,94,0.0,0.0,0
95,762035,170,95,0.0,0.0,0
96,762036,170,96,0.0,0.0,0
97,762037,170,97,0.0,0.0,0
98,762038,170,98,0.0,0.0,0
99,762039,170,99,0.0,0.0,0
100,762040,170,100,0.0,0.0,0
101,762041,170,101,0.0,0.0,0
102,762042,170,102,0.0,0.0,0
103,762043,170,103,0.0,0.0,0
104,762044,170,104,0.0,0.0,0
105,762045,170,105,0.0,0.0,0
106,762046,170,106,0.0,0.0,0
107,762047,170,107,0.0,0.0,0
108,762048,170,108,2.83110470652e-06,739.995321842,0
109,762049,170,109,6.15212820859e-06,604.617868881,0
110,762050,170,110,8.41349521925e-06,529.739406162,0
111,762051,170,111,1.52035506504e-06,674.603793435,0
112,762052,170,112,0.0,0.0,0
113,762053,170,113,0.0,0.0,0
114,762054,170,114,1.06417735059e-06,189.383213699,1
115,762055,170,115,2.95751048919e-06,162.734764927,1
116,762056,170,116,5.51902820308e-07,237.378549114,1
117,762057,170,117,0.0,0.0,0
118,762058,170,118,0.0,0.0,0
119,762059,170,119,0.0,0.0,0
120,762060,170,120,0.0,0.0,0
121,762061,170,121,0.0,0.0,0
122,762062,170,122,0.0,0.0,0
123,762063,170,123,0.0,0.0,0
124,762064,170,124,0.0,0.0,0
125,762065,170,125,0.0,0.0,0
126,762066,170,126,4.96885068626e-05,704.493223339,0
127,762067,170,127,0.0,0.0,0
128,762068,170,128,0.0,0.0,0
129,762069,170,129,0.0,0.0,0
130,762070,170,130,0.0,0.0,0
131,762071,170,131,1.69530687057e-06,529.075419002,0
132,762072,170,132,0.0,0.0,0
133,762073,170,133,0.0,0.0,0
134,762074,170,134,0.0,0.0,0
135,762075,170,135,0.0,0.0,0
136,762076,170,136,0.0,0.0,0
137,762077,170,137,0.0,0.0,0
138,762078,170,138,0.0,0.0,0
139,762079,170,139,0.0,0.0,0
140,762080,170,140,0.0,0.0,0
141,762081,170,141,0.0,0.0,0
142,762082,170,142,0.0,0.0,0
143,762083,170,143,0.0,0.0,0
144,762084,170,144,0.0,0.0,0
145,762085,170,145,2.65401194254e-05,551.552749429,0
146,762086,170,146,0.0,0.0,0
147,762087,170,147,0.0,0.0,0
148,762088,170,148,0.0,0.0,0
149,762089,170,149,3.6610367504e-05,48.0097061646,0
150,762090,170,150,6.97608815881e-05,185.999598556,0
151,762091,170,151,2.99733293862e-08,955.124619969,0
152,762092,170,152,1.81842778974e-06,32.88426189,0
153,762093,170,153,5.73408350058e-08,138.893817948,0
154,762094,170,154,0.0,0.0,0
155,762095,170,155,0.000314542604548,719.598438147,0
156,762096,170,156,3.18065960303e-06,12.1251518669,0
157,762097,170,157,0.0,0.0,0
158,762098,170,158,0.0,0.0,0
159,762099,170,159,0.0,0.0,0
160,762100,170,160,3.57883689317e-05,1152.49569294,0
161,762101,170,161,0.0,0.0,0
162,762102,170,162,0.0,0.0,0
163,762103,170,163,0.0,0.0,0
164,762104,170,164,1.34371088849e-06,1143.22946705,0
165,762105,170,165,0.0,0.0,0
166,762106,170,166,0.0,0.0,0
167,762107,170,167,0.0,0.0,0
168,762108,170,168,0.0,0.0,0
169,762109,170,169,0.0,0.0,0
170,762110,170,170,0.0,0.0,0
171,762111,170,171,0.0,0.0,0
172,762112,170,172,0.0,0.0,0
173,762113,170,173,0.0,0.0,0
174,762114,170,174,0.0,0.0,0
175,762115,170,175,0.0,0.0,0
176,762116,170,176,0.0,0.0,0
177,762117,170,177,0.0,0.0,0
178,762118,170,178,0.0,0.0,0
179,762119,170,179,0.0,0.0,0
180,762120,170,180,0.0,0.0,0
181,762121,170,181,0.0,0.0,0
182,762122,170,182,0.0,0.0,0
183,762123,170,183,8.37395671824e-05,514.624137493,0
184,762124,170,184,0.0,0.0,0
185,762125,170,185,9.1922692341e-07,1152.09816553,0
186,762126,170,186,2.05495416784e-05,403.889235206,0
187,762127,170,187,1.52389244447e-05,587.720125299,0
188,762128,170,188,0.0,0.0,0
189,762129,170,189,0.0,0.0,0
190,762130,170,190,3.80706746837e-05,918.18916737,0
191,762131,170,191,0.0,0.0,0
192,762132,170,192,0.0,0.0,0
193,762133,170,193,0.0,0.0,0
194,762134,170,194,0.0,0.0,0
195,762135,170,195,0.0,0.0,0
196,762136,170,196,0.0,0.0,0
197,762137,170,197,0.0,0.0,0
198,762138,170,198,0.0,0.0,0
199,762139,170,199,4.22450317635e-05,602.0,0
200,762140,170,200,2.13943231504e-05,814.0,0
201,762141,170,201,0.0,0.0,0
202,762142,170,202,0.0,0.0,0
203,762143,170,203,0.0,0.0,0
204,762144,170,204,0.0,0.0,0
205,762145,170,205,0.0,0.0,0
206,762146,170,206,0.0,0.0,0
207,762147,170,207,0.0,0.0,0
208,762148,170,208,0.0,0.0,0
209,762149,170,209,0.0,0.0,0
210,762150,170,210,0.0,0.0,0
211,762151,170,211,0.0,0.0,0
212,762152,170,212,6.50469555839e-05,557.302153875,0
213,762153,170,213,0.0,0.0,0
214,762154,170,214,1.28584485494e-05,6.48530070336,0
215,762155,170,215,0.0,0.0,0
216,762156,170,216,0.0,0.0,0
217,762157,170,217,0.0,0.0,0
218,762158,170,218,0.0,0.0,0
219,762159,170,219,0.0,0.0,0
220,762160,170,220,0.0,0.0,0
221,762161,170,221,0.0,0.0,0
222,762162,170,222,0.0,0.0,0
223,762163,170,223,0.0,0.0,0
224,762164,170,224,0.0,0.0,0
225,762165,170,225,0.0,0.0,0
226,762166,170,226,0.0,0.0,0
227,762167,170,227,0.0,0.0,0
228,762168,170,228,0.0,0.0,0
229,762169,170,229,2.35575631935e-05,180.804660769,0
230,762170,170,230,4.48765926896e-05,865.998384871,0
231,762171,170,231,0.0,0.0,0
232,762172,170,232,0.0,0.0,0
233,762173,170,233,0.0,0.0,0
234,762174,170,234,0.0,0.0,0
235,762175,170,235,0.0,0.0,0
236,762176,170,236,0.0,0.0,0
237,762177,170,237,0.0,0.0,0
238,762178,170,238,0.0,0.0,0
239,762179,170,239,0.0,0.0,0
240,762180,170,240,0.0,0.0,0
241,762181,170,241,0.0,0.0,0
242,762182,170,242,0.0,0.0,0
243,762183,170,243,0.0,0.0,0
244,762184,170,244,0.0,0.0,0
245,762185,170,245,0.0,0.0,0
246,762186,170,246,0.0,0.0,0
247,762187,170,247,0.0,0.0,0
248,762188,170,248,0.000613122592686,796.074208502,0
249,762189,170,249,0.0,0.0,0
250,762190,170,250,0.0,0.0,0
251,762191,170,251,0.0,0.0,0
252,762192,170,252,0.0,0.0,0
253,762193,170,253,1.0530032788e-05,18.2540625978,0
254,762194,170,254,0.0,0.0,0
255,762195,170,255,0.0,0.0,0
256,762196,170,256,0.0,0.0,0
257,762197,170,257,0.0,0.0,0
258,762198,170,258,0.0,0.0,0
259,762199,170,259,0.0,0.0,0
260,762200,170,260,0.0,0.0,0
261,762201,170,261,0.0,0.0,0
262,762202,170,262,0.0,0.0,0
263,762203,170,263,0.0,0.0,0
264,762204,170,264,0.0,0.0,0
265,762205,170,265,0.0,0.0,0
266,762206,170,266,0.0,0.0,0
267,762207,170,267,0.0,0.0,0
268,762208,170,268,1.07738260889e-06,111.012492424,1
269,762209,170,269,5.92073543706e-07,245.885659931,1
270,762210,170,270,0.0,0.0,0
271,762211,170,271,2.61125876906e-07,428.825320446,1
272,762212,170,272,1.57318779773e-06,30.106768182,1
