d3mIndex,fileName,subject,imgNum,label_target,ang,xF,yF,wF,hF,xRE,yRE,xLE,yLE,xN,yN,xRM,yRM,xLM,yLM
0,20130529_01_Driv_001_f,1,1.0,2,0,292.0,209.0,100.0,112.0,323.0,232.0,367.0,231.0,353.0,254.0,332.0,278.0,361.0,278.0
1,20130529_01_Driv_002_f,1,2.0,2,0,286.0,200.0,109.0,128.0,324.0,235.0,366.0,235.0,353.0,258.0,333.0,281.0,361.0,281.0
2,20130529_01_Driv_003_f,1,3.0,2,0,290.0,204.0,105.0,121.0,325.0,240.0,367.0,239.0,351.0,260.0,334.0,282.0,362.0,282.0
3,20130529_01_Driv_004_f,1,4.0,2,0,287.0,202.0,112.0,118.0,325.0,230.0,369.0,230.0,353.0,253.0,335.0,274.0,362.0,275.0
4,20130529_01_Driv_005_f,1,5.0,2,0,290.0,193.0,104.0,119.0,325.0,224.0,366.0,225.0,353.0,244.0,333.0,268.0,363.0,268.0
5,20130529_01_Driv_006_f,1,6.0,2,0,290.0,204.0,105.0,118.0,324.0,231.0,368.0,232.0,351.0,253.0,335.0,277.0,362.0,276.0
6,20130529_01_Driv_007_f,1,7.0,2,0,286.0,211.0,109.0,116.0,325.0,239.0,367.0,239.0,350.0,261.0,333.0,282.0,360.0,284.0
7,20130529_01_Driv_008_f,1,8.0,2,0,283.0,220.0,108.0,112.0,321.0,244.0,366.0,246.0,347.0,267.0,326.0,289.0,359.0,289.0
8,20130529_01_Driv_009_f,1,9.0,2,0,284.0,216.0,106.0,111.0,320.0,243.0,363.0,242.0,345.0,264.0,329.0,286.0,353.0,285.0
9,20130529_01_Driv_010_f,1,10.0,2,0,279.0,212.0,110.0,105.0,319.0,232.0,362.0,232.0,344.0,254.0,327.0,277.0,356.0,277.0
10,20130529_01_Driv_011_f,1,11.0,2,0,287.0,214.0,104.0,122.0,319.0,240.0,364.0,240.0,346.0,259.0,326.0,285.0,356.0,284.0
11,20130529_01_Driv_012_f,1,12.0,2,0,287.0,223.0,98.0,109.0,316.0,246.0,359.0,247.0,344.0,266.0,324.0,291.0,355.0,290.0
12,20130529_01_Driv_013_f,1,13.0,2,0,285.0,223.0,102.0,108.0,316.0,246.0,360.0,246.0,344.0,266.0,327.0,289.0,356.0,288.0
13,20130529_01_Driv_014_f,1,14.0,2,0,287.0,224.0,103.0,107.0,321.0,245.0,364.0,246.0,347.0,266.0,327.0,291.0,359.0,289.0
14,20130529_01_Driv_015_f,1,15.0,2,0,288.0,211.0,103.0,106.0,320.0,236.0,362.0,235.0,348.0,255.0,327.0,279.0,357.0,277.0
15,20130529_01_Driv_016_f,1,16.0,2,0,288.0,215.0,102.0,111.0,324.0,233.0,367.0,231.0,350.0,255.0,330.0,285.0,359.0,284.0
16,20130529_01_Driv_017_f,1,17.0,2,0,282.0,209.0,108.0,109.0,318.0,232.0,362.0,231.0,346.0,252.0,328.0,277.0,358.0,277.0
17,20130529_01_Driv_018_f,1,18.0,2,0,283.0,249.0,110.0,108.0,319.0,270.0,364.0,270.0,347.0,290.0,328.0,314.0,356.0,315.0
