d3mIndex,V1,V2,V3,V4,V5,V6,V7,Class
0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1
1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1
2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1
3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1
4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
7,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2
8,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3
9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3
10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3
11,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3
13,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4
14,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4
15,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4
16,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4
17,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4
19,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5
20,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5
21,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5
22,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5
23,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5
24,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6
25,1.0,1.0,0.0,1.0,0.0,1.0,0.0,6
26,1.0,1.0,0.0,1.0,0.0,1.0,1.0,6
27,1.0,1.0,0.0,1.0,0.0,1.0,1.0,6
28,1.0,1.0,0.0,1.0,0.0,1.0,1.0,6
29,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7
30,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7
31,1.0,1.0,0.0,1.0,1.0,1.0,1.0,7
32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8
33,1.0,0.0,1.0,0.0,0.0,1.0,0.0,8
34,1.0,0.0,1.0,0.0,0.0,1.0,0.0,8
35,1.0,0.0,1.0,0.0,1.0,1.0,0.0,8
36,1.0,1.0,1.0,0.0,0.0,1.0,0.0,8
37,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9
38,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9
39,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9
40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
42,1.0,1.0,0.0,1.0,0.0,1.0,1.0,10
43,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10
44,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10
45,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1
46,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1
47,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
48,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
49,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3
50,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3
51,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3
52,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3
53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4
54,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4
55,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4
56,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4
57,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5
58,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5
59,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5
60,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5
61,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6
62,1.0,1.0,0.0,1.0,0.0,0.0,1.0,6
63,1.0,1.0,0.0,1.0,0.0,1.0,1.0,6
64,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6
65,1.0,0.0,0.0,1.0,1.0,1.0,1.0,7
66,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7
67,1.0,1.0,0.0,1.0,1.0,1.0,1.0,7
68,1.0,1.0,0.0,1.0,1.0,1.0,1.0,7
69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
70,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8
71,1.0,0.0,1.0,0.0,0.0,1.0,0.0,8
72,1.0,0.0,1.0,0.0,0.0,1.0,0.0,8
73,1.0,0.0,1.0,0.0,0.0,1.0,1.0,8
74,1.0,0.0,1.0,1.0,0.0,1.0,0.0,8
75,0.0,1.0,0.0,1.0,1.0,1.0,1.0,9
76,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9
77,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9
78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
80,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10
81,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10
82,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10
83,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1
84,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1
85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
87,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
88,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
89,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2
90,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3
91,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3
92,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3
93,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3
94,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3
95,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4
96,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4
97,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4
98,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4
99,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5
