d3mIndex,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,P1,P2,P3,class
0,0,1,1,2,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1
1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1
2,1,0,0,0,0,1,0,1,1,0,0,1,0,0,2,0,1,1,0,1,1
3,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1
5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1
6,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1
7,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1
8,2,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1
9,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
10,1,1,0,1,1,1,0,0,0,0,2,1,1,0,1,2,0,1,0,0,1
11,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
12,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,2,0,1,1
13,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1
14,0,1,1,1,0,1,0,2,0,0,1,0,1,0,0,0,1,1,0,1,1
15,2,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1
16,0,2,0,1,1,0,0,1,0,0,0,1,0,0,0,1,2,1,0,1,1
17,1,1,1,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,1,1
18,1,0,2,0,0,1,0,2,0,0,1,0,0,1,1,0,2,0,0,0,1
19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
20,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1
21,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1
22,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
23,1,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
24,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,1
25,1,2,0,0,0,0,0,1,0,0,1,0,0,1,2,1,1,0,0,1,1
26,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1
