d3mIndex,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,M0P0,M0P1,M1P0,M1P1,class
0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,2,0,1,0,1
1,2,0,1,0,0,1,0,1,0,0,2,1,1,1,1,1,1,0,1,1,1
2,0,1,0,1,0,0,1,0,0,1,0,1,2,2,0,1,0,1,1,1,1
3,1,1,1,1,1,2,0,0,0,0,0,2,1,0,2,0,0,0,0,0,1
4,0,1,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1
5,0,0,1,2,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
6,0,1,2,0,0,1,0,1,0,0,0,2,0,0,2,1,0,1,0,0,1
7,0,0,2,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
8,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,2,0,1
9,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1
10,0,0,0,1,0,2,1,0,0,0,0,1,0,1,2,1,1,2,1,0,1
11,0,1,2,0,0,0,0,2,0,0,0,1,2,2,2,0,0,0,0,0,1
12,1,0,1,1,0,1,2,0,0,0,0,1,0,1,1,1,1,0,1,2,1
13,0,1,1,2,0,2,0,0,0,0,0,2,1,2,0,0,0,1,2,0,1
14,1,1,1,1,2,1,0,0,0,0,0,2,0,0,0,2,0,1,1,1,1
15,1,0,0,2,0,1,0,2,0,0,2,1,0,0,0,1,0,0,1,0,1
16,0,0,2,0,0,2,0,1,0,0,0,1,1,1,1,2,1,0,0,0,1
17,0,0,2,1,0,1,0,1,0,0,1,2,1,0,1,0,0,0,0,0,1
18,1,1,0,2,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,2,1
19,0,0,2,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1
20,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
21,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1
22,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1
23,0,1,1,1,0,0,2,1,0,0,1,1,1,1,1,0,0,0,0,0,1
24,0,1,2,0,0,1,1,2,0,1,0,1,0,2,0,0,1,1,0,0,1
25,0,1,2,1,0,0,2,0,0,1,1,1,0,1,0,0,0,1,0,0,1
26,0,1,2,1,0,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,1
27,0,0,1,1,0,1,1,0,0,0,1,2,2,0,1,0,0,1,0,0,1
28,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1
29,0,2,0,0,0,1,0,1,0,0,0,2,1,1,1,0,1,0,2,0,1
30,0,1,1,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1
