d3mIndex,Feature00,Feature01,Feature02,Feature03,Feature04,Feature05,Feature06,Feature07,Feature08,Feature09,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,class
0,14.0,31.0,9,7,12.0,7,15.0,17.0,8,5,5,5,45.0,69.0,6,6,6,6,50.0,89.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
1,23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,12.0,2,20.0,1,1,1,1,8,8,14.0,1,4
2,23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,19.0,1,1,1,1,8,8,14.0,1,3
3,19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
4,10.0,31.0,9,7,12.0,7,15.0,17.0,8,5,5,5,45.0,69.0,6,6,3,6,46.0,86.0,3,13.0,2,18.0,1,1,0,0,6,7,12.0,0,2
5,23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,19.0,1,1,1,1,8,8,14.0,1,4
6,19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
7,19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
8,0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
9,23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,12.0,2,20.0,1,1,1,1,8,8,14.0,1,4
10,23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,19.0,1,1,1,1,8,8,14.0,1,3
11,10.0,10.0,9,7,12.0,7,15.0,13.0,8,5,5,1,45.0,68.0,3,4,3,3,48.0,82.0,3,13.0,2,18.0,0,1,2,0,8,8,14.0,2,3
12,23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,17.0,1,1,1,1,8,8,14.0,1,3
13,23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,16.0,1,1,1,1,8,8,14.0,1,4
14,23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,16.0,1,1,1,1,8,8,14.0,1,3
15,23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,15.0,1,1,1,1,8,8,14.0,1,4
16,23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,15.0,1,1,1,1,8,8,14.0,1,3
17,23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,19.0,1,1,1,1,8,8,14.0,1,4
18,23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,19.0,1,1,1,1,8,8,14.0,1,3
19,23.0,31.0,7,7,10.0,7,15.0,17.0,6,5,5,5,45.0,69.0,5,6,5,6,48.0,88.0,1,13.0,1,20.0,1,1,1,1,8,8,14.0,1,2
20,14.0,4.0,9,7,12.0,7,11.0,12.0,8,5,3,1,3.0,2.0,4,5,6,3,47.0,81.0,3,13.0,2,20.0,0,1,0,0,3,7,11.0,0,5
21,14.0,4.0,9,7,12.0,7,11.0,12.0,8,5,3,1,3.0,2.0,4,5,6,3,47.0,81.0,3,13.0,2,20.0,0,1,0,0,3,7,11.0,0,5
22,14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
23,14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
24,14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
25,19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
26,19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
27,0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
28,14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
29,14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
30,19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
31,20.0,12.0,9,7,12.0,7,12.0,9.0,8,5,4,4,6.0,7.0,6,4,2,2,47.0,78.0,3,13.0,2,20.0,1,1,0,0,2,6,10.0,0,4
32,22.0,3.0,9,7,12.0,7,15.0,8.0,8,5,5,4,45.0,20.0,6,4,3,1,47.0,77.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,3
33,23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,20.0,1,1,1,1,8,8,14.0,1,3
34,14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
35,19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
36,19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
37,20.0,0.0,9,7,12.0,7,12.0,15.0,8,5,4,1,32.0,38.0,4,5,2,2,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
38,5.0,0.0,9,7,12.0,7,9.0,14.0,8,5,4,2,32.0,32.0,6,4,2,2,47.0,75.0,3,13.0,2,20.0,0,1,0,0,4,6,8.0,0,4
39,0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
40,10.0,10.0,9,7,12.0,7,15.0,13.0,8,5,5,1,45.0,68.0,3,4,3,3,48.0,82.0,3,13.0,2,18.0,0,1,2,0,8,8,14.0,2,3
41,23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,20.0,1,1,1,1,8,8,14.0,1,3
42,14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
43,23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,20.0,1,1,1,1,8,8,14.0,1,3
44,23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,20.0,1,1,1,1,8,8,14.0,1,3
45,10.0,10.0,9,7,12.0,7,15.0,13.0,8,5,5,1,45.0,68.0,3,4,3,3,48.0,82.0,3,13.0,2,18.0,0,1,2,0,8,8,14.0,2,3
46,23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,20.0,1,1,1,1,8,8,14.0,1,3
47,19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
48,23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,12.0,2,20.0,1,1,1,1,8,8,14.0,1,4
49,20.0,12.0,9,7,12.0,7,12.0,9.0,8,5,4,4,6.0,7.0,6,4,2,2,47.0,78.0,3,13.0,2,20.0,1,1,0,0,2,6,10.0,0,4
50,19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
51,19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
52,0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
53,23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,12.0,2,20.0,1,1,1,1,8,8,14.0,1,4
54,14.0,4.0,9,7,12.0,7,11.0,12.0,8,5,3,1,3.0,2.0,4,5,6,3,47.0,81.0,3,13.0,2,20.0,0,1,0,0,3,7,11.0,0,5
55,14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
56,14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
57,19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
58,19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
59,20.0,0.0,9,7,12.0,7,12.0,15.0,8,5,4,1,32.0,38.0,4,5,2,2,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
60,22.0,3.0,9,7,12.0,7,15.0,8.0,8,5,5,4,45.0,20.0,6,4,3,1,47.0,77.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,3
61,14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
62,14.0,4.0,9,7,12.0,7,11.0,12.0,8,5,3,1,3.0,2.0,4,5,6,3,47.0,81.0,3,13.0,2,20.0,0,1,0,0,3,7,11.0,0,5
63,20.0,0.0,9,7,12.0,7,12.0,15.0,8,5,4,1,32.0,38.0,4,5,2,2,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
64,0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
65,23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,12.0,2,20.0,1,1,1,1,8,8,14.0,1,4
66,23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,12.0,2,20.0,1,1,1,1,8,8,14.0,1,4
67,0.0,11.0,9,7,12.0,7,15.0,13.0,8,5,5,2,45.0,11.0,4,4,2,4,47.0,83.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,4
68,20.0,0.0,9,7,12.0,7,12.0,15.0,8,5,4,1,32.0,38.0,4,5,2,2,47.0,76.0,3,13.0,2,20.0,1,1,0,0,2,5,9.0,0,4
69,19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
70,19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
71,19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
72,14.0,23.0,9,7,12.0,7,14.0,11.0,8,5,4,2,5.0,16.0,6,4,6,3,47.0,80.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,5
73,14.0,23.0,9,7,12.0,7,10.0,10.0,8,5,3,1,37.0,31.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,5
74,19.0,1.0,9,7,12.0,7,12.0,14.0,8,5,2,4,2.0,23.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,2
75,19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
76,19.0,1.0,9,7,12.0,7,14.0,16.0,8,5,4,4,28.0,47.0,4,5,4,5,47.0,87.0,3,13.0,2,20.0,0,1,0,0,7,7,13.0,0,2
77,22.0,3.0,9,7,12.0,7,15.0,8.0,8,5,5,4,45.0,20.0,6,4,3,1,47.0,77.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,3
78,23.0,31.0,8,7,11.0,7,15.0,17.0,7,5,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,11.0,2,14.0,1,1,1,1,8,8,14.0,1,3
79,19.0,1.0,9,7,12.0,7,13.0,15.0,8,5,3,3,32.0,49.0,4,5,4,5,47.0,85.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,2
80,23.0,31.0,9,7,12.0,7,15.0,17.0,8,5,5,5,45.0,69.0,5,6,5,6,44.0,74.0,3,13.0,2,18.0,1,0,2,2,8,8,14.0,2,2
81,23.0,31.0,9,7,12.0,7,15.0,13.0,8,5,5,4,45.0,61.0,5,5,5,2,47.0,73.0,3,13.0,2,18.0,0,0,0,0,4,7,14.0,0,2
