d3mIndex,A0,A1,B0,B1,Irrelevant,Correlated,class
0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0
2,0,0,0,1,0,0,0
3,0,0,0,1,1,0,0
4,0,0,1,0,0,1,0
5,0,0,1,0,1,0,0
6,0,0,1,1,0,0,1
7,0,0,1,1,1,1,1
8,0,1,0,0,0,1,0
9,0,1,0,0,1,0,0
10,0,1,0,1,0,1,0
11,0,1,0,1,1,0,0
12,0,1,1,0,0,0,0
13,0,1,1,0,1,0,0
14,0,1,1,1,0,0,1
15,0,1,1,1,1,1,1
16,1,0,0,0,0,1,0
17,1,0,0,0,1,0,0
18,1,0,0,1,0,0,0
19,1,0,0,1,1,0,0
20,1,0,1,0,0,0,0
21,1,0,1,0,1,0,0
22,1,0,1,1,0,1,1
23,1,0,1,1,1,1,1
24,1,1,0,0,0,0,1
25,1,1,0,0,1,1,1
26,1,1,0,1,0,1,1
27,1,1,0,1,1,1,1
28,1,1,1,0,0,1,1
29,1,1,1,0,1,1,1
30,1,1,1,1,0,1,1
31,1,1,1,1,1,0,1
32,0,0,0,0,0,0,0
33,0,0,0,0,1,0,0
34,0,0,0,1,0,0,0
35,0,0,0,1,1,0,0
36,0,0,1,0,0,0,0
37,0,0,1,0,1,0,0
38,0,0,1,1,0,1,1
39,0,0,1,1,1,1,1
40,0,1,0,0,0,0,0
41,0,1,0,0,1,0,0
42,0,1,0,1,0,0,0
43,0,1,0,1,1,0,0
44,0,1,1,0,0,0,0
45,0,1,1,0,1,0,0
46,0,1,1,1,0,1,1
47,0,1,1,1,1,1,1
48,1,0,0,0,0,0,0
49,1,0,0,0,1,0,0
50,1,0,0,1,0,0,0
51,1,0,0,1,1,0,0
52,1,0,1,0,0,0,0
53,1,0,1,0,1,0,0
54,1,0,1,1,0,1,1
55,1,0,1,1,1,1,1
56,1,1,0,0,0,1,1
57,1,1,0,0,1,1,1
58,1,1,0,1,0,1,1
59,1,1,0,1,1,1,1
60,1,1,1,0,0,1,1
61,1,1,1,0,1,1,1
62,1,1,1,1,0,1,1
63,1,1,1,1,1,1,1
64,0,0,0,0,0,0,0
65,0,0,0,0,1,0,0
66,0,0,0,1,0,0,0
67,0,0,0,1,1,0,0
68,0,0,1,0,0,0,0
69,0,0,1,0,1,0,0
70,0,0,1,1,0,1,1
71,0,0,1,1,1,1,1
72,0,1,0,0,0,0,0
73,0,1,0,0,1,0,0
74,0,1,0,1,0,0,0
75,0,1,0,1,1,0,0
76,0,1,1,0,0,0,0
77,0,1,1,0,1,0,0
78,0,1,1,1,0,1,1
79,0,1,1,1,1,1,1
80,1,0,0,0,0,0,0
81,1,0,0,0,1,0,0
82,1,0,0,1,0,0,0
83,1,0,0,1,1,0,0
84,1,0,1,0,0,0,0
85,1,0,1,0,1,0,0
86,1,0,1,1,0,1,1
87,1,0,1,1,1,1,1
88,1,1,0,0,0,1,1
89,1,1,0,0,1,1,1
90,1,1,0,1,0,1,1
91,1,1,0,1,1,1,1
92,1,1,1,0,0,1,1
93,1,1,1,0,1,1,1
94,1,1,1,1,0,1,1
95,1,1,1,1,1,1,1
96,0,0,0,0,0,0,0
97,0,0,0,0,0,1,0
98,0,0,0,0,1,0,0
99,0,0,0,0,1,1,0
100,0,0,0,1,0,0,0
101,0,0,0,1,0,1,0
102,0,0,0,1,1,0,0
103,0,0,0,1,1,1,0
104,0,0,1,0,0,0,0
105,0,0,1,0,0,1,0
106,0,0,1,0,1,0,0
107,0,0,1,0,1,1,0
108,0,0,1,1,0,0,1
109,0,0,1,1,0,1,1
110,0,0,1,1,1,0,1
111,0,0,1,1,1,1,1
112,0,1,0,0,0,0,0
113,0,1,0,0,0,1,0
114,0,1,0,0,1,0,0
115,0,1,0,0,1,1,0
116,0,1,0,1,0,0,0
117,0,1,0,1,0,1,0
118,0,1,0,1,1,0,0
119,0,1,0,1,1,1,0
120,0,1,1,0,0,0,0
121,0,1,1,0,0,1,0
122,0,1,1,0,1,0,0
123,0,1,1,0,1,1,0
124,0,1,1,1,0,0,1
125,0,1,1,1,0,1,1
126,0,1,1,1,1,0,1
127,0,1,1,1,1,1,1
128,1,0,0,0,0,0,0
129,1,0,0,0,0,1,0
130,1,0,0,0,1,0,0
131,1,0,0,0,1,1,0
132,1,0,0,1,0,0,0
133,1,0,0,1,0,1,0
134,1,0,0,1,1,0,0
135,1,0,0,1,1,1,0
136,1,0,1,0,0,0,0
137,1,0,1,0,0,1,0
138,1,0,1,0,1,0,0
139,1,0,1,0,1,1,0
140,1,0,1,1,0,0,1
141,1,0,1,1,0,1,1
142,1,0,1,1,1,0,1
143,1,0,1,1,1,1,1
144,1,1,0,0,0,0,1
145,1,1,0,0,0,1,1
146,1,1,0,0,1,0,1
147,1,1,0,0,1,1,1
148,1,1,0,1,0,0,1
149,1,1,0,1,0,1,1
150,1,1,0,1,1,0,1
151,1,1,0,1,1,1,1
152,1,1,1,0,0,0,1
153,1,1,1,0,0,1,1
154,1,1,1,0,1,0,1
155,1,1,1,0,1,1,1
156,1,1,1,1,0,0,1
157,1,1,1,1,0,1,1
158,1,1,1,1,1,0,1
159,1,1,1,1,1,1,1
