d3mIndex,Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9,class
0,0,1,1,1,0,1,0,0,0,1,1
1,1,0,1,1,1,0,1,0,1,1,1
2,1,0,0,1,0,1,0,1,0,1,1
3,0,0,1,0,0,1,0,0,1,0,1
4,1,0,1,0,0,1,0,0,1,0,1
5,0,1,1,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,1,1,1,1,1
7,0,0,0,0,1,1,0,0,1,0,1
8,0,0,0,0,1,1,0,1,0,0,1
9,1,1,0,0,1,1,0,1,0,0,1
10,0,1,0,0,1,1,1,0,0,0,1
11,0,1,1,0,1,1,1,0,1,1,1
12,1,0,0,0,1,1,1,0,1,1,1
13,0,1,1,0,1,1,1,0,1,0,1
14,1,0,1,1,1,0,0,1,0,1,1
15,0,0,0,1,0,1,1,0,0,0,1
16,0,0,1,1,0,0,0,0,1,0,1
17,1,1,1,1,1,1,0,0,1,1,1
18,1,1,0,1,0,1,1,0,1,0,1
19,0,1,0,1,0,0,1,1,1,0,1
20,0,0,0,0,0,0,1,1,0,1,0
21,0,0,0,0,1,1,1,1,1,0,1
22,1,0,0,0,1,1,0,1,0,1,1
23,1,1,1,0,1,1,0,1,0,0,1
24,1,0,0,1,0,1,0,1,0,0,1
25,0,0,1,0,0,1,0,1,0,0,1
26,0,0,0,0,0,0,0,1,0,0,0
27,0,0,0,0,0,0,1,1,1,0,1
28,1,1,1,1,1,1,0,0,1,0,1
29,1,0,1,0,1,0,0,1,1,1,1
30,0,0,1,0,0,1,1,1,1,1,1
31,1,0,1,1,1,0,0,0,1,1,1
32,1,0,0,1,1,0,0,1,0,0,1
33,1,1,1,0,0,0,1,0,1,1,1
34,1,0,0,0,1,0,0,0,0,1,0
35,0,0,1,0,0,0,0,0,0,1,0
36,1,1,0,0,1,0,0,0,0,1,0
37,0,0,0,1,1,1,0,1,1,1,1
38,0,1,1,1,1,1,1,0,1,1,1
39,0,1,1,1,1,0,1,1,0,1,1
40,0,1,0,1,0,1,1,0,0,1,1
41,0,0,1,1,0,1,0,0,0,1,1
42,0,1,0,0,0,1,1,1,0,0,1
43,0,1,0,0,1,1,0,0,0,1,0
44,1,0,1,1,0,0,1,0,0,0,1
45,1,0,1,0,1,0,0,0,1,0,1
46,0,1,1,1,1,0,0,1,0,0,1
47,1,0,0,1,0,1,0,1,1,0,1
48,1,0,1,1,1,1,0,0,0,0,1
49,1,1,0,0,0,1,0,1,1,1,1
50,0,0,0,1,0,1,1,1,0,1,1
51,1,1,1,1,0,0,1,0,1,0,1
52,0,1,0,1,0,1,1,1,1,0,1
53,1,0,0,0,1,0,1,0,1,0,1
54,1,1,1,0,1,1,1,1,1,0,1
55,0,0,0,1,1,0,0,1,0,0,1
56,0,1,1,1,1,0,1,0,0,1,1
57,1,0,0,0,1,0,0,1,1,1,1
58,1,1,0,1,1,1,0,1,0,0,1
59,0,1,1,0,0,0,0,1,1,1,1
60,0,0,1,1,0,0,0,0,1,1,1
61,0,1,1,0,0,1,0,0,0,1,0
62,1,0,1,0,1,0,0,0,1,1,1
63,1,1,1,1,1,0,0,1,0,0,1
64,0,0,0,0,1,0,1,0,1,1,1
65,1,0,1,1,1,1,1,0,1,0,1
66,1,0,1,1,1,0,1,0,0,1,1
67,1,0,0,0,0,0,1,0,1,0,0
68,0,0,1,1,1,0,0,0,0,1,1
69,1,0,1,0,0,0,1,0,0,0,0
70,1,1,0,1,0,1,1,0,0,1,1
71,0,1,1,0,1,1,0,0,0,1,1
72,0,0,0,0,0,1,1,0,1,1,1
73,1,1,0,1,1,1,1,1,0,1,1
74,0,0,0,1,0,1,0,1,0,1,1
75,1,0,1,1,1,1,0,1,0,0,1
76,0,1,1,0,0,1,0,1,0,1,1
77,0,1,0,0,0,1,1,1,1,1,1
78,0,1,0,1,1,0,0,0,1,1,1
79,0,0,0,0,1,0,1,0,0,1,0
80,0,1,0,0,0,1,1,1,1,0,1
81,0,1,1,1,1,1,1,0,1,0,1
82,0,1,0,0,1,0,0,1,0,1,0
83,1,0,1,1,0,0,0,1,0,0,1
84,0,0,0,1,0,1,0,1,1,0,1
85,1,0,1,0,0,0,0,0,1,1,0
86,0,1,1,0,1,0,0,0,1,1,1
87,1,0,0,0,1,0,1,0,0,1,0
88,1,0,0,0,0,0,0,1,0,1,0
89,1,0,0,0,0,1,1,1,0,1,1
90,0,1,1,1,1,1,0,0,1,0,1
91,0,0,0,0,1,1,0,1,1,1,1
92,1,1,0,0,0,0,1,0,1,1,0
93,1,0,1,1,0,0,0,1,1,0,1
94,0,1,1,0,0,0,1,1,0,0,1
95,1,0,1,1,0,1,1,1,1,0,1
96,0,0,1,0,1,0,1,1,0,1,1
97,0,0,0,1,1,0,0,1,1,0,1
98,0,1,1,1,0,0,1,0,0,1,1
99,1,0,0,0,0,0,0,1,1,0,0
100,1,1,0,1,1,1,0,0,0,0,1
101,1,1,1,0,0,0,1,1,0,0,1
102,0,1,0,1,0,1,1,1,1,1,1
103,1,0,1,1,1,1,0,0,1,0,1
104,0,0,1,0,0,1,1,0,1,1,1
105,0,0,0,0,1,0,0,0,1,0,0
106,0,1,1,0,0,0,1,0,0,0,0
107,0,0,0,0,0,1,1,0,0,1,0
108,1,0,0,1,1,0,1,0,0,0,1
109,0,1,1,0,0,0,0,1,1,0,1
110,0,0,0,0,0,1,1,1,0,0,1
111,0,1,1,1,1,0,0,0,0,0,1
112,1,1,1,1,0,1,0,1,0,0,1
113,0,1,0,1,0,1,0,0,1,1,1
114,0,0,0,1,0,0,1,1,0,0,1
115,0,1,1,0,0,1,0,0,1,0,1
116,1,1,1,1,0,0,0,0,1,1,1
117,1,1,0,1,0,1,1,1,1,1,1
118,1,1,0,1,1,1,0,0,0,1,1
119,0,0,0,0,1,0,0,1,0,1,0
120,1,0,1,1,0,0,0,0,0,1,0
121,0,0,1,1,1,1,0,0,1,1,1
122,1,1,0,0,1,0,1,1,0,0,1
123,1,1,1,0,1,0,0,1,0,1,1
124,1,0,0,1,0,1,1,1,1,1,1
125,0,1,1,0,0,0,0,0,0,1,0
126,1,0,1,1,0,0,0,1,1,1,1
127,1,0,1,0,0,1,1,1,1,0,1
128,0,0,0,1,1,1,1,0,1,0,1
129,0,0,0,1,0,1,0,1,0,0,1
130,0,0,0,1,1,1,1,1,0,0,1
131,1,0,1,1,0,0,1,1,0,1,1
132,0,0,1,1,1,1,1,1,1,0,1
133,1,1,0,0,0,1,1,0,1,1,1
134,1,0,1,0,0,0,0,0,0,1,0
135,1,0,1,1,1,0,1,1,1,1,1
136,0,1,0,1,1,1,0,1,0,1,1
137,0,1,1,1,1,1,0,0,1,1,1
138,1,1,0,0,0,1,0,1,0,1,0
139,1,1,0,1,1,1,0,0,1,1,1
140,0,1,1,1,1,0,1,1,1,0,1
141,1,0,1,0,1,1,0,0,1,1,1
142,0,0,1,0,1,0,1,0,0,0,1
143,0,1,0,0,0,1,0,1,1,0,1
144,1,1,0,0,0,0,1,1,1,1,1
145,0,1,0,1,0,0,0,0,1,0,0
146,1,1,1,1,0,0,1,1,1,1,1
147,1,0,1,0,0,1,0,0,0,1,0
148,0,0,1,0,1,0,0,0,1,1,1
149,0,0,1,0,0,0,0,1,1,0,1
150,1,1,0,1,1,1,1,1,1,0,1
151,1,1,1,1,0,0,1,1,0,1,1
152,0,1,0,1,1,0,1,1,0,1,1
153,1,0,0,0,0,0,0,1,1,1,0
154,1,1,1,0,0,1,1,1,1,1,1
155,1,0,1,0,1,0,0,1,0,1,1
156,0,0,1,0,0,0,1,1,0,0,1
157,1,1,1,1,1,1,1,1,1,1,1
158,0,0,1,0,1,0,0,1,0,1,1
159,1,0,0,1,1,1,1,1,1,1,1
160,1,0,0,0,0,0,1,1,0,1,0
161,1,0,0,1,1,1,1,1,0,1,1
162,0,0,0,0,0,0,1,0,0,1,0
163,0,1,1,1,0,0,0,1,1,1,1
164,1,0,1,1,0,0,1,1,0,0,1
165,0,1,1,0,0,1,0,1,1,0,1
166,0,0,1,1,0,1,1,1,0,1,1
167,1,1,1,0,0,1,0,0,0,1,0
168,1,0,1,0,0,0,1,1,1,1,1
169,1,0,1,0,1,0,1,1,0,1,1
170,0,0,0,1,1,0,1,0,0,0,1
171,0,0,0,1,1,1,0,0,0,1,1
172,0,1,0,0,1,1,0,0,1,0,1
173,0,0,0,0,0,1,0,0,1,1,0
