d3mIndex,largest_spot_size,spot_distribution,Activity,Evolution,Previous_24_hour_flare_activity_code,Historically-complex,Did_region_become_historically_complex,Area,Area_of_the_largest_spot,C-class_flares_production_by_this_region,M-class_flares_production_by_this_region,X-class_flares_production_by_this_region,class
0,4,2,1,2,1,1,2,1,2,0,0,0,1
1,4,2,1,3,1,1,2,1,2,0,0,0,2
2,4,2,1,3,1,1,2,1,1,0,0,0,1
3,4,2,1,3,1,1,2,1,2,0,0,0,2
4,0,2,1,3,1,1,2,1,2,0,0,0,2
5,0,2,1,2,1,1,2,1,2,0,0,0,2
6,0,2,1,2,1,1,2,1,1,0,0,0,2
7,0,2,1,2,1,1,2,1,2,0,0,0,2
8,2,2,1,3,1,1,2,1,2,0,0,0,2
9,3,2,1,3,1,1,2,1,1,0,0,0,1
10,5,2,1,3,1,1,2,1,1,0,0,0,0
11,4,2,1,2,1,1,2,1,1,0,0,0,2
12,1,1,1,3,1,1,2,1,2,0,0,0,1
13,3,2,1,3,1,1,2,1,1,0,0,0,2
14,5,2,1,2,1,1,2,1,1,0,0,0,0
15,5,2,1,3,1,1,2,1,1,0,0,0,0
16,2,1,1,3,1,1,2,1,2,0,0,0,2
17,4,2,1,2,1,1,2,1,2,0,0,0,2
18,3,2,1,2,1,1,2,1,1,0,0,0,2
19,0,1,1,2,1,1,2,1,2,0,0,0,1
20,4,2,1,2,1,1,2,1,1,0,0,0,1
21,5,2,1,3,1,1,2,1,1,0,0,0,0
22,5,2,1,2,1,1,2,1,1,0,0,0,0
23,3,3,1,2,1,1,1,1,2,0,0,0,5
24,5,1,1,3,1,1,2,1,1,0,0,0,0
25,3,1,1,3,1,1,2,1,2,0,0,0,1
26,5,2,1,3,1,1,2,1,1,0,0,0,0
27,5,2,1,3,1,1,2,1,2,0,0,0,0
28,0,1,1,3,1,2,2,1,2,0,0,0,2
29,0,2,1,3,1,1,2,1,2,1,0,1,2
30,5,2,1,3,1,1,2,1,1,0,0,0,0
31,0,1,1,3,1,1,2,1,2,0,0,0,2
