d3mIndex,Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7,Attribute_8,Attribute_9,class
0,0,0,1,0,0,0,1,0,0,0
1,1,1,0,0,0,0,1,1,0,0
2,0,1,1,1,0,0,0,1,1,0
3,1,0,1,0,0,0,0,0,0,0
4,1,1,1,0,0,1,1,1,1,1
5,0,1,0,1,0,0,1,1,0,0
6,0,1,1,1,1,0,1,1,1,1
7,1,1,1,1,1,0,1,1,1,1
8,0,1,0,1,0,1,1,1,1,1
9,1,1,1,1,0,1,1,0,0,1
10,0,0,1,1,0,1,0,0,1,0
11,1,1,0,1,0,1,0,1,1,0
12,0,1,1,0,0,1,1,1,0,0
13,0,0,0,1,0,1,0,1,1,0
14,0,0,0,0,0,1,0,0,1,0
15,1,1,1,1,0,1,0,0,0,1
16,1,1,0,1,1,1,1,0,1,1
17,0,0,0,1,1,1,1,0,0,1
18,0,0,1,1,1,0,1,1,1,1
19,1,0,0,0,1,1,1,1,1,1
20,0,0,0,0,1,1,1,0,0,0
21,0,0,1,0,1,0,0,0,1,0
22,0,1,0,1,1,1,1,0,1,1
23,1,1,0,1,0,0,0,1,1,0
24,0,1,0,1,1,0,0,1,0,0
25,1,0,0,1,0,1,0,1,1,0
26,1,1,0,1,0,0,0,1,0,0
27,1,1,1,1,0,0,0,1,0,1
28,0,1,0,0,0,0,1,1,1,1
29,1,0,1,0,1,1,1,0,1,0
30,0,1,1,0,0,1,0,1,1,0
31,0,1,0,1,0,1,0,0,0,0
32,0,0,0,0,0,1,0,1,1,0
33,0,1,1,0,0,0,0,1,0,0
34,1,1,0,0,1,0,1,0,0,0
35,0,1,0,0,0,0,0,1,0,0
36,0,1,0,0,1,0,0,0,0,0
37,1,1,1,0,0,0,1,0,0,1
38,1,1,0,0,1,0,0,1,1,0
39,1,0,1,1,1,0,0,0,1,0
40,1,0,1,1,0,1,0,1,1,0
41,1,1,1,1,1,1,0,1,1,1
42,1,1,1,0,0,1,1,0,1,1
43,0,1,1,1,1,0,1,0,1,0
44,1,0,0,1,0,0,1,0,0,0
45,0,0,0,1,0,1,0,0,1,0
46,0,0,1,0,0,1,0,0,0,0
47,0,1,1,0,1,1,1,0,1,0
48,1,0,1,1,0,0,1,1,0,0
49,0,1,0,0,1,0,1,1,0,0
50,1,1,0,1,1,1,1,1,0,1
51,1,1,1,1,1,1,0,1,0,1
52,1,1,1,0,1,0,1,1,0,1
53,1,0,1,1,0,0,1,0,0,0
