d3mIndex,class_code,largest_spot_code,spot_dist_code,Activity,Evolution,Previous_24_hour_code,Historically-complex,become_complex,Area,Area_of_the_largest_spot,class
0,5,4,3,1,3,1,1,2,1,1,0
1,1,3,1,1,2,1,1,2,1,1,0
2,2,3,2,1,3,1,1,2,1,1,1
3,5,4,3,2,2,1,2,2,1,1,0
4,1,4,2,1,3,1,1,2,1,1,0
5,1,4,2,1,2,1,2,2,1,1,0
6,2,2,1,1,3,1,2,2,1,1,0
7,2,3,2,1,3,1,1,2,1,1,0
8,0,5,2,1,2,1,1,2,1,1,0
9,2,1,2,1,2,1,2,2,1,1,0
10,3,0,1,2,2,1,2,2,1,1,0
11,2,0,1,2,3,1,2,2,1,1,0
12,1,4,2,1,3,1,1,2,1,1,0
13,1,3,2,1,2,1,2,2,1,1,0
14,5,4,3,1,2,1,1,2,1,1,0
15,2,4,2,1,3,1,1,2,1,1,1
16,2,0,1,1,3,1,2,2,1,1,0
17,3,4,1,1,2,1,2,2,1,1,0
18,1,3,2,1,3,1,1,2,1,1,0
19,5,4,3,1,1,1,2,2,1,1,0
20,5,3,3,1,1,1,1,2,1,1,1
21,1,1,2,1,3,1,2,2,1,1,0
22,2,0,1,1,3,1,1,2,1,1,0
23,5,0,3,1,2,1,2,1,1,1,0
24,5,4,3,1,2,1,1,2,1,1,0
25,1,0,1,1,2,1,2,2,1,1,0
26,5,4,3,1,2,1,1,1,1,1,0
27,5,4,3,1,2,1,1,2,1,1,0
28,5,4,3,1,2,1,2,1,1,1,0
29,2,0,1,2,3,2,1,2,1,1,0
30,2,0,1,1,3,1,1,2,1,1,0
31,3,2,0,2,3,3,2,2,2,1,0
32,5,4,3,1,2,1,1,1,1,1,0
33,1,3,2,1,2,1,1,2,1,1,0
34,5,4,3,1,3,1,1,1,1,1,0
35,1,4,2,1,3,1,2,2,1,1,1
36,1,4,2,2,3,1,1,2,1,1,1
37,2,4,2,1,2,1,1,2,1,1,0
38,1,3,2,1,3,1,1,2,1,1,0
39,0,5,2,1,2,1,1,2,1,1,0
40,5,4,3,1,2,2,2,2,1,1,0
41,0,5,2,1,3,1,1,2,1,1,0
42,5,4,3,1,3,1,1,2,1,1,0
43,0,5,2,1,3,1,1,2,1,1,0
44,2,0,2,1,3,1,1,2,1,1,0
45,5,4,3,2,2,1,2,2,1,1,0
46,3,2,1,1,3,1,2,2,2,1,0
47,0,5,2,1,3,1,1,2,1,1,0
48,5,0,3,1,2,1,2,2,1,1,0
49,5,3,3,1,2,1,1,2,1,1,0
50,3,4,1,1,3,1,1,2,1,1,0
51,0,5,2,1,1,1,1,2,1,1,0
52,5,4,3,1,1,1,1,1,1,1,0
53,5,4,3,1,2,1,1,1,1,1,0
54,0,5,2,1,3,1,1,2,1,1,0
55,0,5,1,1,2,1,1,2,1,1,0
56,5,3,3,1,3,1,1,2,1,1,0
57,5,0,3,1,2,1,2,2,1,1,0
58,2,0,2,1,2,1,1,2,1,1,0
59,1,4,2,1,3,1,2,2,1,1,0
60,0,5,2,1,2,1,2,2,1,1,0
61,3,0,1,1,3,1,2,2,1,1,0
62,2,0,1,1,3,1,2,2,1,1,0
63,5,4,3,1,3,1,2,1,1,1,0
64,5,4,3,1,3,1,1,1,1,1,0
65,5,4,3,1,2,1,2,1,1,1,0
66,5,3,3,1,2,1,1,1,1,1,0
67,0,5,1,1,3,1,1,2,1,1,0
68,0,5,2,1,3,1,1,2,1,1,0
69,1,3,2,1,3,1,1,2,1,1,0
70,5,4,3,1,2,1,2,1,1,1,0
71,1,4,2,1,3,1,1,2,1,1,0
72,2,0,1,1,3,1,1,2,1,1,0
73,0,5,2,1,2,1,1,2,1,1,0
74,5,4,3,1,2,1,2,1,1,1,0
75,3,4,2,2,3,1,2,2,1,1,1
76,2,0,1,2,2,1,2,2,1,1,1
77,1,0,2,1,2,1,2,2,1,1,0
78,3,0,2,1,2,1,2,2,1,1,1
79,1,0,2,1,2,1,2,2,1,1,0
80,2,3,2,1,3,1,1,2,1,1,0
81,5,4,3,1,3,1,2,2,1,1,1
82,5,0,3,1,3,1,1,1,1,1,0
83,1,3,2,1,3,1,1,2,1,1,0
84,5,4,3,1,2,1,1,1,1,1,0
85,5,4,3,1,2,1,1,1,1,1,0
86,5,4,3,1,3,1,1,1,1,1,0
