d3mIndex,Bit_1,Bit_2,Bit_3,Bit_4,Bit_5,Bit_6,Bit_7,Bit_8,Bit_9,Bit_10,class
0,1,1,0,0,1,0,0,0,0,1,1
1,1,0,0,0,0,1,1,1,1,0,0
2,0,0,1,0,1,1,1,1,1,1,1
3,0,1,0,1,0,0,0,1,0,0,1
4,0,0,0,0,0,0,0,1,1,0,1
5,0,0,1,1,0,0,1,1,1,0,1
6,0,0,0,0,0,1,1,0,0,0,1
7,1,1,1,1,1,0,1,0,1,0,1
8,0,0,0,1,1,1,1,1,1,1,1
9,0,0,1,0,1,0,1,1,1,0,0
10,1,0,1,1,0,1,0,0,0,0,1
11,0,0,1,1,1,0,1,1,1,1,1
12,1,0,1,1,0,0,0,1,1,1,1
13,1,0,0,0,1,0,1,1,0,0,1
14,0,0,0,0,1,1,1,0,1,1,1
15,0,0,1,1,1,1,0,1,1,0,0
16,1,1,1,0,0,1,0,1,0,1,0
17,1,1,1,1,1,0,0,0,0,0,1
18,0,1,1,1,1,0,1,0,1,0,1
19,0,1,1,0,0,0,0,1,0,0,1
20,0,1,0,0,0,0,1,0,1,0,1
21,1,0,1,0,0,1,1,1,1,0,1
22,1,0,1,1,0,0,0,0,0,0,0
23,0,0,0,1,1,0,1,1,1,1,0
24,0,0,0,0,1,0,1,0,0,0,0
25,0,0,1,0,0,0,0,0,0,1,1
26,1,0,0,0,0,0,1,0,1,0,0
27,0,1,1,1,0,0,1,1,0,0,0
28,0,1,0,0,0,0,1,1,0,0,0
29,1,0,0,0,0,1,1,0,0,1,1
30,1,0,1,0,0,0,0,1,0,1,0
31,0,1,1,0,1,1,0,1,1,0,0
32,0,1,0,0,1,1,1,1,0,0,1
33,0,1,1,1,0,1,0,1,0,0,1
34,0,1,0,0,1,1,0,0,1,0,0
35,0,0,1,0,1,1,0,0,0,0,0
36,0,0,1,1,1,1,1,1,0,1,0
37,0,1,0,1,0,1,1,1,1,1,0
38,0,1,1,1,0,1,1,0,1,0,0
39,0,1,1,0,0,0,0,1,1,0,1
40,0,0,0,1,0,0,1,0,1,0,1
41,1,0,0,1,1,0,1,0,1,0,1
42,1,0,1,0,1,0,1,1,0,0,0
43,1,1,1,1,0,0,1,0,0,0,1
44,1,0,1,0,1,0,0,1,1,1,0
45,0,0,0,0,0,1,1,0,1,1,1
46,0,0,1,0,0,0,1,1,1,1,0
47,1,1,1,1,0,0,1,0,1,0,1
48,0,1,0,0,1,1,0,1,1,0,1
49,1,1,0,0,0,0,0,0,1,0,1
50,1,0,0,1,1,1,0,0,1,1,0
51,0,0,1,0,0,1,0,1,0,1,1
52,1,1,0,1,0,0,0,0,1,0,0
53,0,1,1,0,0,1,0,1,0,1,0
54,1,0,0,0,1,1,1,0,1,1,1
