d3mIndex,Length.of.service,CAP,PA.normalized,Minority,Laid.off
0,3.17,7,3.33,1,1
1,4.47,8,3.33,1,1
2,0.69,11,4.44,1,1
3,1.52,16,1.11,1,1
4,7.43,6,13.32,1,1
5,10.95,7,14.44,1,1
6,9.53,7,16.68,1,1
7,6.41,16,9.99,1,1
8,7.41,15,13.32,0,1
9,7.0,13,15.56,1,1
10,1.82,27,3.33,1,1
11,7.78,11,17.79,0,1
12,8.76,12,16.68,1,1
13,7.0,16,13.32,1,1
14,7.39,13,16.68,0,1
15,15.52,15,12.23,1,1
16,6.84,16,14.44,1,1
17,6.84,13,17.79,0,1
18,21.91,8,17.79,1,1
19,8.64,14,16.68,1,0
20,1.52,32,1.11,0,0
21,7.33,18,13.32,1,0
22,3.32,30,3.33,1,0
23,10.28,19,12.23,0,0
24,5.1,21,12.21,1,0
25,1.82,31,3.33,1,0
26,3.17,25,9.99,1,0
27,23.18,10,18.9,1,0
28,7.82,19,16.68,0,0
29,8.23,20,15.56,1,0
30,8.81,19,16.68,1,0
31,8.05,18,18.9,1,0
32,21.53,13,20.01,0,0
33,23.01,13,20.01,1,0
34,6.67,8,20.01,0,0
35,7.43,20,18.9,1,0
36,7.1,21,18.9,0,0
37,7.06,24,16.68,1,0
38,3.4,32,9.99,1,0
39,29.32,16,17.79,0,0
40,1.06,40,3.33,0,0
41,4.87,30,12.21,0,0
42,7.33,27,14.45,0,0
43,3.17,33,9.99,1,0
44,6.82,24,17.79,0,0
45,4.53,30,13.33,1,0
46,6.49,24,18.9,1,0
47,17.37,16,23.34,0,0
48,9.73,22,20.01,1,0
49,7.19,24,18.9,1,0
50,3.75,32,12.21,1,0
51,13.5,21,20.01,0,0
52,7.52,27,16.68,1,0
53,20.83,13,26.67,1,0
54,8.5,25,18.9,0,0
55,22.71,16,23.34,0,0
56,7.21,29,15.56,1,0
57,3.11,36,9.99,1,0
58,10.41,28,15.56,1,0
59,42.89,13,20.01,0,0
60,6.96,25,20.01,1,0
61,11.28,25,18.9,0,0
62,8.19,25,20.01,0,0
63,4.75,33,13.33,0,0
64,1.82,43,4.44,0,0
65,1.84,43,4.44,0,0
66,6.84,27,18.9,1,0
67,7.69,27,18.9,1,0
68,23.06,23,17.79,0,0
69,12.74,21,20.01,0,0
70,1.82,45,3.33,0,0
71,8.5,28,18.9,1,0
72,3.94,32,16.67,0,0
73,1.78,45,4.44,0,0
74,7.04,33,15.56,1,0
75,13.76,23,23.34,1,0
76,13.83,23,23.34,0,0
77,6.71,31,17.79,0,0
78,7.33,30,18.9,0,0
79,22.02,24,25.56,1,0
80,6.86,34,15.56,1,0
81,7.76,36,13.33,1,0
82,13.76,33,14.44,1,0
83,11.26,30,18.9,0,0
84,13.06,25,23.34,0,0
85,36.07,21,20.01,0,0
