d3mIndex,Show,Type,Revival,NYT_rating,DN_rating,Week_1_attendance,Award,Count
0,A_Dolls_House,Play,Yes,5.0,2.66667,87.13,No_nomination,2
1,A_Dolls_House,Play,Yes,5.0,2.66667,87.13,Losing_nomination,0
2,A_Dolls_House,Play,Yes,5.0,2.66667,87.13,Win,4
3,A_Thousand_Clowns,Play,Yes,1.66667,2.0,100.0,No_nomination,6
4,A_Thousand_Clowns,Play,Yes,1.66667,2.0,100.0,Losing_nomination,0
5,A_Thousand_Clowns,Play,Yes,1.66667,2.0,100.0,Win,0
6,A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,No_nomination,2
7,A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,Losing_nomination,2
8,A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,Win,2
9,Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,No_nomination,4
10,Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,Losing_nomination,2
11,Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,Win,0
12,Amys_View,Play,No,3.66667,4.66667,90.72,No_nomination,4
13,Amys_View,Play,No,3.66667,4.66667,90.72,Losing_nomination,1
14,Amys_View,Play,No,3.66667,4.66667,90.72,Win,1
15,An_American_Daughter,Play,No,2.33333,2.33333,77.09,No_nomination,5
16,An_American_Daughter,Play,No,2.33333,2.33333,77.09,Losing_nomination,0
17,An_American_Daughter,Play,No,2.33333,2.33333,77.09,Win,1
18,Annie,Musical,Yes,1.66667,3.0,84.8,No_nomination,5
19,Annie,Musical,Yes,1.66667,3.0,84.8,Losing_nomination,1
20,Annie,Musical,Yes,1.66667,3.0,84.8,Win,0
21,Annie_Get_Your_Gun,Musical,Yes,2.0,4.33333,89.2,No_nomination,3
22,Annie_Get_Your_Gun,Musical,Yes,2.0,4.33333,89.2,Losing_nomination,1
23,Annie_Get_Your_Gun,Musical,Yes,2.0,4.33333,89.2,Win,2
24,Art,Play,No,4.66667,4.66667,90.35,No_nomination,3
25,Art,Play,No,4.66667,4.66667,90.35,Losing_nomination,2
26,Art,Play,No,4.66667,4.66667,90.35,Win,1
27,Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,No_nomination,6
28,Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,Losing_nomination,0
29,Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,Win,0
30,Barrymore,Play,No,4.33333,3.66667,53.69,No_nomination,5
31,Barrymore,Play,No,4.33333,3.66667,53.69,Losing_nomination,0
32,Barrymore,Play,No,4.33333,3.66667,53.69,Win,1
33,Cabaret,Musical,Yes,3.66667,5.0,92.19,No_nomination,0
34,Cabaret,Musical,Yes,3.66667,5.0,92.19,Losing_nomination,2
35,Cabaret,Musical,Yes,3.66667,5.0,92.19,Win,4
36,Candide,Musical,Yes,3.0,1.33333,82.61,No_nomination,3
37,Candide,Musical,Yes,3.0,1.33333,82.61,Losing_nomination,3
38,Candide,Musical,Yes,3.0,1.33333,82.61,Win,0
39,Chicago,Musical,Yes,5.0,5.0,97.02,No_nomination,1
40,Chicago,Musical,Yes,5.0,5.0,97.02,Losing_nomination,1
41,Chicago,Musical,Yes,5.0,5.0,97.02,Win,4
42,Closer,Play,No,1.66667,2.66667,88.91,No_nomination,5
43,Closer,Play,No,1.66667,2.66667,88.91,Losing_nomination,1
44,Closer,Play,No,1.66667,2.66667,88.91,Win,0
45,Death_of_a_Salesman,Play,Yes,5.0,5.0,86.67,No_nomination,0
46,Death_of_a_Salesman,Play,Yes,5.0,5.0,86.67,Losing_nomination,2
47,Death_of_a_Salesman,Play,Yes,5.0,5.0,86.67,Win,4
48,Dream_-_The_Johnny_Mercer_Musical,Musical_revue,No,1.66667,2.0,72.53,No_nomination,6
49,Dream_-_The_Johnny_Mercer_Musical,Musical_revue,No,1.66667,2.0,72.53,Losing_nomination,0
50,Dream_-_The_Johnny_Mercer_Musical,Musical_revue,No,1.66667,2.0,72.53,Win,0
51,Electra,Play,Yes,4.66667,4.33333,92.97,No_nomination,3
52,Electra,Play,Yes,4.66667,4.33333,92.97,Losing_nomination,3
53,Electra,Play,Yes,4.66667,4.33333,92.97,Win,0
54,Eugene_Onegin,Musical,Yes,,,40.66,No_nomination,6
55,Eugene_Onegin,Musical,Yes,,,40.66,Losing_nomination,0
56,Eugene_Onegin,Musical,Yes,,,40.66,Win,0
57,Footloose,Musical,No,1.33333,1.33333,70.07,No_nomination,5
58,Footloose,Musical,No,1.33333,1.33333,70.07,Losing_nomination,1
59,Footloose,Musical,No,1.33333,1.33333,70.07,Win,0
