d3mIndex,type,repeat,fold
0,TRAIN,0,0
1,TRAIN,0,0
2,TRAIN,0,0
3,TRAIN,0,0
4,TEST,0,0
5,TEST,0,0
6,TRAIN,0,0
7,TRAIN,0,0
8,TEST,0,0
9,TEST,0,0
10,TEST,0,0
11,TRAIN,0,0
12,TRAIN,0,0
13,TEST,0,0
14,TEST,0,0
15,TRAIN,0,0
16,TRAIN,0,0
17,TRAIN,0,0
18,TEST,0,0
19,TRAIN,0,0
20,TRAIN,0,0
21,TEST,0,0
22,TEST,0,0
23,TRAIN,0,0
24,TRAIN,0,0
25,TEST,0,0
26,TRAIN,0,0
27,TRAIN,0,0
28,TRAIN,0,0
29,TRAIN,0,0
30,TRAIN,0,0
31,TRAIN,0,0
32,TEST,0,0
33,TRAIN,0,0
34,TRAIN,0,0
35,TRAIN,0,0
36,TEST,0,0
37,TRAIN,0,0
38,TRAIN,0,0
39,TEST,0,0
40,TEST,0,0
41,TRAIN,0,0
42,TEST,0,0
43,TRAIN,0,0
44,TRAIN,0,0
45,TRAIN,0,0
46,TRAIN,0,0
47,TRAIN,0,0
48,TEST,0,0
49,TRAIN,0,0
50,TEST,0,0
51,TRAIN,0,0
52,TRAIN,0,0
53,TRAIN,0,0
54,TEST,0,0
55,TRAIN,0,0
56,TRAIN,0,0
57,TRAIN,0,0
58,TRAIN,0,0
59,TRAIN,0,0
60,TRAIN,0,0
61,TRAIN,0,0
62,TEST,0,0
63,TEST,0,0
64,TEST,0,0
65,TRAIN,0,0
66,TEST,0,0
67,TEST,0,0
68,TRAIN,0,0
69,TRAIN,0,0
70,TEST,0,0
71,TRAIN,0,0
72,TRAIN,0,0
73,TEST,0,0
74,TRAIN,0,0
75,TEST,0,0
76,TRAIN,0,0
77,TRAIN,0,0
78,TRAIN,0,0
79,TRAIN,0,0
80,TRAIN,0,0
81,TRAIN,0,0
82,TRAIN,0,0
83,TEST,0,0
84,TRAIN,0,0
85,TRAIN,0,0
86,TRAIN,0,0
87,TEST,0,0
88,TRAIN,0,0
89,TEST,0,0
90,TEST,0,0
91,TRAIN,0,0
92,TRAIN,0,0
93,TRAIN,0,0
94,TRAIN,0,0
95,TRAIN,0,0
96,TEST,0,0
97,TRAIN,0,0
98,TRAIN,0,0
99,TRAIN,0,0
100,TEST,0,0
101,TEST,0,0
102,TRAIN,0,0
103,TRAIN,0,0
104,TRAIN,0,0
105,TEST,0,0
106,TEST,0,0
107,TRAIN,0,0
108,TEST,0,0
109,TRAIN,0,0
110,TRAIN,0,0
111,TRAIN,0,0
112,TRAIN,0,0
113,TEST,0,0
114,TRAIN,0,0
115,TRAIN,0,0
116,TRAIN,0,0
117,TRAIN,0,0
118,TRAIN,0,0
119,TRAIN,0,0
120,TRAIN,0,0
121,TRAIN,0,0
122,TEST,0,0
123,TRAIN,0,0
124,TRAIN,0,0
125,TRAIN,0,0
126,TRAIN,0,0
127,TRAIN,0,0
128,TEST,0,0
129,TRAIN,0,0
130,TRAIN,0,0
131,TRAIN,0,0
132,TEST,0,0
133,TRAIN,0,0
134,TEST,0,0
135,TRAIN,0,0
136,TRAIN,0,0
137,TEST,0,0
138,TEST,0,0
139,TRAIN,0,0
140,TEST,0,0
141,TRAIN,0,0
142,TRAIN,0,0
143,TRAIN,0,0
144,TRAIN,0,0
145,TRAIN,0,0
146,TEST,0,0
147,TRAIN,0,0
148,TEST,0,0
149,TRAIN,0,0
150,TRAIN,0,0
151,TEST,0,0
152,TEST,0,0
153,TEST,0,0
154,TEST,0,0
155,TEST,0,0
156,TRAIN,0,0
157,TEST,0,0
158,TEST,0,0
159,TEST,0,0
160,TRAIN,0,0
161,TRAIN,0,0
162,TEST,0,0
163,TRAIN,0,0
164,TEST,0,0
165,TEST,0,0
166,TRAIN,0,0
167,TRAIN,0,0
168,TRAIN,0,0
169,TRAIN,0,0
170,TRAIN,0,0
171,TRAIN,0,0
172,TRAIN,0,0
173,TRAIN,0,0
174,TEST,0,0
175,TRAIN,0,0
176,TRAIN,0,0
177,TRAIN,0,0
178,TRAIN,0,0
179,TEST,0,0
180,TEST,0,0
181,TEST,0,0
182,TRAIN,0,0
183,TRAIN,0,0
184,TEST,0,0
185,TEST,0,0
186,TRAIN,0,0
187,TEST,0,0
188,TEST,0,0
189,TRAIN,0,0
190,TRAIN,0,0
191,TRAIN,0,0
192,TRAIN,0,0
193,TEST,0,0
194,TRAIN,0,0
195,TRAIN,0,0
196,TEST,0,0
197,TEST,0,0
198,TRAIN,0,0
199,TRAIN,0,0
200,TRAIN,0,0
201,TRAIN,0,0
202,TEST,0,0
203,TRAIN,0,0
204,TEST,0,0
205,TRAIN,0,0
206,TRAIN,0,0
207,TRAIN,0,0
208,TRAIN,0,0
209,TEST,0,0
210,TEST,0,0
211,TRAIN,0,0
212,TEST,0,0
213,TEST,0,0
214,TRAIN,0,0
215,TRAIN,0,0
216,TRAIN,0,0
217,TRAIN,0,0
218,TRAIN,0,0
219,TEST,0,0
220,TRAIN,0,0
221,TEST,0,0
222,TEST,0,0
223,TRAIN,0,0
224,TEST,0,0
225,TRAIN,0,0
226,TRAIN,0,0
227,TRAIN,0,0
228,TRAIN,0,0
229,TRAIN,0,0
230,TRAIN,0,0
231,TRAIN,0,0
232,TRAIN,0,0
233,TRAIN,0,0
234,TRAIN,0,0
235,TRAIN,0,0
236,TRAIN,0,0
237,TEST,0,0
238,TEST,0,0
239,TRAIN,0,0
240,TEST,0,0
241,TRAIN,0,0
242,TEST,0,0
243,TEST,0,0
244,TEST,0,0
245,TEST,0,0
246,TRAIN,0,0
247,TRAIN,0,0
248,TRAIN,0,0
249,TRAIN,0,0
250,TRAIN,0,0
251,TEST,0,0
252,TEST,0,0
253,TEST,0,0
254,TRAIN,0,0
255,TEST,0,0
256,TEST,0,0
257,TEST,0,0
258,TRAIN,0,0
259,TEST,0,0
260,TRAIN,0,0
261,TRAIN,0,0
262,TEST,0,0
263,TRAIN,0,0
264,TRAIN,0,0
265,TEST,0,0
266,TEST,0,0
267,TEST,0,0
268,TRAIN,0,0
269,TRAIN,0,0
270,TRAIN,0,0
271,TRAIN,0,0
272,TRAIN,0,0
273,TRAIN,0,0
274,TRAIN,0,0
275,TRAIN,0,0
276,TRAIN,0,0
277,TEST,0,0
278,TEST,0,0
279,TRAIN,0,0
280,TEST,0,0
281,TRAIN,0,0
282,TRAIN,0,0
283,TRAIN,0,0
284,TRAIN,0,0
