d3mIndex,name,mpg,cylinders,displacement,horsepower,weight,acceleration,model.year,origin
0,chevrolet_chevelle_malibu,18.0,8,307.0,130.0,3504,12.0,70,1
1,buick_skylark_320,15.0,8,350.0,165.0,3693,11.5,70,1
2,plymouth_satellite,18.0,8,318.0,150.0,3436,11.0,70,1
3,amc_rebel_sst,16.0,8,304.0,150.0,3433,12.0,70,1
4,ford_torino,17.0,8,302.0,140.0,3449,10.5,70,1
5,ford_galaxie_500,15.0,8,429.0,198.0,4341,10.0,70,1
6,chevrolet_impala,14.0,8,454.0,220.0,4354,9.0,70,1
7,plymouth_fury_iii,14.0,8,440.0,215.0,4312,8.5,70,1
8,pontiac_catalina,14.0,8,455.0,225.0,4425,10.0,70,1
9,amc_ambassador_dpl,15.0,8,390.0,190.0,3850,8.5,70,1
10,citroen_ds-21_pallas,,4,133.0,115.0,3090,17.5,70,2
11,chevrolet_chevelle_concours_(sw),,8,350.0,165.0,4142,11.5,70,1
12,ford_torino_(sw),,8,351.0,153.0,4034,11.0,70,1
13,plymouth_satellite_(sw),,8,383.0,175.0,4166,10.5,70,1
14,amc_rebel_sst_(sw),,8,360.0,175.0,3850,11.0,70,1
15,dodge_challenger_se,15.0,8,383.0,170.0,3563,10.0,70,1
16,plymouth_cuda_340,14.0,8,340.0,160.0,3609,8.0,70,1
17,ford_mustang_boss_302,,8,302.0,140.0,3353,8.0,70,1
18,chevrolet_monte_carlo,15.0,8,400.0,150.0,3761,9.5,70,1
19,buick_estate_wagon_(sw),14.0,8,455.0,225.0,3086,10.0,70,1
20,toyota_corona_mark_ii,24.0,4,113.0,95.0,2372,15.0,70,3
21,plymouth_duster,22.0,6,198.0,95.0,2833,15.5,70,1
22,amc_hornet,18.0,6,199.0,97.0,2774,15.5,70,1
23,ford_maverick,21.0,6,200.0,85.0,2587,16.0,70,1
24,datsun_pl510,27.0,4,97.0,88.0,2130,14.5,70,3
25,volkswagen_1131_deluxe_sedan,26.0,4,97.0,46.0,1835,20.5,70,2
26,peugeot_504,25.0,4,110.0,87.0,2672,17.5,70,2
27,audi_100_ls,24.0,4,107.0,90.0,2430,14.5,70,2
28,saab_99e,25.0,4,104.0,95.0,2375,17.5,70,2
29,bmw_2002,26.0,4,121.0,113.0,2234,12.5,70,2
30,amc_gremlin,21.0,6,199.0,90.0,2648,15.0,70,1
31,ford_f250,10.0,8,360.0,215.0,4615,14.0,70,1
32,chevy_c20,10.0,8,307.0,200.0,4376,15.0,70,1
33,dodge_d200,11.0,8,318.0,210.0,4382,13.5,70,1
34,hi_1200d,9.0,8,304.0,193.0,4732,18.5,70,1
35,datsun_pl510,27.0,4,97.0,88.0,2130,14.5,71,3
36,chevrolet_vega_2300,28.0,4,140.0,90.0,2264,15.5,71,1
37,toyota_corona,25.0,4,113.0,95.0,2228,14.0,71,3
38,ford_pinto,25.0,4,98.0,,2046,19.0,71,1
39,volkswagen_super_beetle_117,,4,97.0,48.0,1978,20.0,71,2
40,amc_gremlin,19.0,6,232.0,100.0,2634,13.0,71,1
41,plymouth_satellite_custom,16.0,6,225.0,105.0,3439,15.5,71,1
42,chevrolet_chevelle_malibu,17.0,6,250.0,100.0,3329,15.5,71,1
43,ford_torino_500,19.0,6,250.0,88.0,3302,15.5,71,1
44,amc_matador,18.0,6,232.0,100.0,3288,15.5,71,1
45,chevrolet_impala,14.0,8,350.0,165.0,4209,12.0,71,1
46,pontiac_catalina_brougham,14.0,8,400.0,175.0,4464,11.5,71,1
47,ford_galaxie_500,14.0,8,351.0,153.0,4154,13.5,71,1
48,plymouth_fury_iii,14.0,8,318.0,150.0,4096,13.0,71,1
49,dodge_monaco_(sw),12.0,8,383.0,180.0,4955,11.5,71,1
50,ford_country_squire_(sw),13.0,8,400.0,170.0,4746,12.0,71,1
51,pontiac_safari_(sw),13.0,8,400.0,175.0,5140,12.0,71,1
52,amc_hornet_sportabout_(sw),18.0,6,258.0,110.0,2962,13.5,71,1
53,chevrolet_vega_(sw),22.0,4,140.0,72.0,2408,19.0,71,1
