d3mIndex,Political_system,Age,Time_of_survey,Schooling,Region,Count
0,Very_poorly,19-29,1991,Basic_incomplete,West_Germany,1
1,Very_poorly,19-29,1991,Basic,West_Germany,5
2,Very_poorly,19-29,1991,Medium,West_Germany,10
3,Very_poorly,19-29,1991,Upper_medium,West_Germany,3
4,Very_poorly,19-29,1991,Intensive,West_Germany,8
5,Very_poorly,19-29,1991,Basic_incomplete,East_Germany,0
6,Very_poorly,19-29,1991,Basic,East_Germany,0
7,Very_poorly,19-29,1991,Medium,East_Germany,2
8,Very_poorly,19-29,1991,Upper_medium,East_Germany,0
9,Very_poorly,19-29,1991,Intensive,East_Germany,2
10,Poorly,19-29,1991,Basic_incomplete,West_Germany,3
11,Poorly,19-29,1991,Basic,West_Germany,63
12,Poorly,19-29,1991,Medium,West_Germany,88
13,Poorly,19-29,1991,Upper_medium,West_Germany,22
14,Poorly,19-29,1991,Intensive,West_Germany,78
15,Poorly,19-29,1991,Basic_incomplete,East_Germany,2
16,Poorly,19-29,1991,Basic,East_Germany,13
17,Poorly,19-29,1991,Medium,East_Germany,103
18,Poorly,19-29,1991,Upper_medium,East_Germany,6
19,Poorly,19-29,1991,Intensive,East_Germany,29
20,Well,19-29,1991,Basic_incomplete,West_Germany,1
21,Well,19-29,1991,Basic,West_Germany,25
22,Well,19-29,1991,Medium,West_Germany,18
23,Well,19-29,1991,Upper_medium,West_Germany,5
24,Well,19-29,1991,Intensive,West_Germany,9
25,Well,19-29,1991,Basic_incomplete,East_Germany,1
26,Well,19-29,1991,Basic,East_Germany,5
27,Well,19-29,1991,Medium,East_Germany,53
28,Well,19-29,1991,Upper_medium,East_Germany,1
29,Well,19-29,1991,Intensive,East_Germany,12
30,Very_well,19-29,1991,Basic_incomplete,West_Germany,2
31,Very_well,19-29,1991,Basic,West_Germany,2
32,Very_well,19-29,1991,Medium,West_Germany,0
33,Very_well,19-29,1991,Upper_medium,West_Germany,0
34,Very_well,19-29,1991,Intensive,West_Germany,1
35,Very_well,19-29,1991,Basic_incomplete,East_Germany,0
36,Very_well,19-29,1991,Basic,East_Germany,0
37,Very_well,19-29,1991,Medium,East_Germany,4
38,Very_well,19-29,1991,Upper_medium,East_Germany,0
39,Very_well,19-29,1991,Intensive,East_Germany,3
