d3mIndex,FICE,College_name,State,Type,Average_salary-full_professors,Average_salary-associate_professors,Average_salary-assistant_professors,Average_salary-all_ranks,Average_compensation-full_professors,Average_compensation-associate_professors,Average_compensation-assistant_professors,Average_compensation-all_ranks,Number_of_full_professors,Number_of_associate_professors,Number_of_assistant_professors,Number_of_instructors,Number_of_faculty-all_ranks
0,1061,Alaska_Pacific_University,AK,IIB,454.0,382.0,362.0,382,567.0,485.0,471.0,487,6,11,9,4,32
1,1063,UnivAlaska-Fairbanks,AK,I,686.0,560.0,432.0,508,914.0,753.0,572.0,677,74,125,118,40,404
2,1065,UnivAlaska-Southeast,AK,IIA,533.0,494.0,329.0,415,716.0,663.0,442.0,559,9,26,20,9,70
3,11462,UnivAlaska-Anchorage,AK,IIA,612.0,507.0,414.0,498,825.0,681.0,557.0,670,115,124,101,21,392
4,1002,Alabama_Agri_and_Mech_Univ,AL,IIA,442.0,369.0,310.0,350,530.0,444.0,376.0,423,59,77,102,24,262
5,1004,University_of_Montevallo,AL,IIA,441.0,385.0,310.0,388,542.0,473.0,383.0,477,57,33,35,2,127
6,1008,Athens_State_College,AL,IIB,466.0,394.0,351.0,396,558.0,476.0,427.0,478,20,18,30,0,68
7,1009,Auburn_University-_Main,AL,I,580.0,437.0,374.0,455,692.0,527.0,451.0,546,366,354,301,66,1109
8,1012,Birmingham_Southern_College,AL,IIB,498.0,379.0,322.0,401,655.0,501.0,404.0,523,34,25,27,3,89
9,1016,Univ_of_North_Alabama,AL,IIB,506.0,412.0,359.0,411,607.0,508.0,445.0,503,67,40,66,27,200
10,1019,Huntingdon_College,AL,IIB,339.0,303.0,287.0,301,421.0,371.0,347.0,366,8,15,19,2,44
11,1020,Jacksonville_State_Univ,AL,IIA,461.0,389.0,338.0,386,585.0,496.0,436.0,493,106,42,66,58,272
12,1024,Livingston_University,AL,IIB,360.0,304.0,258.0,300,433.0,369.0,313.0,363,27,25,33,4,89
13,1029,University_of_Mobile,AL,IIB,354.0,321.0,277.0,291,436.0,401.0,346.0,363,17,19,31,19,86
14,1033,Oakwood_College,AL,IIB,301.0,290.0,283.0,290,375.0,363.0,355.0,362,18,28,28,3,77
15,1036,Samford_University,AL,IIA,565.0,425.0,363.0,449,710.0,556.0,476.0,578,83,46,77,9,215
16,1041,Spring_Hill_College,AL,IIB,431.0,352.0,311.0,373,518.0,425.0,374.0,449,23,17,14,1,55
17,1044,Stillman_College,AL,IIB,321.0,288.0,251.0,272,388.0,354.0,312.0,335,13,18,18,10,59
18,1047,Troy_State_University-Main,AL,IIA,462.0,385.0,322.0,350,560.0,467.0,392.0,426,25,59,100,19,204
19,1050,Tuskegee_University,AL,IIA,410.0,352.0,306.0,327,487.0,415.0,362.0,387,57,65,85,45,254
20,1051,University_of_Alabama,AL,I,605.0,447.0,382.0,463,746.0,563.0,483.0,580,267,206,206,76,762
21,1052,Univ_Alabama_at_Birmingham,AL,I,633.0,445.0,366.0,461,786.0,569.0,475.0,587,106,163,107,19,406
22,1055,Univ_Alabama_in_Huntsville,AL,IIA,636.0,443.0,375.0,451,771.0,540.0,455.0,548,72,87,98,7,282
23,1057,University_of_South_Alabama,AL,IIA,542.0,426.0,370.0,418,645.0,514.0,450.0,504,119,103,142,64,434
24,8310,Auburn_Univ_at_Montgomery,AL,IIA,519.0,422.0,343.0,403,621.0,507.0,411.0,483,56,54,63,28,201
25,1085,Univ_Ark_at_Monticello,AR,IIB,453.0,363.0,330.0,349,561.0,448.0,402.0,428,23,24,48,22,117
26,1086,Univ_Arkansas_at_Pine_Bluff,AR,IIB,406.0,366.0,332.0,335,505.0,457.0,415.0,419,40,33,71,46,192
27,1088,Arkansas_College_(Lyon_College),AR,IIB,499.0,,330.0,399,618.0,,402.0,488,14,5,21,2,42
28,1089,Arkansas_Tech_University,AR,IIB,439.0,381.0,337.0,374,550.0,479.0,427.0,471,44,71,52,13,180
29,1090,Arkansas_State_Univ-Main,AR,IIA,520.0,433.0,342.0,398,646.0,541.0,431.0,498,103,87,141,63,394
30,1092,Univ_of_Central_Arkansas,AR,IIA,521.0,416.0,339.0,395,632.0,507.0,416.0,482,93,89,82,76,340
31,1094,University_of_the_Ozarks,AR,IIB,309.0,280.0,274.0,285,428.0,383.0,376.0,391,14,9,15,2,40
32,1098,Henderson_State_University,AR,IIB,447.0,375.0,341.0,375,561.0,480.0,435.0,477,55,42,33,25,155
33,1099,Hendrix_College,AR,IIB,485.0,399.0,362.0,421,664.0,534.0,453.0,562,24,26,14,1,65
34,1100,John_Brown_University,AR,IIB,372.0,338.0,304.0,341,478.0,414.0,375.0,426,23,22,10,3,58
35,1101,Univ_Ark_at_Little_Rock,AR,IIA,536.0,416.0,372.0,415,651.0,506.0,450.0,504,128,117,72,63,398
36,1102,Ouachita_Baptist_University,AR,IIB,422.0,355.0,289.0,342,529.0,445.0,375.0,435,36,14,28,19,97
37,1106,Williams_Baptist_College,AR,IIB,,,264.0,266,,,327.0,331,4,4,12,4,24
38,1107,Southern_Ark_Univ-Main,AR,IIA,461.0,389.0,321.0,362,575.0,484.0,402.0,453,27,31,34,23,115
39,1108,Univ_Arkansas-Fayetteville,AR,I,563.0,436.0,379.0,452,686.0,531.0,461.0,550,314,198,225,54,806
40,10311,Harding_University,AR,IIB,424.0,374.0,335.0,380,512.0,461.0,401.0,460,80,46,41,8,179
41,1074,Grand_Canyon_University,AZ,IIB,358.0,328.0,274.0,299,439.0,395.0,332.0,363,20,18,24,12,74
