d3mIndex,Year,Row,Group,Lugs
0,1983,1,1,5.0
1,1983,2,1,10.0
2,1983,3,1,11.0
3,1983,4,1,11.25
4,1983,5,2,11.0
5,1983,6,2,11.0
6,1983,7,2,9.0
7,1983,8,2,9.0
8,1983,9,3,9.0
9,1983,10,3,9.0
10,1983,11,3,6.0
11,1983,12,3,7.0
12,1983,13,4,5.0
13,1983,14,4,7.0
14,1983,15,4,10.0
15,1983,16,4,13.0
16,1983,17,5,5.5
17,1983,18,5,10.5
18,1983,19,5,9.0
19,1983,20,5,6.0
20,1983,21,6,8.0
21,1983,22,6,15.0
22,1983,23,6,13.0
23,1983,24,6,14.0
24,1983,25,7,15.0
25,1983,26,7,14.5
26,1983,27,7,14.0
27,1983,28,7,14.0
28,1983,29,8,15.0
29,1983,30,8,16.0
30,1983,31,8,13.0
31,1983,32,8,12.0
32,1983,33,9,9.0
33,1983,34,9,11.5
34,1983,35,9,9.5
35,1983,36,9,12.0
36,1983,37,10,13.0
37,1983,38,10,13.5
38,1983,39,10,15.0
39,1983,40,10,15.5
40,1983,41,11,14.0
41,1983,42,11,14.0
42,1983,43,11,10.0
43,1983,44,11,13.0
44,1983,45,12,11.0
45,1983,46,12,8.5
46,1983,47,12,7.5
47,1983,48,12,6.0
48,1983,49,13,5.0
49,1983,50,13,4.0
50,1983,51,13,3.0
51,1983,52,13,2.0
52,1984,1,1,5.0
53,1984,2,1,5.0
54,1984,3,1,11.0
55,1984,4,1,10.0
56,1984,5,2,7.0
57,1984,6,2,13.0
58,1984,7,2,10.5
59,1984,8,2,10.0
60,1984,9,3,13.0
61,1984,10,3,12.0
62,1984,11,3,10.0
63,1984,12,3,9.0
64,1984,13,4,11.0
65,1984,14,4,7.0
66,1984,15,4,8.0
67,1984,16,4,10.5
68,1984,17,5,10.0
69,1984,18,5,11.5
70,1984,19,5,9.0
71,1984,20,5,11.0
72,1984,21,6,13.0
73,1984,22,6,15.0
74,1984,23,6,14.0
75,1984,24,6,17.0
76,1984,25,7,16.0
77,1984,26,7,14.0
78,1984,27,7,11.0
79,1984,28,7,16.0
80,1984,29,8,12.0
81,1984,30,8,11.5
82,1984,31,8,11.0
83,1984,32,8,13.0
84,1984,33,9,12.0
85,1984,34,9,12.0
86,1984,35,9,13.0
87,1984,36,9,9.0
88,1984,37,10,15.0
89,1984,38,10,12.0
90,1984,39,10,7.0
91,1984,40,10,7.0
92,1984,41,11,10.0
93,1984,42,11,5.0
94,1984,43,11,3.5
95,1984,44,11,5.0
96,1984,45,12,14.0
97,1984,46,12,13.0
98,1984,47,12,19.0
99,1984,48,12,11.5
100,1984,49,13,10.0
101,1984,50,13,6.0
102,1984,51,13,6.5
103,1984,52,13,5.0
104,1985,1,1,2.0
105,1985,2,1,5.0
106,1985,3,1,4.0
107,1985,4,1,5.0
108,1985,5,2,4.0
109,1985,6,2,3.0
110,1985,7,2,2.5
111,1985,8,2,2.0
112,1985,9,3,2.0
113,1985,10,3,2.0
114,1985,11,3,3.0
115,1985,12,3,2.5
116,1985,13,4,2.0
117,1985,14,4,3.0
118,1985,15,4,3.0
119,1985,16,4,3.0
120,1985,17,5,4.0
121,1985,18,5,5.0
122,1985,19,5,6.0
123,1985,20,5,8.0
124,1985,21,6,7.0
125,1985,22,6,11.0
126,1985,23,6,9.0
127,1985,24,6,10.0
128,1985,25,7,10.0
129,1985,26,7,11.0
130,1985,27,7,14.0
131,1985,28,7,15.0
132,1985,29,8,12.0
133,1985,30,8,10.0
134,1985,31,8,12.0
135,1985,32,8,13.0
136,1985,33,9,9.5
137,1985,34,9,8.0
138,1985,35,9,8.0
139,1985,36,9,9.0
140,1985,37,10,11.0
141,1985,38,10,13.0
142,1985,39,10,16.0
143,1985,40,10,18.0
144,1985,41,11,12.0
145,1985,42,11,15.0
146,1985,43,11,14.0
147,1985,44,11,20.0
148,1985,45,12,14.0
149,1985,46,12,7.0
150,1985,47,12,7.5
151,1985,48,12,4.0
152,1985,49,13,5.0
153,1985,50,13,3.0
154,1985,51,13,1.5
155,1985,52,13,0.5
156,1986,1,1,4.5
157,1986,2,1,9.0
158,1986,3,1,9.0
159,1986,4,1,9.5
160,1986,5,2,10.0
161,1986,6,2,7.0
162,1986,7,2,7.5
163,1986,8,2,7.0
164,1986,9,3,8.0
165,1986,10,3,7.0
166,1986,11,3,7.0
167,1986,12,3,5.0
168,1986,13,4,5.0
169,1986,14,4,4.0
170,1986,15,4,3.0
171,1986,16,4,4.0
172,1986,17,5,4.0
173,1986,18,5,4.0
174,1986,19,5,4.5
175,1986,20,5,3.5
176,1986,21,6,6.0
177,1986,22,6,5.0
178,1986,23,6,6.0
179,1986,24,6,6.0
180,1986,25,7,5.0
181,1986,26,7,7.0
182,1986,27,7,6.0
183,1986,28,7,5.0
184,1986,29,8,3.0
185,1986,30,8,5.0
186,1986,31,8,4.0
187,1986,32,8,4.5
188,1986,33,9,4.0
189,1986,34,9,4.0
190,1986,35,9,4.0
191,1986,36,9,4.0
192,1986,37,10,6.0
193,1986,38,10,6.0
194,1986,39,10,4.0
195,1986,40,10,3.0
196,1986,41,11,3.5
197,1986,42,11,8.0
198,1986,43,11,6.0
199,1986,44,11,4.5
200,1986,45,12,6.0
201,1986,46,12,4.5
202,1986,47,12,4.0
203,1986,48,12,3.0
204,1986,49,13,3.0
205,1986,50,13,2.0
206,1986,51,13,1.0
207,1986,52,13,0.5
208,1987,1,1,1.5
209,1987,2,1,4.0
210,1987,3,1,6.0
211,1987,4,1,7.0
212,1987,5,2,7.0
213,1987,6,2,10.0
214,1987,7,2,7.0
215,1987,8,2,7.0
216,1987,9,3,10.0
217,1987,10,3,7.0
218,1987,11,3,6.0
219,1987,12,3,7.0
220,1987,13,4,9.0
221,1987,14,4,9.0
222,1987,15,4,8.0
223,1987,16,4,12.0
224,1987,17,5,13.0
225,1987,18,5,15.0
226,1987,19,5,17.0
227,1987,20,5,20.0
228,1987,21,6,16.0
229,1987,22,6,17.0
230,1987,23,6,15.0
231,1987,24,6,12.0
232,1987,25,7,13.0
233,1987,26,7,13.0
234,1987,27,7,18.0
235,1987,28,7,20.0
236,1987,29,8,16.0
237,1987,30,8,16.0
238,1987,31,8,16.0
239,1987,32,8,16.0
240,1987,33,9,15.0
241,1987,34,9,11.0
242,1987,35,9,11.0
243,1987,36,9,11.0
244,1987,37,10,8.5
245,1987,38,10,10.0
246,1987,39,10,6.0
247,1987,40,10,10.0
248,1987,41,11,8.0
249,1987,42,11,8.0
