d3mIndex,Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement,Log_exposure
0,0.0,1.0,0.0,0.0,1.0,1953.0,1.0,2.3
1,0.0,0.0,0.0,0.0,1.0,1953.0,0.0,2.3
2,0.0,0.0,0.0,0.0,0.0,1953.0,0.0,2.3
3,0.0,0.0,0.0,0.0,1.0,1953.0,1.0,2.3
4,0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
5,0.0,0.0,0.0,0.0,1.0,1953.0,1.0,2.3
6,0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
7,0.0,1.0,0.0,0.0,1.0,1953.0,1.0,2.3
8,1.0,0.0,0.0,0.0,0.0,1953.0,0.0,2.3
9,1.0,0.0,0.0,0.0,0.0,1953.0,0.0,2.3
10,0.0,1.0,0.0,0.0,1.0,1953.0,0.0,2.3
11,0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
12,1.0,0.0,0.0,0.0,0.0,1953.0,0.0,2.3
13,0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
14,0.0,1.0,0.0,0.0,1.0,1953.0,0.0,2.3
15,0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
16,0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
17,0.0,0.0,0.0,0.0,0.0,1953.0,1.0,2.3
18,0.0,0.0,0.0,0.0,1.0,1953.0,1.0,2.3
19,0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
20,0.0,0.0,0.0,0.0,0.0,1953.0,0.0,2.3
21,0.0,0.0,0.0,0.0,1.0,1953.0,1.0,2.3
22,0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
23,0.0,0.0,0.0,0.0,1.0,1953.0,1.0,2.3
24,0.0,0.0,0.0,0.0,0.0,1953.0,0.0,2.3
25,0.0,1.0,0.0,0.0,1.0,1953.0,0.0,2.3
26,0.0,1.0,0.0,0.0,0.0,1954.0,0.0,2.3
27,0.0,1.0,0.0,0.0,0.0,1954.0,1.0,2.3
28,0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
29,0.0,0.0,0.0,0.0,1.0,1954.0,0.0,2.3
30,0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
