d3mIndex,year,field_goals,field_goal_attempts
0,85,3,10
1,85,7,13
2,85,5,11
3,85,12,23
4,85,7,13
5,85,0,4
6,85,2,5
7,85,2,8
8,85,2,9
9,85,4,6
10,85,1,6
11,85,11,16
12,85,5,13
13,85,14,24
14,85,3,11
15,85,10,18
16,85,10,20
17,85,4,8
18,85,3,7
19,85,10,16
20,85,8,14
21,85,2,7
22,85,7,15
23,85,6,12
24,85,9,16
25,85,2,11
26,85,11,23
27,85,3,12
28,85,4,9
29,85,1,4
30,85,6,16
31,85,2,7
32,85,4,11
33,85,7,16
34,85,7,15
35,85,8,17
36,85,7,14
37,85,11,19
38,85,6,13
39,85,7,13
40,85,5,9
41,85,8,15
42,85,10,19
43,85,4,13
44,85,5,10
45,85,6,8
46,85,5,14
47,85,4,14
48,85,6,11
49,85,11,16
50,85,12,18
51,85,3,10
52,85,7,12
53,85,5,12
54,85,11,16
55,85,1,9
56,85,6,13
57,85,4,8
58,85,5,10
59,85,7,15
60,85,3,9
61,85,6,16
62,85,5,10
63,85,6,10
64,85,6,13
65,85,2,6
66,85,4,10
67,85,1,7
68,85,9,15
69,85,10,22
70,85,5,12
71,85,8,16
72,85,3,16
73,85,8,17
74,85,3,7
75,85,7,12
76,85,9,15
77,85,10,19
78,85,2,10
79,85,8,19
80,85,9,17
81,85,4,10
82,85,1,3
83,86,7,13
84,86,5,15
85,86,11,17
86,86,9,16
87,86,6,14
88,86,7,17
89,86,9,20
90,86,1,4
91,86,9,22
92,86,10,17
93,86,11,21
94,86,6,12
95,86,9,17
96,86,5,12
97,86,9,16
98,86,10,17
99,86,6,14
100,86,12,16
101,86,4,7
102,86,7,14
103,86,7,14
104,86,5,12
105,86,10,18
106,86,3,10
107,86,6,15
108,86,7,14
109,86,5,13
110,86,5,16
111,86,3,9
112,86,8,16
113,86,8,16
114,86,10,17
115,86,8,17
116,86,7,18
117,86,3,10
118,86,3,13
119,86,8,10
120,86,7,15
121,86,8,14
122,86,6,11
123,86,3,12
124,86,11,22
125,86,9,14
126,86,10,20
127,86,8,21
128,86,6,13
129,86,2,9
130,86,5,13
131,86,6,17
132,86,4,7
133,86,4,12
134,86,7,15
135,86,1,6
136,86,13,21
137,86,7,18
138,86,10,16
139,86,8,13
140,86,4,10
141,86,2,8
142,86,12,19
143,86,3,11
144,86,6,14
145,86,7,16
146,86,3,10
147,86,7,17
148,86,15,25
149,86,3,11
150,86,9,25
151,86,10,16
152,86,7,21
153,86,4,11
154,86,7,15
155,86,7,13
156,86,7,15
157,86,9,20
158,86,6,15
159,86,7,18
160,86,4,16
161,86,6,13
162,86,6,18
163,86,8,16
164,86,5,13
165,86,6,14
166,86,2,8
167,86,2,9
168,86,6,14
169,86,7,15
170,86,7,11
171,86,6,16
172,86,12,20
173,86,8,13
174,86,9,15
175,86,5,12
176,87,6,14
177,87,6,14
178,87,5,13
179,87,13,19
180,87,6,14
181,87,9,18
182,87,9,16
183,87,2,7
184,87,9,20
185,87,8,18
186,87,6,11
187,87,4,13
188,87,9,20
189,87,6,12
