d3mIndex,Grievances,Rotate,Union,Workforce,Log_workforce,Wildcat_strikes
0,5,1,1,174,5.15906,0
1,18,1,1,208,5.33754,0
2,4,1,1,238,5.47227,0
3,5,1,1,297,5.69373,0
4,6,1,1,126,4.83628,0
5,8,1,1,161,5.0814,0
6,0,1,0,91,4.51086,0
7,0,1,0,147,4.99043,0
8,2,1,1,97,4.57471,0
9,2,1,1,77,4.34381,0
10,2,1,1,130,4.86753,0
11,2,1,1,140,4.94164,0
12,0,0,0,7,1.94591,0
13,0,0,0,6,1.79176,0
14,0,0,0,8,2.07944,0
15,0,0,0,9,2.19722,0
16,0,0,0,10,2.30259,0
17,0,0,0,10,2.30259,0
18,0,0,0,11,2.3979,0
19,0,0,0,10,2.30259,0
20,0,0,0,18,2.89037,0
21,0,0,0,21,3.04452,0
22,0,0,0,36,3.58352,0
23,0,0,0,67,4.20469,0
24,0,0,0,50,3.91202,0
25,0,0,0,75,4.31749,0
26,0,0,0,115,4.74493,0
27,0,0,0,48,3.8712,0
28,0,0,0,51,3.93183,0
29,0,0,0,53,3.97029,0
30,0,0,0,61,4.11087,0
31,0,0,0,69,4.23411,0
32,0,0,0,16,2.77259,0
33,0,0,0,16,2.77259,0
34,0,0,0,16,2.77259,0
35,0,0,0,16,2.77259,0
36,0,0,0,16,2.77259,0
37,0,0,0,16,2.77259,0
38,0,0,0,59,4.07754,0
39,0,0,0,63,4.14313,0
40,0,0,0,56,4.02535,0
41,9,0,1,372,5.91889,0
42,9,1,1,400,5.99146,0
43,0,1,0,64,4.15888,0
44,0,1,0,63,4.14313,0
45,0,1,0,41,3.71357,0
46,0,1,0,44,3.78419,0
47,0,1,0,44,3.78419,0
48,0,1,0,36,3.58352,0
49,0,1,0,47,3.85015,0
50,0,1,0,54,3.98898,0
51,45,1,1,406,6.00635,0
52,7,1,1,432,6.06843,0
53,12,1,1,209,5.34233,0
54,12,1,1,257,5.54908,0
55,15,1,1,266,5.5835,0
56,3,1,1,117,4.76217,0
57,0,1,0,143,4.96284,0
58,0,1,0,155,5.04343,0
59,0,1,0,212,5.35659,0
60,0,1,0,212,5.35659,0
61,26,0,1,415,6.02828,0
62,1,1,1,77,4.34381,0
63,6,0,1,78,4.35671,0
64,1,0,1,46,3.82864,0
65,2,0,1,37,3.61092,0
66,139,1,1,920,6.82437,0
67,8,0,1,468,6.14847,0
68,11,0,1,462,6.13556,0
69,27,0,1,479,6.1717,0
70,0,0,0,18,2.89037,0
71,13,0,1,45,3.80666,0
72,1,0,1,49,3.89182,0
73,0,0,1,49,3.89182,0
74,0,0,1,49,3.89182,0
75,0,0,1,34,3.52636,0
76,0,0,1,34,3.52636,0
77,12,1,1,168,5.12396,1
78,10,1,1,265,5.57973,1
79,0,1,0,156,5.04986,1
80,0,1,0,199,5.2933,1
81,0,1,0,346,5.84644,1
82,0,1,0,434,6.07304,1
83,0,0,0,25,3.21888,1
84,0,0,0,25,3.21888,1
85,0,0,0,69,4.23411,1
86,43,1,1,658,6.4892,1
87,6,1,1,407,6.00881,1
88,6,1,1,272,5.6058,1
89,30,1,1,268,5.59099,1
90,19,1,1,277,5.62402,1
91,4,1,1,178,5.18178,1
92,0,1,0,212,5.35659,1
93,0,1,0,212,5.35659,1
94,0,1,0,198,5.28827,1
95,0,1,0,189,5.24175,1
96,0,1,0,192,5.2575,1
97,14,1,1,246,5.50533,1
98,1,1,1,69,4.23411,1
99,84,1,1,520,6.25383,1
100,3,1,1,49,3.89182,1
101,25,0,1,536,6.28413,1
102,0,1,0,456,6.12249,2
103,41,0,1,401,5.99396,2
104,69,0,1,397,5.98394,2
105,6,1,1,414,6.02587,2
106,6,1,1,459,6.12905,2
107,22,1,1,472,6.15698,2
108,8,1,1,365,5.8999,2
109,50,1,1,450,6.10925,2
110,8,1,1,106,4.66344,2
111,5,0,1,76,4.33073,2
112,15,0,1,107,4.67283,2
113,2,1,1,93,4.5326,2
114,8,0,1,113,4.72739,2
115,19,1,1,691,6.53814,2
116,6,1,1,196,5.27811,3
117,2,1,1,367,5.90536,3
118,7,1,1,409,6.01372,3
119,7,1,1,429,6.06146,3
120,25,1,1,347,5.84932,3
121,40,1,1,282,5.64191,3
122,8,1,1,132,4.8828,3
123,6,0,1,320,5.76832,3
124,4,1,1,408,6.01127,4
125,5,1,1,457,6.12468,4
126,2,0,1,148,4.99721,4
127,10,0,1,342,5.83481,4
128,36,0,1,296,5.69036,4
129,10,0,1,319,5.76519,5
130,101,0,1,574,6.35263,5
131,1,1,1,461,6.1334,5
132,16,1,1,530,6.27288,5
133,2,1,1,83,4.41884,5
134,40,1,1,830,6.72143,5
135,43,1,1,424,6.04973,6
136,74,1,1,555,6.31897,6
137,0,0,0,189,5.24175,6
138,50,0,1,59,4.07754,6
139,77,1,1,599,6.39526,7
140,6,0,1,305,5.72031,7
141,21,0,1,357,5.87774,7
142,5,0,1,82,4.40672,7
143,53,1,1,388,5.96101,8
144,45,1,1,579,6.3613,8
145,52,1,1,608,6.41017,8
146,8,0,1,82,4.40672,8
147,67,1,1,624,6.43615,9
148,67,1,1,620,6.42972,10
149,14,0,1,80,4.38203,10
150,10,0,1,126,4.83628,10
151,11,0,1,60,4.09434,10
152,68,1,1,850,6.74524,11
153,5,0,1,427,6.05678,11
154,28,0,1,87,4.46591,12
155,2,0,1,78,4.35671,12
156,22,0,1,352,5.86363,13
157,33,0,1,51,3.93183,13
158,22,0,1,45,3.80666,13
159,23,0,1,524,6.26149,13
160,155,1,1,890,6.79122,14
161,20,0,1,509,6.23245,15
162,40,0,1,84,4.43082,22
