d3mIndex,pm10_concentration,cars_per_hour,temperature_at_2m,wind_speed,temperature_diff_2m_25m,wind_direction,hour_of_day,day
0,3.66356,7.74414,-4.4,4.2,0.0,18.0,19,116
1,3.04452,8.03398,-5.7,4.8,-0.3,69.1,9,506
2,3.71357,4.70048,-13.5,4.3,0.2,80.0,3,95
3,2.94444,7.5251,1.4,3.0,0.1,177.0,22,161
4,4.06044,7.7626,4.1,5.6,1.1,287.0,7,80
5,3.68888,7.88683,5.8,2.3,-0.1,200.0,9,33
6,3.3322,7.81521,2.7,1.9,0.4,228.0,7,129
7,3.3673,7.77779,7.1,8.9,0.2,220.0,15,155
8,2.07944,6.89163,4.1,2.0,0.1,183.0,9,132
9,1.94591,7.6774,1.1,5.2,0.1,43.1,10,480
10,3.3322,5.71373,-9.0,3.4,0.0,80.0,6,98
11,3.21888,8.33471,1.6,4.4,-0.3,78.1,16,558
12,1.09861,4.65396,-0.4,5.7,0.8,267.0,3,121
13,5.3845,7.38895,-4.8,6.0,0.0,81.0,20,122
14,3.93183,7.81763,-0.9,1.4,-0.3,236.0,15,51
15,3.3673,4.96981,-0.5,0.6,1.7,341.1,4,552
16,2.83321,7.80384,-1.0,1.8,0.0,16.0,7,150
17,3.04452,7.62168,-2.3,5.2,-0.1,66.1,12,428
18,2.99573,5.21494,5.8,2.6,-0.2,68.8,3,582
19,4.21951,7.64204,5.1,2.2,1.1,199.0,18,538
20,3.04452,7.77149,10.8,2.4,-1.5,329.8,13,579
21,3.7612,8.31385,12.2,4.0,-2.8,230.4,17,572
22,3.58352,7.63964,-2.8,2.1,-1.6,210.2,11,512
23,2.48491,7.05531,11.2,3.3,2.3,302.8,23,604
24,2.48491,7.38275,13.6,0.6,-0.8,159.8,11,602
25,3.3322,7.56786,-12.3,3.7,-0.2,70.0,12,460
26,3.13549,7.92226,4.2,1.4,0.2,161.0,7,127
27,2.07944,7.38771,-2.8,4.5,0.1,53.3,21,417
28,3.68888,7.4793,3.4,7.2,0.5,209.1,12,477
29,2.99573,3.97029,-11.7,2.7,1.7,81.0,4,87
30,3.98898,8.05102,-2.5,3.2,0.1,83.0,9,51
31,3.04452,6.67834,3.9,4.8,-0.6,66.8,8,573
32,3.55535,7.34601,3.0,1.4,1.0,200.0,21,177
33,1.79176,7.54062,0.0,6.1,-0.2,207.5,19,489
34,3.04452,4.82028,-2.6,2.1,0.7,72.8,4,530
35,2.56495,7.80057,1.0,2.2,0.0,99.0,7,65
36,4.36945,7.41878,-0.2,1.1,3.2,138.0,22,49
37,3.46574,7.96032,7.7,4.8,-0.2,66.0,17,196
38,4.60517,8.23669,10.7,5.3,-0.9,205.0,17,192
39,3.09104,8.30721,9.3,7.3,-0.5,206.0,17,212
40,4.15888,8.26333,9.5,5.0,-0.9,208.0,17,208
41,1.79176,7.50329,1.6,4.5,0.1,117.0,19,62
42,2.48491,6.49527,-3.4,0.5,1.1,217.0,6,135
43,3.21888,7.74414,-1.3,4.2,-0.2,59.0,15,149
44,3.73767,6.75577,-3.2,2.6,0.6,70.5,21,398
45,4.2485,6.51915,-1.8,2.3,1.1,81.0,23,174
46,3.8712,4.77068,-0.5,0.5,0.7,358.0,4,402
47,4.00733,7.88721,7.6,4.0,-0.6,180.0,13,208
48,2.94444,5.42053,3.4,2.9,0.4,74.7,3,567
49,3.09104,3.80666,7.4,3.2,-0.1,225.0,3,205
50,1.94591,4.8752,-3.5,3.8,-0.1,60.5,3,418
51,3.52636,8.25088,19.8,4.8,-1.9,260.0,17,206
52,3.8712,7.85516,16.3,3.4,-0.1,225.3,20,605
53,2.99573,8.25427,-7.3,5.0,0.0,60.0,8,506
54,4.07754,7.36201,-0.6,0.8,1.1,88.3,21,422
55,3.21888,7.59388,-0.4,4.5,-0.2,64.6,13,430
56,3.49651,8.35208,17.8,5.0,-2.5,219.6,16,599
57,3.2581,4.62497,-1.9,2.2,2.2,268.0,4,172
58,2.99573,7.39879,-10.0,3.8,-0.1,78.4,20,449
59,2.70805,6.48616,-1.3,2.9,0.7,63.3,24,397
60,3.09104,6.20456,4.7,1.5,1.1,104.4,1,588
61,4.06044,7.64348,0.3,1.5,-0.3,172.0,13,130
62,3.61092,7.59337,8.8,2.2,0.0,186.0,21,577
63,2.56495,6.43455,-9.3,3.6,0.1,71.2,9,450
64,1.60944,7.00033,-2.4,5.8,0.0,61.0,22,418
65,5.0876,7.49499,2.9,1.2,2.1,271.1,21,543
66,2.30259,7.80221,2.5,5.0,0.1,135.0,7,128
67,3.2581,7.55276,13.4,3.9,0.3,216.8,19,606
68,3.66356,6.82979,-15.5,3.1,0.2,70.3,22,460
69,3.04452,7.49053,-1.6,2.2,-0.9,211.7,12,501
70,3.4012,7.59035,0.1,2.6,-0.1,73.0,11,66
71,3.04452,5.51745,-2.8,0.5,2.2,5.0,5,155
72,3.4012,8.18619,-0.9,1.3,0.6,57.0,8,67
73,3.55535,5.95842,-10.3,1.2,2.5,86.0,24,86
74,3.97029,7.55276,-4.1,0.7,-0.7,264.8,13,401
75,4.72739,7.77022,-3.8,4.9,-0.2,68.0,7,166
76,4.30407,7.99834,8.2,5.6,-0.6,210.0,15,212
77,2.56495,7.15305,-4.8,4.7,-0.1,74.6,23,441
78,3.78419,7.95997,-4.3,6.0,0.1,18.0,13,82
79,4.95583,6.57508,6.2,1.3,1.1,226.0,24,200
