d3mIndex,country_code,year,strike_volume,unemployment,inflation,parliamentary_representation,union_centralization
0,1.0,1951.0,296.0,1.3,19.8,43.0,0.375
1,1.0,1952.0,397.0,2.2,17.2,43.0,0.375
2,1.0,1953.0,360.0,2.5,4.3,43.0,0.375
3,1.0,1954.0,300.0,1.7,0.7,47.0,0.375
4,1.0,1955.0,326.0,1.4,2.0,38.5,0.375
5,1.0,1956.0,352.0,1.8,6.3,38.5,0.375
6,1.0,1957.0,195.0,2.3,2.5,38.5,0.375
7,1.0,1958.0,133.0,2.7,1.3,36.9,0.375
8,1.0,1959.0,109.0,2.6,1.8,36.9,0.375
9,1.0,1960.0,208.0,2.5,3.8,36.9,0.375
10,1.0,1961.0,173.0,2.5,2.5,49.2,0.375
11,1.0,1962.0,142.0,2.6,-0.3,49.2,0.375
12,1.0,1963.0,158.0,2.1,0.5,41.0,0.375
13,1.0,1964.0,243.0,1.6,2.4,41.0,0.375
14,1.0,1965.0,211.0,1.5,4.0,41.0,0.375
15,1.0,1966.0,183.0,1.7,3.0,33.1,0.375
16,1.0,1967.0,168.0,1.9,3.2,33.1,0.375
17,1.0,1968.0,249.0,1.8,2.7,33.1,0.375
18,1.0,1969.0,439.0,1.8,2.9,47.2,0.375
19,1.0,1970.0,515.0,1.6,3.9,47.2,0.375
20,1.0,1971.0,645.0,1.9,6.1,47.2,0.375
21,1.0,1972.0,416.0,2.6,5.9,53.6,0.375
22,1.0,1973.0,527.0,2.3,9.5,53.6,0.375
23,1.0,1974.0,1252.0,2.6,15.1,52.0,0.375
24,1.0,1975.0,702.0,4.8,15.1,28.3,0.375
25,1.0,1976.0,760.0,4.7,13.5,28.3,0.375
26,1.0,1977.0,328.0,5.6,12.3,30.7,0.375
27,1.0,1978.0,421.0,6.4,7.9,30.7,0.375
28,1.0,1979.0,778.0,6.1,9.1,30.7,0.375
29,1.0,1980.0,633.0,6.0,10.1,40.8,0.375
30,1.0,1981.0,779.0,5.7,9.7,40.8,0.375
31,1.0,1982.0,370.0,7.0,11.2,40.8,0.375
32,1.0,1983.0,313.0,9.8,10.1,60.0,0.375
33,1.0,1984.0,241.0,8.9,4.0,55.4,0.375
34,1.0,1985.0,226.0,8.2,6.7,55.4,0.375
35,2.0,1951.0,43.0,3.5,27.5,43.6,1.0
36,2.0,1952.0,39.0,4.7,13.6,43.6,1.0
37,2.0,1953.0,20.0,5.8,-1.6,46.7,1.0
38,2.0,1954.0,26.0,4.9,4.0,46.7,1.0
39,2.0,1955.0,28.0,3.6,0.0,46.7,1.0
40,2.0,1956.0,72.0,3.5,3.9,46.7,1.0
41,2.0,1957.0,21.0,3.3,2.8,46.7,1.0
42,2.0,1958.0,22.0,3.6,2.0,46.7,1.0
