d3mIndex,season,river_size,fluid_velocity,concentration_1,concentration_2,concentration_3,concentration_4,concentration_5,concentration_6,concentration_7,concentration_8,algae_1
0,winter,small_,medium,8.0,9.8,60.8,6.238,578.0,105.0,170.0,50.0,0.0
1,spring,small_,medium,8.35,8.0,57.75,1.288,370.0,428.75,558.75,1.3,1.4
2,autumn,small_,medium,8.1,11.4,40.02,5.33,346.66699,125.667,187.05701,15.6,3.3
3,spring,small_,medium,8.07,4.8,77.364,2.302,98.182,61.182,138.7,1.4,3.1
4,autumn,small_,medium,8.06,9.0,55.35,10.416,233.7,58.222,97.58,10.5,9.2
5,winter,small_,high__,8.25,13.1,65.75,9.248,430.0,18.25,56.667,28.4,15.1
6,summer,small_,high__,8.15,10.3,73.25,1.535,110.0,61.25,111.75,3.2,2.4
7,autumn,small_,high__,8.05,10.6,59.067,4.99,205.66701,44.667,77.434,6.9,18.2
8,winter,small_,medium,8.7,3.4,21.95,0.886,102.75,36.3,71.0,5.544,25.4
9,winter,small_,high__,7.93,9.9,8.0,1.39,5.8,27.25,46.6,0.8,17.0
10,spring,small_,high__,7.7,10.2,8.0,1.527,21.571,12.75,20.75,0.8,16.6
11,summer,small_,high__,7.45,11.7,8.69,1.588,18.429,10.667,19.0,0.6,32.1
12,winter,small_,high__,7.74,9.6,5.0,1.223,27.286,12.0,17.0,41.0,43.5
13,summer,small_,high__,7.72,11.8,6.3,1.47,8.0,16.0,15.0,0.5,31.1
14,winter,small_,high__,7.9,9.6,3.0,1.448,46.2,13.0,61.6,0.3,52.2
15,autumn,small_,high__,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1,69.9
16,winter,small_,high__,7.78,12.0,7.0,1.42,34.333,18.667,50.0,1.1,46.2
17,spring,small_,high__,7.61,9.8,7.0,1.443,31.333,20.0,57.833,0.4,31.8
18,summer,small_,high__,7.35,10.4,7.0,1.718,49.0,41.5,61.5,0.8,50.6
19,spring,small_,high__,7.2,9.2,0.8,0.642,81.0,15.6,18.0,0.5,15.5
20,autumn,small_,high__,7.75,10.3,32.92,2.942,42.0,16.0,40.0,7.6,23.2
21,winter,small_,high__,7.62,8.5,11.867,1.715,208.33299,3.0,27.5,1.7,74.2
22,spring,small_,high__,7.84,9.4,10.975,1.51,12.5,3.0,11.5,1.5,13.0
23,summer,small_,high__,7.77,10.7,12.536,3.976,58.5,9.0,44.136,3.0,4.1
24,winter,small_,high__,7.09,8.4,10.5,1.572,28.0,4.0,13.6,0.5,29.7
25,autumn,small_,high__,6.8,11.1,9.0,0.63,20.0,4.0,,2.7,30.3
26,winter,small_,high__,8.0,9.8,16.0,0.73,20.0,26.0,45.0,0.8,17.1
27,spring,small_,high__,7.2,11.3,9.0,0.23,120.0,12.0,19.0,0.5,33.9
28,autumn,small_,high__,7.4,12.5,13.0,3.33,60.0,72.0,142.0,4.9,3.4
29,winter,small_,high__,8.1,10.3,26.0,3.78,60.0,246.0,304.0,2.8,6.9
30,summer,small_,high__,7.8,11.3,20.083,3.02,49.5,53.0,130.75,5.8,0.0
31,winter,small_,high__,8.3,10.9,1.17,0.735,13.5,1.625,3.0,0.2,66.0
32,spring,small_,high__,8.0,,1.45,0.81,10.0,2.5,3.0,0.3,75.8
33,winter,small_,medium,8.3,8.9,20.625,3.414,228.75,196.62,253.25,12.32,2.0
34,spring,small_,medium,8.1,10.5,22.286,4.071,178.57001,182.42,255.28,8.957,2.2
35,winter,small_,medium,8.0,5.5,77.0,6.096,122.85,143.71001,296.0,3.7,0.0
36,summer,small_,medium,8.15,7.1,54.19,3.829,647.57001,59.429,175.04601,13.2,0.0
37,winter,small_,high__,8.3,7.7,50.0,8.543,76.0,264.89999,344.60001,22.5,0.0
38,spring,small_,high__,8.3,8.8,54.143,7.83,51.429,276.85001,326.85699,11.84,4.1
39,winter,small_,high__,8.4,13.4,69.75,4.555,37.5,10.0,40.667,3.9,51.8
40,spring,small_,high__,8.3,12.5,87.0,4.87,22.5,27.0,43.5,3.3,29.5
41,autumn,small_,high__,8.0,12.1,66.3,4.535,39.0,16.0,39.0,0.8,54.4
42,winter,small_,low___,,12.6,9.0,0.23,10.0,5.0,6.0,1.1,35.5
43,spring,small_,medium,7.6,9.6,15.0,3.02,40.0,27.0,121.0,2.8,89.8
44,autumn,small_,medium,7.29,11.21,17.75,3.07,35.0,13.0,20.812,12.1,24.8
45,winter,small_,medium,7.6,10.2,32.3,4.508,192.5,12.75,49.333,7.9,0.0
46,summer,small_,medium,8.0,7.9,27.233,1.651,28.333,7.3,22.9,4.5,39.1
47,winter,small_,high__,7.9,11.0,6.167,1.172,18.333,7.75,11.8,0.5,81.9
48,spring,small_,high__,7.9,9.0,5.273,0.91,33.636,9.0,11.818,0.8,54.0
49,winter,small_,high__,6.6,10.8,,3.245,10.0,1.0,6.5,,24.3
50,spring,small_,medium,5.6,11.8,,2.22,5.0,1.0,1.0,,82.7
51,autumn,small_,medium,5.7,10.8,,2.55,10.0,1.0,4.0,,16.8
52,spring,small_,high__,6.6,9.5,,1.32,20.0,1.0,6.0,,46.8
53,summer,small_,high__,6.6,10.8,,2.64,10.0,2.0,11.0,,46.9
54,autumn,small_,medium,6.6,11.3,,4.17,10.0,1.0,6.0,,47.1
55,spring,small_,medium,6.5,10.4,,5.97,10.0,2.0,14.0,,66.9
56,summer,small_,medium,6.4,,,,,,14.0,,19.4
57,autumn,small_,high__,7.83,11.7,4.083,1.328,18.0,3.333,6.667,,14.4
58,spring,small_,high__,7.57,10.8,4.575,1.203,27.5,2.0,6.75,1.0,20.3
59,summer,small_,high__,7.19,11.7,4.326,1.474,160.0,2.5,7.2,0.3,15.8
60,winter,small_,high__,7.44,10.1,2.933,0.77,15.0,1.333,6.0,0.6,55.5
61,spring,small_,high__,7.14,9.8,3.275,0.923,15.0,1.25,10.75,2.5,10.3
62,summer,small_,high__,7.0,12.1,3.136,1.208,16.2,1.8,2.5,0.5,64.2
63,autumn,medium,medium,8.5,8.1,38.125,3.85,225.0,45.0,152.33299,5.2,11.3
64,summer,medium,medium,7.925,10.2,34.037,9.08,109.0,55.0,58.623,11.6,4.4
65,winter,medium,medium,8.1,8.1,136.0,3.773,245.0,136.75,249.25,20.87,1.9
66,spring,medium,medium,8.2,6.8,129.375,3.316,271.25,100.0,233.5,13.0,1.6
67,spring,medium,high__,9.1,9.4,35.75,5.164,32.5,85.5,215.5,18.37,2.2
68,autumn,medium,medium,8.1,9.8,29.5,1.287,224.286,25.167,102.333,3.6,64.9
69,winter,medium,medium,8.0,5.9,27.4,0.735,133.636,36.0,105.727,3.0,15.1
70,spring,medium,medium,8.0,3.3,26.76,0.658,165.0,37.375,111.375,3.0,14.4
71,winter,medium,high__,7.5,9.2,11.0,3.31,101.0,26.6,108.0,1.3,6.7
72,spring,medium,high__,7.4,9.8,11.0,3.235,255.0,38.75,56.667,2.0,10.8
73,autumn,medium,high__,7.3,11.7,10.4,4.93,130.0,10.8,60.0,4.3,1.2
74,winter,medium,high__,7.4,8.9,13.5,5.442,123.333,27.667,104.0,21.0,12.6
75,summer,medium,high__,7.4,11.17,12.146,6.188,89.6,32.0,69.93,3.1,14.7
76,autumn,medium,medium,7.5,10.8,31.0,4.408,737.5,111.25,214.0,2.9,3.3
77,winter,medium,medium,7.6,6.0,53.0,3.734,914.0,137.60001,254.60001,4.3,0.0
78,summer,medium,medium,7.4,10.77,36.248,3.73,429.20001,57.6,169.00101,3.2,2.8
79,winter,medium,medium,8.5,8.6,125.6,3.778,124.167,197.83299,303.33301,40.0,0.0
80,spring,medium,medium,8.7,9.4,173.75,3.318,101.25,267.75,391.75,3.5,0.0
81,summer,medium,medium,8.1,10.7,94.405,4.698,153.0,191.75,265.25,7.3,0.0
82,winter,medium,high__,8.8,8.5,53.333,5.132,96.667,120.5,232.83299,31.0,1.2
83,spring,medium,high__,7.8,10.5,70.0,2.443,98.333,144.66701,244.0,9.0,0.0
84,summer,medium,high__,7.9,11.8,63.51,4.94,137.0,159.5,218.0,6.5,0.0
85,autumn,medium,low___,8.5,10.5,56.717,0.33,215.714,23.0,138.5,20.829,5.7
86,winter,medium,low___,9.1,5.4,61.05,0.308,105.556,104.222,239.0,72.478,3.6
87,spring,medium,low___,8.9,4.5,57.75,0.267,155.0,97.333,235.66701,98.817,1.2
88,winter,medium,high__,7.9,6.3,101.875,3.978,153.75,51.75,205.875,2.0,4.0
89,summer,medium,high__,7.8,8.2,85.982,6.2,421.66699,31.333,211.66701,21.9,5.9
90,winter,medium,medium,7.7,7.1,63.625,3.14,122.5,28.625,186.5,30.0,16.5
91,spring,medium,medium,7.8,6.5,82.111,2.603,215.556,12.889,154.125,5.2,7.0
92,winter,medium,low___,7.7,5.3,65.333,2.899,371.11099,51.111,183.66701,17.2,58.7
93,summer,medium,low___,7.5,8.8,58.331,8.688,758.75,104.5,292.625,3.0,8.7
94,autumn,medium,low___,7.6,10.0,49.625,5.456,308.75,38.625,285.71399,75.0,17.0
95,winter,medium,low___,8.7,7.4,47.778,2.316,38.111,24.667,201.778,3.0,12.3
96,summer,medium,low___,7.7,11.1,47.229,8.759,239.0,54.0,275.14301,65.7,8.8
97,autumn,medium,high__,8.3,11.1,41.5,4.665,931.83301,39.0,124.2,13.1,23.7
98,winter,medium,high__,8.43,6.0,40.167,2.67,723.66699,60.833,141.83299,25.0,0.0
99,summer,medium,high__,8.16,11.1,32.056,5.694,461.875,71.0,132.54601,15.0,3.6
100,winter,medium,high__,8.7,9.8,5.889,1.534,51.111,9.667,17.333,1.0,64.3
101,spring,medium,high__,8.2,11.3,7.25,1.875,25.0,6.5,26.0,0.3,46.6
102,summer,medium,high__,8.5,11.8,7.838,1.732,206.53799,8.692,16.662,2.1,24.0
103,spring,medium,medium,7.8,6.0,53.425,0.381,118.571,37.857,102.571,1.2,3.7
104,summer,medium,medium,8.0,9.7,57.848,0.461,217.75,37.0,86.997,3.0,18.1
105,winter,medium,high__,9.7,10.8,0.222,0.406,10.0,22.444,10.111,,41.0
106,summer,medium,high__,8.6,11.62,1.549,0.445,25.833,16.833,18.293,1.4,43.7
107,autumn,medium,medium,8.3,11.6,5.83,0.701,12.727,3.545,13.2,3.2,86.6
108,spring,medium,low___,8.4,5.3,74.667,3.9,131.66701,261.60001,432.909,24.917,1.9
