d3mIndex,heart_rate,sleep_state,temperature
0,152,4,37.45
1,156,4,37.45
2,147,4,37.45
3,145,4,37.45
4,129,4,37.45
5,131,4,37.45
6,137,4,37.45
7,138,4,37.45
8,139,4,37.4
9,141,4,37.4
10,142,4,37.4
11,128,4,37.4
12,142,4,37.4
13,155,4,37.4
14,150,4,37.4
15,146,4,37.4
16,150,4,37.4
17,146,4,37.4
18,151,4,37.4
19,145,4,37.4
20,146,4,37.4
21,146,4,37.4
22,139,4,37.4
23,135,4,37.4
24,141,4,37.35
25,145,4,37.35
26,149,4,37.35
27,140,4,37.35
28,146,4,37.35
29,147,4,37.4
30,144,4,37.4
31,140,4,37.4
32,135,4,37.35
33,118,4,37.35
34,120,4,37.35
35,135,4,37.35
36,146,4,37.3
37,139,4,37.35
38,138,4,37.3
39,129,4,37.3
40,130,4,37.3
41,128,4,37.3
42,125,4,37.35
43,127,4,37.35
44,131,4,37.35
45,132,4,37.35
46,145,4,37.35
47,153,4,37.4
48,154,4,37.35
49,145,4,37.35
50,146,4,37.35
51,140,4,37.35
52,134,4,37.35
53,128,4,37.35
54,127,4,37.35
55,140,4,37.35
56,143,4,37.35
57,138,4,37.35
58,124,4,37.35
59,123,4,37.35
60,131,4,37.35
61,151,4,37.35
62,136,4,37.35
63,126,2,37.3
64,127,2,37.35
65,129,2,37.35
66,124,2,37.35
67,128,2,37.35
68,130,2,37.35
69,121,2,37.35
70,141,2,37.3
71,128,2,37.35
72,130,2,37.3
73,124,2,37.3
74,128,1,37.35
75,122,1,37.3
76,130,1,37.3
77,130,1,37.3
78,135,1,37.3
79,125,1,37.3
80,123,1,37.3
81,127,1,37.3
82,125,1,37.3
83,125,1,37.25
84,129,1,37.25
85,128,1,37.25
86,130,1,37.25
87,128,1,37.2
88,130,1,37.2
89,129,1,37.2
90,129,1,37.2
91,129,1,37.2
92,130,1,37.2
93,131,1,37.2
94,131,1,37.2
95,130,1,37.2
96,131,1,37.2
97,131,1,37.2
98,132,1,37.2
99,129,1,37.2
100,131,1,37.2
101,131,1,37.15
102,128,1,37.15
103,127,1,37.15
104,128,1,37.15
105,129,1,37.15
106,131,1,37.15
107,131,1,37.15
108,131,1,37.15
109,131,1,37.15
110,129,1,37.15
111,125,1,37.15
112,124,1,37.15
113,130,1,37.15
114,125,1,37.15
115,126,1,37.15
116,127,1,37.15
117,124,1,37.15
118,122,1,37.15
119,128,1,37.15
120,128,1,37.15
121,126,1,37.15
122,130,1,37.15
123,114,1,37.15
124,123,1,37.15
125,116,3,37.15
126,127,3,37.15
127,123,3,37.15
128,131,3,37.15
129,125,3,37.15
130,123,3,37.15
131,125,3,37.15
132,123,3,37.15
133,114,3,37.15
134,120,3,37.1
135,130,3,37.15
136,126,3,37.15
137,112,3,37.15
138,114,3,37.15
139,125,3,37.15
140,128,3,37.15
141,115,3,37.1
142,121,3,37.15
143,124,3,37.15
144,128,3,37.15
145,118,3,37.1
146,119,3,37.1
147,121,3,37.1
148,130,3,37.1
149,115,3,37.1
150,124,3,37.1
151,129,3,37.1
152,125,3,37.05
153,120,3,37.05
154,118,3,37.05
155,121,3,37.1
156,120,3,37.1
157,119,3,37.05
158,127,3,37.05
159,120,3,37.05
160,124,3,37.05
161,121,3,37.05
162,120,3,37.1
163,122,3,37.05
164,118,3,37.05
165,112,3,37.05
166,115,3,37.05
167,120,3,37.05
168,123,3,37.05
169,125,3,37.05
170,113,2,37.05
171,124,2,37.05
172,133,2,37.05
173,117,2,37.05
174,121,2,37.05
175,121,2,37.05
176,117,2,37.1
177,124,2,37.1
178,133,2,37.05
179,129,2,37.05
180,120,2,37.05
181,129,2,37.05
182,114,2,37.05
183,119,2,37.05
184,123,2,37.05
185,131,2,37.05
186,114,2,37.05
187,124,1,37.05
188,123,1,37.05
189,128,1,37.05
190,117,1,37.05
191,118,1,37.05
192,118,1,37.05
193,120,1,37.05
194,119,1,37.05
195,120,1,37.05
196,124,1,37.05
197,126,1,37.05
198,124,1,37.05
199,122,1,37.05
200,122,1,37.05
201,118,1,37.05
202,123,1,37.05
203,122,1,37.05
204,124,1,37.05
205,124,1,37.05
206,125,1,37.05
207,124,1,37.05
208,122,1,37.05
209,122,1,37.05
210,124,1,37.0
211,124,1,37.0
212,121,1,37.0
213,123,1,37.0
214,123,1,37.0
215,124,1,37.0
216,121,1,37.0
217,124,1,37.0
218,124,1,37.0
219,123,1,37.0
220,120,1,36.95
221,123,1,36.95
222,121,1,36.95
223,124,1,36.95
224,122,1,36.95
225,123,1,36.95
226,124,1,36.95
227,122,1,36.95
228,122,1,36.95
229,119,1,36.95
230,123,1,36.95
231,120,1,36.95
232,121,1,36.95
233,120,1,36.95
234,122,1,36.95
235,119,1,36.95
236,119,1,36.95
237,116,1,36.95
238,119,1,36.9
239,117,1,36.9
240,120,1,36.9
241,110,1,36.9
242,112,1,36.9
243,112,1,36.9
244,117,1,36.9
245,113,1,36.9
246,114,1,36.9
247,121,1,36.9
248,123,1,36.9
249,111,3,36.85
250,117,3,36.9
251,129,3,36.9
252,119,3,36.85
253,110,3,36.9
254,117,3,36.9
255,114,3,36.85
256,113,3,36.9
257,117,3,36.85
258,115,4,36.85
259,140,4,36.9
260,130,4,36.9
261,122,4,36.9
262,123,4,36.9
263,106,4,36.9
264,118,4,36.9
265,126,4,36.9
266,117,4,36.9
267,117,4,36.9
268,119,4,36.9
269,132,4,36.9
270,142,4,36.9
271,115,4,36.9
272,128,4,36.9
273,112,4,36.9
274,112,4,36.9
275,118,4,36.9
276,138,4,36.9
277,109,4,36.9
278,118,4,36.9
279,119,4,36.9
280,113,4,36.95
281,124,4,36.95
282,128,4,36.95
283,122,4,36.95
284,123,4,36.95
285,114,4,36.95
286,113,4,36.95
287,133,4,36.95
288,116,4,36.95
289,119,4,36.95
290,111,3,36.95
291,113,3,36.95
292,121,3,36.95
293,121,3,36.95
294,124,3,37.0
295,112,3,37.0
296,122,3,37.0
297,118,3,37.0
298,127,3,37.0
299,115,3,37.0
300,119,3,36.95
301,123,3,36.95
302,111,3,36.95
303,116,3,37.0
304,124,3,36.95
305,123,3,36.95
306,123,3,36.95
307,116,3,37.0
308,124,3,36.95
309,132,3,36.95
310,116,3,36.95
311,126,1,36.95
312,114,1,36.95
313,120,1,36.95
314,125,1,36.95
315,121,1,36.95
316,119,1,36.95
317,124,1,36.95
318,126,1,36.95
319,127,1,36.95
320,117,1,36.95
321,122,1,36.95
322,119,1,36.95
