d3mIndex,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
0,76,33,33,262.0,307.0,1.1718,5.5683,5.7268,0.1585
1,76,34,34,259.0,306.0,1.1815,5.5568,5.7236,0.1668
2,76,35,35,257.0,306.0,1.1907,5.5491,5.7236,0.1745
3,76,36,36,262.0,306.0,1.1679,5.5683,5.7236,0.1553
4,76,37,37,264.0,306.0,1.1591,5.5759,5.7236,0.1477
5,76,38,38,268.0,313.0,1.1679,5.591,5.7462,0.1552
6,76,39,39,276.0,319.0,1.1558,5.6204,5.7652,0.1448
7,76,40,40,283.0,324.0,1.1449,5.6454,5.7807,0.1353
8,76,41,41,290.0,332.0,1.1448,5.6699,5.8051,0.1352
9,76,42,42,286.0,320.0,1.1189,5.656,5.7683,0.1123
10,76,43,43,288.0,320.0,1.1111,5.663,5.7683,0.1053
11,76,44,44,286.0,314.0,1.0979,5.656,5.7494,0.0934
12,76,45,45,279.0,306.0,1.0968,5.6312,5.7236,0.0924
13,76,46,46,279.0,307.0,1.1004,5.6312,5.7268,0.0956
14,76,47,47,280.0,308.0,1.1,5.6348,5.7301,0.0953
15,76,48,48,321.0,358.0,1.1153,5.7714,5.8805,0.1091
16,76,49,49,328.0,358.0,1.0915,5.793,5.8805,0.0875
17,76,50,50,334.0,360.0,1.0778,5.8111,5.8861,0.075
18,77,2,54,332.0,360.0,1.0843,5.8051,5.8861,0.081
19,77,3,55,332.0,362.0,1.0904,5.8051,5.8916,0.0865
20,77,4,56,326.0,361.0,1.1074,5.7869,5.8889,0.102
21,77,5,57,322.0,359.0,1.1149,5.7746,5.8833,0.1087
22,77,6,58,324.0,359.0,1.108,5.7807,5.8833,0.1026
23,77,7,59,322.0,359.0,1.1149,5.7746,5.8833,0.1087
24,77,8,60,316.0,357.0,1.1297,5.7557,5.8777,0.122
25,77,9,61,314.0,357.0,1.1369,5.7494,5.8777,0.1283
26,77,10,62,316.0,357.0,1.1297,5.7557,5.8777,0.122
27,77,11,63,316.0,357.0,1.1297,5.7557,5.8777,0.122
28,77,12,64,315.0,357.0,1.1333,5.7526,5.8777,0.1251
29,77,13,65,314.0,356.0,1.1338,5.7494,5.8749,0.1255
30,77,16,68,313.0,354.0,1.131,5.7462,5.8693,0.1231
