d3mIndex,col_1,col_2,col_3,col_4,col_5,col_6
0,BUF__MIA,-1,0.0,0.0,1.0,89.0
1,CHI__CIN,0,0.0,1.0,1.0,89.0
2,CLE__PIT,1,0.0,0.0,1.0,89.0
3,MIN__HOU,1,0.0,1.0,1.0,89.0
4,DEN__KC,1,0.0,1.0,1.0,89.0
5,LAN__ATL,1,0.0,0.0,1.0,89.0
6,NYJ__NE,-1,0.0,1.0,1.0,89.0
7,PHX__DET,1,0.0,0.0,1.0,89.0
8,LAA__SD,1,0.0,1.0,1.0,89.0
9,PHA__SEA,1,0.0,1.0,1.0,89.0
10,WAS__NYG,-1,2.0,1.0,1.0,89.0
11,ATL__DAL,1,0.0,1.0,2.0,89.0
12,NYG__DET,-1,0.0,1.0,2.0,89.0
13,HOU__SD,1,0.0,0.0,2.0,89.0
14,LAN__IND,1,0.0,1.0,2.0,89.0
15,CHI__MIN,1,0.0,1.0,2.0,89.0
16,CLE__NYJ,1,0.0,1.0,2.0,89.0
17,WAS__PHA,-1,0.0,1.0,2.0,89.0
18,SEA__PHX,-1,0.0,1.0,2.0,89.0
19,CIN__PIT,1,0.0,1.0,2.0,89.0
20,BUF__DEN,-1,2.0,1.0,2.0,89.0
21,IND__ATL,-1,0.0,1.0,3.0,89.0
22,HOU__BUF,-1,0.0,1.0,3.0,89.0
23,CHI__DET,1,0.0,0.0,3.0,89.0
24,LAN__GB,-1,0.0,1.0,3.0,89.0
25,DEN__LAA,1,0.0,1.0,3.0,89.0
26,MIN__PIT,-1,0.0,0.0,3.0,89.0
27,MIA__NYJ,-1,0.0,1.0,3.0,89.0
28,NYG__PHX,1,0.0,1.0,3.0,89.0
29,PHA__SF,-1,0.0,1.0,3.0,89.0
30,WAS__DAL,1,0.0,0.0,3.0,89.0
31,CIN__CLE,1,2.0,1.0,3.0,89.0
32,CIN__KC,-1,0.0,0.0,4.0,89.0
33,CLE__DEN,-1,0.0,1.0,4.0,89.0
34,NYJ__IND,-1,0.0,1.0,4.0,89.0
35,HOU__MIA,1,0.0,1.0,4.0,89.0
36,BUF__NE,1,0.0,1.0,4.0,89.0
37,NYG__DAL,1,0.0,0.0,4.0,89.0
38,DET__PIT,-1,0.0,1.0,4.0,89.0
39,PHX__SD,-1,0.0,1.0,4.0,89.0
40,LAA__SEA,-1,0.0,1.0,4.0,89.0
41,MIN__TB,1,0.0,1.0,4.0,89.0
42,WAS__NO,1,0.0,0.0,4.0,89.0
43,CHI__PHA,1,2.0,1.0,4.0,89.0
44,LAN__ATL,1,0.0,1.0,5.0,89.0
45,BUF__IND,-1,0.0,0.0,5.0,89.0
46,CHI__TB,-1,0.0,0.0,5.0,89.0
47,CIN__PIT,1,0.0,0.0,5.0,89.0
48,CLE__MIA,-1,0.0,0.0,5.0,89.0
49,MIN__DET,-1,0.0,1.0,5.0,89.0
50,HOU__NE,-1,0.0,0.0,5.0,89.0
51,SEA__KC,-1,0.0,1.0,5.0,89.0
52,PHA__NYG,-1,0.0,1.0,5.0,89.0
53,WAS__PHX,-1,0.0,1.0,5.0,89.0
54,DEN__SD,-1,0.0,1.0,5.0,89.0
55,NYJ__LAA,-1,2.0,1.0,5.0,89.0
56,MIN__GB,1,0.0,1.0,6.0,89.0
57,CHI__HOU,-1,0.0,1.0,6.0,89.0
58,DEN__IND,1,0.0,1.0,6.0,89.0
59,LAA__KC,1,0.0,1.0,6.0,89.0
60,CIN__MIA,-1,0.0,1.0,6.0,89.0
61,ATL__NE,-1,0.0,1.0,6.0,89.0
62,PHA__PHX,1,0.0,0.0,6.0,89.0
63,CLE__PIT,-1,0.0,1.0,6.0,89.0
64,NYG__WAS,0,0.0,1.0,6.0,89.0
65,LAN__BUF,-1,2.0,0.0,6.0,89.0
66,PHX__ATL,1,0.0,1.0,7.0,89.0
67,SEA__DEN,-1,0.0,1.0,7.0,89.0
68,MIA__GB,0,0.0,1.0,7.0,89.0
69,CIN__IND,-1,0.0,1.0,7.0,89.0
70,PHA__LAA,-1,0.0,1.0,7.0,89.0
71,MIN__DET,1,0.0,0.0,7.0,89.0
72,LAN__NO,-1,0.0,1.0,7.0,89.0
73,NYG__SD,1,0.0,0.0,7.0,89.0
74,BUF__NYJ,1,0.0,1.0,7.0,89.0
75,HOU__PIT,1,0.0,1.0,7.0,89.0
76,WAS__TB,-1,0.0,1.0,7.0,89.0
77,CLE__CHI,1,2.0,1.0,7.0,89.0
78,CLE__HOU,1,0.0,1.0,8.0,89.0
79,PIT__KC,1,0.0,1.0,8.0,89.0
80,CHI__LAN,1,0.0,1.0,8.0,89.0
81,BUF__MIA,1,0.0,1.0,8.0,89.0
82,IND__NE,-1,0.0,1.0,8.0,89.0
83,DEN__PHA,-1,0.0,1.0,8.0,89.0
84,PHX__DAL,1,0.0,0.0,8.0,89.0
85,SEA__SD,-1,0.0,1.0,8.0,89.0
86,CIN__TB,1,0.0,1.0,8.0,89.0
87,WAS__LAA,-1,0.0,0.0,8.0,89.0
88,NYG__MIN,1,2.0,1.0,8.0,89.0
89,BUF__ATL,-1,0.0,0.0,9.0,89.0
90,CHI__GB,-1,0.0,0.0,9.0,89.0
91,CIN__LAA,-1,0.0,0.0,9.0,89.0
92,CLE__TB,1,0.0,0.0,9.0,89.0
93,HOU__DET,-1,0.0,1.0,9.0,89.0
94,MIA__IND,1,0.0,1.0,9.0,89.0
95,MIN__LAN,-1,0.0,1.0,9.0,89.0
96,NYG__PHX,1,0.0,0.0,9.0,89.0
97,PHA__SD,-1,0.0,0.0,9.0,89.0
98,DEN__PIT,1,0.0,1.0,9.0,89.0
99,WAS__DAL,-1,1.0,1.0,9.0,89.0
100,CHI__PIT,1,0.0,0.0,10.0,89.0
101,CLE__SEA,1,0.0,0.0,10.0,89.0
102,PHX__DAL,-1,0.0,1.0,10.0,89.0
103,BUF__IND,1,0.0,1.0,10.0,89.0
104,MIA__NYJ,1,0.0,0.0,10.0,89.0
105,MIN__TB,1,0.0,0.0,10.0,89.0
106,LAN__NYG,1,0.0,1.0,10.0,89.0
107,PHA__WAS,-1,0.0,1.0,10.0,89.0
108,LAA__SD,-1,1.0,0.0,10.0,89.0
109,HOU__CIN,-1,2.0,1.0,10.0,89.0
110,BUF__NE,-1,0.0,0.0,11.0,89.0
111,CIN__DET,1,0.0,1.0,11.0,89.0
112,CLE__KC,-1,0.0,1.0,11.0,89.0
113,HOU__LAA,1,0.0,1.0,11.0,89.0
114,MIA__DAL,-1,0.0,0.0,11.0,89.0
115,MIN__PHA,-1,0.0,0.0,11.0,89.0
116,LAN__PHX,1,0.0,1.0,11.0,89.0
117,PIT__SD,1,0.0,1.0,11.0,89.0
118,NYG__SEA,1,0.0,1.0,11.0,89.0
119,CHI__TB,-1,0.0,1.0,11.0,89.0
120,IND__NYJ,1,1.0,1.0,11.0,89.0
121,WAS__DEN,-1,2.0,1.0,11.0,89.0
122,CLE__DET,-1,3.0,0.0,12.0,89.0
123,PHA__DAL,1,3.0,0.0,12.0,89.0
124,NYJ__ATL,1,0.0,1.0,12.0,89.0
125,CHI__WAS,-1,0.0,0.0,12.0,89.0
126,BUF__CIN,1,0.0,1.0,12.0,89.0
127,HOU__KC,-1,0.0,0.0,12.0,89.0
128,MIN__GB,-1,0.0,0.0,12.0,89.0
129,LAA__NE,-1,0.0,1.0,12.0,89.0
130,MIA__PIT,-1,0.0,1.0,12.0,89.0
131,IND__SD,-1,0.0,1.0,12.0,89.0
132,DEN__SEA,1,0.0,1.0,12.0,89.0
133,PHX__TB,-1,0.0,1.0,12.0,89.0
134,LAN__NO,1,1.0,0.0,12.0,89.0
135,CLE__CIN,-1,0.0,1.0,13.0,89.0
136,LAA__DEN,1,0.0,1.0,13.0,89.0
137,HOU__PIT,1,0.0,0.0,13.0,89.0
138,LAN__DAL,-1,0.0,0.0,13.0,89.0
139,NYG__PHA,-1,0.0,1.0,13.0,89.0
140,WAS__PHX,1,0.0,0.0,13.0,89.0
