d3mIndex,col_1,col_2,col_3
0,1,4.4,78
1,1,3.9,74
2,1,4.0,68
3,1,4.0,76
4,1,3.5,80
5,1,4.1,84
6,1,2.3,50
7,1,4.7,93
8,1,1.7,55
9,1,4.9,76
10,1,1.7,58
11,1,4.6,74
12,1,3.4,75
13,2,4.3,80
14,2,1.7,56
15,2,3.9,80
16,2,3.7,69
17,2,3.1,57
18,2,4.0,90
19,2,1.8,42
20,2,4.1,91
21,2,1.8,51
22,2,3.2,79
23,2,1.9,53
24,2,4.6,82
25,2,2.0,51
26,3,4.5,76
27,3,3.9,82
28,3,4.3,84
29,3,2.3,53
30,3,3.8,86
31,3,1.9,51
32,3,4.6,85
33,3,1.8,45
34,3,4.7,88
35,3,1.8,51
36,3,4.6,80
37,3,1.9,49
38,3,3.5,82
39,4,4.0,75
40,4,3.7,73
41,4,3.7,67
42,4,4.3,68
43,4,3.6,86
44,4,3.8,72
45,4,3.8,75
46,4,3.8,75
47,4,2.5,66
48,4,4.5,84
49,4,4.1,70
50,4,3.7,79
51,4,3.8,60
52,4,3.4,86
53,5,4.0,71
54,5,2.3,67
55,5,4.4,81
56,5,4.1,76
57,5,4.3,83
58,5,3.3,76
59,5,2.0,55
60,5,4.3,73
61,5,2.9,56
62,5,4.6,83
63,5,1.9,57
64,5,3.6,71
65,5,3.7,72
66,5,3.7,77
67,6,1.8,55
68,6,4.6,75
69,6,3.5,73
70,6,4.0,70
71,6,3.7,83
72,6,1.7,50
73,6,4.6,95
74,6,1.7,51
75,6,4.0,82
76,6,1.8,54
77,6,4.4,83
78,6,1.9,51
79,6,4.6,80
80,6,2.9,78
81,7,3.5,81
82,7,2.0,53
83,7,4.3,89
84,7,1.8,44
85,7,4.1,78
86,7,1.8,61
87,7,4.7,73
88,7,4.2,75
89,7,3.9,73
90,7,4.3,76
91,7,1.8,55
92,7,4.5,86
93,7,2.0,48
94,8,4.2,77
95,8,4.4,73
96,8,4.1,70
97,8,4.1,88
98,8,4.0,75
99,8,4.1,83
100,8,2.7,61
101,8,4.6,78
102,8,1.9,61
103,8,4.5,81
104,8,2.0,51
105,8,4.8,80
106,8,4.1,79
107,16,4.1,82
108,16,4.2,80
109,16,4.5,76
110,16,1.9,56
111,16,4.7,82
112,16,2.0,47
113,16,4.7,76
114,16,2.5,61
115,16,4.3,75
116,16,4.4,72
117,16,4.4,74
118,16,4.3,69
119,16,4.6,78
120,16,2.1,52
121,17,4.8,91
122,17,4.1,66
123,17,4.0,71
124,17,4.0,75
125,17,4.4,81
126,17,4.1,77
127,17,4.3,74
128,17,4.0,70
129,17,3.9,83
130,17,3.2,53
131,17,4.5,82
132,17,2.2,62
133,17,4.7,73
134,17,4.6,84
135,18,2.2,58
136,18,4.8,82
137,18,4.3,77
138,18,3.8,75
139,18,4.0,77
140,18,4.1,77
141,18,1.8,53
142,18,4.4,75
143,18,4.0,78
144,18,2.2,51
145,18,5.1,81
146,18,1.9,52
147,18,5.0,76
148,18,4.4,73
149,19,4.5,84
150,19,3.8,72
151,19,4.3,89
152,19,4.4,75
153,19,2.2,57
154,19,4.8,81
155,19,1.9,49
156,19,4.7,87
157,19,1.8,43
158,19,4.8,94
159,19,2.0,45
160,19,4.4,81
161,19,2.5,59
162,19,4.3,82
163,20,4.4,80
164,20,1.9,54
165,20,4.7,75
166,20,4.3,73
167,20,2.2,57
168,20,4.7,80
169,20,2.3,51
170,20,4.6,77
171,20,3.3,66
172,20,4.2,77
173,20,2.9,60
174,20,4.6,86
175,20,3.3,62
176,20,4.2,75
177,20,2.6,67
178,20,4.6,69
179,21,3.7,84
180,21,1.8,58
181,21,4.7,90
182,21,4.5,82
183,21,4.5,71
184,21,4.8,80
185,21,2.0,51
186,21,4.8,80
187,21,1.9,62
188,21,4.7,84
189,21,2.0,51
190,21,5.1,81
191,21,4.3,83
192,21,4.8,84
193,22,3.0,72
194,22,2.1,54
195,22,4.6,75
196,22,4.0,74
197,22,2.2,51
198,22,5.1,91
199,22,2.9,60
200,22,4.3,80
201,22,2.1,54
202,22,4.7,80
203,22,4.5,70
204,22,1.7,60
205,22,4.2,86
206,22,4.3,78
207,23,1.7,51
208,23,4.4,83
209,23,4.2,76
210,23,2.2,51
211,23,4.7,90
212,23,4.0,71
213,23,1.8,49
214,23,4.7,88
215,23,1.8,52
216,23,4.5,79
217,23,2.1,61
218,23,4.2,81
219,23,2.1,48
220,23,5.2,84
221,23,2.0,63
