d3mIndex,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,binaryClass
0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,P
1,1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,P
2,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,-1.0,-1.0,1.0,N
3,-1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,N
4,1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,P
5,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,-1.0,N
6,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,N
7,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,N
8,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,P
9,1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,P
10,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1.0,-1.0,P
11,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,N
12,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0,N
13,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,P
14,-1.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,N
15,1.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,-1.0,P
16,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,P
17,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,1.0,N
18,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,P
19,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,P
20,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,N
21,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,P
22,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,-1.0,N
23,1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,P
24,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,N
25,1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,P
