d3mIndex,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,binaryClass
0,125.0,256.0,6000.0,256.0,16.0,128.0,N
1,29.0,8000.0,32000.0,32.0,8.0,32.0,N
2,29.0,8000.0,32000.0,32.0,8.0,32.0,N
3,29.0,8000.0,32000.0,32.0,8.0,32.0,N
4,29.0,8000.0,16000.0,32.0,8.0,16.0,N
5,26.0,8000.0,32000.0,64.0,8.0,32.0,N
6,23.0,16000.0,32000.0,64.0,16.0,32.0,N
7,23.0,16000.0,32000.0,64.0,16.0,32.0,N
8,23.0,16000.0,64000.0,64.0,16.0,32.0,N
9,23.0,32000.0,64000.0,128.0,32.0,64.0,N
10,400.0,1000.0,3000.0,0.0,1.0,2.0,P
11,400.0,512.0,3500.0,4.0,1.0,6.0,P
12,60.0,2000.0,8000.0,65.0,1.0,8.0,P
13,50.0,4000.0,16000.0,65.0,1.0,8.0,N
14,350.0,64.0,64.0,0.0,1.0,4.0,P
15,200.0,512.0,16000.0,0.0,4.0,32.0,P
16,167.0,524.0,2000.0,8.0,4.0,15.0,P
17,143.0,512.0,5000.0,0.0,7.0,32.0,P
18,143.0,1000.0,2000.0,0.0,5.0,16.0,P
19,110.0,5000.0,5000.0,142.0,8.0,64.0,N
20,143.0,1500.0,6300.0,0.0,5.0,32.0,P
21,143.0,3100.0,6200.0,0.0,5.0,20.0,P
22,143.0,2300.0,6200.0,0.0,6.0,64.0,P
23,110.0,3100.0,6200.0,0.0,6.0,64.0,P
24,320.0,128.0,6000.0,0.0,1.0,12.0,P
25,320.0,512.0,2000.0,4.0,1.0,3.0,P
26,320.0,256.0,6000.0,0.0,1.0,6.0,P
27,320.0,256.0,3000.0,4.0,1.0,3.0,P
28,320.0,512.0,5000.0,4.0,1.0,5.0,P
29,320.0,256.0,5000.0,4.0,1.0,6.0,P
30,25.0,1310.0,2620.0,131.0,12.0,24.0,N
31,25.0,1310.0,2620.0,131.0,12.0,24.0,N
32,50.0,2620.0,10480.0,30.0,12.0,24.0,P
33,50.0,2620.0,10480.0,30.0,12.0,24.0,P
34,56.0,5240.0,20970.0,30.0,12.0,24.0,N
35,64.0,5240.0,20970.0,30.0,12.0,24.0,N
36,50.0,500.0,2000.0,8.0,1.0,4.0,P
37,50.0,1000.0,4000.0,8.0,1.0,5.0,P
38,50.0,2000.0,8000.0,8.0,1.0,5.0,P
39,50.0,1000.0,4000.0,8.0,3.0,5.0,P
40,50.0,1000.0,8000.0,8.0,3.0,5.0,P
41,50.0,2000.0,16000.0,8.0,3.0,5.0,P
42,50.0,2000.0,16000.0,8.0,3.0,6.0,P
43,50.0,2000.0,16000.0,8.0,3.0,6.0,P
44,133.0,1000.0,12000.0,9.0,3.0,12.0,P
45,133.0,1000.0,8000.0,9.0,3.0,12.0,P
46,810.0,512.0,512.0,8.0,1.0,1.0,P
