d3mIndex,motor,screw,pgain,vgain,binaryClass
0,E,E,5,4,P
1,B,D,6,5,P
2,D,D,4,3,P
3,B,A,3,2,N
4,D,B,6,5,P
5,E,C,4,3,P
6,C,A,3,2,N
7,A,A,3,2,N
8,C,A,6,5,P
9,D,A,4,1,P
10,B,E,6,5,P
11,E,C,5,4,P
12,B,C,4,1,P
13,E,C,3,1,P
14,C,C,5,4,P
15,E,B,3,2,N
16,D,C,3,1,P
17,B,C,5,4,P
18,B,B,5,4,P
19,C,E,4,2,P
20,E,D,4,3,P
21,A,D,4,3,P
22,B,C,6,5,P
23,A,C,4,2,P
24,A,B,6,5,P
25,E,C,6,5,P
26,A,A,3,1,N
27,A,E,4,2,P
28,C,D,3,2,N
29,B,B,3,2,N
30,B,E,4,2,P
31,B,C,3,1,N
32,C,E,4,1,P
33,C,A,6,2,P
34,C,C,6,5,P
35,E,E,3,2,P
36,D,E,3,1,P
37,E,C,4,2,P
38,C,B,6,5,P
39,C,D,4,1,P
40,D,B,4,1,P
41,C,B,4,3,P
42,C,C,4,3,P
43,B,D,4,1,P
44,B,A,5,3,P
45,A,B,4,3,P
46,B,A,4,1,P
47,E,D,4,2,P
48,C,E,3,2,N
49,D,D,3,1,P
50,D,A,6,5,P
51,C,B,3,2,N
52,B,E,3,2,N
53,C,D,5,4,P
54,B,B,4,2,P
55,A,E,4,3,P
56,A,A,4,2,P
57,B,D,4,3,P
58,E,A,3,2,N
59,B,C,4,3,P
60,E,B,4,2,P
61,E,A,5,4,P
62,E,B,5,4,P
63,C,A,6,1,P
64,D,A,4,3,P
65,C,B,4,2,P
66,D,B,3,2,N
67,D,C,3,2,P
68,C,A,5,2,P
69,B,D,4,2,P
70,B,A,6,5,P
71,D,A,4,2,P
72,C,B,5,4,P
73,A,E,6,5,P
74,A,C,4,1,P
75,A,E,5,4,P
76,E,C,4,1,P
77,B,B,3,1,N
78,A,D,3,2,N
79,E,D,3,2,P
80,E,A,3,1,N
81,A,C,6,5,P
82,C,E,5,4,P
83,C,A,5,4,P
84,E,A,6,5,P
85,B,E,5,4,P
86,E,E,4,3,P
87,B,A,4,2,P
88,B,D,5,4,P
89,C,C,4,2,P
90,A,A,5,3,P
91,C,E,4,3,P
92,A,A,4,3,P
93,C,A,6,3,P
94,A,E,4,1,P
95,A,D,6,5,P
96,E,D,3,1,P
97,C,B,4,1,P
98,B,D,3,2,N
99,B,B,4,3,P
100,B,C,4,2,P
101,A,E,3,2,N
102,B,D,3,1,N
103,D,B,5,4,P
104,C,C,4,1,P
105,C,D,4,2,P
106,E,B,4,1,P
107,D,B,3,1,P
108,E,B,6,5,P
109,D,A,3,1,N
110,A,D,5,4,P
111,C,A,4,1,P
112,C,D,6,5,P
113,B,A,4,3,P
114,E,A,4,3,P
115,A,A,4,1,P
116,A,C,4,3,P
117,E,D,6,5,P
118,E,A,4,2,P
119,C,D,3,1,N
120,B,B,4,1,P
121,C,A,4,2,P
122,C,A,5,1,P
123,C,E,3,1,P
124,C,A,3,1,N
125,C,A,4,3,P
126,C,C,3,1,N
127,D,A,5,4,P
128,A,B,5,4,P
129,C,C,3,2,N
130,E,D,5,4,P
131,D,C,4,3,P
132,E,E,6,5,P
133,D,B,4,2,P
134,A,D,4,2,P
135,B,B,6,5,P
136,A,B,4,1,P
137,A,C,5,4,P
138,B,E,4,1,P
139,C,B,3,1,N
140,E,E,4,2,P
141,B,E,4,3,P
142,A,E,3,1,N
143,A,B,4,2,P
144,A,C,3,1,N
145,E,C,3,2,N
146,B,A,3,1,N
147,D,D,3,2,N
148,A,C,3,2,N
149,E,A,4,1,P
150,B,A,5,4,P
151,E,E,3,1,P
152,D,E,3,2,P
153,E,B,3,1,N
154,A,D,4,1,P
155,A,D,3,1,N
156,E,B,4,3,P
157,A,B,3,1,N
158,D,B,4,3,P
159,A,A,5,4,P
160,D,A,3,2,N
161,C,E,6,5,P
162,B,C,3,2,N
163,B,E,3,1,N
164,C,D,4,3,P
165,A,B,3,2,N
166,A,A,6,5,P
