d3mIndex,col_1,col_2,col_3,binaryClass
0,CGM_Mutual,1.0,15600.0,P
1,Fidelity_Balanced,1.0,14650.0,N
2,MainStay_Total_Ret,1.0,15001.0,P
3,Kemper_Inv_Tot_Ret,1.0,15628.0,P
4,Pax_World,1.0,14222.0,P
5,Dodge_and_Cox_Balanced,1.0,14222.0,N
6,Fidelity_Advisor,1.0,15065.0,N
7,Fidelity_Puritan,1.0,14916.0,N
8,Vanguard_STAR,1.0,14477.0,N
9,Phoenix_Balanced,1.0,14308.0,P
10,Wellington,1.0,14239.0,N
11,Natl_Inc_and_Growth_A,1.0,14202.0,N
12,Strong_Investment,1.0,12978.0,P
13,Kemper_Total_Return,1.0,14511.0,P
14,MFS_Total_Return,1.0,13726.0,N
15,IDS_Mutual,1.0,13555.0,N
16,Keystone_Custodian,1.0,13544.0,P
17,American_Balanced,1.0,13723.0,N
18,Eaton_Vance_Investor,1.0,13293.0,P
19,Delaware,1.0,14333.0,N
20,Calvert_Soc_Inv_MgGr,1.0,13050.0,P
21,Merrill_Lynch_BalInB,1.0,13207.0,P
22,George_Putnam_Bost_A,1.0,13501.0,N
23,USAA_Inv_Cornerstone,1.0,12548.0,P
24,United_Contnentl_Inc,1.0,13224.0,N
25,Financial_Ind_Income,2.0,16423.0,P
26,USAA_Mutual_Inc_Stck,2.0,15156.0,N
27,Shearson_Premium,2.0,15973.0,N
28,SteinRoe_Total_Retur,2.0,14576.0,N
29,Dean_Witter_EqutyInc,2.0,15361.0,N
30,Capital_Income_Build,2.0,14288.0,N
31,TRowe_Price_EquInc,2.0,14711.0,N
32,Fidelity_Equity_Inc,2.0,14259.0,N
33,Prudential_Equ_Inc_B,2.0,14290.0,N
34,SAFECO_Income,2.0,13833.0,N
35,National_Total_Retur,2.0,14033.0,N
36,Merl_Lnch_Strateg_B,2.0,12963.0,N
37,United_Income,2.0,14255.0,N
38,Oppenheimer_EqutyInc,2.0,12614.0,P
39,Delaware_Decatur_II,2.0,13175.0,N
40,Putnam_Strategic_Inc,2.0,12595.0,P
41,Delaware_Decatur_I,2.0,12219.0,N
42,Vista_Growth_and_Incom,3.0,22331.0,N
43,Newberger&Berman_Grd,3.0,17063.0,N
44,Clipper,3.0,15851.0,N
45,Selected_Amer_Shares,3.0,16113.0,P
46,Franklin_Rising_Div,3.0,15448.0,N
47,AIM_Charter,3.0,15421.0,P
48,Vanguard_Quantitativ,3.0,15434.0,P
49,Rightime,3.0,13597.0,P
50,IDS_Strategy_Equity,3.0,15278.0,N
51,John_Hancock_Sovergn,3.0,14724.0,P
52,TRowe_Price_G_and_I,3.0,15275.0,N
53,Founders_Blue_Chip,3.0,14450.0,P
54,Stagecoach_Corporate,3.0,14803.0,P
55,Evergreen_Total_Ret,3.0,14033.0,N
56,Fidelity,3.0,14587.0,N
57,FPA_Paramount,3.0,14201.0,N
58,MFS_Lifetime_Total_R,3.0,13977.0,P
59,Mass_Investors,3.0,14570.0,P
60,Investment_Co_Amer,3.0,14231.0,P
61,Rightime_Blue_Chip,3.0,12890.0,P
62,Seligman_Common_Stck,3.0,14516.0,N
63,Putnam_Fund_G&I_A,3.0,14039.0,N
64,Cardinal,3.0,14136.0,N
65,Merrill_Lynch_Cap_A,3.0,13505.0,P
66,Strong_Total_Return,3.0,12714.0,P
67,Fundamental_Investor,3.0,14371.0,N
68,Putnam_Managed_Incom,3.0,13762.0,N
69,Alliance_G_and_I_A,3.0,13669.0,P
70,Affiliated,3.0,13602.0,N
71,Common_Sense_G_and_I,3.0,13721.0,P
72,Smith_Barney_I_and_G_A,3.0,13297.0,P
73,Merrill_Lynch_BasicV,3.0,12948.0,N
74,CGM_Capital_Developm,4.0,22934.0,N
75,Janus,4.0,17819.0,P
76,Fidelity_Growth_Co,4.0,18266.0,N
77,SteinRoe_Stock,4.0,17188.0,N
78,SteinRoe_Special,4.0,16960.0,N
79,Columbia_Growth,4.0,16040.0,N
80,IDEX_3,4.0,16719.0,P
81,Fidelity_Retire_Grwt,4.0,16457.0,N
82,Dreyfus_Appreciation,4.0,15617.0,P
83,Gintel,4.0,15705.0,N
84,Financial_Industrial,4.0,15680.0,P
85,Putnam_Vista,4.0,15756.0,N
86,Guardian_Park_Avenue,4.0,15593.0,N
87,Lindner,4.0,14099.0,N
88,Shearson_Sector_An_B,4.0,13628.0,N
89,Mas_Inv_Growth_Stock,4.0,15556.0,P
90,Prudential_Equity_B,4.0,14973.0,N
91,New_Economy,4.0,14874.0,N
92,Franklin_Growth,4.0,13659.0,P
93,Gradison-McDnld_EV,4.0,13554.0,N
94,Babson_Growth,4.0,13994.0,N
95,Pilgrim_MagnaCap,4.0,13685.0,N
96,Amer_Capital_Pace_A,4.0,13626.0,P
97,IDS_Progressive,4.0,13240.0,N
98,Security_Action,4.0,12784.0,P
99,Kaufmann,5.0,24161.0,N
100,Thomson_OpportunityB,5.0,22067.0,N
101,Strong_Discovery,5.0,18125.0,P
102,AIM_Constellation,5.0,20043.0,N
103,Founders_Special,5.0,18311.0,N
104,Financial_Dynamics,5.0,18666.0,N
105,Keystone_Custodn_S-4,5.0,18913.0,N
106,Delaware_Trend,5.0,19673.0,N
107,Pacific_Horizon_AG,5.0,17666.0,P
108,MetLife_StateStCapAp,5.0,17994.0,N
109,Seligman_Capital,5.0,17682.0,N
110,Putnam_Voyager,5.0,16841.0,N
111,IDS_Strategy_Aggr_Eq,5.0,16159.0,P
112,Value_Line_Lever_Grt,5.0,15282.0,P
113,Oppenheimer_Target,5.0,15795.0,N
114,Dreyfus_Capital_Grow,5.0,14040.0,P
115,Shearson_Aggr_Growth,5.0,14973.0,P
116,USAA_Mutual_Aggr_Grw,5.0,14650.0,P
117,Fidelity_Capital_App,5.0,13148.0,N
118,Alliance_Quasar_A,5.0,12433.0,P
119,20th_Century_Ultra,6.0,21995.0,P
120,Skyline_Special_Equi,6.0,21487.0,N
121,Alger_Small_Capitali,6.0,20966.0,P
122,Roberts_Steph_EmGr,6.0,18911.0,P
123,MFS_Lifetime_EmrGrw,6.0,21349.0,N
124,Janus_Venture,6.0,18129.0,P
125,Nicholas_Ltd_Editio,6.0,17847.0,N
126,Oppenheimer_Discover,6.0,18681.0,N
127,Legg_Mason_Spec_Inv,6.0,18146.0,N
128,Fidelity_OTC,6.0,17929.0,N
129,Acorn,6.0,17643.0,N
130,Hartwell_EmergngGrwt,6.0,18878.0,P
131,Sit_New_Beginning,6.0,17367.0,P
132,Scudder_Development,6.0,17644.0,P
133,Amer_Cap_EmergG_A,6.0,17666.0,N
134,Babson_Enterprise,6.0,17591.0,N
135,Columbia_Special,6.0,18275.0,N
136,IDS_Discovery,6.0,17182.0,N
137,United_New_Concepts,6.0,17311.0,P
138,Vanguard_Explorer,6.0,16693.0,N
139,Vanguard_Ind_Ext_Mkt,6.0,15663.0,N
140,TRowe_Price_New_Hor,6.0,16842.0,N
141,Dreyfus_New_Leaders,6.0,16396.0,N
142,20th_Cent_Vista_Inv,6.0,17049.0,P
143,Prud_Growth_Opport_B,6.0,16502.0,N
144,Nicholas_II,6.0,15435.0,N
145,Pennsylvania_Mutual,6.0,15200.0,N
146,Kemper_Small_CapEqu,6.0,16040.0,P
147,MFS_Emerging_Growth,6.0,16783.0,N
148,Pioneer_Three,6.0,15488.0,N
149,Vanguard_Small_CapSt,6.0,15591.0,N
150,Evergreen,6.0,14704.0,N
151,T_Rowe_Price_OTC,6.0,14742.0,N
152,SAFECO_Growth,6.0,14870.0,P
153,Royce_Value,6.0,14348.0,N
154,Putnam_OTC_Emerg_Grw,6.0,15336.0,N
155,Calvert-Ariel_Growth,6.0,14455.0,N
156,Scudder_Global,7.0,13723.0,P
157,Harbor_International,7.0,13726.0,P
158,EuroPacific_Growth,7.0,12767.0,P
159,New_Perspective,7.0,12952.0,P
160,Scudder_Internationa,7.0,11618.0,P
161,TRowe_Price_Intl_St,7.0,11700.0,P
162,Templeton_Foreign,7.0,12502.0,P
163,Templeton_Growth,7.0,13320.0,P
164,Merrill_Lynch_PacfcA,7.0,10473.0,P
165,Oppenheimer_Global,7.0,11885.0,P
166,Merrill_Lynch_Intl_A,7.0,11688.0,P
167,Merrill_Lynch_Euro_B,7.0,11419.0,P
168,GT_Pacific_GrowthA,7.0,11337.0,P
169,Templeton_SmallCoGr,7.0,13183.0,P
170,International_Equity,7.0,10499.0,P
171,Fidelity_Europe,7.0,10859.0,P
172,Dean_Witter_WrldWide,7.0,10982.0,P
173,Vanguard_World_IntGr,7.0,10176.0,P
174,Templeton_World,7.0,12317.0,P
175,Putnam_Global_Growth,7.0,11412.0,P
176,First_Investors_Glob,7.0,11077.0,P
177,GT_Int_Growth_A,7.0,10856.0,P
178,IDS_International,7.0,10383.0,P
179,Kemper_International,7.0,10232.0,P
180,Fidelity_Overseas,7.0,9569.0,P
181,Prudential_Global_B,7.0,9939.0,P
182,United_Intl_Growth,7.0,10252.0,P
183,Alliance_Intl_A,7.0,9781.0,P
184,GT_Europe_Growth_A,7.0,9426.0,P
