d3mIndex,type,repeat,fold
0,TEST,0,0
1,TRAIN,0,0
2,TRAIN,0,0
3,TEST,0,0
4,TEST,0,0
5,TEST,0,0
6,TEST,0,0
7,TEST,0,0
8,TRAIN,0,0
9,TEST,0,0
10,TRAIN,0,0
11,TEST,0,0
12,TRAIN,0,0
13,TEST,0,0
14,TRAIN,0,0
15,TEST,0,0
16,TEST,0,0
17,TRAIN,0,0
18,TEST,0,0
19,TRAIN,0,0
20,TRAIN,0,0
21,TRAIN,0,0
22,TRAIN,0,0
23,TEST,0,0
24,TRAIN,0,0
25,TEST,0,0
26,TEST,0,0
27,TEST,0,0
28,TRAIN,0,0
29,TRAIN,0,0
30,TEST,0,0
31,TRAIN,0,0
32,TRAIN,0,0
33,TEST,0,0
34,TEST,0,0
35,TRAIN,0,0
36,TEST,0,0
37,TEST,0,0
38,TEST,0,0
39,TEST,0,0
40,TEST,0,0
41,TRAIN,0,0
42,TRAIN,0,0
43,TRAIN,0,0
44,TEST,0,0
45,TRAIN,0,0
46,TRAIN,0,0
47,TRAIN,0,0
48,TRAIN,0,0
49,TRAIN,0,0
50,TRAIN,0,0
51,TRAIN,0,0
52,TEST,0,0
53,TRAIN,0,0
54,TRAIN,0,0
55,TRAIN,0,0
56,TRAIN,0,0
57,TRAIN,0,0
58,TEST,0,0
59,TRAIN,0,0
60,TRAIN,0,0
61,TEST,0,0
62,TEST,0,0
63,TEST,0,0
64,TEST,0,0
65,TEST,0,0
66,TEST,0,0
67,TRAIN,0,0
68,TRAIN,0,0
69,TEST,0,0
70,TEST,0,0
71,TEST,0,0
72,TRAIN,0,0
73,TRAIN,0,0
74,TEST,0,0
75,TEST,0,0
76,TRAIN,0,0
77,TRAIN,0,0
78,TEST,0,0
79,TRAIN,0,0
80,TEST,0,0
81,TEST,0,0
82,TEST,0,0
83,TRAIN,0,0
84,TEST,0,0
85,TEST,0,0
86,TEST,0,0
87,TEST,0,0
88,TEST,0,0
89,TRAIN,0,0
90,TEST,0,0
91,TRAIN,0,0
92,TEST,0,0
93,TEST,0,0
94,TEST,0,0
95,TEST,0,0
96,TRAIN,0,0
97,TEST,0,0
98,TEST,0,0
99,TEST,0,0
100,TEST,0,0
101,TRAIN,0,0
102,TRAIN,0,0
103,TEST,0,0
104,TRAIN,0,0
105,TRAIN,0,0
106,TEST,0,0
107,TEST,0,0
108,TEST,0,0
109,TRAIN,0,0
110,TRAIN,0,0
111,TEST,0,0
112,TRAIN,0,0
113,TRAIN,0,0
114,TEST,0,0
115,TRAIN,0,0
116,TRAIN,0,0
117,TEST,0,0
118,TEST,0,0
119,TEST,0,0
120,TRAIN,0,0
121,TEST,0,0
122,TEST,0,0
123,TRAIN,0,0
124,TEST,0,0
125,TEST,0,0
126,TRAIN,0,0
127,TEST,0,0
128,TEST,0,0
129,TEST,0,0
130,TRAIN,0,0
131,TRAIN,0,0
132,TRAIN,0,0
133,TEST,0,0
134,TRAIN,0,0
135,TRAIN,0,0
136,TEST,0,0
137,TEST,0,0
138,TRAIN,0,0
139,TEST,0,0
140,TEST,0,0
141,TEST,0,0
142,TEST,0,0
143,TEST,0,0
144,TRAIN,0,0
145,TEST,0,0
146,TRAIN,0,0
147,TRAIN,0,0
148,TEST,0,0
149,TEST,0,0
150,TRAIN,0,0
151,TRAIN,0,0
152,TRAIN,0,0
153,TEST,0,0
154,TEST,0,0
155,TEST,0,0
156,TEST,0,0
157,TRAIN,0,0
158,TEST,0,0
159,TEST,0,0
160,TRAIN,0,0
161,TRAIN,0,0
162,TEST,0,0
163,TRAIN,0,0
164,TRAIN,0,0
165,TRAIN,0,0
166,TRAIN,0,0
167,TEST,0,0
168,TEST,0,0
169,TEST,0,0
170,TEST,0,0
171,TRAIN,0,0
172,TRAIN,0,0
173,TRAIN,0,0
174,TEST,0,0
175,TRAIN,0,0
176,TRAIN,0,0
177,TRAIN,0,0
178,TEST,0,0
179,TEST,0,0
180,TEST,0,0
181,TEST,0,0
182,TEST,0,0
183,TRAIN,0,0
184,TRAIN,0,0
