d3mIndex,year,month,binaryClass
0,1979.0,January,P
1,1979.0,February,P
2,1979.0,March,P
3,1979.0,April,P
4,1979.0,May,P
5,1979.0,June,P
6,1979.0,July,P
7,1979.0,August,P
8,1979.0,September,P
9,1979.0,October,P
10,1979.0,November,P
11,1979.0,December,P
12,1980.0,January,P
13,1980.0,February,P
14,1980.0,March,P
15,1980.0,April,P
16,1980.0,May,P
17,1980.0,June,P
18,1980.0,July,P
19,1980.0,August,P
20,1980.0,September,P
21,1980.0,October,P
22,1980.0,November,P
23,1980.0,December,P
24,1981.0,January,P
25,1981.0,February,P
26,1981.0,March,P
27,1981.0,April,P
28,1981.0,May,P
29,1981.0,June,P
30,1981.0,July,P
31,1981.0,August,P
32,1981.0,September,P
33,1981.0,October,P
34,1981.0,November,P
35,1981.0,December,P
36,1982.0,January,P
37,1982.0,February,P
38,1982.0,March,P
39,1982.0,April,P
40,1982.0,May,P
41,1982.0,June,P
42,1982.0,July,P
43,1982.0,August,P
44,1982.0,September,P
45,1982.0,October,P
46,1982.0,November,P
47,1982.0,December,P
48,1983.0,January,P
49,1983.0,February,P
50,1983.0,March,P
51,1983.0,April,P
52,1983.0,May,P
53,1983.0,June,P
54,1983.0,July,P
55,1983.0,August,P
56,1983.0,September,P
57,1983.0,October,P
58,1983.0,November,P
59,1983.0,December,P
60,1984.0,January,P
61,1984.0,February,P
62,1984.0,March,P
63,1984.0,April,P
64,1984.0,May,P
65,1984.0,June,P
66,1984.0,July,P
67,1984.0,August,P
68,1984.0,September,P
69,1984.0,October,P
70,1984.0,November,P
71,1984.0,December,P
72,1985.0,January,P
73,1985.0,February,P
74,1985.0,March,P
75,1985.0,April,P
76,1985.0,May,P
77,1985.0,June,P
78,1985.0,July,N
79,1985.0,August,N
80,1985.0,September,P
81,1985.0,October,P
82,1985.0,November,P
83,1985.0,December,P
84,1986.0,January,P
85,1986.0,February,P
86,1986.0,March,P
87,1986.0,April,P
88,1986.0,May,P
89,1986.0,June,P
90,1986.0,July,P
91,1986.0,August,P
92,1986.0,September,P
93,1986.0,October,P
94,1986.0,November,P
95,1986.0,December,P
96,1987.0,January,P
97,1987.0,February,P
98,1987.0,March,P
99,1987.0,April,P
100,1987.0,May,P
101,1987.0,June,P
102,1987.0,July,N
103,1987.0,August,N
104,1987.0,September,P
105,1987.0,October,P
106,1987.0,November,P
107,1987.0,December,P
108,1988.0,January,P
109,1988.0,February,P
110,1988.0,March,P
111,1988.0,April,P
112,1988.0,May,N
113,1988.0,June,N
114,1988.0,July,N
115,1988.0,August,N
116,1988.0,September,N
117,1988.0,October,N
118,1988.0,November,P
119,1988.0,December,P
120,1989.0,January,P
121,1989.0,February,P
122,1989.0,March,P
123,1989.0,April,N
124,1989.0,May,N
125,1989.0,June,N
126,1989.0,July,N
127,1989.0,August,N
128,1989.0,September,N
129,1989.0,October,N
130,1989.0,November,P
131,1989.0,December,P
132,1990.0,January,P
133,1990.0,February,P
134,1990.0,March,P
135,1990.0,April,N
136,1990.0,May,N
137,1990.0,June,N
138,1990.0,July,N
139,1990.0,August,N
140,1990.0,September,N
141,1990.0,October,N
142,1990.0,November,P
143,1990.0,December,P
144,1991.0,January,P
145,1991.0,February,P
146,1991.0,March,P
147,1991.0,April,P
148,1991.0,May,N
149,1991.0,June,N
150,1991.0,July,N
151,1991.0,August,N
152,1991.0,September,N
153,1991.0,October,N
154,1991.0,November,P
155,1991.0,December,P
156,1992.0,January,P
157,1992.0,February,P
158,1992.0,March,P
159,1992.0,April,N
160,1992.0,May,N
161,1992.0,June,N
162,1992.0,July,N
163,1992.0,August,N
164,1992.0,September,N
165,1992.0,October,N
166,1992.0,November,P
167,1992.0,December,P
168,1993.0,January,P
169,1993.0,February,P
170,1993.0,March,N
171,1993.0,April,N
172,1993.0,May,N
173,1993.0,June,N
174,1993.0,July,N
175,1993.0,August,N
176,1993.0,September,N
177,1993.0,October,N
178,1993.0,November,P
179,1993.0,December,P
180,1994.0,January,P
181,1994.0,February,P
182,1994.0,March,N
183,1994.0,April,N
184,1994.0,May,N
185,1994.0,June,N
186,1994.0,July,N
187,1994.0,August,N
188,1994.0,September,N
189,1994.0,October,N
190,1994.0,November,P
191,1994.0,December,P
192,1995.0,January,P
193,1995.0,February,P
194,1995.0,March,P
195,1995.0,April,N
196,1995.0,May,N
197,1995.0,June,N
198,1995.0,July,N
199,1995.0,August,N
200,1995.0,September,N
201,1995.0,October,N
202,1995.0,November,P
203,1995.0,December,P
204,1996.0,January,P
205,1996.0,February,P
206,1996.0,March,N
