d3mIndex,type,repeat,fold
0,TEST,0,0
1,TRAIN,0,0
2,TRAIN,0,0
3,TRAIN,0,0
4,TEST,0,0
5,TEST,0,0
6,TRAIN,0,0
7,TRAIN,0,0
8,TRAIN,0,0
9,TRAIN,0,0
10,TRAIN,0,0
11,TEST,0,0
12,TEST,0,0
13,TRAIN,0,0
14,TEST,0,0
15,TRAIN,0,0
16,TRAIN,0,0
17,TRAIN,0,0
18,TRAIN,0,0
19,TRAIN,0,0
20,TRAIN,0,0
21,TRAIN,0,0
22,TRAIN,0,0
23,TRAIN,0,0
24,TRAIN,0,0
25,TRAIN,0,0
26,TEST,0,0
27,TEST,0,0
28,TEST,0,0
29,TEST,0,0
30,TRAIN,0,0
31,TEST,0,0
32,TEST,0,0
33,TRAIN,0,0
34,TEST,0,0
35,TEST,0,0
36,TEST,0,0
37,TRAIN,0,0
38,TRAIN,0,0
39,TRAIN,0,0
40,TEST,0,0
41,TEST,0,0
42,TRAIN,0,0
43,TEST,0,0
44,TEST,0,0
45,TRAIN,0,0
46,TRAIN,0,0
47,TEST,0,0
48,TRAIN,0,0
49,TRAIN,0,0
50,TRAIN,0,0
51,TEST,0,0
52,TRAIN,0,0
53,TRAIN,0,0
54,TRAIN,0,0
55,TRAIN,0,0
56,TEST,0,0
57,TRAIN,0,0
58,TEST,0,0
59,TRAIN,0,0
60,TRAIN,0,0
61,TEST,0,0
62,TEST,0,0
63,TRAIN,0,0
64,TRAIN,0,0
65,TEST,0,0
66,TRAIN,0,0
67,TRAIN,0,0
68,TRAIN,0,0
69,TRAIN,0,0
70,TEST,0,0
71,TEST,0,0
72,TRAIN,0,0
73,TRAIN,0,0
74,TEST,0,0
75,TRAIN,0,0
76,TRAIN,0,0
77,TRAIN,0,0
78,TRAIN,0,0
79,TEST,0,0
80,TRAIN,0,0
81,TRAIN,0,0
82,TEST,0,0
83,TRAIN,0,0
84,TRAIN,0,0
85,TEST,0,0
86,TRAIN,0,0
87,TEST,0,0
88,TRAIN,0,0
89,TRAIN,0,0
90,TEST,0,0
91,TEST,0,0
92,TRAIN,0,0
93,TEST,0,0
94,TRAIN,0,0
95,TRAIN,0,0
96,TRAIN,0,0
97,TEST,0,0
98,TEST,0,0
99,TRAIN,0,0
100,TEST,0,0
101,TRAIN,0,0
102,TEST,0,0
103,TRAIN,0,0
104,TEST,0,0
105,TRAIN,0,0
106,TEST,0,0
107,TEST,0,0
108,TRAIN,0,0
109,TRAIN,0,0
110,TRAIN,0,0
111,TEST,0,0
112,TRAIN,0,0
113,TRAIN,0,0
114,TRAIN,0,0
115,TRAIN,0,0
116,TRAIN,0,0
117,TRAIN,0,0
118,TEST,0,0
119,TRAIN,0,0
120,TRAIN,0,0
121,TRAIN,0,0
122,TRAIN,0,0
123,TRAIN,0,0
124,TRAIN,0,0
125,TRAIN,0,0
126,TRAIN,0,0
127,TEST,0,0
128,TRAIN,0,0
129,TRAIN,0,0
130,TRAIN,0,0
131,TEST,0,0
132,TRAIN,0,0
133,TRAIN,0,0
134,TEST,0,0
135,TRAIN,0,0
136,TRAIN,0,0
137,TRAIN,0,0
138,TEST,0,0
139,TEST,0,0
140,TRAIN,0,0
141,TEST,0,0
142,TRAIN,0,0
143,TRAIN,0,0
144,TRAIN,0,0
145,TEST,0,0
146,TEST,0,0
147,TEST,0,0
148,TRAIN,0,0
149,TRAIN,0,0
150,TRAIN,0,0
151,TRAIN,0,0
152,TRAIN,0,0
153,TEST,0,0
154,TRAIN,0,0
155,TRAIN,0,0
156,TRAIN,0,0
157,TRAIN,0,0
158,TRAIN,0,0
159,TRAIN,0,0
160,TRAIN,0,0
161,TEST,0,0
162,TRAIN,0,0
163,TRAIN,0,0
164,TRAIN,0,0
165,TRAIN,0,0
166,TRAIN,0,0
167,TEST,0,0
168,TRAIN,0,0
169,TEST,0,0
170,TEST,0,0
171,TRAIN,0,0
172,TRAIN,0,0
173,TRAIN,0,0
174,TEST,0,0
175,TRAIN,0,0
176,TRAIN,0,0
177,TRAIN,0,0
178,TRAIN,0,0
179,TEST,0,0
180,TEST,0,0
181,TEST,0,0
182,TRAIN,0,0
183,TEST,0,0
184,TRAIN,0,0
185,TEST,0,0
186,TRAIN,0,0
187,TEST,0,0
188,TEST,0,0
189,TEST,0,0
190,TRAIN,0,0
191,TRAIN,0,0
192,TRAIN,0,0
193,TEST,0,0
194,TRAIN,0,0
195,TRAIN,0,0
196,TEST,0,0
197,TRAIN,0,0
198,TRAIN,0,0
199,TEST,0,0
200,TEST,0,0
201,TEST,0,0
202,TEST,0,0
203,TRAIN,0,0
204,TRAIN,0,0
205,TRAIN,0,0
206,TEST,0,0
207,TEST,0,0
208,TRAIN,0,0
209,TEST,0,0
210,TRAIN,0,0
211,TRAIN,0,0
212,TRAIN,0,0
213,TRAIN,0,0
214,TRAIN,0,0
215,TRAIN,0,0
216,TRAIN,0,0
217,TEST,0,0
218,TEST,0,0
219,TEST,0,0
220,TRAIN,0,0
221,TEST,0,0
222,TRAIN,0,0
223,TRAIN,0,0
224,TEST,0,0
225,TEST,0,0
226,TEST,0,0
227,TRAIN,0,0
228,TRAIN,0,0
229,TRAIN,0,0
230,TRAIN,0,0
231,TRAIN,0,0
232,TRAIN,0,0
233,TRAIN,0,0
234,TRAIN,0,0
235,TEST,0,0
236,TRAIN,0,0
237,TEST,0,0
238,TEST,0,0
239,TEST,0,0
240,TRAIN,0,0
241,TEST,0,0
242,TRAIN,0,0
243,TRAIN,0,0
244,TEST,0,0
245,TEST,0,0
246,TEST,0,0
247,TRAIN,0,0
248,TRAIN,0,0
249,TEST,0,0
250,TRAIN,0,0
251,TRAIN,0,0
252,TEST,0,0
253,TEST,0,0
254,TEST,0,0
255,TRAIN,0,0
256,TRAIN,0,0
257,TEST,0,0
258,TRAIN,0,0
259,TRAIN,0,0
260,TEST,0,0
261,TEST,0,0
262,TEST,0,0
263,TRAIN,0,0
