d3mIndex,col_1,col_2,binaryClass
0,1983.0,1.0,P
1,1983.0,2.0,N
2,1983.0,3.0,N
3,1983.0,4.0,N
4,1983.0,5.0,N
5,1983.0,6.0,N
6,1983.0,7.0,N
7,1983.0,8.0,N
8,1983.0,9.0,N
9,1983.0,10.0,N
10,1983.0,11.0,P
11,1983.0,12.0,P
12,1983.0,13.0,P
13,1983.0,14.0,P
14,1983.0,15.0,N
15,1983.0,16.0,N
16,1983.0,17.0,P
17,1983.0,18.0,N
18,1983.0,19.0,N
19,1983.0,20.0,P
20,1983.0,21.0,P
21,1983.0,22.0,N
22,1983.0,23.0,N
23,1983.0,24.0,N
24,1983.0,25.0,N
25,1983.0,26.0,N
26,1983.0,27.0,N
27,1983.0,28.0,N
28,1983.0,29.0,N
29,1983.0,30.0,N
30,1983.0,31.0,N
31,1983.0,32.0,N
32,1983.0,33.0,N
33,1983.0,34.0,N
34,1983.0,35.0,N
35,1983.0,36.0,N
36,1983.0,37.0,N
37,1983.0,38.0,N
38,1983.0,39.0,N
39,1983.0,40.0,N
40,1983.0,41.0,N
41,1983.0,42.0,N
42,1983.0,43.0,N
43,1983.0,44.0,N
44,1983.0,45.0,N
45,1983.0,46.0,P
46,1983.0,47.0,P
47,1983.0,48.0,P
48,1983.0,49.0,P
49,1983.0,50.0,P
50,1983.0,51.0,P
51,1983.0,52.0,P
52,1984.0,1.0,P
53,1984.0,2.0,P
54,1984.0,3.0,N
55,1984.0,4.0,N
56,1984.0,5.0,P
57,1984.0,6.0,N
58,1984.0,7.0,N
59,1984.0,8.0,N
60,1984.0,9.0,N
61,1984.0,10.0,N
62,1984.0,11.0,N
63,1984.0,12.0,P
64,1984.0,13.0,N
65,1984.0,14.0,P
66,1984.0,15.0,P
67,1984.0,16.0,N
68,1984.0,17.0,N
69,1984.0,18.0,N
70,1984.0,19.0,P
71,1984.0,20.0,N
72,1984.0,21.0,N
73,1984.0,22.0,N
74,1984.0,23.0,N
75,1984.0,24.0,N
76,1984.0,25.0,N
77,1984.0,26.0,N
78,1984.0,27.0,N
79,1984.0,28.0,N
80,1984.0,29.0,N
81,1984.0,30.0,N
82,1984.0,31.0,N
83,1984.0,32.0,N
84,1984.0,33.0,N
85,1984.0,34.0,N
86,1984.0,35.0,N
87,1984.0,36.0,P
88,1984.0,37.0,N
89,1984.0,38.0,N
90,1984.0,39.0,P
91,1984.0,40.0,P
92,1984.0,41.0,N
93,1984.0,42.0,P
94,1984.0,43.0,P
95,1984.0,44.0,P
96,1984.0,45.0,N
97,1984.0,46.0,N
98,1984.0,47.0,N
99,1984.0,48.0,N
100,1984.0,49.0,N
101,1984.0,50.0,P
102,1984.0,51.0,P
103,1984.0,52.0,P
104,1985.0,1.0,P
105,1985.0,2.0,P
106,1985.0,3.0,P
107,1985.0,4.0,P
108,1985.0,5.0,P
109,1985.0,6.0,P
110,1985.0,7.0,P
111,1985.0,8.0,P
112,1985.0,9.0,P
113,1985.0,10.0,P
114,1985.0,11.0,P
115,1985.0,12.0,P
116,1985.0,13.0,P
117,1985.0,14.0,P
118,1985.0,15.0,P
119,1985.0,16.0,P
120,1985.0,17.0,P
121,1985.0,18.0,P
122,1985.0,19.0,P
123,1985.0,20.0,P
124,1985.0,21.0,P
125,1985.0,22.0,N
126,1985.0,23.0,P
127,1985.0,24.0,N
128,1985.0,25.0,N
129,1985.0,26.0,N
130,1985.0,27.0,N
131,1985.0,28.0,N
132,1985.0,29.0,N
133,1985.0,30.0,N
134,1985.0,31.0,N
135,1985.0,32.0,N
136,1985.0,33.0,N
137,1985.0,34.0,P
138,1985.0,35.0,P
139,1985.0,36.0,P
