d3mIndex,Married,Age,Years_of_education,Male,Religious,Sex_partners,Income,Drug_use,Same_sex_relations,binaryClass
0,1,52.0,14.0,0,1,1.0,32500.0,0,0,P
1,0,58.0,16.0,0,1,0.0,21250.0,0,0,N
2,0,22.0,14.0,1,1,15.0,2000.0,0,0,P
3,1,35.0,14.0,1,1,5.0,21250.0,0,0,P
4,0,43.0,20.0,1,1,1.0,67500.0,0,0,P
5,1,49.0,13.0,1,1,1.0,85000.0,0,0,P
6,1,34.0,12.0,0,1,1.0,32500.0,0,0,P
7,1,34.0,12.0,1,1,10.0,23750.0,1,0,P
8,1,31.0,16.0,0,1,3.0,32500.0,0,0,P
9,1,49.0,4.0,1,1,1.0,27500.0,0,0,P
10,0,61.0,12.0,0,1,3.0,32500.0,0,0,P
11,0,28.0,16.0,0,1,1.0,4500.0,0,0,N
12,0,59.0,16.0,1,0,20.0,27500.0,0,1,N
13,0,36.0,12.0,0,1,4.0,500.0,0,1,P
14,1,35.0,12.0,0,1,1.0,3500.0,0,0,N
15,1,24.0,12.0,0,1,1.0,23750.0,0,0,P
16,0,30.0,16.0,1,1,3.0,32500.0,0,0,N
17,0,56.0,16.0,0,1,1.0,37500.0,0,0,P
18,0,34.0,12.0,0,1,2.0,32500.0,0,0,N
19,1,40.0,13.0,1,1,1.0,27500.0,0,0,P
20,1,43.0,15.0,1,1,2.0,4500.0,0,0,P
21,1,27.0,12.0,1,1,2.0,,0,0,P
22,0,53.0,10.0,0,1,1.0,6500.0,0,0,P
23,1,58.0,14.0,1,1,1.0,55000.0,0,0,P
24,0,31.0,16.0,0,0,5.0,9000.0,0,1,N
25,0,48.0,17.0,0,1,1.0,32500.0,0,0,N
26,0,39.0,18.0,1,1,1.0,85000.0,0,0,P
27,0,32.0,20.0,0,1,1.0,32500.0,0,0,P
28,0,49.0,12.0,0,1,4.0,,0,0,P
29,0,33.0,19.0,1,1,3.0,37500.0,0,0,N
30,0,29.0,18.0,0,1,5.0,27500.0,0,0,N
31,0,36.0,12.0,0,1,10.0,,0,0,P
32,1,49.0,12.0,1,1,1.0,16250.0,0,0,P
33,1,36.0,18.0,1,1,1.0,32500.0,0,0,P
34,0,39.0,16.0,0,1,1.0,45000.0,0,0,N
35,1,40.0,16.0,0,1,1.0,6500.0,0,0,P
36,1,40.0,10.0,0,1,1.0,16250.0,0,0,P
37,1,35.0,17.0,0,1,1.0,11250.0,0,0,P
38,1,48.0,12.0,1,1,1.0,55000.0,0,0,N
39,0,29.0,16.0,1,1,10.0,23750.0,0,0,P
40,1,30.0,14.0,0,1,3.0,18750.0,0,0,P
41,1,36.0,19.0,0,1,1.0,18750.0,0,0,P
42,1,27.0,14.0,1,1,1.0,18750.0,0,0,P
43,0,41.0,16.0,0,1,0.0,27500.0,0,0,N
44,1,40.0,14.0,1,1,2.0,85000.0,0,0,P
45,0,36.0,12.0,0,1,1.0,27500.0,0,0,P
46,1,36.0,16.0,1,0,1.0,55000.0,0,0,P
47,1,52.0,12.0,1,0,1.0,45000.0,0,0,P
48,0,39.0,13.0,0,1,5.0,27500.0,0,1,P
49,1,34.0,14.0,1,1,1.0,21250.0,0,0,P
50,0,32.0,12.0,1,1,2.0,16250.0,0,0,P
51,0,40.0,12.0,0,1,5.0,18750.0,0,0,P
52,0,42.0,16.0,0,1,4.0,23750.0,0,1,P
53,1,48.0,12.0,1,1,1.0,32500.0,0,0,P
54,0,26.0,12.0,1,1,12.0,37500.0,0,0,P
55,0,24.0,13.0,1,1,20.0,13750.0,0,0,P
56,1,77.0,20.0,1,1,2.0,32500.0,0,0,P
57,1,27.0,14.0,1,1,3.0,37500.0,0,0,N
58,1,25.0,12.0,1,1,1.0,16250.0,1,0,P
59,1,65.0,12.0,1,0,0.0,55000.0,0,0,N
60,1,35.0,12.0,0,1,1.0,16250.0,0,0,P
61,1,27.0,16.0,0,1,1.0,32500.0,0,0,P
62,1,23.0,12.0,1,1,15.0,23750.0,0,0,P
63,1,68.0,13.0,1,1,1.0,,0,0,P
64,1,36.0,18.0,0,1,1.0,16250.0,0,0,N
65,1,37.0,16.0,1,1,1.0,32500.0,0,0,N
66,0,27.0,16.0,0,1,7.0,5500.0,0,0,N
