d3mIndex,Species,Length1,Length2,Length3,Height,Width,Sex,binaryClass
0,1,23.2,25.4,30.0,38.4,13.4,,P
1,1,24.0,26.3,31.2,40.0,13.8,,P
2,1,23.9,26.5,31.1,39.8,15.1,,P
3,1,26.3,29.0,33.5,38.0,13.3,,P
4,1,26.5,29.0,34.0,36.6,15.1,,N
5,1,26.8,29.7,34.7,39.2,14.2,,N
6,1,26.8,29.7,34.5,41.1,15.3,,N
7,1,27.6,30.0,35.0,36.2,13.4,,P
8,1,27.6,30.0,35.1,39.9,13.8,,N
9,1,28.5,30.7,36.2,39.3,13.7,,N
10,1,28.4,31.0,36.2,39.4,14.1,,N
11,1,28.7,31.0,36.2,39.7,13.3,,N
12,1,29.1,31.5,36.4,37.8,12.0,,N
13,1,29.4,32.0,37.2,40.2,13.9,1,N
14,1,29.4,32.0,37.2,41.5,15.0,,N
15,1,30.4,33.0,38.3,38.8,13.8,1,N
16,1,30.4,33.0,38.5,38.8,13.5,,N
17,1,30.9,33.5,38.6,40.5,13.3,,N
18,1,31.0,33.5,38.7,37.4,14.8,,N
19,1,31.3,34.0,39.5,38.3,14.1,1,N
20,1,31.4,34.0,39.2,40.8,13.7,,N
21,1,31.5,34.5,39.7,39.1,13.3,,N
22,1,31.8,35.0,40.6,38.1,15.1,,N
23,1,31.9,35.0,40.5,40.1,13.8,,N
24,1,31.8,35.0,40.9,40.0,14.8,1,N
25,1,32.0,35.0,40.6,40.3,15.0,,N
26,1,32.7,36.0,41.5,39.8,14.1,,N
27,1,32.8,36.0,41.6,40.6,14.9,,N
28,1,33.5,37.0,42.6,44.5,15.5,0,N
29,1,35.0,38.5,44.1,40.9,14.3,0,N
30,1,35.0,38.5,44.0,41.1,14.3,,N
31,1,36.2,39.5,45.3,41.4,14.9,1,N
32,1,37.4,41.0,45.9,40.6,14.7,0,N
33,1,38.0,41.0,46.5,37.9,13.7,,N
34,2,23.6,26.0,28.7,29.2,14.8,,P
35,2,24.1,26.5,29.3,27.8,14.5,,P
36,2,25.6,28.0,30.8,28.5,15.2,,P
37,2,28.5,31.0,34.0,31.6,19.3,,N
38,2,33.7,36.4,39.6,29.7,16.6,0,N
39,2,37.3,40.0,43.5,28.4,15.0,,N
