d3mIndex,col_1,col_2,col_3,col_4,col_6,col_7,col_8,col_9,col_10,binaryClass
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,P
1,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,N
2,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,N
3,4.0,0.0,0.0,0.0,0.0,4.0,9.0,59.0,12.0,P
4,5.0,0.0,0.0,0.0,0.0,5.0,10.0,228.0,28.0,P
5,6.0,4.0,26.0,5.0,1.0,6.0,13.0,260.0,35.0,N
6,7.0,10.0,42.0,11.0,1.0,7.0,9.0,255.0,22.0,N
7,8.0,9.0,143.0,17.0,0.0,8.0,10.0,538.0,35.0,P
8,9.0,13.0,244.0,33.0,0.0,9.0,10.0,228.0,27.0,P
9,10.0,9.0,137.0,25.0,1.0,10.0,10.0,485.0,34.0,N
10,11.0,11.0,175.0,37.0,1.0,11.0,10.0,426.0,27.0,N
11,12.0,10.0,181.0,27.0,0.0,12.0,11.0,693.0,33.0,P
12,13.0,8.0,105.0,21.0,0.0,13.0,14.0,541.0,33.0,P
13,14.0,9.0,190.0,34.0,1.0,14.0,10.0,509.0,30.0,N
14,15.0,9.0,203.0,32.0,1.0,15.0,7.0,462.0,28.0,N
15,16.0,7.0,202.0,21.0,0.0,16.0,10.0,813.0,36.0,P
16,17.0,7.0,202.0,17.0,0.0,17.0,11.0,873.0,33.0,P
17,18.0,8.0,162.0,21.0,1.0,18.0,13.0,756.0,36.0,N
18,19.0,6.0,121.0,12.0,1.0,19.0,10.0,720.0,34.0,N
19,20.0,4.0,121.0,11.0,0.0,20.0,9.0,497.0,28.0,P
20,21.0,10.0,272.0,33.0,0.0,21.0,7.0,644.0,20.0,P
21,22.0,7.0,248.0,25.0,1.0,22.0,5.0,371.0,16.0,N
22,23.0,5.0,100.0,11.0,1.0,23.0,7.0,513.0,22.0,N
23,24.0,7.0,230.0,28.0,0.0,24.0,10.0,470.0,21.0,P
24,25.0,7.0,208.0,16.0,0.0,25.0,12.0,688.0,39.0,P
25,26.0,8.0,198.0,17.0,1.0,26.0,10.0,737.0,33.0,N
26,27.0,12.0,204.0,25.0,1.0,27.0,11.0,805.0,34.0,N
27,28.0,8.0,222.0,22.0,0.0,28.0,8.0,450.0,12.0,P
28,29.0,12.0,303.0,28.0,0.0,29.0,13.0,772.0,42.0,P
29,30.0,10.0,379.0,30.0,1.0,30.0,15.0,954.0,55.0,N
30,31.0,13.0,371.0,32.0,1.0,31.0,14.0,702.0,34.0,N
31,32.0,6.0,155.0,14.0,0.0,32.0,14.0,613.0,32.0,P
32,33.0,11.0,259.0,25.0,0.0,33.0,14.0,825.0,47.0,P
33,34.0,11.0,384.0,30.0,1.0,34.0,11.0,537.0,30.0,N
34,35.0,17.0,465.0,42.0,1.0,35.0,11.0,600.0,36.0,N
35,36.0,11.0,383.0,40.0,0.0,36.0,11.0,491.0,36.0,P
36,37.0,16.0,482.0,49.0,0.0,37.0,14.0,888.0,58.0,P
37,38.0,10.0,157.0,21.0,1.0,38.0,14.0,605.0,47.0,N
38,39.0,15.0,293.0,33.0,1.0,39.0,11.0,497.0,35.0,N
39,40.0,8.0,211.0,22.0,0.0,40.0,15.0,419.0,34.0,P
40,41.0,14.0,215.0,23.0,0.0,41.0,13.0,494.0,42.0,P
41,42.0,6.0,93.0,11.0,1.0,42.0,14.0,524.0,47.0,N
42,43.0,13.0,251.0,25.0,1.0,43.0,11.0,430.0,35.0,N
43,44.0,16.0,286.0,30.0,0.0,44.0,13.0,444.0,30.0,P
44,45.0,13.0,258.0,28.0,0.0,45.0,15.0,659.0,47.0,P
45,46.0,13.0,262.0,33.0,1.0,46.0,12.0,442.0,36.0,N
46,47.0,13.0,192.0,27.0,1.0,47.0,13.0,411.0,30.0,N
47,48.0,11.0,298.0,20.0,0.0,48.0,18.0,590.0,42.0,P
48,49.0,11.0,176.0,17.0,0.0,49.0,18.0,515.0,47.0,P
49,50.0,8.0,95.0,11.0,1.0,50.0,17.0,440.0,51.0,N
50,51.0,7.0,105.0,10.0,1.0,51.0,13.0,533.0,44.0,N
51,52.0,6.0,86.0,11.0,0.0,52.0,13.0,445.0,41.0,P
52,53.0,8.0,177.0,12.0,0.0,53.0,15.0,404.0,40.0,P
53,54.0,9.0,184.0,17.0,1.0,54.0,17.0,362.0,37.0,N
54,55.0,6.0,145.0,9.0,1.0,55.0,11.0,506.0,34.0,N
55,56.0,5.0,129.0,9.0,0.0,56.0,14.0,353.0,36.0,P
56,57.0,6.0,81.0,7.0,0.0,57.0,12.0,492.0,37.0,P
57,58.0,11.0,167.0,14.0,1.0,58.0,11.0,344.0,33.0,N
58,59.0,8.0,148.0,9.0,1.0,59.0,12.0,477.0,41.0,N
59,60.0,8.0,128.0,9.0,0.0,60.0,10.0,411.0,32.0,P
60,61.0,12.0,241.0,17.0,0.0,61.0,8.0,351.0,11.0,P
61,62.0,5.0,51.0,5.0,1.0,62.0,12.0,409.0,23.0,N
62,63.0,8.0,163.0,11.0,1.0,63.0,14.0,463.0,37.0,N
63,64.0,5.0,119.0,7.0,0.0,64.0,12.0,377.0,27.0,P
64,65.0,6.0,125.0,9.0,0.0,65.0,13.0,443.0,30.0,P
65,66.0,11.0,253.0,21.0,1.0,66.0,11.0,344.0,28.0,N
66,67.0,11.0,123.0,14.0,1.0,67.0,11.0,423.0,22.0,N
67,68.0,8.0,102.0,11.0,0.0,68.0,8.0,200.0,20.0,P
68,69.0,4.0,39.0,4.0,0.0,69.0,8.0,299.0,17.0,P
69,70.0,9.0,111.0,11.0,1.0,70.0,8.0,204.0,17.0,N
70,71.0,6.0,102.0,7.0,1.0,71.0,10.0,326.0,22.0,N
71,72.0,6.0,129.0,9.0,0.0,72.0,10.0,292.0,17.0,P
72,73.0,12.0,196.0,15.0,0.0,73.0,11.0,277.0,25.0,P
73,74.0,8.0,128.0,11.0,1.0,74.0,11.0,380.0,17.0,N
74,75.0,14.0,198.0,22.0,1.0,75.0,11.0,228.0,25.0,N
75,76.0,9.0,95.0,11.0,0.0,76.0,11.0,226.0,23.0,P
76,77.0,13.0,166.0,17.0,0.0,77.0,9.0,332.0,16.0,P
77,78.0,10.0,61.0,10.0,1.0,78.0,10.0,228.0,22.0,N
78,79.0,12.0,133.0,12.0,1.0,79.0,11.0,172.0,22.0,N
79,80.0,7.0,144.0,15.0,0.0,80.0,7.0,284.0,14.0,P
80,81.0,12.0,167.0,17.0,0.0,81.0,8.0,228.0,17.0,P
81,82.0,7.0,100.0,10.0,1.0,82.0,11.0,180.0,15.0,N
82,83.0,6.0,97.0,10.0,1.0,83.0,8.0,225.0,16.0,N
83,84.0,12.0,154.0,17.0,0.0,84.0,12.0,216.0,19.0,P
84,85.0,8.0,126.0,12.0,0.0,85.0,9.0,176.0,14.0,P
85,86.0,17.0,207.0,23.0,1.0,86.0,13.0,252.0,22.0,N
86,87.0,10.0,154.0,15.0,1.0,87.0,9.0,126.0,11.0,N
87,88.0,14.0,199.0,21.0,0.0,88.0,13.0,528.0,27.0,P
88,89.0,12.0,187.0,16.0,0.0,89.0,10.0,714.0,16.0,P
89,90.0,10.0,136.0,14.0,1.0,90.0,11.0,435.0,28.0,N
90,91.0,8.0,150.0,10.0,1.0,91.0,8.0,193.0,22.0,N
91,92.0,10.0,132.0,12.0,0.0,92.0,15.0,565.0,36.0,P
92,93.0,7.0,138.0,9.0,0.0,93.0,12.0,386.0,30.0,P
93,94.0,10.0,128.0,11.0,1.0,94.0,18.0,694.0,42.0,N
94,95.0,6.0,125.0,8.0,1.0,95.0,15.0,579.0,40.0,N
95,96.0,8.0,151.0,12.0,0.0,96.0,12.0,464.0,37.0,P
96,97.0,10.0,144.0,16.0,0.0,97.0,4.0,166.0,16.0,P
97,98.0,9.0,220.0,14.0,1.0,98.0,10.0,308.0,30.0,N
98,99.0,10.0,172.0,14.0,1.0,99.0,14.0,445.0,32.0,N
99,100.0,9.0,167.0,11.0,0.0,100.0,12.0,432.0,34.0,P
100,101.0,11.0,165.0,14.0,0.0,101.0,10.0,345.0,32.0,P
101,102.0,8.0,114.0,8.0,1.0,102.0,9.0,253.0,21.0,N
102,103.0,12.0,158.0,14.0,1.0,103.0,8.0,229.0,28.0,N
103,104.0,7.0,73.0,7.0,0.0,104.0,9.0,196.0,21.0,P
104,105.0,11.0,144.0,12.0,0.0,105.0,9.0,285.0,28.0,P
105,106.0,6.0,32.0,5.0,1.0,106.0,7.0,225.0,25.0,N
106,107.0,10.0,130.0,11.0,1.0,107.0,14.0,340.0,25.0,N
107,108.0,7.0,161.0,16.0,0.0,108.0,10.0,349.0,30.0,P
108,109.0,7.0,169.0,11.0,0.0,109.0,12.0,339.0,28.0,P
109,110.0,8.0,142.0,15.0,1.0,110.0,12.0,473.0,36.0,N
110,111.0,11.0,137.0,17.0,1.0,111.0,10.0,338.0,30.0,N
111,112.0,8.0,139.0,12.0,0.0,112.0,10.0,433.0,42.0,P
112,113.0,10.0,149.0,17.0,0.0,113.0,14.0,323.0,40.0,P
113,114.0,7.0,135.0,10.0,1.0,114.0,11.0,156.0,22.0,N
114,115.0,9.0,160.0,15.0,1.0,115.0,8.0,80.0,11.0,N
115,116.0,9.0,290.0,17.0,0.0,116.0,12.0,441.0,41.0,P
116,117.0,9.0,135.0,11.0,0.0,117.0,15.0,462.0,36.0,P
117,118.0,15.0,173.0,17.0,1.0,118.0,13.0,453.0,30.0,N
118,119.0,6.0,100.0,8.0,1.0,119.0,11.0,200.0,22.0,N
119,120.0,11.0,137.0,15.0,0.0,120.0,14.0,449.0,37.0,P
120,121.0,8.0,120.0,11.0,0.0,121.0,15.0,600.0,33.0,P
121,122.0,7.0,100.0,11.0,1.0,122.0,15.0,750.0,27.0,N
122,123.0,10.0,140.0,12.0,1.0,123.0,13.0,320.0,34.0,N
123,124.0,5.0,132.0,10.0,0.0,124.0,12.0,429.0,28.0,P
124,125.0,10.0,178.0,16.0,0.0,125.0,13.0,513.0,25.0,P
125,126.0,9.0,139.0,15.0,1.0,126.0,11.0,191.0,30.0,N
126,127.0,10.0,142.0,14.0,1.0,127.0,8.0,257.0,22.0,N
127,128.0,8.0,107.0,10.0,0.0,128.0,10.0,275.0,22.0,P
128,129.0,6.0,72.0,5.0,0.0,129.0,8.0,244.0,20.0,P
129,130.0,6.0,55.0,7.0,1.0,130.0,9.0,359.0,14.0,N
130,131.0,12.0,258.0,23.0,1.0,131.0,8.0,231.0,17.0,N
131,132.0,5.0,49.0,5.0,0.0,132.0,7.0,232.0,11.0,P
132,133.0,4.0,164.0,15.0,0.0,133.0,10.0,230.0,21.0,P
133,134.0,3.0,42.0,4.0,1.0,134.0,4.0,104.0,10.0,N
134,135.0,6.0,70.0,5.0,1.0,135.0,12.0,228.0,23.0,N
135,136.0,5.0,57.0,7.0,0.0,136.0,12.0,299.0,28.0,P
136,137.0,4.0,45.0,4.0,0.0,137.0,24.0,504.0,60.0,P
137,138.0,6.0,72.0,10.0,1.0,138.0,6.0,174.0,16.0,N
138,139.0,2.0,19.0,2.0,1.0,139.0,15.0,438.0,45.0,N
139,140.0,1.0,8.0,1.0,0.0,140.0,14.0,372.0,34.0,P
140,141.0,3.0,47.0,2.0,0.0,141.0,12.0,223.0,23.0,P
141,142.0,4.0,78.0,10.0,1.0,142.0,8.0,267.0,20.0,N
142,143.0,4.0,75.0,2.0,1.0,143.0,18.0,648.0,66.0,N
143,144.0,7.0,148.0,17.0,0.0,144.0,15.0,444.0,39.0,P
144,145.0,7.0,126.0,11.0,0.0,145.0,12.0,146.0,17.0,P
145,146.0,3.0,43.0,2.0,1.0,146.0,9.0,360.0,23.0,N
146,147.0,8.0,133.0,17.0,1.0,147.0,9.0,253.0,22.0,N
147,148.0,6.0,84.0,10.0,0.0,148.0,15.0,446.0,53.0,P
148,149.0,2.0,10.0,2.0,0.0,149.0,12.0,274.0,30.0,P
149,150.0,9.0,117.0,17.0,1.0,150.0,12.0,169.0,22.0,N
150,151.0,4.0,41.0,8.0,1.0,151.0,9.0,229.0,22.0,N
