d3mIndex,type,repeat,fold
0,TEST,0,0
1,TRAIN,0,0
2,TEST,0,0
3,TEST,0,0
4,TEST,0,0
5,TEST,0,0
6,TEST,0,0
7,TEST,0,0
8,TEST,0,0
9,TRAIN,0,0
10,TRAIN,0,0
11,TRAIN,0,0
12,TEST,0,0
13,TEST,0,0
14,TRAIN,0,0
15,TRAIN,0,0
16,TEST,0,0
17,TRAIN,0,0
18,TRAIN,0,0
19,TRAIN,0,0
20,TRAIN,0,0
21,TRAIN,0,0
22,TRAIN,0,0
23,TEST,0,0
24,TEST,0,0
25,TRAIN,0,0
26,TRAIN,0,0
27,TEST,0,0
28,TEST,0,0
29,TEST,0,0
30,TRAIN,0,0
31,TRAIN,0,0
32,TRAIN,0,0
33,TRAIN,0,0
34,TEST,0,0
35,TRAIN,0,0
36,TRAIN,0,0
37,TRAIN,0,0
38,TRAIN,0,0
39,TRAIN,0,0
40,TRAIN,0,0
41,TEST,0,0
42,TEST,0,0
43,TRAIN,0,0
44,TEST,0,0
45,TRAIN,0,0
46,TEST,0,0
47,TRAIN,0,0
48,TRAIN,0,0
49,TRAIN,0,0
50,TRAIN,0,0
51,TRAIN,0,0
52,TEST,0,0
53,TRAIN,0,0
54,TRAIN,0,0
55,TEST,0,0
56,TEST,0,0
57,TRAIN,0,0
58,TEST,0,0
59,TRAIN,0,0
60,TRAIN,0,0
61,TRAIN,0,0
62,TRAIN,0,0
63,TEST,0,0
64,TEST,0,0
65,TEST,0,0
66,TRAIN,0,0
67,TEST,0,0
68,TEST,0,0
69,TRAIN,0,0
70,TRAIN,0,0
71,TEST,0,0
72,TEST,0,0
73,TRAIN,0,0
74,TEST,0,0
75,TRAIN,0,0
76,TRAIN,0,0
77,TEST,0,0
78,TRAIN,0,0
79,TRAIN,0,0
80,TEST,0,0
81,TRAIN,0,0
82,TEST,0,0
83,TEST,0,0
84,TEST,0,0
85,TRAIN,0,0
86,TRAIN,0,0
87,TEST,0,0
88,TRAIN,0,0
89,TRAIN,0,0
90,TRAIN,0,0
91,TRAIN,0,0
92,TEST,0,0
93,TEST,0,0
94,TRAIN,0,0
95,TEST,0,0
96,TRAIN,0,0
97,TEST,0,0
98,TRAIN,0,0
99,TRAIN,0,0
100,TEST,0,0
101,TEST,0,0
102,TEST,0,0
103,TEST,0,0
104,TRAIN,0,0
105,TEST,0,0
106,TRAIN,0,0
107,TRAIN,0,0
108,TRAIN,0,0
109,TEST,0,0
110,TRAIN,0,0
111,TRAIN,0,0
112,TRAIN,0,0
113,TRAIN,0,0
114,TEST,0,0
115,TRAIN,0,0
116,TEST,0,0
117,TEST,0,0
118,TEST,0,0
119,TRAIN,0,0
120,TRAIN,0,0
121,TEST,0,0
122,TEST,0,0
123,TEST,0,0
124,TEST,0,0
125,TRAIN,0,0
126,TEST,0,0
127,TRAIN,0,0
128,TEST,0,0
129,TRAIN,0,0
130,TRAIN,0,0
131,TRAIN,0,0
132,TRAIN,0,0
133,TRAIN,0,0
134,TRAIN,0,0
135,TRAIN,0,0
136,TRAIN,0,0
137,TRAIN,0,0
138,TRAIN,0,0
139,TRAIN,0,0
140,TRAIN,0,0
141,TRAIN,0,0
142,TEST,0,0
143,TEST,0,0
144,TEST,0,0
145,TRAIN,0,0
146,TRAIN,0,0
147,TRAIN,0,0
148,TRAIN,0,0
149,TEST,0,0
150,TEST,0,0
151,TRAIN,0,0
152,TEST,0,0
153,TRAIN,0,0
154,TRAIN,0,0
155,TEST,0,0
156,TEST,0,0
157,TEST,0,0
158,TEST,0,0
159,TEST,0,0
160,TEST,0,0
161,TRAIN,0,0
162,TEST,0,0
163,TRAIN,0,0
164,TRAIN,0,0
165,TEST,0,0
166,TRAIN,0,0
167,TRAIN,0,0
168,TRAIN,0,0
169,TRAIN,0,0
170,TRAIN,0,0
171,TEST,0,0
172,TRAIN,0,0
173,TEST,0,0
174,TEST,0,0
175,TEST,0,0
176,TRAIN,0,0
177,TEST,0,0
178,TRAIN,0,0
179,TRAIN,0,0
180,TEST,0,0
181,TEST,0,0
182,TEST,0,0
183,TRAIN,0,0
184,TRAIN,0,0
185,TEST,0,0
186,TRAIN,0,0
187,TRAIN,0,0
188,TRAIN,0,0
189,TRAIN,0,0
190,TRAIN,0,0
191,TRAIN,0,0
192,TRAIN,0,0
193,TRAIN,0,0
194,TEST,0,0
195,TEST,0,0
196,TRAIN,0,0
197,TRAIN,0,0
198,TEST,0,0
199,TRAIN,0,0
200,TRAIN,0,0
201,TEST,0,0
202,TRAIN,0,0
203,TRAIN,0,0
204,TEST,0,0
205,TEST,0,0
206,TEST,0,0
207,TRAIN,0,0
208,TRAIN,0,0
209,TRAIN,0,0
210,TEST,0,0
211,TEST,0,0
212,TRAIN,0,0
213,TEST,0,0
214,TRAIN,0,0
215,TRAIN,0,0
216,TEST,0,0
217,TEST,0,0
218,TEST,0,0
219,TEST,0,0
220,TEST,0,0
221,TRAIN,0,0
222,TRAIN,0,0
223,TRAIN,0,0
224,TEST,0,0
225,TEST,0,0
226,TRAIN,0,0
227,TEST,0,0
